Name;FK0HR1;FK0HR2;FK0HR3;FK42DR1;FK42DR2;FK42DR3;FL0HR1;FL0HR2;FL0HR3;FL42DR1;FL42DR2;FL42DR3
FvH4_7g33470;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18880;2;2;3;2;0;0;2;0;0;0;0;0
FvH4_4g06380;437;464;580;13;34;27;70;33;115;101;47;76
FvH4_4g31340;364;376;401;380;281;348;166;392;215;373;496;333
FvH4_4g31341;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g08621;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g21490;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g08620;221;187;230;48;52;58;123;84;138;74;67;62
FvH4_6g08622;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g28210;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g41080;576;532;589;307;271;233;120;201;173;325;227;233
FvH4_1g04240;252;302;250;57;44;50;8;12;21;15;23;34
FvH4_4g18360;119;149;135;72;61;48;49;55;71;58;81;75
FvH4_7g33460;3220;3081;3241;1779;1459;1336;873;2245;1245;1753;2087;1414
FvH4_1g16210;725;608;848;672;489;498;716;1110;702;1004;849;923
FvH4_1g18870;13;11;25;8;6;4;5;5;4;1;4;3
FvH4_1g16212;392;390;478;349;258;270;1689;3069;1276;1652;1906;1601
FvH4_1g16211;172;139;154;201;167;125;38;202;33;25;237;29
FvH4_4g06370;361;336;314;294;231;244;131;167;146;138;202;132
FvH4_4g31350;476;413;397;3033;2546;2279;110;66;113;1278;1075;1050
FvH4_6g08610;3094;2775;3360;3725;2701;2190;664;623;788;1310;1213;1305
FvH4_6g08611;2028;1649;1989;940;1148;856;1043;1165;1172;380;533;296
FvH4_7g21480;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g41090;61;65;59;10;10;13;91;131;97;37;74;35
FvH4_1g28220;0;0;0;0;0;0;0;0;0;0;0;1
FvH4_1g06890;11;20;8;0;0;0;1;2;0;0;0;0
FvH4_1g04230;2845;2661;2913;992;1084;913;405;421;611;309;280;271
FvH4_4g21990;1518;1345;1504;819;663;554;1047;1039;1176;979;1059;1023
FvH4_1g04260;0;0;0;0;0;0;0;1;0;0;0;0
FvH4_7g33490;97;81;86;138;98;77;126;158;111;226;234;229
FvH4_4g21991;952;969;1012;609;511;479;484;806;583;608;826;610
FvH4_1g16240;414;403;490;475;359;333;720;1036;1055;627;1091;686
FvH4_4g06360;37;35;33;21;20;23;15;18;19;15;27;7
FvH4_4g31360;313;334;345;291;258;252;81;132;85;32;98;21
FvH4_6g08641;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g18342;1608;1587;1811;227;219;171;206;148;325;1053;396;889
FvH4_6g08640;377;334;458;575;311;383;429;845;731;1154;1101;1036
FvH4_4g18341;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g18340;192;166;203;102;192;185;15;39;20;20;32;20
FvH4_2g41060;269;206;293;291;189;204;166;267;162;466;882;466
FvH4_7g33480;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g21980;18;24;15;18;13;15;14;19;24;38;43;44
FvH4_4g21981;1417;1280;1334;514;455;458;447;1000;459;506;509;556
FvH4_1g16231;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g16230;69;71;83;23;12;9;106;43;115;406;182;379
FvH4_1g18891;768;677;645;1747;1200;1171;437;336;368;231;143;165
FvH4_1g18892;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18893;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g31370;629;663;606;328;260;326;198;347;286;422;431;331
FvH4_4g06350;20;27;25;20;11;6;14;3;10;5;16;4
FvH4_1g18890;343;346;350;247;293;268;217;222;213;213;222;184
FvH4_1g28200;1000;1038;1048;895;772;667;1112;1182;1156;1131;1430;1187
FvH4_6g08630;5;16;4;1;0;0;0;0;2;4;0;1
FvH4_1g04250;2540;2360;2538;1398;1336;1241;3497;3429;4141;1598;1839;1648
FvH4_4g18330;413;313;400;443;420;380;175;224;184;429;393;478
FvH4_1g28201;0;0;0;0;0;0;0;0;0;1;0;0
FvH4_2g41070;13;9;9;0;9;1;32;107;12;0;63;7
FvH4_3g18500;3155;2915;3380;1526;1350;1166;936;1195;1093;844;1021;815
FvH4_6g45600;0;0;0;0;0;0;0;2;0;0;5;0
FvH4_6g21630;2441;2427;2522;2036;1777;1611;1347;1626;1512;1898;2060;1652
FvH4_1g18840;81;56;59;77;52;44;19;24;32;47;71;52
FvH4_2g16080;0;0;1;0;0;0;0;10;5;14;25;18
FvH4_4g33960;1361;1206;1307;332;207;261;469;182;595;213;89;207
FvH4_4g31300;0;3;1;4;3;1;282;190;321;337;269;313
FvH4_2g04090;38;58;61;8;12;7;44;16;43;2;12;4
FvH4_1g04200;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g21640;307;379;260;32045;24358;27291;5;21;150;355;295;208
FvH4_6g06000;481;473;416;295;271;224;1033;1718;1273;1007;1192;1083
FvH4_2g28060;209;215;207;129;114;71;105;135;116;102;138;112
FvH4_1g06860;545;506;535;231;185;183;333;357;326;264;335;264
FvH4_3g06513;449;404;544;550;457;343;0;119;3;3;9;3
FvH4_3g06511;0;1;3;16;15;31;0;544;2;3;10;2
FvH4_4g18390;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g06512;2;3;0;5;2;3;0;305;0;0;0;1
FvH4_6g21641;28;21;20;7;6;2;11;7;13;4;7;10
FvH4_6g21642;0;0;0;0;0;0;1;0;1;1;1;0
FvH4_1g18830;255;296;370;243;163;118;135;194;182;158;217;166
FvH4_1g18831;12;9;19;31;15;15;18;5;12;9;19;7
FvH4_6g33630;0;0;0;0;0;0;0;0;0;1;0;1
FvH4_3g06510;1;1;1;137;78;86;0;36;1;59;9;39
FvH4_2g16070;92;94;94;275;216;166;2326;2302;2746;3898;4349;4045
FvH4_4g33970;85;47;43;29;18;47;308;710;302;100;266;105
FvH4_4g31310;40;42;59;126;114;91;24;34;24;322;271;287
FvH4_1g06851;3;8;5;0;0;0;0;0;2;4;5;0
FvH4_6g08650;517;412;558;231;186;209;1721;874;1914;247;197;206
FvH4_6g21650;0;1;1;13;6;17;0;0;0;0;0;0
FvH4_1g06850;156;105;113;6;9;10;787;618;1054;365;358;383
FvH4_6g21651;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g28050;0;0;1;0;0;0;0;0;0;0;0;0
FvH4_2g41050;750;704;640;1785;2043;1819;455;602;438;264;923;297
FvH4_4g18381;1;3;1;0;0;0;0;3;0;0;14;0
FvH4_4g18380;0;0;0;0;0;0;0;0;1;0;1;0
FvH4_3g06500;1425;1346;1390;803;671;648;504;736;557;687;896;699
FvH4_6g21610;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g18000;142;146;150;253;150;104;84;99;77;180;182;204
FvH4_1g16200;359;318;396;128;108;153;25;35;49;51;84;32
FvH4_4g33980;6265;6069;7308;4216;3570;3513;3470;4671;4350;3702;2820;3917
FvH4_2g41020;1403;1332;1691;1035;888;775;614;643;715;1040;965;1049
FvH4_4g31320;480;452;557;14;42;26;94;95;59;15;72;8
FvH4_1g04221;202;166;203;154;94;106;70;98;95;70;93;75
FvH4_6g06020;360;348;335;567;500;444;555;500;529;783;899;787
FvH4_2g28081;0;0;0;0;0;0;0;31;0;0;0;1
FvH4_2g28080;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g06880;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g28082;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g04220;711;719;767;624;564;501;271;390;304;389;492;379
FvH4_6g08680;6;7;6;0;0;0;0;0;0;0;0;0
FvH4_6g21620;418;407;393;386;299;250;165;316;222;318;442;310
