Name;NK0HR1;NK0HR2;NK0HR3;NK42DR1;NK42DR2;NK42DR3;NL0HR1;NL0HR2;NL0HR3;NL42DR1;NL42DR2;NL42DR3
FvH4_7g33470;0;0;1;1;0;0;0;0;0;0;0;0
FvH4_1g18880;0;0;0;1;0;0;0;0;0;0;0;0
FvH4_4g06380;788;546;716;777;391;1007;530;201;165;431;17;337
FvH4_4g31340;426;403;418;491;365;493;340;346;288;358;462;510
FvH4_4g31341;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g08621;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g21490;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g08620;205;218;205;138;121;172;226;138;100;159;62;181
FvH4_6g08622;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g28210;0;0;0;0;0;1;0;0;0;0;0;0
FvH4_2g41080;485;499;442;569;505;723;498;245;251;1019;390;1105
FvH4_1g04240;163;123;121;96;98;118;45;21;11;34;1;24
FvH4_4g18360;86;116;105;68;71;71;61;67;50;34;57;37
FvH4_7g33460;3663;3704;3482;5457;3753;5525;2045;1346;1097;2803;2040;3287
FvH4_1g16210;989;952;794;1369;1000;1514;740;1070;681;1313;1258;1872
FvH4_1g18870;5;3;4;1;2;2;2;0;4;2;0;1
FvH4_1g16212;762;705;606;729;501;778;2031;3178;2399;825;2189;1826
FvH4_1g16211;329;358;321;628;620;710;415;542;462;368;408;514
FvH4_4g06370;293;312;253;277;245;289;126;161;153;145;143;159
FvH4_4g31350;668;593;575;1600;1711;1541;225;129;154;514;1451;909
FvH4_6g08610;3363;3485;3234;4112;3895;5361;1271;873;776;1080;664;1410
FvH4_6g08611;1448;1568;1296;770;758;852;590;627;482;314;195;378
FvH4_7g21480;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g41090;75;54;64;57;56;51;141;202;154;101;92;118
FvH4_1g28220;5;1;0;0;0;0;0;0;2;1;1;0
FvH4_1g06890;158;109;129;78;40;34;0;0;0;0;0;0
FvH4_1g04230;2696;2363;2251;1710;1432;1743;1056;558;516;705;334;729
FvH4_4g21990;1497;1347;1337;1046;750;1003;1148;1004;917;717;745;913
FvH4_1g04260;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g33490;141;129;163;155;192;242;207;213;202;300;303;421
FvH4_4g21991;878;737;806;1131;822;1124;615;453;392;869;680;980
FvH4_1g16240;642;529;540;353;310;361;886;1346;911;918;953;1128
FvH4_4g06360;14;25;7;9;7;2;7;5;6;0;4;3
FvH4_4g31360;477;486;445;408;327;427;107;139;130;34;88;68
FvH4_6g08641;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g18342;1159;1266;1345;1745;1299;2518;1268;374;363;3311;425;3174
FvH4_6g08640;309;275;286;2106;1383;2627;854;602;453;2447;795;2600
FvH4_4g18341;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g18340;130;138;118;177;175;192;21;22;16;26;12;21
FvH4_2g41060;244;221;114;61;55;83;368;353;244;179;89;213
FvH4_7g33480;0;0;0;1;0;0;0;0;0;0;0;0
FvH4_4g21980;34;16;29;18;15;22;67;34;21;130;41;169
FvH4_4g21981;1224;954;1018;1049;730;1068;955;691;630;509;528;714
FvH4_1g16231;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g16230;141;129;105;59;36;60;267;95;78;43;62;106
FvH4_1g18891;658;589;556;625;721;724;363;740;661;76;107;149
FvH4_1g18892;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18893;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g31370;465;525;484;551;359;579;378;214;187;501;364;503
FvH4_4g06350;10;4;7;0;4;6;3;1;2;1;2;1
FvH4_1g18890;523;483;445;308;273;285;385;315;279;214;240;309
