Name;AK0HR1;AK0HR2;AK0HR3;AK42DR1;AK42DR2;AL0HR1;AL0HR2;AL0HR3;AL42DR1;AL42DR2;AL42DR3
FvH4_7g33470;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18880;0;0;0;0;1;0;0;0;0;0;2
FvH4_4g06380;240;165;141;79;38;209;232;246;110;90;244
FvH4_4g31340;810;766;777;324;498;288;173;206;478;404;429
FvH4_4g31341;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g08621;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g21490;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g08620;100;69;78;43;19;144;120;144;88;64;120
FvH4_6g08622;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g28210;0;0;0;0;0;0;0;0;1;0;0
FvH4_2g41080;338;270;275;532;545;199;189;198;659;498;882
FvH4_1g04240;269;266;278;114;120;7;14;12;16;7;18
FvH4_4g18360;125;112;109;36;56;55;45;62;34;54;51
FvH4_7g33460;2862;2440;2358;3619;3617;2084;2041;2351;2309;1867;2481
FvH4_1g16210;636;519;549;879;664;1257;878;888;1167;887;1375
FvH4_1g18870;6;3;5;3;1;5;0;0;1;3;3
FvH4_1g16212;638;617;626;987;929;2734;1404;1544;1909;2219;1620
FvH4_1g16211;119;111;139;82;156;90;49;56;113;133;81
FvH4_4g06370;249;185;217;251;293;125;89;104;167;159;206
FvH4_4g31350;1714;1735;1622;511;1301;124;142;142;476;775;1109
FvH4_6g08610;3689;3339;3106;3854;5559;772;535;642;1793;1460;3546
FvH4_6g08611;1361;1336;1270;867;733;1066;718;720;514;423;561
FvH4_7g21480;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g41090;24;39;21;16;6;201;126;126;94;62;73
FvH4_1g28220;0;2;2;0;0;3;1;0;1;0;1
FvH4_1g06890;46;54;55;0;0;0;0;0;0;1;0
FvH4_1g04230;1362;1260;1141;763;777;653;574;580;406;313;493
FvH4_4g21990;1493;1450;1384;765;1097;1322;957;1006;976;941;1010
FvH4_1g04260;0;0;0;0;0;3;0;2;0;3;0
FvH4_7g33490;168;180;165;179;185;169;116;159;213;205;231
FvH4_4g21991;772;712;646;634;779;745;605;624;748;645;745
FvH4_1g16240;575;563;555;270;551;998;475;526;562;635;529
FvH4_4g06360;18;18;16;9;14;4;2;6;3;11;1
FvH4_4g31360;654;647;564;364;409;122;29;40;105;60;59
FvH4_6g08641;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g18342;1056;654;820;103;115;359;422;488;796;508;1432
FvH4_6g08640;1135;973;1002;817;1040;885;779;936;1464;1086;1763
FvH4_4g18341;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g18340;315;294;329;73;50;16;21;22;23;16;32
FvH4_2g41060;610;573;725;84;155;337;149;178;298;316;265
FvH4_7g33480;0;0;0;0;0;0;1;0;0;0;0
FvH4_4g21980;21;14;16;9;12;32;25;38;41;37;70
FvH4_4g21981;577;582;582;521;508;636;440;528;521;367;437
FvH4_1g16231;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g16230;47;83;87;4;12;124;116;114;105;174;220
FvH4_1g18891;924;1118;926;620;1623;359;191;198;112;209;259
FvH4_1g18892;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18893;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g31370;423;394;352;295;279;353;298;374;326;361;349
FvH4_4g06350;6;3;16;7;9;3;2;6;2;1;3
FvH4_1g18890;374;342;344;231;331;275;193;234;245;230;274
FvH4_1g28200;658;633;620;709;990;1085;871;908;1069;961;1072
FvH4_6g08630;7;6;1;3;1;7;7;8;4;1;1
FvH4_1g04250;1611;1469;1574;967;1259;4371;2823;3316;1563;1452;1862
FvH4_4g18330;450;398;431;568;697;273;192;264;463;419;561
FvH4_1g28201;1;0;0;0;0;0;0;0;0;0;0
FvH4_2g41070;12;14;6;2;8;22;6;16;35;16;7
FvH4_3g18500;4140;3810;3753;1535;1893;1422;967;1120;1029;984;1064
FvH4_6g45600;0;0;1;0;0;0;0;0;1;0;1
FvH4_6g21630;2126;1972;1924;2105;2741;1587;1287;1386;1853;1767;2018
