seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb7	1	50000	50000	*	267	396	0.674242424242424	CG
Fvb7	50001	100000	50000	*	0	0	0	CG
Fvb7	100001	150000	50000	*	0	0	0	CG
Fvb7	150001	200000	50000	*	0	0	0	CG
Fvb7	200001	250000	50000	*	0	0	0	CG
Fvb7	250001	300000	50000	*	0	0	0	CG
Fvb7	300001	350000	50000	*	0	0	0	CG
Fvb7	350001	400000	50000	*	0	0	0	CG
Fvb7	400001	450000	50000	*	0	0	0	CG
Fvb7	450001	500000	50000	*	0	0	0	CG
Fvb7	500001	550000	50000	*	0	0	0	CG
Fvb7	550001	600000	50000	*	8	8	1	CG
Fvb7	600001	650000	50000	*	19694	28633	0.687807774246499	CG
Fvb7	650001	700000	50000	*	18269	29014	0.629661542703522	CG
Fvb7	700001	750000	50000	*	19751	27640	0.714580318379161	CG
Fvb7	750001	800000	50000	*	16773	34914	0.480409004983674	CG
Fvb7	800001	850000	50000	*	28996	37196	0.779546187762125	CG
Fvb7	850001	900000	50000	*	11218	24463	0.458570085435147	CG
Fvb7	900001	950000	50000	*	28151	34544	0.814931681333951	CG
Fvb7	950001	1000000	50000	*	20668	25361	0.814952091794488	CG
Fvb7	1000001	1050000	50000	*	20527	31723	0.64706994924818	CG
Fvb7	1050001	1100000	50000	*	18459	28555	0.646436701103134	CG
Fvb7	1100001	1150000	50000	*	25013	38745	0.645580074848368	CG
Fvb7	1150001	1200000	50000	*	16992	30201	0.5626303764776	CG
Fvb7	1200001	1250000	50000	*	17110	26101	0.655530439446764	CG
Fvb7	1250001	1300000	50000	*	22870	27788	0.823017129696272	CG
Fvb7	1300001	1350000	50000	*	19568	39793	0.491744779232528	CG
Fvb7	1350001	1400000	50000	*	18262	30738	0.594118029800247	CG
Fvb7	1400001	1450000	50000	*	16843	34321	0.490749104047085	CG
Fvb7	1450001	1500000	50000	*	15586	31093	0.501270382401184	CG
Fvb7	1500001	1550000	50000	*	16585	28856	0.574750485167729	CG
Fvb7	1550001	1600000	50000	*	17566	36729	0.478259685806856	CG
Fvb7	1600001	1650000	50000	*	20526	38418	0.534280805872247	CG
Fvb7	1650001	1700000	50000	*	19695	32934	0.598014210238659	CG
Fvb7	1700001	1750000	50000	*	27151	40080	0.677420159680639	CG
Fvb7	1750001	1800000	50000	*	14356	31745	0.452228697432667	CG
Fvb7	1800001	1850000	50000	*	18997	32989	0.575858619539847	CG
Fvb7	1850001	1900000	50000	*	18934	34964	0.541528429241506	CG
Fvb7	1900001	1950000	50000	*	20933	29526	0.708968366863104	CG
Fvb7	1950001	2000000	50000	*	15037	30725	0.489406021155411	CG
Fvb7	2000001	2050000	50000	*	16326	24232	0.67373720699901	CG
Fvb7	2050001	2100000	50000	*	13346	25800	0.517286821705426	CG
Fvb7	2100001	2150000	50000	*	20441	29000	0.704862068965517	CG
Fvb7	2150001	2200000	50000	*	10749	36785	0.292211499252413	CG
Fvb7	2200001	2250000	50000	*	27554	31932	0.862896154327947	CG
Fvb7	2250001	2300000	50000	*	25852	37899	0.682128816063748	CG
Fvb7	2300001	2350000	50000	*	21865	45224	0.483482221829117	CG
Fvb7	2350001	2400000	50000	*	8993	31845	0.28239912074109	CG
Fvb7	2400001	2450000	50000	*	20132	30648	0.656878099712869	CG
Fvb7	2450001	2500000	50000	*	22980	32231	0.71297818870032	CG
Fvb7	2500001	2550000	50000	*	17770	28659	0.620049548134966	CG
Fvb7	2550001	2600000	50000	*	26351	33147	0.794973904124053	CG
Fvb7	2600001	2650000	50000	*	16018	36660	0.436933987997818	CG
Fvb7	2650001	2700000	50000	*	23008	35830	0.642143455205135	CG
Fvb7	2700001	2750000	50000	*	21534	32947	0.653595167997086	CG
Fvb7	2750001	2800000	50000	*	20474	26523	0.771933793311465	CG
Fvb7	2800001	2850000	50000	*	16484	35675	0.462060266292922	CG
Fvb7	2850001	2900000	50000	*	15938	22279	0.715382198482876	CG
Fvb7	2900001	2950000	50000	*	25465	36787	0.69222823279963	CG
Fvb7	2950001	3000000	50000	*	28552	39992	0.713942788557712	CG
Fvb7	3000001	3050000	50000	*	9225	27457	0.335979895837127	CG
Fvb7	3050001	3100000	50000	*	18051	25146	0.717847769028871	CG
Fvb7	3100001	3150000	50000	*	18520	33322	0.555788968249205	CG
Fvb7	3150001	3200000	50000	*	12140	32256	0.376364087301587	CG
Fvb7	3200001	3250000	50000	*	19774	28892	0.684410909594351	CG
Fvb7	3250001	3300000	50000	*	24627	35054	0.702544645404233	CG
Fvb7	3300001	3350000	50000	*	23776	30649	0.775751248001566	CG
Fvb7	3350001	3400000	50000	*	23761	39211	0.605977914360766	CG
Fvb7	3400001	3450000	50000	*	20979	29094	0.721076510620747	CG
Fvb7	3450001	3500000	50000	*	19353	34383	0.562865369514004	CG
Fvb7	3500001	3550000	50000	*	15976	34157	0.467722575167608	CG
Fvb7	3550001	3600000	50000	*	24946	38041	0.655766147051865	CG
Fvb7	3600001	3650000	50000	*	15127	31347	0.482566114779724	CG
Fvb7	3650001	3700000	50000	*	21880	39384	0.555555555555556	CG
Fvb7	3700001	3750000	50000	*	28848	48418	0.595811475071255	CG
Fvb7	3750001	3800000	50000	*	20612	27288	0.755350337144532	CG
Fvb7	3800001	3850000	50000	*	24501	31433	0.779467438679095	CG
Fvb7	3850001	3900000	50000	*	17528	29105	0.602233293248583	CG
Fvb7	3900001	3950000	50000	*	27180	37102	0.732575063338904	CG
Fvb7	3950001	4000000	50000	*	14712	31764	0.463165848129958	CG
Fvb7	4000001	4050000	50000	*	25019	27503	0.909682580082173	CG
Fvb7	4050001	4100000	50000	*	33501	36978	0.905971117962031	CG
Fvb7	4100001	4150000	50000	*	13154	15959	0.824237107588195	CG
Fvb7	4150001	4200000	50000	*	25248	29567	0.853924983934792	CG
Fvb7	4200001	4250000	50000	*	19527	28013	0.697069217863135	CG
Fvb7	4250001	4300000	50000	*	21676	30479	0.71117818826077	CG
Fvb7	4300001	4350000	50000	*	14636	18821	0.777641995643164	CG
Fvb7	4350001	4400000	50000	*	16757	31279	0.535726845487388	CG
Fvb7	4400001	4450000	50000	*	21118	35566	0.593769330259236	CG
Fvb7	4450001	4500000	50000	*	21324	25480	0.836891679748823	CG
Fvb7	4500001	4550000	50000	*	19640	26701	0.735552975543987	CG
Fvb7	4550001	4600000	50000	*	26864	35267	0.761731930700088	CG
Fvb7	4600001	4650000	50000	*	15898	39097	0.406629664680154	CG
Fvb7	4650001	4700000	50000	*	18380	33993	0.540699555790898	CG
Fvb7	4700001	4750000	50000	*	30683	37257	0.823549936924605	CG
Fvb7	4750001	4800000	50000	*	9475	21916	0.432332542434751	CG
Fvb7	4800001	4850000	50000	*	9097	24380	0.373133716160788	CG
Fvb7	4850001	4900000	50000	*	16756	30639	0.546884689448089	CG
Fvb7	4900001	4950000	50000	*	17618	32449	0.54294431261364	CG
Fvb7	4950001	5000000	50000	*	14747	20974	0.703108610660818	CG
Fvb7	5000001	5050000	50000	*	11696	35809	0.326621798989081	CG
Fvb7	5050001	5100000	50000	*	16255	25146	0.646424878708343	CG
Fvb7	5100001	5150000	50000	*	7707	31865	0.241864114231916	CG
Fvb7	5150001	5200000	50000	*	9853	26673	0.369399767555206	CG
Fvb7	5200001	5250000	50000	*	13212	26873	0.491645889926692	CG
Fvb7	5250001	5300000	50000	*	12935	33383	0.387472665728065	CG
Fvb7	5300001	5350000	50000	*	15403	27143	0.567475960652839	CG
Fvb7	5350001	5400000	50000	*	16717	26720	0.62563622754491	CG
Fvb7	5400001	5450000	50000	*	28959	40881	0.708373082850224	CG
Fvb7	5450001	5500000	50000	*	28212	49135	0.574173196295919	CG
Fvb7	5500001	5550000	50000	*	31747	44231	0.717754516063394	CG
Fvb7	5550001	5600000	50000	*	33803	47052	0.718417920598487	CG
Fvb7	5600001	5650000	50000	*	14868	25446	0.584296156566847	CG
Fvb7	5650001	5700000	50000	*	7785	11143	0.698644889168088	CG
Fvb7	5700001	5750000	50000	*	11648	27543	0.422902370838326	CG
Fvb7	5750001	5800000	50000	*	16784	34128	0.491795593061416	CG
