seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb1	1	50000	50000	*	4620	56421	0.0818844047429149	CHG
Fvb1	50001	100000	50000	*	4920	63555	0.0774132641019589	CHG
Fvb1	100001	150000	50000	*	656	68266	0.00960946884246917	CHG
Fvb1	150001	200000	50000	*	4674	61566	0.0759185264594094	CHG
Fvb1	200001	250000	50000	*	2381	62658	0.037999936161384	CHG
Fvb1	250001	300000	50000	*	8448	62518	0.135129082824147	CHG
Fvb1	300001	350000	50000	*	1008	66870	0.0150740242261104	CHG
Fvb1	350001	400000	50000	*	3641	74256	0.0490330747683689	CHG
Fvb1	400001	450000	50000	*	2683	61395	0.0437006270868963	CHG
Fvb1	450001	500000	50000	*	4918	64495	0.0762539731762152	CHG
Fvb1	500001	550000	50000	*	979	51883	0.0188693791800783	CHG
Fvb1	550001	600000	50000	*	1086	60934	0.0178225621163882	CHG
Fvb1	600001	650000	50000	*	892	44102	0.0202258400979547	CHG
Fvb1	650001	700000	50000	*	1051	27219	0.0386127337521584	CHG
Fvb1	700001	750000	50000	*	6621	58762	0.112674857901365	CHG
Fvb1	750001	800000	50000	*	9372	57814	0.162106064275089	CHG
Fvb1	800001	850000	50000	*	6959	59386	0.117182500926144	CHG
Fvb1	850001	900000	50000	*	2790	62597	0.0445708260779271	CHG
Fvb1	900001	950000	50000	*	444	63928	0.00694531347766237	CHG
Fvb1	950001	1000000	50000	*	3638	57801	0.062940087541738	CHG
Fvb1	1000001	1050000	50000	*	2200	57958	0.037958521688119	CHG
Fvb1	1050001	1100000	50000	*	1708	59172	0.0288650037179747	CHG
Fvb1	1100001	1150000	50000	*	2748	44879	0.0612313108580851	CHG
Fvb1	1150001	1200000	50000	*	1685	56096	0.0300377923559612	CHG
Fvb1	1200001	1250000	50000	*	431	19072	0.0225985738255034	CHG
Fvb1	1250001	1300000	50000	*	877	1196	0.733277591973244	CHG
Fvb1	1300001	1350000	50000	*	589	17196	0.0342521516631775	CHG
Fvb1	1350001	1400000	50000	*	1187	47614	0.0249296425421095	CHG
Fvb1	1400001	1450000	50000	*	2864	56825	0.0504003519577651	CHG
Fvb1	1450001	1500000	50000	*	1743	67168	0.0259498570747975	CHG
Fvb1	1500001	1550000	50000	*	4880	54850	0.0889699179580675	CHG
Fvb1	1550001	1600000	50000	*	3801	59235	0.064168143833882	CHG
Fvb1	1600001	1650000	50000	*	2730	52919	0.051588276422457	CHG
Fvb1	1650001	1700000	50000	*	9178	63508	0.14451722617623	CHG
Fvb1	1700001	1750000	50000	*	4727	57734	0.0818754979734645	CHG
Fvb1	1750001	1800000	50000	*	994	63328	0.0156960586154624	CHG
Fvb1	1800001	1850000	50000	*	976	66019	0.0147836228964389	CHG
Fvb1	1850001	1900000	50000	*	3802	68500	0.0555036496350365	CHG
Fvb1	1900001	1950000	50000	*	1613	65116	0.0247711775907611	CHG
Fvb1	1950001	2000000	50000	*	2638	65281	0.0404099201911735	CHG
Fvb1	2000001	2050000	50000	*	3496	65018	0.0537697253068381	CHG
Fvb1	2050001	2100000	50000	*	2586	56349	0.045892562423468	CHG
Fvb1	2100001	2150000	50000	*	5149	60297	0.0853939665323316	CHG
Fvb1	2150001	2200000	50000	*	1315	56736	0.0231775239706712	CHG
Fvb1	2200001	2250000	50000	*	2396	67162	0.0356749352312319	CHG
Fvb1	2250001	2300000	50000	*	2476	46414	0.0533459731977421	CHG
Fvb1	2300001	2350000	50000	*	1823	68569	0.0265863582668553	CHG
Fvb1	2350001	2400000	50000	*	2138	55347	0.0386290133159882	CHG
Fvb1	2400001	2450000	50000	*	2969	38134	0.0778570304714953	CHG
Fvb1	2450001	2500000	50000	*	6590	54170	0.121654052058335	CHG
Fvb1	2500001	2550000	50000	*	2223	59618	0.0372873964238988	CHG
