seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb1	1	50000	50000	*	5798	13478	0.430182519661671	CG
Fvb1	50001	100000	50000	*	3788	13634	0.277834824702949	CG
Fvb1	100001	150000	50000	*	3760	18551	0.202684491402081	CG
Fvb1	150001	200000	50000	*	4400	17529	0.251012607678704	CG
Fvb1	200001	250000	50000	*	3840	16804	0.228517019757201	CG
Fvb1	250001	300000	50000	*	9418	16279	0.578536765157565	CG
Fvb1	300001	350000	50000	*	4624	15677	0.294954391784142	CG
Fvb1	350001	400000	50000	*	4481	19881	0.2253910769076	CG
Fvb1	400001	450000	50000	*	5261	15389	0.341867567743193	CG
Fvb1	450001	500000	50000	*	4914	12021	0.40878462690292	CG
Fvb1	500001	550000	50000	*	2815	11978	0.235014192686592	CG
Fvb1	550001	600000	50000	*	4314	14561	0.296270860517822	CG
Fvb1	600001	650000	50000	*	2768	9543	0.290055538090747	CG
Fvb1	650001	700000	50000	*	1273	7851	0.162144949687938	CG
Fvb1	700001	750000	50000	*	6538	18815	0.347488705819825	CG
Fvb1	750001	800000	50000	*	10439	18019	0.579332926355514	CG
Fvb1	800001	850000	50000	*	7050	13741	0.513063095844553	CG
Fvb1	850001	900000	50000	*	3465	16330	0.212186160440906	CG
Fvb1	900001	950000	50000	*	3196	14652	0.218127218127218	CG
Fvb1	950001	1000000	50000	*	3621	14728	0.245858229223248	CG
Fvb1	1000001	1050000	50000	*	3024	17895	0.168985750209556	CG
Fvb1	1050001	1100000	50000	*	3230	14540	0.222145804676754	CG
Fvb1	1100001	1150000	50000	*	2552	8548	0.29854936827328	CG
Fvb1	1150001	1200000	50000	*	3913	12108	0.323174760488933	CG
Fvb1	1200001	1250000	50000	*	927	6376	0.14538895859473	CG
Fvb1	1250001	1300000	50000	*	300	354	0.847457627118644	CG
Fvb1	1300001	1350000	50000	*	1051	4593	0.22882647507076	CG
Fvb1	1350001	1400000	50000	*	4066	12442	0.326796334994374	CG
Fvb1	1400001	1450000	50000	*	4699	14679	0.320117174194427	CG
Fvb1	1450001	1500000	50000	*	3818	16954	0.225197593488262	CG
Fvb1	1500001	1550000	50000	*	4076	17325	0.235266955266955	CG
Fvb1	1550001	1600000	50000	*	5058	17498	0.289061607040805	CG
Fvb1	1600001	1650000	50000	*	3483	13777	0.252812658779125	CG
Fvb1	1650001	1700000	50000	*	3269	15959	0.204837395826806	CG
Fvb1	1700001	1750000	50000	*	4345	16179	0.268558007293405	CG
Fvb1	1750001	1800000	50000	*	3180	16052	0.198106154996262	CG
Fvb1	1800001	1850000	50000	*	3739	14091	0.265346675182741	CG
Fvb1	1850001	1900000	50000	*	4788	18903	0.253293128074909	CG
Fvb1	1900001	1950000	50000	*	3643	18396	0.198032180908893	CG
Fvb1	1950001	2000000	50000	*	3640	17223	0.211345294083493	CG
Fvb1	2000001	2050000	50000	*	3607	14248	0.253158338012353	CG
Fvb1	2050001	2100000	50000	*	3611	16596	0.217582550012051	CG
Fvb1	2100001	2150000	50000	*	4858	15841	0.306672558550597	CG
Fvb1	2150001	2200000	50000	*	1916	20969	0.091372979159712	CG
Fvb1	2200001	2250000	50000	*	5120	15828	0.323477381854941	CG
Fvb1	2250001	2300000	50000	*	4927	12680	0.388564668769716	CG
Fvb1	2300001	2350000	50000	*	5491	18013	0.304835396657969	CG
Fvb1	2350001	2400000	50000	*	2383	14260	0.16711079943899	CG
Fvb1	2400001	2450000	50000	*	2982	9663	0.308599813722446	CG
Fvb1	2450001	2500000	50000	*	6938	14833	0.467740848108946	CG
Fvb1	2500001	2550000	50000	*	3231	18949	0.170510317167133	CG
Fvb1	2550001	2600000	50000	*	7992	13305	0.600676437429538	CG
Fvb1	2600001	2650000	50000	*	5834	13760	0.423982558139535	CG
Fvb1	2650001	2700000	50000	*	4131	20275	0.203748458692972	CG
Fvb1	2700001	2750000	50000	*	4007	17532	0.228553502167465	CG
Fvb1	2750001	2800000	50000	*	2858	17714	0.161341311956644	CG
