seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb2	1	50000	50000	*	2163	27490	0.0786831575118225	CHH
Fvb2	50001	100000	50000	*	3207	54993	0.0583165130107468	CHH
Fvb2	100001	150000	50000	*	4849	46993	0.103185580831188	CHH
Fvb2	150001	200000	50000	*	6260	92121	0.0679541038416865	CHH
Fvb2	200001	250000	50000	*	3895	85484	0.0455640821674231	CHH
Fvb2	250001	300000	50000	*	5283	91667	0.0576325176999356	CHH
Fvb2	300001	350000	50000	*	4553	75600	0.0602248677248677	CHH
Fvb2	350001	400000	50000	*	5352	95825	0.0558518132011479	CHH
Fvb2	400001	450000	50000	*	3059	90283	0.0338823477288083	CHH
Fvb2	450001	500000	50000	*	7385	80397	0.0918566613182084	CHH
Fvb2	500001	550000	50000	*	1295	78229	0.0165539633639699	CHH
Fvb2	550001	600000	50000	*	1719	107896	0.0159320086008749	CHH
Fvb2	600001	650000	50000	*	3255	81903	0.039742133987766	CHH
Fvb2	650001	700000	50000	*	5114	69760	0.0733084862385321	CHH
Fvb2	700001	750000	50000	*	3642	67735	0.0537683619989666	CHH
Fvb2	750001	800000	50000	*	2735	91337	0.0299440533409243	CHH
Fvb2	800001	850000	50000	*	4044	76672	0.0527441569282137	CHH
Fvb2	850001	900000	50000	*	2558	64945	0.0393871737624144	CHH
Fvb2	900001	950000	50000	*	5282	62850	0.0840413683373111	CHH
Fvb2	950001	1000000	50000	*	1153	49551	0.0232689552178563	CHH
Fvb2	1000001	1050000	50000	*	255	41227	0.00618526693671623	CHH
Fvb2	1050001	1100000	50000	*	2438	41925	0.0581514609421586	CHH
Fvb2	1100001	1150000	50000	*	2634	73758	0.0357113804604246	CHH
Fvb2	1150001	1200000	50000	*	1390	61361	0.022652825084337	CHH
Fvb2	1200001	1250000	50000	*	1638	73426	0.0223081742162177	CHH
Fvb2	1250001	1300000	50000	*	1393	101367	0.0137421448794973	CHH
Fvb2	1300001	1350000	50000	*	2909	87575	0.0332172423636883	CHH
Fvb2	1350001	1400000	50000	*	4184	77276	0.0541435892126922	CHH
Fvb2	1400001	1450000	50000	*	2782	72931	0.0381456445133071	CHH
Fvb2	1450001	1500000	50000	*	3326	90273	0.0368437960408982	CHH
Fvb2	1500001	1550000	50000	*	1940	92085	0.0210674919910952	CHH
Fvb2	1550001	1600000	50000	*	3222	48410	0.0665564965916133	CHH
Fvb2	1600001	1650000	50000	*	3170	67593	0.0468983474620153	CHH
Fvb2	1650001	1700000	50000	*	1229	79580	0.0154435787886404	CHH
Fvb2	1700001	1750000	50000	*	2223	91305	0.0243469689502218	CHH
Fvb2	1750001	1800000	50000	*	2212	65307	0.033870794861194	CHH
Fvb2	1800001	1850000	50000	*	3289	96452	0.034099863144362	CHH
Fvb2	1850001	1900000	50000	*	3478	64373	0.0540288630326379	CHH
Fvb2	1900001	1950000	50000	*	2112	79739	0.0264864119188854	CHH
Fvb2	1950001	2000000	50000	*	2015	37184	0.0541899741824441	CHH
Fvb2	2000001	2050000	50000	*	3501	74104	0.0472444132570442	CHH
Fvb2	2050001	2100000	50000	*	4006	78485	0.0510416003057909	CHH
Fvb2	2100001	2150000	50000	*	3372	75710	0.0445383700964206	CHH
Fvb2	2150001	2200000	50000	*	2434	96417	0.0252445108227802	CHH
Fvb2	2200001	2250000	50000	*	4502	53222	0.0845890797038819	CHH
Fvb2	2250001	2300000	50000	*	2785	76386	0.0364595606524756	CHH
Fvb2	2300001	2350000	50000	*	2503	89872	0.0278507210254584	CHH
Fvb2	2350001	2400000	50000	*	1851	93784	0.0197368421052632	CHH
Fvb2	2400001	2450000	50000	*	1424	100389	0.0141848210461306	CHH
Fvb2	2450001	2500000	50000	*	2533	40039	0.0632633182646919	CHH
Fvb2	2500001	2550000	50000	*	4654	68301	0.0681395587180276	CHH
Fvb2	2550001	2600000	50000	*	4932	90831	0.0542986425339367	CHH
Fvb2	2600001	2650000	50000	*	4947	83179	0.0594741461186117	CHH
Fvb2	2650001	2700000	50000	*	136	2837	0.0479379626365879	CHH
Fvb2	2700001	2750000	50000	*	683	13626	0.0501247614853956	CHH
Fvb2	2750001	2800000	50000	*	641	10751	0.0596223607106316	CHH
Fvb2	2800001	2850000	50000	*	3610	92244	0.0391353367156671	CHH
Fvb2	2850001	2900000	50000	*	3893	99916	0.0389627286921014	CHH
Fvb2	2900001	2950000	50000	*	2839	97228	0.0291994075780639	CHH
Fvb2	2950001	3000000	50000	*	2183	89774	0.0243166172834005	CHH
Fvb2	3000001	3050000	50000	*	4077	94646	0.0430763053906134	CHH
Fvb2	3050001	3100000	50000	*	4531	91737	0.049391194392666	CHH
Fvb2	3100001	3150000	50000	*	2669	92939	0.0287177611121273	CHH
Fvb2	3150001	3200000	50000	*	5663	87334	0.0648430164655232	CHH
Fvb2	3200001	3250000	50000	*	2754	92389	0.0298087434651311	CHH
Fvb2	3250001	3300000	50000	*	1745	101911	0.0171227836053027	CHH
Fvb2	3300001	3350000	50000	*	3377	94328	0.0358006106352303	CHH
Fvb2	3350001	3400000	50000	*	1683	92674	0.0181604333470013	CHH
Fvb2	3400001	3450000	50000	*	2923	96563	0.0302703934219111	CHH
Fvb2	3450001	3500000	50000	*	4025	78122	0.0515219784439723	CHH
Fvb2	3500001	3550000	50000	*	3136	98196	0.031936127744511	CHH
Fvb2	3550001	3600000	50000	*	4131	74411	0.0555159855397723	CHH
Fvb2	3600001	3650000	50000	*	4835	89715	0.0538928830184473	CHH
Fvb2	3650001	3700000	50000	*	3165	97253	0.0325439832190267	CHH
Fvb2	3700001	3750000	50000	*	1078	65693	0.0164096631300139	CHH
Fvb2	3750001	3800000	50000	*	300	15503	0.0193510933367735	CHH
Fvb2	3800001	3850000	50000	*	283	5726	0.0494236814530213	CHH
Fvb2	3850001	3900000	50000	*	3562	67549	0.0527320907785459	CHH
Fvb2	3900001	3950000	50000	*	5910	72042	0.0820354793037395	CHH
Fvb2	3950001	4000000	50000	*	3070	47308	0.0648938868690285	CHH
Fvb2	4000001	4050000	50000	*	1582	101386	0.0156037322707277	CHH
Fvb2	4050001	4100000	50000	*	2965	71479	0.0414807146154815	CHH
Fvb2	4100001	4150000	50000	*	4447	99992	0.0444735578846308	CHH
Fvb2	4150001	4200000	50000	*	3520	93678	0.0375755246696129	CHH
Fvb2	4200001	4250000	50000	*	1728	54662	0.0316124547217445	CHH
Fvb2	4250001	4300000	50000	*	2443	46428	0.0526191091582666	CHH
Fvb2	4300001	4350000	50000	*	2378	102278	0.0232503568704902	CHH
Fvb2	4350001	4400000	50000	*	3587	93769	0.0382535806076635	CHH
Fvb2	4400001	4450000	50000	*	4942	89438	0.0552561551018583	CHH
Fvb2	4450001	4500000	50000	*	3982	91349	0.0435910628468839	CHH
Fvb2	4500001	4550000	50000	*	4082	80562	0.0506690499242819	CHH
Fvb2	4550001	4600000	50000	*	5906	95451	0.0618746791547496	CHH
Fvb2	4600001	4650000	50000	*	3560	103788	0.0343006898678075	CHH
Fvb2	4650001	4700000	50000	*	3156	77298	0.0408289994566483	CHH
Fvb2	4700001	4750000	50000	*	1995	96145	0.0207499089916272	CHH
Fvb2	4750001	4800000	50000	*	3261	45348	0.0719105583487695	CHH
Fvb2	4800001	4850000	50000	*	3768	64778	0.0581678965080737	CHH
Fvb2	4850001	4900000	50000	*	4368	86544	0.050471436494731	CHH
Fvb2	4900001	4950000	50000	*	2695	100023	0.0269438029253272	CHH
Fvb2	4950001	5000000	50000	*	3744	74142	0.0504976936149551	CHH
Fvb2	5000001	5050000	50000	*	4188	94736	0.0442070596183077	CHH
Fvb2	5050001	5100000	50000	*	3766	89826	0.0419255004119075	CHH
Fvb2	5100001	5150000	50000	*	4211	173346	0.0242924555513251	CHH
Fvb2	5150001	5200000	50000	*	1693	103176	0.0164088547724277	CHH
Fvb2	5200001	5250000	50000	*	4382	76847	0.0570223951488022	CHH
Fvb2	5250001	5300000	50000	*	4021	87552	0.0459269919590643	CHH
Fvb2	5300001	5350000	50000	*	7420	77900	0.0952503209242619	CHH
Fvb2	5350001	5400000	50000	*	3115	53755	0.0579480978513627	CHH
Fvb2	5400001	5450000	50000	*	4599	85427	0.0538354384445199	CHH
Fvb2	5450001	5500000	50000	*	5251	85128	0.061683582370078	CHH
Fvb2	5500001	5550000	50000	*	3603	76196	0.0472859467688593	CHH
Fvb2	5550001	5600000	50000	*	4303	89542	0.0480556610305778	CHH
Fvb2	5600001	5650000	50000	*	3754	86996	0.0431514092601959	CHH
Fvb2	5650001	5700000	50000	*	3091	99772	0.0309806358497374	CHH
Fvb2	5700001	5750000	50000	*	2827	81174	0.0348264222534309	CHH
Fvb2	5750001	5800000	50000	*	2532	81660	0.0310066127847171	CHH
Fvb2	5800001	5850000	50000	*	3947	75529	0.0522580730580307	CHH
Fvb2	5850001	5900000	50000	*	3262	96403	0.0338371212514133	CHH
Fvb2	5900001	5950000	50000	*	5446	77286	0.0704655435654582	CHH
Fvb2	5950001	6000000	50000	*	3446	69269	0.0497480835583017	CHH
Fvb2	6000001	6050000	50000	*	2775	97334	0.0285100786980911	CHH
Fvb2	6050001	6100000	50000	*	2163	115915	0.0186602251649916	CHH
Fvb2	6100001	6150000	50000	*	4541	105222	0.0431563741422896	CHH
Fvb2	6150001	6200000	50000	*	6245	74296	0.0840556692150318	CHH
Fvb2	6200001	6250000	50000	*	3739	39633	0.0943405747735473	CHH
Fvb2	6250001	6300000	50000	*	3475	80317	0.0432660582442073	CHH
Fvb2	6300001	6350000	50000	*	6296	76050	0.0827876397107166	CHH
Fvb2	6350001	6400000	50000	*	5141	71758	0.0716435798099167	CHH
Fvb2	6400001	6450000	50000	*	45	1944	0.0231481481481481	CHH
Fvb2	6450001	6500000	50000	*	5134	57246	0.0896831219648534	CHH
Fvb2	6500001	6550000	50000	*	4673	46178	0.10119537442072	CHH
Fvb2	6550001	6600000	50000	*	4356	45539	0.0956542743582424	CHH
Fvb2	6600001	6650000	50000	*	4240	44587	0.0950949828425326	CHH
Fvb2	6650001	6700000	50000	*	5273	84123	0.0626820251298694	CHH
Fvb2	6700001	6750000	50000	*	3862	102723	0.0375962540034851	CHH
Fvb2	6750001	6800000	50000	*	2198	95878	0.0229249671457477	CHH
Fvb2	6800001	6850000	50000	*	5348	88071	0.0607237342598585	CHH
Fvb2	6850001	6900000	50000	*	1624	54683	0.0296984437576578	CHH
Fvb2	6900001	6950000	50000	*	2201	63795	0.0345011364527001	CHH
Fvb2	6950001	7000000	50000	*	5570	71322	0.0780965200078517	CHH
Fvb2	7000001	7050000	50000	*	5535	64775	0.0854496333461984	CHH
Fvb2	7050001	7100000	50000	*	1562	43166	0.0361858870407265	CHH
Fvb2	7100001	7150000	50000	*	6958	81552	0.0853197959584069	CHH
Fvb2	7150001	7200000	50000	*	3009	90755	0.0331551980607129	CHH
Fvb2	7200001	7250000	50000	*	3097	82502	0.0375384839155414	CHH
Fvb2	7250001	7300000	50000	*	2089	97380	0.0214520435407681	CHH
Fvb2	7300001	7350000	50000	*	4737	73688	0.0642845510802302	CHH
Fvb2	7350001	7400000	50000	*	4326	89598	0.0482823277305297	CHH
Fvb2	7400001	7450000	50000	*	5525	84257	0.0655731867975361	CHH
Fvb2	7450001	7500000	50000	*	5555	79271	0.0700760681712101	CHH
Fvb2	7500001	7550000	50000	*	5312	73097	0.0726705610353366	CHH
Fvb2	7550001	7600000	50000	*	3659	97096	0.0376843536293977	CHH
Fvb2	7600001	7650000	50000	*	2422	91093	0.0265882120470289	CHH
Fvb2	7650001	7700000	50000	*	2894	84222	0.0343615682363278	CHH
Fvb2	7700001	7750000	50000	*	3483	86634	0.0402036152088095	CHH
Fvb2	7750001	7800000	50000	*	4139	91567	0.04520187403759	CHH
Fvb2	7800001	7850000	50000	*	4339	67084	0.064680102557987	CHH
Fvb2	7850001	7900000	50000	*	4865	72512	0.0670923433362754	CHH
Fvb2	7900001	7950000	50000	*	4897	83277	0.0588037513359031	CHH
Fvb2	7950001	8000000	50000	*	3836	71375	0.0537443082311734	CHH
Fvb2	8000001	8050000	50000	*	5263	66631	0.078987258183128	CHH
Fvb2	8050001	8100000	50000	*	4931	82304	0.059912033437014	CHH
Fvb2	8100001	8150000	50000	*	5121	83121	0.0616089796802252	CHH
Fvb2	8150001	8200000	50000	*	4532	76715	0.0590758000391058	CHH
Fvb2	8200001	8250000	50000	*	5288	61651	0.0857731423658984	CHH
Fvb2	8250001	8300000	50000	*	3800	67511	0.0562871235798611	CHH
Fvb2	8300001	8350000	50000	*	6176	72805	0.0848293386443239	CHH
Fvb2	8350001	8400000	50000	*	4080	64668	0.0630914826498423	CHH
Fvb2	8400001	8450000	50000	*	2162	102472	0.0210984464048716	CHH
Fvb2	8450001	8500000	50000	*	4069	86800	0.0468778801843318	CHH
Fvb2	8500001	8550000	50000	*	3456	92742	0.0372646697289254	CHH
Fvb2	8550001	8600000	50000	*	2575	97726	0.0263491803614187	CHH
Fvb2	8600001	8650000	50000	*	3155	83943	0.037585027935623	CHH
Fvb2	8650001	8700000	50000	*	2965	92608	0.0320166724257084	CHH
Fvb2	8700001	8750000	50000	*	2683	55755	0.0481212447314142	CHH
Fvb2	8750001	8800000	50000	*	2637	61258	0.0430474387018838	CHH
Fvb2	8800001	8850000	50000	*	2767	87264	0.0317083791712505	CHH
Fvb2	8850001	8900000	50000	*	2910	88611	0.0328401665707418	CHH
Fvb2	8900001	8950000	50000	*	1957	99506	0.019667155749402	CHH
Fvb2	8950001	9000000	50000	*	1015	103222	0.00983317509833175	CHH
Fvb2	9000001	9050000	50000	*	3375	87868	0.0384098875586106	CHH
Fvb2	9050001	9100000	50000	*	4324	91070	0.0474799604699682	CHH
Fvb2	9100001	9150000	50000	*	3559	69607	0.0511299150947462	CHH
Fvb2	9150001	9200000	50000	*	4601	74748	0.0615534863809065	CHH
Fvb2	9200001	9250000	50000	*	3821	75566	0.0505650689463515	CHH
Fvb2	9250001	9300000	50000	*	1018	99548	0.0102262225258167	CHH
Fvb2	9300001	9350000	50000	*	3929	85261	0.0460820304711416	CHH
Fvb2	9350001	9400000	50000	*	4003	94131	0.0425258416462164	CHH
Fvb2	9400001	9450000	50000	*	2815	94924	0.0296553031899204	CHH
Fvb2	9450001	9500000	50000	*	5199	78687	0.0660719051431621	CHH
Fvb2	9500001	9550000	50000	*	1817	93613	0.0194096973710916	CHH
Fvb2	9550001	9600000	50000	*	1657	91940	0.0180226234500761	CHH
Fvb2	9600001	9650000	50000	*	2742	77133	0.0355489868149819	CHH
Fvb2	9650001	9700000	50000	*	1365	99724	0.0136877782680197	CHH
Fvb2	9700001	9750000	50000	*	3848	91339	0.0421287730323301	CHH
Fvb2	9750001	9800000	50000	*	3873	86944	0.0445459146117041	CHH
Fvb2	9800001	9850000	50000	*	5110	80120	0.0637793310034948	CHH
Fvb2	9850001	9900000	50000	*	3456	92601	0.0373214112158616	CHH
Fvb2	9900001	9950000	50000	*	6209	71687	0.0866126354848159	CHH
Fvb2	9950001	10000000	50000	*	4232	87133	0.0485694283451735	CHH
Fvb2	10000001	10050000	50000	*	4614	68274	0.0675806309869057	CHH
Fvb2	10050001	10100000	50000	*	2837	82133	0.0345415362887025	CHH
Fvb2	10100001	10150000	50000	*	3029	84484	0.0358529425690072	CHH
Fvb2	10150001	10200000	50000	*	2524	81455	0.0309864342274876	CHH
Fvb2	10200001	10250000	50000	*	1003	78119	0.0128393860648498	CHH
Fvb2	10250001	10300000	50000	*	3567	63311	0.0563409202192352	CHH
Fvb2	10300001	10350000	50000	*	2813	83219	0.0338023768610534	CHH
Fvb2	10350001	10400000	50000	*	4814	74553	0.064571512883452	CHH
Fvb2	10400001	10450000	50000	*	2059	80864	0.025462504946577	CHH
Fvb2	10450001	10500000	50000	*	2222	63687	0.0348893808783582	CHH
Fvb2	10500001	10550000	50000	*	5373	77827	0.0690377375460958	CHH
