seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb3	1	50000	50000	*	5137	170069	0.0302053872251851	CHH
Fvb3	50001	100000	50000	*	1979	210361	0.00940763734722691	CHH
Fvb3	100001	150000	50000	*	2396	187990	0.0127453587956806	CHH
Fvb3	150001	200000	50000	*	1629	206693	0.00788125384023649	CHH
Fvb3	200001	250000	50000	*	2338	203640	0.0114810449813396	CHH
Fvb3	250001	300000	50000	*	1732	196032	0.0088352921971923	CHH
Fvb3	300001	350000	50000	*	5022	195803	0.0256482280659643	CHH
Fvb3	350001	400000	50000	*	8215	193169	0.0425275277088974	CHH
Fvb3	400001	450000	50000	*	2186	201051	0.0108728631043864	CHH
Fvb3	450001	500000	50000	*	3039	225786	0.0134596476309426	CHH
Fvb3	500001	550000	50000	*	2814	209095	0.0134579975609173	CHH
Fvb3	550001	600000	50000	*	5967	204268	0.0292116239450134	CHH
Fvb3	600001	650000	50000	*	15259	184694	0.0826177352810595	CHH
Fvb3	650001	700000	50000	*	14071	225757	0.0623280784206027	CHH
Fvb3	700001	750000	50000	*	3230	186168	0.0173499205019123	CHH
Fvb3	750001	800000	50000	*	2364	179492	0.0131705034207653	CHH
Fvb3	800001	850000	50000	*	6208	173916	0.035695393178316	CHH
Fvb3	850001	900000	50000	*	1742	205069	0.00849470178330221	CHH
Fvb3	900001	950000	50000	*	2555	174325	0.0146565323390219	CHH
Fvb3	950001	1000000	50000	*	1668	204448	0.00815855376428236	CHH
Fvb3	1000001	1050000	50000	*	2682	172272	0.0155684034550014	CHH
Fvb3	1050001	1100000	50000	*	1765	166250	0.0106165413533835	CHH
Fvb3	1100001	1150000	50000	*	1226	92987	0.0131846387129384	CHH
Fvb3	1150001	1200000	50000	*	2187	212220	0.0103053435114504	CHH
Fvb3	1200001	1250000	50000	*	1380	205499	0.00671536114530971	CHH
Fvb3	1250001	1300000	50000	*	3330	197781	0.0168368043441989	CHH
Fvb3	1300001	1350000	50000	*	5334	208061	0.0256367123103321	CHH
Fvb3	1350001	1400000	50000	*	1535	188537	0.00814163798087378	CHH
Fvb3	1400001	1450000	50000	*	1371	159442	0.00859873809912068	CHH
Fvb3	1450001	1500000	50000	*	1534	105604	0.014525964925571	CHH
Fvb3	1500001	1550000	50000	*	2751	99911	0.027534505710082	CHH
Fvb3	1550001	1600000	50000	*	1405	197006	0.00713176248439134	CHH
Fvb3	1600001	1650000	50000	*	1937	160462	0.0120713938502574	CHH
Fvb3	1650001	1700000	50000	*	4654	159050	0.0292612386042125	CHH
Fvb3	1700001	1750000	50000	*	2972	207806	0.0143018007179773	CHH
Fvb3	1750001	1800000	50000	*	3214	183038	0.0175591953583409	CHH
Fvb3	1800001	1850000	50000	*	3576	198047	0.0180563199644529	CHH
Fvb3	1850001	1900000	50000	*	1419	165784	0.00855933021280703	CHH
Fvb3	1900001	1950000	50000	*	1742	128359	0.0135713117116836	CHH
Fvb3	1950001	2000000	50000	*	2963	180719	0.0163956197190113	CHH
Fvb3	2000001	2050000	50000	*	3043	148935	0.0204317319636083	CHH
Fvb3	2050001	2100000	50000	*	2387	195102	0.0122346259905075	CHH
Fvb3	2100001	2150000	50000	*	3038	186463	0.0162927765830218	CHH
Fvb3	2150001	2200000	50000	*	4764	183972	0.0258952449285761	CHH
Fvb3	2200001	2250000	50000	*	3211	176853	0.0181563219170724	CHH
Fvb3	2250001	2300000	50000	*	2511	170228	0.0147508048029701	CHH
Fvb3	2300001	2350000	50000	*	4288	198337	0.0216197683740301	CHH
Fvb3	2350001	2400000	50000	*	2140	106800	0.0200374531835206	CHH
Fvb3	2400001	2450000	50000	*	17472	160342	0.108967082860386	CHH
Fvb3	2450001	2500000	50000	*	6651	197155	0.0337348786487789	CHH
Fvb3	2500001	2550000	50000	*	3533	177792	0.0198715352771778	CHH
Fvb3	2550001	2600000	50000	*	3443	187515	0.018361197770845	CHH
Fvb3	2600001	2650000	50000	*	1956	204777	0.00955185396797492	CHH
Fvb3	2650001	2700000	50000	*	2613	196939	0.0132680677773321	CHH
Fvb3	2700001	2750000	50000	*	708	104366	0.00678381848494721	CHH
Fvb3	2750001	2800000	50000	*	4135	163042	0.0253615632781737	CHH
Fvb3	2800001	2850000	50000	*	2152	195496	0.0110078978598028	CHH
Fvb3	2850001	2900000	50000	*	2015	196992	0.0102288417803769	CHH
Fvb3	2900001	2950000	50000	*	1537	200610	0.00766163202233189	CHH
Fvb3	2950001	3000000	50000	*	1460	176472	0.00827326714719616	CHH
Fvb3	3000001	3050000	50000	*	1840	191451	0.00961081425534471	CHH
Fvb3	3050001	3100000	50000	*	14866	168681	0.0881308505403691	CHH
Fvb3	3100001	3150000	50000	*	3820	159197	0.0239954270495047	CHH
Fvb3	3150001	3200000	50000	*	2701	158084	0.0170858530907619	CHH
Fvb3	3200001	3250000	50000	*	2522	171039	0.0147451750770292	CHH
Fvb3	3250001	3300000	50000	*	2358	182520	0.0129191321499014	CHH
Fvb3	3300001	3350000	50000	*	2461	124919	0.0197007660964305	CHH
Fvb3	3350001	3400000	50000	*	3642	173825	0.0209521070041709	CHH
Fvb3	3400001	3450000	50000	*	2741	182857	0.0149898554608246	CHH
Fvb3	3450001	3500000	50000	*	3202	185310	0.0172791538503049	CHH
Fvb3	3500001	3550000	50000	*	1787	220288	0.00811210778617083	CHH
Fvb3	3550001	3600000	50000	*	4404	179701	0.0245073761414795	CHH
Fvb3	3600001	3650000	50000	*	2640	188843	0.0139798668735405	CHH
Fvb3	3650001	3700000	50000	*	3581	184243	0.0194362879458107	CHH
Fvb3	3700001	3750000	50000	*	4432	180797	0.0245136810898411	CHH
