seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb3	1	50000	50000	*	15209	21509	0.707099353758892	CG
Fvb3	50001	100000	50000	*	6402	24911	0.256994901850588	CG
Fvb3	100001	150000	50000	*	5588	21027	0.265753554953155	CG
Fvb3	150001	200000	50000	*	6589	22119	0.297888692978887	CG
Fvb3	200001	250000	50000	*	3237	24511	0.13206315531802	CG
Fvb3	250001	300000	50000	*	5388	18690	0.288282504012841	CG
Fvb3	300001	350000	50000	*	5311	21402	0.248154378095505	CG
Fvb3	350001	400000	50000	*	6347	22130	0.286805241753276	CG
Fvb3	400001	450000	50000	*	2567	21372	0.12011042485495	CG
Fvb3	450001	500000	50000	*	6475	27729	0.233510043636626	CG
Fvb3	500001	550000	50000	*	5956	24899	0.239206393831078	CG
Fvb3	550001	600000	50000	*	8607	23888	0.360306430006698	CG
Fvb3	600001	650000	50000	*	12066	22320	0.540591397849462	CG
Fvb3	650001	700000	50000	*	10504	30768	0.34139365574623	CG
Fvb3	700001	750000	50000	*	7392	20183	0.366248823267106	CG
Fvb3	750001	800000	50000	*	6056	15986	0.37883147754285	CG
Fvb3	800001	850000	50000	*	13725	22068	0.621941272430669	CG
Fvb3	850001	900000	50000	*	3740	28437	0.131518795934874	CG
Fvb3	900001	950000	50000	*	4147	15375	0.269723577235772	CG
Fvb3	950001	1000000	50000	*	3090	24180	0.127791563275434	CG
Fvb3	1000001	1050000	50000	*	7266	16441	0.44194392068609	CG
Fvb3	1050001	1100000	50000	*	3224	18812	0.171379970231767	CG
Fvb3	1100001	1150000	50000	*	2473	11843	0.208815333952546	CG
Fvb3	1150001	1200000	50000	*	8089	20498	0.394623865742999	CG
Fvb3	1200001	1250000	50000	*	5596	19423	0.28811203212686	CG
Fvb3	1250001	1300000	50000	*	4835	21001	0.230227132041331	CG
Fvb3	1300001	1350000	50000	*	7043	23204	0.303525254266506	CG
Fvb3	1350001	1400000	50000	*	2507	20254	0.12377801915671	CG
Fvb3	1400001	1450000	50000	*	3170	17225	0.184034833091437	CG
Fvb3	1450001	1500000	50000	*	1272	15059	0.0844677601434358	CG
Fvb3	1500001	1550000	50000	*	4084	9503	0.429759023466274	CG
Fvb3	1550001	1600000	50000	*	3829	23266	0.16457491618671	CG
Fvb3	1600001	1650000	50000	*	4676	17384	0.268982972848596	CG
Fvb3	1650001	1700000	50000	*	3374	17642	0.191248157805237	CG
Fvb3	1700001	1750000	50000	*	3485	22766	0.153079153123078	CG
Fvb3	1750001	1800000	50000	*	5572	15479	0.359971574391111	CG
Fvb3	1800001	1850000	50000	*	6180	16837	0.367048761655877	CG
Fvb3	1850001	1900000	50000	*	2529	13164	0.192114858705561	CG
Fvb3	1900001	1950000	50000	*	3386	12355	0.27405908539053	CG
Fvb3	1950001	2000000	50000	*	3244	18255	0.177704738427828	CG
Fvb3	2000001	2050000	50000	*	5193	14172	0.366426756985605	CG
Fvb3	2050001	2100000	50000	*	2378	20851	0.114047287899861	CG
Fvb3	2100001	2150000	50000	*	5409	21230	0.254780970325012	CG
Fvb3	2150001	2200000	50000	*	4939	22368	0.220806509298999	CG
Fvb3	2200001	2250000	50000	*	3844	19896	0.193204664254121	CG
Fvb3	2250001	2300000	50000	*	6078	17402	0.349270198827721	CG
Fvb3	2300001	2350000	50000	*	5148	24091	0.213689759661284	CG
Fvb3	2350001	2400000	50000	*	2911	7612	0.382422490803994	CG
Fvb3	2400001	2450000	50000	*	16510	20918	0.789272396978679	CG
Fvb3	2450001	2500000	50000	*	6644	18716	0.354990382560376	CG
Fvb3	2500001	2550000	50000	*	5176	16071	0.322070810777176	CG
Fvb3	2550001	2600000	50000	*	7027	19030	0.369259064634787	CG
Fvb3	2600001	2650000	50000	*	4954	20364	0.243272441563543	CG
