seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb5	1	50000	50000	*	6290	110777	0.0567807396842305	CHH
Fvb5	50001	100000	50000	*	2320	112016	0.0207113269532924	CHH
Fvb5	100001	150000	50000	*	1467	161892	0.00906159661996887	CHH
Fvb5	150001	200000	50000	*	1923	137799	0.0139551085276381	CHH
Fvb5	200001	250000	50000	*	1384	142678	0.0097001640056631	CHH
Fvb5	250001	300000	50000	*	894	146737	0.00609253289899616	CHH
Fvb5	300001	350000	50000	*	835	131618	0.0063441170660548	CHH
Fvb5	350001	400000	50000	*	1011	150025	0.00673887685385769	CHH
Fvb5	400001	450000	50000	*	965	139141	0.00693541084223917	CHH
Fvb5	450001	500000	50000	*	917	137980	0.00664589070879838	CHH
Fvb5	500001	550000	50000	*	849	137344	0.0061815587138863	CHH
Fvb5	550001	600000	50000	*	2011	116691	0.0172335484313272	CHH
Fvb5	600001	650000	50000	*	10924	100437	0.108764698268566	CHH
Fvb5	650001	700000	50000	*	1381	132447	0.0104268122343277	CHH
Fvb5	700001	750000	50000	*	1057	125368	0.00843117861017166	CHH
Fvb5	750001	800000	50000	*	2636	152260	0.0173124917903586	CHH
Fvb5	800001	850000	50000	*	1724	134684	0.0128003326304535	CHH
Fvb5	850001	900000	50000	*	1471	113489	0.0129616086140507	CHH
Fvb5	900001	950000	50000	*	1234	131802	0.00936252864144702	CHH
Fvb5	950001	1000000	50000	*	1136	75502	0.0150459590474425	CHH
Fvb5	1000001	1050000	50000	*	2243	50987	0.0439916057034146	CHH
Fvb5	1050001	1100000	50000	*	1976	124697	0.0158464117019656	CHH
Fvb5	1100001	1150000	50000	*	1960	129101	0.0151819118364691	CHH
Fvb5	1150001	1200000	50000	*	1349	127513	0.0105793134817626	CHH
Fvb5	1200001	1250000	50000	*	7918	124554	0.0635708206882156	CHH
Fvb5	1250001	1300000	50000	*	1594	137289	0.0116105441805243	CHH
Fvb5	1300001	1350000	50000	*	1845	125633	0.0146856319597558	CHH
Fvb5	1350001	1400000	50000	*	1219	135731	0.00898099918220598	CHH
Fvb5	1400001	1450000	50000	*	779	127016	0.00613308559551553	CHH
Fvb5	1450001	1500000	50000	*	2199	101179	0.0217337589816069	CHH
Fvb5	1500001	1550000	50000	*	816	121840	0.0066973079448457	CHH
Fvb5	1550001	1600000	50000	*	1353	111761	0.0121061908894874	CHH
Fvb5	1600001	1650000	50000	*	1154	95811	0.0120445460333365	CHH
Fvb5	1650001	1700000	50000	*	1389	98715	0.0140708099073089	CHH
Fvb5	1700001	1750000	50000	*	764	131251	0.00582090803117691	CHH
Fvb5	1750001	1800000	50000	*	1170	134357	0.00870814323034899	CHH
Fvb5	1800001	1850000	50000	*	2877	126552	0.0227337379101081	CHH
Fvb5	1850001	1900000	50000	*	3950	121038	0.0326343792858441	CHH
Fvb5	1900001	1950000	50000	*	1047	136849	0.00765076836513237	CHH
Fvb5	1950001	2000000	50000	*	2435	130923	0.0185987183306218	CHH
Fvb5	2000001	2050000	50000	*	1620	108793	0.014890663921392	CHH
Fvb5	2050001	2100000	50000	*	1385	147309	0.00940200530856906	CHH
Fvb5	2100001	2150000	50000	*	997	104657	0.00952635752983556	CHH
Fvb5	2150001	2200000	50000	*	1263	135164	0.00934420407800894	CHH
Fvb5	2200001	2250000	50000	*	1351	134841	0.0100192078077143	CHH
Fvb5	2250001	2300000	50000	*	1162	94112	0.0123469908194492	CHH
Fvb5	2300001	2350000	50000	*	1530	116915	0.0130864303126203	CHH
Fvb5	2350001	2400000	50000	*	1632	124236	0.013136288998358	CHH
