seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb5	1	50000	50000	*	7906	11553	0.684324417900113	CG
Fvb5	50001	100000	50000	*	2396	11168	0.214541547277937	CG
Fvb5	100001	150000	50000	*	2338	14642	0.159677639666712	CG
Fvb5	150001	200000	50000	*	4011	13981	0.286889349831915	CG
Fvb5	200001	250000	50000	*	2285	12054	0.189563630330181	CG
Fvb5	250001	300000	50000	*	2720	15542	0.175009651267533	CG
Fvb5	300001	350000	50000	*	1222	12630	0.0967537608867775	CG
Fvb5	350001	400000	50000	*	1752	16764	0.104509663564782	CG
Fvb5	400001	450000	50000	*	3623	14643	0.247421976370962	CG
Fvb5	450001	500000	50000	*	1721	12334	0.139532998216313	CG
Fvb5	500001	550000	50000	*	1636	12589	0.129954722376678	CG
Fvb5	550001	600000	50000	*	2779	9417	0.295104598067325	CG
Fvb5	600001	650000	50000	*	9578	13431	0.713126349489986	CG
Fvb5	650001	700000	50000	*	2688	9193	0.29239638855651	CG
Fvb5	700001	750000	50000	*	2238	11668	0.191806650668495	CG
Fvb5	750001	800000	50000	*	5784	14548	0.3975804234259	CG
Fvb5	800001	850000	50000	*	2501	14115	0.177187389302161	CG
Fvb5	850001	900000	50000	*	4049	12031	0.336547252929931	CG
Fvb5	900001	950000	50000	*	2204	13672	0.161205383265067	CG
Fvb5	950001	1000000	50000	*	5976	10181	0.586975739121894	CG
Fvb5	1000001	1050000	50000	*	4938	7090	0.696473906911142	CG
Fvb5	1050001	1100000	50000	*	3020	11614	0.260030997072499	CG
Fvb5	1100001	1150000	50000	*	2323	14644	0.158631521442229	CG
Fvb5	1150001	1200000	50000	*	2845	10775	0.264037122969838	CG
Fvb5	1200001	1250000	50000	*	6878	12440	0.552893890675241	CG
Fvb5	1250001	1300000	50000	*	2064	12995	0.158830319353598	CG
Fvb5	1300001	1350000	50000	*	2530	13103	0.193085552926811	CG
Fvb5	1350001	1400000	50000	*	2279	11645	0.195706311721769	CG
Fvb5	1400001	1450000	50000	*	3935	10232	0.384577795152463	CG
Fvb5	1450001	1500000	50000	*	5111	9544	0.535519698239732	CG
Fvb5	1500001	1550000	50000	*	2365	11256	0.210110163468372	CG
Fvb5	1550001	1600000	50000	*	2701	8500	0.317764705882353	CG
Fvb5	1600001	1650000	50000	*	4119	10842	0.379911455451024	CG
Fvb5	1650001	1700000	50000	*	3733	8671	0.430515511475032	CG
Fvb5	1700001	1750000	50000	*	2702	11638	0.232170476026809	CG
Fvb5	1750001	1800000	50000	*	910	12908	0.0704989154013015	CG
Fvb5	1800001	1850000	50000	*	3585	11944	0.300150703281983	CG
Fvb5	1850001	1900000	50000	*	3833	12612	0.303916904535363	CG
Fvb5	1900001	1950000	50000	*	3833	14276	0.268492574950967	CG
Fvb5	1950001	2000000	50000	*	1929	12716	0.151698647373388	CG
Fvb5	2000001	2050000	50000	*	772	10360	0.0745173745173745	CG
Fvb5	2050001	2100000	50000	*	1872	17072	0.109653233364574	CG
Fvb5	2100001	2150000	50000	*	2033	10267	0.198013051524301	CG
Fvb5	2150001	2200000	50000	*	2372	10629	0.223163044500894	CG
Fvb5	2200001	2250000	50000	*	2028	9777	0.207425590671985	CG
Fvb5	2250001	2300000	50000	*	5099	9225	0.552737127371274	CG
Fvb5	2300001	2350000	50000	*	1610	10628	0.151486639066616	CG
Fvb5	2350001	2400000	50000	*	2431	9932	0.244764397905759	CG
Fvb5	2400001	2450000	50000	*	3973	10501	0.378344919531473	CG
Fvb5	2450001	2500000	50000	*	3441	13785	0.24961915125136	CG
Fvb5	2500001	2550000	50000	*	4659	12506	0.372541180233488	CG
Fvb5	2550001	2600000	50000	*	1147	11562	0.0992042899152396	CG
Fvb5	2600001	2650000	50000	*	3202	14468	0.221316007741222	CG
Fvb5	2650001	2700000	50000	*	1576	15443	0.10205270996568	CG
Fvb5	2700001	2750000	50000	*	3928	12136	0.323665128543177	CG
Fvb5	2750001	2800000	50000	*	5341	11947	0.44705783878798	CG
Fvb5	2800001	2850000	50000	*	14405	17073	0.843729865870087	CG
Fvb5	2850001	2900000	50000	*	2661	9843	0.270344407192929	CG
Fvb5	2900001	2950000	50000	*	3860	14116	0.273448568999717	CG
Fvb5	2950001	3000000	50000	*	2233	10828	0.206224602881419	CG
Fvb5	3000001	3050000	50000	*	2734	15720	0.173918575063613	CG
Fvb5	3050001	3100000	50000	*	3366	10211	0.329644501028303	CG
Fvb5	3100001	3150000	50000	*	2632	12191	0.215896973176934	CG
