seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb2	1	50000	50000	*	4212	53158	0.0792354866624027	CHH
Fvb2	50001	100000	50000	*	2341	39585	0.0591385625868385	CHH
Fvb2	100001	150000	50000	*	3616	35957	0.1005645632283	CHH
Fvb2	150001	200000	50000	*	4807	64287	0.0747740600743541	CHH
Fvb2	200001	250000	50000	*	3170	65310	0.0485377430715051	CHH
Fvb2	250001	300000	50000	*	3404	60012	0.0567219889355462	CHH
Fvb2	300001	350000	50000	*	3157	51259	0.0615891843383601	CHH
Fvb2	350001	400000	50000	*	4409	69435	0.0634982357600634	CHH
Fvb2	400001	450000	50000	*	2268	63585	0.0356687898089172	CHH
Fvb2	450001	500000	50000	*	5680	56859	0.0998962345451028	CHH
Fvb2	500001	550000	50000	*	915	54505	0.016787450692597	CHH
Fvb2	550001	600000	50000	*	182	34507	0.00527429217260266	CHH
Fvb2	600001	650000	50000	*	2216	50969	0.0434774078361357	CHH
Fvb2	650001	700000	50000	*	2504	40362	0.0620385511124325	CHH
Fvb2	700001	750000	50000	*	2702	50128	0.0539020108522183	CHH
Fvb2	750001	800000	50000	*	1772	66194	0.0267697978668762	CHH
Fvb2	800001	850000	50000	*	2268	48528	0.0467359050445104	CHH
Fvb2	850001	900000	50000	*	1351	27553	0.0490327732007404	CHH
Fvb2	900001	950000	50000	*	177	2570	0.0688715953307393	CHH
Fvb2	950001	1000000	50000	*	813	58915	0.0137995417126368	CHH
Fvb2	1000001	1050000	50000	*	1456	79211	0.018381285427529	CHH
Fvb2	1050001	1100000	50000	*	2598	59269	0.0438340447788895	CHH
Fvb2	1100001	1150000	50000	*	3116	65396	0.0476481742002569	CHH
Fvb2	1150001	1200000	50000	*	1752	53716	0.0326159803410529	CHH
Fvb2	1200001	1250000	50000	*	1357	61767	0.0219696601745268	CHH
Fvb2	1250001	1300000	50000	*	1397	78918	0.0177019184469956	CHH
Fvb2	1300001	1350000	50000	*	2175	68479	0.0317615619386965	CHH
Fvb2	1350001	1400000	50000	*	4431	62816	0.0705393530310749	CHH
Fvb2	1400001	1450000	50000	*	2163	53740	0.0402493487160402	CHH
Fvb2	1450001	1500000	50000	*	3212	68304	0.0470250644178965	CHH
Fvb2	1500001	1550000	50000	*	1559	66258	0.0235292342056808	CHH
Fvb2	1550001	1600000	50000	*	1898	31906	0.0594872437785996	CHH
Fvb2	1600001	1650000	50000	*	2331	45379	0.0513673725732167	CHH
Fvb2	1650001	1700000	50000	*	1030	56431	0.0182523790115362	CHH
Fvb2	1700001	1750000	50000	*	1471	63078	0.0233203335552808	CHH
Fvb2	1750001	1800000	50000	*	1664	45297	0.0367353246351855	CHH
Fvb2	1800001	1850000	50000	*	2342	68923	0.0339799486383355	CHH
Fvb2	1850001	1900000	50000	*	3232	49988	0.0646555173241578	CHH
Fvb2	1900001	1950000	50000	*	1533	59335	0.0258363529114351	CHH
Fvb2	1950001	2000000	50000	*	2751	38616	0.0712399005593536	CHH
Fvb2	2000001	2050000	50000	*	3378	59883	0.0564099994990231	CHH
Fvb2	2050001	2100000	50000	*	3018	65268	0.0462401176686891	CHH
Fvb2	2100001	2150000	50000	*	4186	65920	0.063501213592233	CHH
Fvb2	2150001	2200000	50000	*	1999	70276	0.0284449883317206	CHH
Fvb2	2200001	2250000	50000	*	3714	44793	0.0829147411425892	CHH
Fvb2	2250001	2300000	50000	*	2417	56855	0.0425116524492129	CHH
Fvb2	2300001	2350000	50000	*	2824	71294	0.0396106264201756	CHH
Fvb2	2350001	2400000	50000	*	454	50791	0.00893859148274301	CHH
Fvb2	2400001	2450000	50000	*	949	72422	0.0131037530032311	CHH
Fvb2	2450001	2500000	50000	*	1780	28873	0.0616492917258338	CHH
Fvb2	2500001	2550000	50000	*	3721	51929	0.0716555296655048	CHH
Fvb2	2550001	2600000	50000	*	3866	69876	0.0553265785105043	CHH
Fvb2	2600001	2650000	50000	*	4490	63196	0.0710488005569973	CHH
Fvb2	2650001	2700000	50000	*	78	1263	0.0617577197149644	CHH
Fvb2	2700001	2750000	50000	*	357	11400	0.0313157894736842	CHH
Fvb2	2750001	2800000	50000	*	299	6436	0.0464574269732753	CHH
Fvb2	2800001	2850000	50000	*	2063	59794	0.0345017894772051	CHH
Fvb2	2850001	2900000	50000	*	3028	75723	0.0399878504549476	CHH
Fvb2	2900001	2950000	50000	*	2005	76168	0.0263233904001681	CHH
Fvb2	2950001	3000000	50000	*	1576	67065	0.0234995899500485	CHH
Fvb2	3000001	3050000	50000	*	2332	66670	0.0349782510874456	CHH
Fvb2	3050001	3100000	50000	*	3560	64830	0.0549128489896653	CHH
Fvb2	3100001	3150000	50000	*	1819	67794	0.0268312830043957	CHH
Fvb2	3150001	3200000	50000	*	3518	57879	0.0607819761917103	CHH
Fvb2	3200001	3250000	50000	*	2098	64426	0.0325644925961568	CHH
Fvb2	3250001	3300000	50000	*	1399	71532	0.0195576804786669	CHH
Fvb2	3300001	3350000	50000	*	2447	67297	0.0363612048085353	CHH
Fvb2	3350001	3400000	50000	*	1455	66711	0.0218104960201466	CHH
Fvb2	3400001	3450000	50000	*	1922	71703	0.0268050151318634	CHH
Fvb2	3450001	3500000	50000	*	3078	58404	0.0527018697349497	CHH
Fvb2	3500001	3550000	50000	*	2399	73138	0.0328010063168257	CHH
Fvb2	3550001	3600000	50000	*	3205	50840	0.0630409126671912	CHH
Fvb2	3600001	3650000	50000	*	3305	67066	0.0492798139146512	CHH
Fvb2	3650001	3700000	50000	*	1917	68852	0.027842328472666	CHH
Fvb2	3700001	3750000	50000	*	2488	68717	0.036206470014698	CHH
Fvb2	3750001	3800000	50000	*	2611	64521	0.0404674447079246	CHH
Fvb2	3800001	3850000	50000	*	4704	59534	0.0790136728592065	CHH
Fvb2	3850001	3900000	50000	*	3297	61068	0.0539889958734525	CHH
Fvb2	3900001	3950000	50000	*	4778	53948	0.0885667679988137	CHH
Fvb2	3950001	4000000	50000	*	2623	34904	0.075148980059592	CHH
Fvb2	4000001	4050000	50000	*	1166	73767	0.0158065259533396	CHH
Fvb2	4050001	4100000	50000	*	2677	54270	0.0493274368896259	CHH
Fvb2	4100001	4150000	50000	*	4315	77668	0.0555569861461606	CHH
Fvb2	4150001	4200000	50000	*	2648	67137	0.0394417385346381	CHH
Fvb2	4200001	4250000	50000	*	2032	47555	0.0427294711386815	CHH
Fvb2	4250001	4300000	50000	*	3550	52955	0.0670380511755264	CHH
Fvb2	4300001	4350000	50000	*	2084	70079	0.0297378672640877	CHH
Fvb2	4350001	4400000	50000	*	1940	66153	0.0293259564947924	CHH
Fvb2	4400001	4450000	50000	*	3677	67268	0.0546619492180532	CHH
Fvb2	4450001	4500000	50000	*	2645	65318	0.0404941976178083	CHH
Fvb2	4500001	4550000	50000	*	3261	58503	0.0557407312445516	CHH
Fvb2	4550001	4600000	50000	*	3603	69591	0.0517739362848644	CHH
Fvb2	4600001	4650000	50000	*	2535	70915	0.0357470210815765	CHH
Fvb2	4650001	4700000	50000	*	2233	53021	0.0421153882423945	CHH
Fvb2	4700001	4750000	50000	*	1542	71095	0.0216892889795344	CHH
Fvb2	4750001	4800000	50000	*	1991	28503	0.0698522962495176	CHH
Fvb2	4800001	4850000	50000	*	2337	41716	0.0560216703423147	CHH
Fvb2	4850001	4900000	50000	*	3357	63129	0.0531768283989925	CHH
Fvb2	4900001	4950000	50000	*	1787	65636	0.0272259126089341	CHH
Fvb2	4950001	5000000	50000	*	2161	46851	0.0461249493073787	CHH
Fvb2	5000001	5050000	50000	*	2452	59127	0.041470055981193	CHH
Fvb2	5050001	5100000	50000	*	3149	67564	0.0466076608844947	CHH
Fvb2	5100001	5150000	50000	*	3011	113572	0.0265118162927482	CHH
Fvb2	5150001	5200000	50000	*	1419	75740	0.0187351465540005	CHH
Fvb2	5200001	5250000	50000	*	4090	67113	0.0609419933544917	CHH
Fvb2	5250001	5300000	50000	*	3059	64242	0.047616823884686	CHH
Fvb2	5300001	5350000	50000	*	3551	53335	0.0665791694009562	CHH
Fvb2	5350001	5400000	50000	*	2286	37962	0.0602181128496918	CHH
Fvb2	5400001	5450000	50000	*	4098	66126	0.0619725977678977	CHH
Fvb2	5450001	5500000	50000	*	4018	60320	0.0666114058355438	CHH
Fvb2	5500001	5550000	50000	*	2350	52506	0.0447567897002247	CHH
Fvb2	5550001	5600000	50000	*	3063	67153	0.0456122585737048	CHH
Fvb2	5600001	5650000	50000	*	3262	63775	0.0511485691885535	CHH
Fvb2	5650001	5700000	50000	*	2128	68984	0.0308477328076076	CHH
Fvb2	5700001	5750000	50000	*	1848	61305	0.0301443601663812	CHH
Fvb2	5750001	5800000	50000	*	2453	62404	0.0393083776680982	CHH
Fvb2	5800001	5850000	50000	*	3179	57406	0.0553774866738668	CHH
Fvb2	5850001	5900000	50000	*	2479	71095	0.0348688374709895	CHH
Fvb2	5900001	5950000	50000	*	3779	50554	0.0747517506033153	CHH
Fvb2	5950001	6000000	50000	*	2762	54106	0.0510479429268473	CHH
Fvb2	6000001	6050000	50000	*	2044	68259	0.0299447691879459	CHH
Fvb2	6050001	6100000	50000	*	1470	87063	0.0168843251438613	CHH
Fvb2	6100001	6150000	50000	*	3171	73349	0.0432316732334456	CHH
Fvb2	6150001	6200000	50000	*	4050	55828	0.0725442430321702	CHH
Fvb2	6200001	6250000	50000	*	2282	25585	0.0891928864569083	CHH
