seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb7	1	50000	50000	*	367	658	0.557750759878419	CG
Fvb7	50001	100000	50000	*	0	0	0	CG
Fvb7	100001	150000	50000	*	0	0	0	CG
Fvb7	150001	200000	50000	*	0	0	0	CG
Fvb7	200001	250000	50000	*	0	0	0	CG
Fvb7	250001	300000	50000	*	0	0	0	CG
Fvb7	300001	350000	50000	*	0	0	0	CG
Fvb7	350001	400000	50000	*	0	0	0	CG
Fvb7	400001	450000	50000	*	0	0	0	CG
Fvb7	450001	500000	50000	*	0	0	0	CG
Fvb7	500001	550000	50000	*	0	0	0	CG
Fvb7	550001	600000	50000	*	0	0	NA	CG
Fvb7	600001	650000	50000	*	8850	13162	0.672390214253153	CG
Fvb7	650001	700000	50000	*	7864	12254	0.641749632772972	CG
Fvb7	700001	750000	50000	*	9589	13236	0.7244635841644	CG
Fvb7	750001	800000	50000	*	6706	15106	0.443929564411492	CG
Fvb7	800001	850000	50000	*	15577	19914	0.78221351812795	CG
Fvb7	850001	900000	50000	*	6875	14075	0.488454706927176	CG
Fvb7	900001	950000	50000	*	13661	16488	0.828541969917516	CG
Fvb7	950001	1000000	50000	*	10206	12620	0.808716323296355	CG
Fvb7	1000001	1050000	50000	*	10755	16155	0.665738161559889	CG
Fvb7	1050001	1100000	50000	*	10537	15382	0.68502145364712	CG
Fvb7	1100001	1150000	50000	*	12013	18220	0.659330406147091	CG
Fvb7	1150001	1200000	50000	*	7105	13231	0.536996447736377	CG
Fvb7	1200001	1250000	50000	*	9445	13230	0.713907785336357	CG
Fvb7	1250001	1300000	50000	*	10582	12746	0.830221245881061	CG
Fvb7	1300001	1350000	50000	*	8382	17037	0.491988026060926	CG
Fvb7	1350001	1400000	50000	*	8087	13528	0.597797161442933	CG
Fvb7	1400001	1450000	50000	*	6451	14039	0.459505662796495	CG
Fvb7	1450001	1500000	50000	*	7679	13905	0.552247393024092	CG
Fvb7	1500001	1550000	50000	*	6158	11784	0.522572980312288	CG
Fvb7	1550001	1600000	50000	*	6810	13198	0.515987270798606	CG
Fvb7	1600001	1650000	50000	*	7282	14672	0.496319520174482	CG
