seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb4	1	50000	50000	*	9064	15198	0.596394262402948	CG
Fvb4	50001	100000	50000	*	5971	11855	0.503669337832138	CG
Fvb4	100001	150000	50000	*	10532	19189	0.548856115482829	CG
Fvb4	150001	200000	50000	*	7784	13871	0.561170787974912	CG
Fvb4	200001	250000	50000	*	8549	11600	0.73698275862069	CG
Fvb4	250001	300000	50000	*	6828	13698	0.498466929478756	CG
Fvb4	300001	350000	50000	*	5405	19584	0.275990604575163	CG
Fvb4	350001	400000	50000	*	4209	12642	0.332937826293308	CG
Fvb4	400001	450000	50000	*	4889	13488	0.36247034400949	CG
Fvb4	450001	500000	50000	*	5833	14068	0.414628945123685	CG
Fvb4	500001	550000	50000	*	383	1781	0.215047725996631	CG
Fvb4	550001	600000	50000	*	4171	9036	0.461598052235502	CG
Fvb4	600001	650000	50000	*	3925	12598	0.311557390061915	CG
Fvb4	650001	700000	50000	*	5617	13517	0.415550787896723	CG
Fvb4	700001	750000	50000	*	5242	13893	0.377312315554596	CG
Fvb4	750001	800000	50000	*	3066	14984	0.204618259476775	CG
Fvb4	800001	850000	50000	*	6591	10583	0.622791269016347	CG
Fvb4	850001	900000	50000	*	1039	1161	0.894918173987941	CG
Fvb4	900001	950000	50000	*	1807	2568	0.703660436137072	CG
Fvb4	950001	1000000	50000	*	2981	14521	0.20528889194959	CG
Fvb4	1000001	1050000	50000	*	3787	13453	0.28149855050918	CG
Fvb4	1050001	1100000	50000	*	6385	15065	0.423830069697975	CG
Fvb4	1100001	1150000	50000	*	4599	13089	0.351363740545496	CG
Fvb4	1150001	1200000	50000	*	5056	11678	0.432950847747902	CG
Fvb4	1200001	1250000	50000	*	16185	22214	0.728594579994598	CG
Fvb4	1250001	1300000	50000	*	5647	15548	0.363197838950347	CG
Fvb4	1300001	1350000	50000	*	4102	9344	0.438998287671233	CG
Fvb4	1350001	1400000	50000	*	3708	15800	0.234683544303797	CG
Fvb4	1400001	1450000	50000	*	6715	14262	0.470831580423503	CG
Fvb4	1450001	1500000	50000	*	2949	14157	0.208306844670481	CG
Fvb4	1500001	1550000	50000	*	2721	11466	0.23731030873888	CG
Fvb4	1550001	1600000	50000	*	3949	13145	0.300418410041841	CG
Fvb4	1600001	1650000	50000	*	659	7055	0.093408929836995	CG
Fvb4	1650001	1700000	50000	*	585	849	0.68904593639576	CG
Fvb4	1700001	1750000	50000	*	1380	3319	0.415787887918048	CG
Fvb4	1750001	1800000	50000	*	3617	18967	0.19069963621026	CG
Fvb4	1800001	1850000	50000	*	2702	3897	0.693353861945086	CG
Fvb4	1850001	1900000	50000	*	1333	1586	0.840479192938209	CG
Fvb4	1900001	1950000	50000	*	843	1081	0.779833487511563	CG
Fvb4	1950001	2000000	50000	*	962	1111	0.865886588658866	CG
Fvb4	2000001	2050000	50000	*	3539	7531	0.46992431284026	CG
Fvb4	2050001	2100000	50000	*	6920	11751	0.588886052250872	CG
Fvb4	2100001	2150000	50000	*	5421	14133	0.383570367225642	CG
Fvb4	2150001	2200000	50000	*	5166	13313	0.388041763689627	CG
Fvb4	2200001	2250000	50000	*	2183	6565	0.332520944402133	CG
Fvb4	2250001	2300000	50000	*	1746	16374	0.1066324661048	CG
Fvb4	2300001	2350000	50000	*	3719	9814	0.378948441002649	CG
Fvb4	2350001	2400000	50000	*	5787	14142	0.409206618582944	CG
Fvb4	2400001	2450000	50000	*	4482	10477	0.427794215901499	CG
Fvb4	2450001	2500000	50000	*	4908	13215	0.371396140749149	CG
Fvb4	2500001	2550000	50000	*	3964	15478	0.256105439979325	CG
Fvb4	2550001	2600000	50000	*	3640	12529	0.290525979727033	CG
Fvb4	2600001	2650000	50000	*	5091	15049	0.338294903315835	CG
Fvb4	2650001	2700000	50000	*	5699	15802	0.36065055056322	CG
Fvb4	2700001	2750000	50000	*	4065	8780	0.462984054669704	CG
Fvb4	2750001	2800000	50000	*	5752	15583	0.369120195084387	CG
Fvb4	2800001	2850000	50000	*	4862	16450	0.295562310030395	CG
Fvb4	2850001	2900000	50000	*	2490	8257	0.301562310766622	CG
Fvb4	2900001	2950000	50000	*	11849	20585	0.575613310663104	CG
Fvb4	2950001	3000000	50000	*	10537	13181	0.799408239132084	CG
Fvb4	3000001	3050000	50000	*	5560	10106	0.550168216900851	CG
Fvb4	3050001	3100000	50000	*	2096	13325	0.157298311444653	CG
Fvb4	3100001	3150000	50000	*	6294	12245	0.514005716619028	CG
Fvb4	3150001	3200000	50000	*	4890	14362	0.340481827043587	CG
Fvb4	3200001	3250000	50000	*	2934	22097	0.132778205186224	CG
Fvb4	3250001	3300000	50000	*	3681	15977	0.230393690930713	CG
Fvb4	3300001	3350000	50000	*	7471	11774	0.634533718362494	CG
Fvb4	3350001	3400000	50000	*	6008	14552	0.412864211105003	CG
Fvb4	3400001	3450000	50000	*	4214	14553	0.28956228956229	CG
Fvb4	3450001	3500000	50000	*	6327	12974	0.487667642978264	CG
Fvb4	3500001	3550000	50000	*	4007	13960	0.287034383954155	CG
Fvb4	3550001	3600000	50000	*	5236	16183	0.323549403695236	CG
Fvb4	3600001	3650000	50000	*	2913	11912	0.244543317662861	CG
Fvb4	3650001	3700000	50000	*	3703	13045	0.283863549252587	CG
Fvb4	3700001	3750000	50000	*	3321	9952	0.333701768488746	CG
Fvb4	3750001	3800000	50000	*	3028	10785	0.280760315252666	CG
Fvb4	3800001	3850000	50000	*	4417	13262	0.333056854169808	CG
Fvb4	3850001	3900000	50000	*	8027	14923	0.537894525229512	CG
Fvb4	3900001	3950000	50000	*	6022	11053	0.544829458065684	CG
Fvb4	3950001	4000000	50000	*	6842	8568	0.798552754435107	CG
Fvb4	4000001	4050000	50000	*	5421	10510	0.515794481446242	CG
Fvb4	4050001	4100000	50000	*	5773	16535	0.349138191714545	CG
Fvb4	4100001	4150000	50000	*	496	2026	0.244817374136229	CG
Fvb4	4150001	4200000	50000	*	968	3304	0.292978208232446	CG
Fvb4	4200001	4250000	50000	*	2384	10613	0.224630170545557	CG
Fvb4	4250001	4300000	50000	*	4327	11390	0.379894644424934	CG
Fvb4	4300001	4350000	50000	*	5295	12577	0.421006599348016	CG
Fvb4	4350001	4400000	50000	*	4572	11345	0.402996914940502	CG
Fvb4	4400001	4450000	50000	*	4257	13352	0.318828639904134	CG
Fvb4	4450001	4500000	50000	*	5666	16751	0.338248462778342	CG
Fvb4	4500001	4550000	50000	*	4718	12476	0.378166078871433	CG
