seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb4	1	50000	50000	*	3100	27053	0.11458987912616	CHG
Fvb4	50001	100000	50000	*	4935	14063	0.350920856147337	CHG
Fvb4	100001	150000	50000	*	7727	21250	0.363623529411765	CHG
Fvb4	150001	200000	50000	*	3494	20262	0.172441022603889	CHG
Fvb4	200001	250000	50000	*	3373	25708	0.131204294383071	CHG
Fvb4	250001	300000	50000	*	4666	23812	0.195951621031413	CHG
Fvb4	300001	350000	50000	*	4149	27028	0.153507473730946	CHG
Fvb4	350001	400000	50000	*	1600	19464	0.082203041512536	CHG
Fvb4	400001	450000	50000	*	1535	22194	0.0691628368027395	CHG
Fvb4	450001	500000	50000	*	1533	27202	0.0563561502830674	CHG
Fvb4	500001	550000	50000	*	259	2329	0.111206526406183	CHG
Fvb4	550001	600000	50000	*	1972	15834	0.124542124542125	CHG
Fvb4	600001	650000	50000	*	1000	19779	0.0505586733404115	CHG
Fvb4	650001	700000	50000	*	3649	17219	0.211917068354724	CHG
Fvb4	700001	750000	50000	*	2370	24152	0.0981285193772772	CHG
Fvb4	750001	800000	50000	*	1516	17993	0.0842549880509087	CHG
Fvb4	800001	850000	50000	*	6625	17885	0.370422141459323	CHG
Fvb4	850001	900000	50000	*	1209	1431	0.844863731656184	CHG
Fvb4	900001	950000	50000	*	1397	2659	0.525385483264385	CHG
Fvb4	950001	1000000	50000	*	1851	22421	0.0825565318228447	CHG
Fvb4	1000001	1050000	50000	*	1809	18082	0.100044242893485	CHG
Fvb4	1050001	1100000	50000	*	3009	20915	0.143868037293808	CHG
Fvb4	1100001	1150000	50000	*	1891	16083	0.117577566374433	CHG
Fvb4	1150001	1200000	50000	*	4199	13334	0.314909254537273	CHG
Fvb4	1200001	1250000	50000	*	12556	22131	0.567348967511635	CHG
Fvb4	1250001	1300000	50000	*	4188	20602	0.20328123483157	CHG
Fvb4	1300001	1350000	50000	*	4051	16212	0.24987663459166	CHG
Fvb4	1350001	1400000	50000	*	2500	23159	0.10794939332441	CHG
Fvb4	1400001	1450000	50000	*	2910	24872	0.116999035059505	CHG
Fvb4	1450001	1500000	50000	*	1887	20186	0.0934806301397008	CHG
Fvb4	1500001	1550000	50000	*	1564	21281	0.0734927869930924	CHG
Fvb4	1550001	1600000	50000	*	1048	23229	0.0451160187696414	CHG
Fvb4	1600001	1650000	50000	*	441	5372	0.0820923306031273	CHG
Fvb4	1650001	1700000	50000	*	941	2536	0.371056782334385	CHG
Fvb4	1700001	1750000	50000	*	497	4732	0.105029585798817	CHG
Fvb4	1750001	1800000	50000	*	1397	22512	0.0620557924662402	CHG
Fvb4	1800001	1850000	50000	*	2141	7671	0.279103115630296	CHG
Fvb4	1850001	1900000	50000	*	1401	1867	0.750401713979647	CHG
Fvb4	1900001	1950000	50000	*	799	1328	0.601656626506024	CHG
Fvb4	1950001	2000000	50000	*	499	837	0.596176821983274	CHG
Fvb4	2000001	2050000	50000	*	1433	14503	0.0988071433496518	CHG
