seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb3	1	50000	50000	*	2184	80443	0.0271496587645911	CHH
Fvb3	50001	100000	50000	*	963	129779	0.00742030682930212	CHH
Fvb3	100001	150000	50000	*	1608	123394	0.013031427784171	CHH
Fvb3	150001	200000	50000	*	932	121559	0.00766705879449485	CHH
Fvb3	200001	250000	50000	*	1216	104723	0.0116115848476457	CHH
Fvb3	250001	300000	50000	*	627	115767	0.00541605120630231	CHH
Fvb3	300001	350000	50000	*	3560	109534	0.0325013237898735	CHH
Fvb3	350001	400000	50000	*	4954	92896	0.0533284533241474	CHH
Fvb3	400001	450000	50000	*	363	57087	0.00635871564454254	CHH
Fvb3	450001	500000	50000	*	1591	106015	0.0150073102862802	CHH
Fvb3	500001	550000	50000	*	1560	105787	0.0147466134780266	CHH
Fvb3	550001	600000	50000	*	1454	88006	0.0165216007999455	CHH
Fvb3	600001	650000	50000	*	4421	71863	0.0615198363552871	CHH
Fvb3	650001	700000	50000	*	3875	101113	0.0383234598914086	CHH
Fvb3	700001	750000	50000	*	2319	111961	0.0207125695554702	CHH
Fvb3	750001	800000	50000	*	1324	111956	0.0118260745292794	CHH
Fvb3	800001	850000	50000	*	964	49940	0.0193031637965559	CHH
Fvb3	850001	900000	50000	*	1039	121966	0.00851876752537593	CHH
Fvb3	900001	950000	50000	*	1314	98241	0.0133752710171924	CHH
Fvb3	950001	1000000	50000	*	724	116782	0.00619958555256803	CHH
Fvb3	1000001	1050000	50000	*	1366	99996	0.0136605464218569	CHH
Fvb3	1050001	1100000	50000	*	1094	93156	0.0117437416806218	CHH
Fvb3	1100001	1150000	50000	*	671	71736	0.00935374149659864	CHH
Fvb3	1150001	1200000	50000	*	801	92854	0.00862644581816615	CHH
Fvb3	1200001	1250000	50000	*	1060	108741	0.00974793316228469	CHH
Fvb3	1250001	1300000	50000	*	1649	104738	0.0157440470507361	CHH
Fvb3	1300001	1350000	50000	*	1381	122006	0.0113191154533384	CHH
Fvb3	1350001	1400000	50000	*	768	111282	0.00690138566884132	CHH
Fvb3	1400001	1450000	50000	*	332	37921	0.00875504337965771	CHH
Fvb3	1450001	1500000	50000	*	1278	107027	0.0119409121062909	CHH
Fvb3	1500001	1550000	50000	*	2353	62384	0.0377180046165684	CHH
Fvb3	1550001	1600000	50000	*	988	102024	0.00968399592252803	CHH
Fvb3	1600001	1650000	50000	*	1552	76244	0.0203557001206652	CHH
Fvb3	1650001	1700000	50000	*	1309	71369	0.0183412966413989	CHH
Fvb3	1700001	1750000	50000	*	2044	111842	0.0182757819066183	CHH
Fvb3	1750001	1800000	50000	*	1913	113101	0.0169140856402684	CHH
Fvb3	1800001	1850000	50000	*	1434	101669	0.0141045943207861	CHH
