seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb4	1	50000	50000	*	14136	23438	0.603123133373155	CG
Fvb4	50001	100000	50000	*	9836	18891	0.520671219099042	CG
Fvb4	100001	150000	50000	*	16391	29480	0.556004070556309	CG
Fvb4	150001	200000	50000	*	12002	21357	0.561970314182704	CG
Fvb4	200001	250000	50000	*	13244	17553	0.754514897738278	CG
Fvb4	250001	300000	50000	*	10431	21255	0.49075511644319	CG
Fvb4	300001	350000	50000	*	7936	27650	0.287016274864376	CG
Fvb4	350001	400000	50000	*	6447	18350	0.35133514986376	CG
Fvb4	400001	450000	50000	*	7319	18845	0.388378880339613	CG
Fvb4	450001	500000	50000	*	8682	20425	0.425067319461444	CG
Fvb4	500001	550000	50000	*	532	2350	0.226382978723404	CG
Fvb4	550001	600000	50000	*	6535	13744	0.475480209545984	CG
Fvb4	600001	650000	50000	*	6215	18770	0.331113478955781	CG
Fvb4	650001	700000	50000	*	8733	20443	0.427187790441716	CG
Fvb4	700001	750000	50000	*	8604	21573	0.398831873174802	CG
Fvb4	750001	800000	50000	*	4587	22441	0.204402655853126	CG
Fvb4	800001	850000	50000	*	10860	16896	0.642755681818182	CG
Fvb4	850001	900000	50000	*	1807	2006	0.900797607178465	CG
Fvb4	900001	950000	50000	*	2600	3560	0.730337078651685	CG
Fvb4	950001	1000000	50000	*	5161	22490	0.229479768786127	CG
Fvb4	1000001	1050000	50000	*	6113	20896	0.292544027565084	CG
Fvb4	1050001	1100000	50000	*	10021	23408	0.428101503759398	CG
Fvb4	1100001	1150000	50000	*	7307	21124	0.345909865555766	CG
Fvb4	1150001	1200000	50000	*	7299	16998	0.429403459230498	CG
Fvb4	1200001	1250000	50000	*	26639	36367	0.732504743311244	CG
Fvb4	1250001	1300000	50000	*	10212	25585	0.399140121164745	CG
Fvb4	1300001	1350000	50000	*	6481	14793	0.438112620834178	CG
Fvb4	1350001	1400000	50000	*	5536	24952	0.221865982686759	CG
Fvb4	1400001	1450000	50000	*	10732	22066	0.486359104504668	CG
Fvb4	1450001	1500000	50000	*	5081	21273	0.23884736520472	CG
Fvb4	1500001	1550000	50000	*	4205	16886	0.24902285917328	CG
Fvb4	1550001	1600000	50000	*	6270	21525	0.291289198606272	CG
Fvb4	1600001	1650000	50000	*	1012	10648	0.0950413223140496	CG
Fvb4	1650001	1700000	50000	*	1011	1452	0.696280991735537	CG
Fvb4	1700001	1750000	50000	*	2144	4689	0.457240349754745	CG
Fvb4	1750001	1800000	50000	*	5612	28472	0.197105928631638	CG
Fvb4	1800001	1850000	50000	*	4394	6200	0.708709677419355	CG
Fvb4	1850001	1900000	50000	*	2608	2938	0.887678692988427	CG
Fvb4	1900001	1950000	50000	*	1420	1793	0.79196876742889	CG
Fvb4	1950001	2000000	50000	*	1417	1688	0.839454976303318	CG
Fvb4	2000001	2050000	50000	*	5683	11813	0.481080165918903	CG
Fvb4	2050001	2100000	50000	*	10050	17457	0.575700292146417	CG
Fvb4	2100001	2150000	50000	*	8430	21395	0.394017293760224	CG
Fvb4	2150001	2200000	50000	*	8936	20942	0.426702320695254	CG
Fvb4	2200001	2250000	50000	*	3373	9037	0.373243332964479	CG
Fvb4	2250001	2300000	50000	*	2938	25473	0.11533780866015	CG
Fvb4	2300001	2350000	50000	*	5492	14706	0.373453012375901	CG
Fvb4	2350001	2400000	50000	*	9615	22144	0.434203395953757	CG
Fvb4	2400001	2450000	50000	*	7534	16550	0.455226586102719	CG
Fvb4	2450001	2500000	50000	*	7684	20710	0.371028488652825	CG
Fvb4	2500001	2550000	50000	*	5946	23057	0.257882638678059	CG
Fvb4	2550001	2600000	50000	*	5786	19461	0.29731257386568	CG
Fvb4	2600001	2650000	50000	*	7702	23340	0.329991431019709	CG
Fvb4	2650001	2700000	50000	*	9698	24455	0.396565119607442	CG
Fvb4	2700001	2750000	50000	*	6631	14131	0.469251999150803	CG
Fvb4	2750001	2800000	50000	*	8802	23705	0.371314068761865	CG
Fvb4	2800001	2850000	50000	*	7375	25471	0.289544972714067	CG
Fvb4	2850001	2900000	50000	*	3907	12564	0.310967844635466	CG
Fvb4	2900001	2950000	50000	*	19256	31986	0.602013380854124	CG
Fvb4	2950001	3000000	50000	*	16486	20384	0.8087715855573	CG
Fvb4	3000001	3050000	50000	*	8933	15842	0.563880823128393	CG
Fvb4	3050001	3100000	50000	*	3567	20917	0.170531146913993	CG
Fvb4	3100001	3150000	50000	*	9896	18898	0.523653296645148	CG
Fvb4	3150001	3200000	50000	*	7852	22403	0.350488773824934	CG
Fvb4	3200001	3250000	50000	*	4702	33553	0.140136500461956	CG
Fvb4	3250001	3300000	50000	*	5643	24265	0.232557181125077	CG
Fvb4	3300001	3350000	50000	*	11184	17717	0.63125811367613	CG
Fvb4	3350001	3400000	50000	*	9663	22734	0.425046186328847	CG
Fvb4	3400001	3450000	50000	*	6323	21374	0.29582670534294	CG
Fvb4	3450001	3500000	50000	*	9831	19780	0.497017189079879	CG
Fvb4	3500001	3550000	50000	*	6111	20373	0.299955823884553	CG
Fvb4	3550001	3600000	50000	*	8123	24080	0.337333887043189	CG
Fvb4	3600001	3650000	50000	*	5085	17920	0.283761160714286	CG
Fvb4	3650001	3700000	50000	*	5542	19830	0.279475542107917	CG
Fvb4	3700001	3750000	50000	*	5233	15543	0.336678890819018	CG
Fvb4	3750001	3800000	50000	*	4465	16144	0.276573339940535	CG
Fvb4	3800001	3850000	50000	*	7339	21234	0.345624941132147	CG
Fvb4	3850001	3900000	50000	*	13206	23456	0.563011596180082	CG
Fvb4	3900001	3950000	50000	*	9393	16766	0.560240963855422	CG
Fvb4	3950001	4000000	50000	*	10797	13231	0.816038092358854	CG
Fvb4	4000001	4050000	50000	*	7848	16082	0.487999005098868	CG
Fvb4	4050001	4100000	50000	*	8299	22834	0.363449242357887	CG
Fvb4	4100001	4150000	50000	*	756	3061	0.246978111728193	CG
Fvb4	4150001	4200000	50000	*	1512	5304	0.285067873303167	CG
Fvb4	4200001	4250000	50000	*	4168	17502	0.238144212090047	CG
Fvb4	4250001	4300000	50000	*	6582	17573	0.374551869345018	CG
Fvb4	4300001	4350000	50000	*	8721	19895	0.438351344558934	CG
Fvb4	4350001	4400000	50000	*	6714	16600	0.404457831325301	CG
Fvb4	4400001	4450000	50000	*	6810	20730	0.328509406657019	CG
Fvb4	4450001	4500000	50000	*	8810	25849	0.3408255638516	CG
Fvb4	4500001	4550000	50000	*	6840	17829	0.383644623927309	CG
Fvb4	4550001	4600000	50000	*	11774	20160	0.584027777777778	CG
Fvb4	4600001	4650000	50000	*	3993	9891	0.403700333636639	CG
Fvb4	4650001	4700000	50000	*	6637	15220	0.436070959264126	CG
Fvb4	4700001	4750000	50000	*	10283	16057	0.640406053434639	CG
Fvb4	4750001	4800000	50000	*	8116	15092	0.537768354094885	CG
Fvb4	4800001	4850000	50000	*	6921	17410	0.397530155083285	CG
Fvb4	4850001	4900000	50000	*	6816	15744	0.432926829268293	CG
Fvb4	4900001	4950000	50000	*	11973	15474	0.773749515316014	CG
Fvb4	4950001	5000000	50000	*	4147	10514	0.394426478980407	CG
Fvb4	5000001	5050000	50000	*	12100	17290	0.699826489300174	CG
Fvb4	5050001	5100000	50000	*	9378	17826	0.526085493099966	CG
Fvb4	5100001	5150000	50000	*	9372	26154	0.358339068593714	CG
Fvb4	5150001	5200000	50000	*	8005	15206	0.526436932789688	CG
Fvb4	5200001	5250000	50000	*	1606	1822	0.881448957189901	CG
Fvb4	5250001	5300000	50000	*	3911	21191	0.184559482799302	CG
Fvb4	5300001	5350000	50000	*	4002	16033	0.249610179005801	CG
Fvb4	5350001	5400000	50000	*	7473	19637	0.380557111575088	CG
Fvb4	5400001	5450000	50000	*	4583	16953	0.270335633811125	CG
Fvb4	5450001	5500000	50000	*	7011	24299	0.28853039219721	CG
Fvb4	5500001	5550000	50000	*	10967	19611	0.559226964458722	CG
Fvb4	5550001	5600000	50000	*	9034	24332	0.371280618116061	CG
Fvb4	5600001	5650000	50000	*	9297	21479	0.432841379952512	CG
Fvb4	5650001	5700000	50000	*	8711	21739	0.400708404250425	CG
Fvb4	5700001	5750000	50000	*	7664	17052	0.449448745015247	CG
Fvb4	5750001	5800000	50000	*	6038	16444	0.3671855996108	CG
Fvb4	5800001	5850000	50000	*	9027	21089	0.428043055621414	CG
Fvb4	5850001	5900000	50000	*	12205	23275	0.52438238453276	CG
Fvb4	5900001	5950000	50000	*	11069	19877	0.556874779896363	CG
Fvb4	5950001	6000000	50000	*	10648	23842	0.446606828286218	CG
Fvb4	6000001	6050000	50000	*	12926	26847	0.481469065444929	CG
Fvb4	6050001	6100000	50000	*	11198	17981	0.622768477837718	CG
Fvb4	6100001	6150000	50000	*	11064	25144	0.440025453388482	CG
Fvb4	6150001	6200000	50000	*	10469	22330	0.468831168831169	CG
Fvb4	6200001	6250000	50000	*	11689	19286	0.60608731722493	CG
Fvb4	6250001	6300000	50000	*	7506	21772	0.344754730846959	CG
Fvb4	6300001	6350000	50000	*	10354	24572	0.421373921536708	CG
Fvb4	6350001	6400000	50000	*	11343	17381	0.652609170933778	CG
Fvb4	6400001	6450000	50000	*	12966	19460	0.666289825282631	CG
Fvb4	6450001	6500000	50000	*	8284	21976	0.376956680014561	CG
Fvb4	6500001	6550000	50000	*	16234	25910	0.626553454264763	CG
Fvb4	6550001	6600000	50000	*	13384	22676	0.590227553360381	CG
Fvb4	6600001	6650000	50000	*	17553	27602	0.635932178827621	CG
Fvb4	6650001	6700000	50000	*	10187	19787	0.514832971142669	CG
Fvb4	6700001	6750000	50000	*	8308	18687	0.444587146144378	CG
Fvb4	6750001	6800000	50000	*	9170	18996	0.482733206990945	CG
Fvb4	6800001	6850000	50000	*	10026	18426	0.544122435688701	CG
Fvb4	6850001	6900000	50000	*	8234	20826	0.39537117065207	CG
Fvb4	6900001	6950000	50000	*	6363	16870	0.377178423236515	CG
Fvb4	6950001	7000000	50000	*	8702	18183	0.478578892371996	CG
Fvb4	7000001	7050000	50000	*	10269	21825	0.470515463917526	CG
Fvb4	7050001	7100000	50000	*	7389	15341	0.481650479108272	CG
Fvb4	7100001	7150000	50000	*	13653	19090	0.715191199580932	CG
Fvb4	7150001	7200000	50000	*	8648	15830	0.546304485154769	CG
Fvb4	7200001	7250000	50000	*	11679	21569	0.541471556400389	CG
Fvb4	7250001	7300000	50000	*	14995	23326	0.642844894109577	CG
Fvb4	7300001	7350000	50000	*	9859	22232	0.443459877653832	CG
Fvb4	7350001	7400000	50000	*	15738	26930	0.584404010397326	CG
Fvb4	7400001	7450000	50000	*	11954	16823	0.710574808298163	CG
Fvb4	7450001	7500000	50000	*	12111	21108	0.573763501989767	CG
Fvb4	7500001	7550000	50000	*	5836	11309	0.51604916438235	CG
Fvb4	7550001	7600000	50000	*	12632	25050	0.504271457085828	CG
Fvb4	7600001	7650000	50000	*	14304	21431	0.667444356306285	CG
Fvb4	7650001	7700000	50000	*	7121	13022	0.54684380279527	CG
Fvb4	7700001	7750000	50000	*	10903	17512	0.622601644586569	CG
Fvb4	7750001	7800000	50000	*	14033	21910	0.640483797352807	CG
Fvb4	7800001	7850000	50000	*	13423	15584	0.861332135523614	CG
Fvb4	7850001	7900000	50000	*	13903	20087	0.692139194503908	CG
Fvb4	7900001	7950000	50000	*	13757	19345	0.711139829413285	CG
Fvb4	7950001	8000000	50000	*	12851	22071	0.582257260658783	CG
Fvb4	8000001	8050000	50000	*	13366	24176	0.552862342819325	CG
Fvb4	8050001	8100000	50000	*	12135	22489	0.539597136377785	CG
Fvb4	8100001	8150000	50000	*	8311	16146	0.514740493001363	CG
Fvb4	8150001	8200000	50000	*	12216	20749	0.588751265121211	CG
Fvb4	8200001	8250000	50000	*	11266	19848	0.567613865376864	CG
Fvb4	8250001	8300000	50000	*	14305	18584	0.769748170469221	CG
Fvb4	8300001	8350000	50000	*	14991	19195	0.780984631414431	CG
Fvb4	8350001	8400000	50000	*	6861	11112	0.61744060475162	CG
Fvb4	8400001	8450000	50000	*	22235	27544	0.807253848388034	CG
Fvb4	8450001	8500000	50000	*	11915	20098	0.592845059209872	CG
Fvb4	8500001	8550000	50000	*	12123	25104	0.482911089866157	CG
Fvb4	8550001	8600000	50000	*	4931	6109	0.807169749549844	CG
Fvb4	8600001	8650000	50000	*	8070	11820	0.682741116751269	CG
Fvb4	8650001	8700000	50000	*	15449	19597	0.788334949226922	CG
Fvb4	8700001	8750000	50000	*	10308	11477	0.898144114315588	CG
Fvb4	8750001	8800000	50000	*	16226	22994	0.705662346699139	CG
Fvb4	8800001	8850000	50000	*	1138	1341	0.84862043251305	CG
Fvb4	8850001	8900000	50000	*	6676	7493	0.890964900573869	CG
Fvb4	8900001	8950000	50000	*	9158	11088	0.825937950937951	CG
Fvb4	8950001	9000000	50000	*	10686	14534	0.735241502683363	CG
Fvb4	9000001	9050000	50000	*	10308	12779	0.806635887002113	CG
Fvb4	9050001	9100000	50000	*	13546	17142	0.790222844475557	CG
Fvb4	9100001	9150000	50000	*	14382	16380	0.878021978021978	CG
Fvb4	9150001	9200000	50000	*	11792	12796	0.921537980618943	CG
Fvb4	9200001	9250000	50000	*	12279	16536	0.742561683599419	CG
Fvb4	9250001	9300000	50000	*	11714	16087	0.728165599552434	CG
Fvb4	9300001	9350000	50000	*	8179	10985	0.744560764679108	CG
Fvb4	9350001	9400000	50000	*	13186	15030	0.877312042581504	CG
Fvb4	9400001	9450000	50000	*	14455	19014	0.760229304722836	CG
Fvb4	9450001	9500000	50000	*	14438	21023	0.686771631070732	CG
Fvb4	9500001	9550000	50000	*	13705	17988	0.76189682010229	CG
Fvb4	9550001	9600000	50000	*	10609	17631	0.601724235721173	CG
Fvb4	9600001	9650000	50000	*	12878	17501	0.735843666076224	CG
Fvb4	9650001	9700000	50000	*	7553	8280	0.91219806763285	CG
Fvb4	9700001	9750000	50000	*	8279	9556	0.866366680619506	CG
Fvb4	9750001	9800000	50000	*	11330	17055	0.664321313397831	CG
Fvb4	9800001	9850000	50000	*	10461	13227	0.790882286232706	CG
Fvb4	9850001	9900000	50000	*	14063	16357	0.859754233661429	CG
Fvb4	9900001	9950000	50000	*	10841	13901	0.779871951658154	CG
Fvb4	9950001	10000000	50000	*	15366	24237	0.633989355118208	CG
Fvb4	10000001	10050000	50000	*	10544	11810	0.892802709568163	CG
Fvb4	10050001	10100000	50000	*	15681	23723	0.661004088858913	CG
Fvb4	10100001	10150000	50000	*	13497	16975	0.795110456553756	CG
Fvb4	10150001	10200000	50000	*	12341	20217	0.610426868477024	CG
Fvb4	10200001	10250000	50000	*	10323	14796	0.697688564476886	CG
Fvb4	10250001	10300000	50000	*	12453	15709	0.792730282003947	CG
Fvb4	10300001	10350000	50000	*	14650	16110	0.909373060211049	CG
Fvb4	10350001	10400000	50000	*	13226	15983	0.82750422323719	CG
Fvb4	10400001	10450000	50000	*	2340	3354	0.697674418604651	CG
Fvb4	10450001	10500000	50000	*	3979	5564	0.715132997843278	CG
Fvb4	10500001	10550000	50000	*	17020	20973	0.811519572784056	CG
Fvb4	10550001	10600000	50000	*	8860	15848	0.559061080262494	CG
Fvb4	10600001	10650000	50000	*	14311	15660	0.913856960408685	CG
Fvb4	10650001	10700000	50000	*	11007	14600	0.753904109589041	CG
Fvb4	10700001	10750000	50000	*	1864	2224	0.838129496402878	CG
Fvb4	10750001	10800000	50000	*	5554	6228	0.891779062299293	CG
Fvb4	10800001	10850000	50000	*	8034	18052	0.445047640150676	CG
Fvb4	10850001	10900000	50000	*	12624	19353	0.652301968687025	CG
Fvb4	10900001	10950000	50000	*	12044	14372	0.838018369050932	CG
