seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb3	1	50000	50000	*	2445	78707	0.0310645812951834	CHH
Fvb3	50001	100000	50000	*	1243	133732	0.00929470882062633	CHH
Fvb3	100001	150000	50000	*	2192	126921	0.0172705856398862	CHH
Fvb3	150001	200000	50000	*	1204	129262	0.00931441568287664	CHH
Fvb3	200001	250000	50000	*	1515	114923	0.0131827397474831	CHH
Fvb3	250001	300000	50000	*	777	124223	0.00625488033616963	CHH
Fvb3	300001	350000	50000	*	4283	121792	0.0351665133998949	CHH
Fvb3	350001	400000	50000	*	5775	106652	0.0541480703596745	CHH
Fvb3	400001	450000	50000	*	431	62794	0.00686371309360767	CHH
Fvb3	450001	500000	50000	*	2349	117666	0.0199632859109683	CHH
Fvb3	500001	550000	50000	*	1920	118087	0.0162591987263628	CHH
Fvb3	550001	600000	50000	*	2014	95858	0.0210102443197229	CHH
Fvb3	600001	650000	50000	*	4531	74553	0.0607755556449774	CHH
Fvb3	650001	700000	50000	*	4845	108771	0.0445431227073393	CHH
Fvb3	700001	750000	50000	*	3057	129345	0.0236344659631219	CHH
Fvb3	750001	800000	50000	*	1871	121167	0.0154414980976669	CHH
Fvb3	800001	850000	50000	*	1266	53864	0.0235036387939997	CHH
Fvb3	850001	900000	50000	*	1404	130828	0.0107316476595224	CHH
Fvb3	900001	950000	50000	*	1460	104113	0.0140232247653991	CHH
Fvb3	950001	1000000	50000	*	1129	122495	0.0092167027225601	CHH
Fvb3	1000001	1050000	50000	*	1483	108144	0.0137131972185235	CHH
Fvb3	1050001	1100000	50000	*	1138	101394	0.0112235437994359	CHH
Fvb3	1100001	1150000	50000	*	1147	79879	0.0143592183177055	CHH
Fvb3	1150001	1200000	50000	*	1156	105113	0.0109976882022205	CHH
Fvb3	1200001	1250000	50000	*	1339	120546	0.0111077928757487	CHH
Fvb3	1250001	1300000	50000	*	2305	118110	0.0195157056980781	CHH
Fvb3	1300001	1350000	50000	*	1674	126323	0.0132517435463059	CHH
Fvb3	1350001	1400000	50000	*	849	115259	0.00736601913950321	CHH
Fvb3	1400001	1450000	50000	*	353	42085	0.00838778662231199	CHH
Fvb3	1450001	1500000	50000	*	1760	111547	0.0157781025038773	CHH
Fvb3	1500001	1550000	50000	*	3495	67813	0.0515387904973973	CHH
Fvb3	1550001	1600000	50000	*	1259	108256	0.0116298403783624	CHH
Fvb3	1600001	1650000	50000	*	1744	81111	0.0215013993169854	CHH
Fvb3	1650001	1700000	50000	*	1408	72013	0.0195520253287601	CHH
Fvb3	1700001	1750000	50000	*	3154	118728	0.0265649215012465	CHH
Fvb3	1750001	1800000	50000	*	2392	119259	0.0200571864597221	CHH
Fvb3	1800001	1850000	50000	*	1760	112448	0.0156516789982925	CHH
Fvb3	1850001	1900000	50000	*	850	88475	0.00960723368183103	CHH
Fvb3	1900001	1950000	50000	*	1367	85057	0.0160715755317023	CHH
Fvb3	1950001	2000000	50000	*	924	58971	0.0156687185226637	CHH
Fvb3	2000001	2050000	50000	*	4116	92667	0.0444171064132863	CHH
Fvb3	2050001	2100000	50000	*	1530	110583	0.0138357613738097	CHH
Fvb3	2100001	2150000	50000	*	1099	75939	0.0144721421140652	CHH
Fvb3	2150001	2200000	50000	*	1295	85910	0.0150739145617507	CHH
Fvb3	2200001	2250000	50000	*	1988	100598	0.0197618242907414	CHH
Fvb3	2250001	2300000	50000	*	2079	110457	0.018821803959912	CHH
Fvb3	2300001	2350000	50000	*	1543	135097	0.011421423125606	CHH
Fvb3	2350001	2400000	50000	*	2255	79205	0.0284704248469162	CHH
Fvb3	2400001	2450000	50000	*	4954	43213	0.114641427348252	CHH
Fvb3	2450001	2500000	50000	*	4402	120456	0.0365444643687321	CHH
Fvb3	2500001	2550000	50000	*	2907	116966	0.0248533761947916	CHH
Fvb3	2550001	2600000	50000	*	2207	120726	0.0182810662160595	CHH
Fvb3	2600001	2650000	50000	*	1996	118040	0.0169095221958658	CHH
Fvb3	2650001	2700000	50000	*	1606	114991	0.0139663104069014	CHH
Fvb3	2700001	2750000	50000	*	471	66067	0.00712912649280276	CHH
Fvb3	2750001	2800000	50000	*	1422	93692	0.0151773897451223	CHH
Fvb3	2800001	2850000	50000	*	1549	103970	0.0148985284216601	CHH
Fvb3	2850001	2900000	50000	*	1753	111849	0.0156729161637565	CHH
Fvb3	2900001	2950000	50000	*	1156	109360	0.0105705925384053	CHH
Fvb3	2950001	3000000	50000	*	1315	104924	0.0125328809423964	CHH
Fvb3	3000001	3050000	50000	*	1945	109668	0.0177353466827151	CHH
Fvb3	3050001	3100000	50000	*	8596	77249	0.111276521378918	CHH
Fvb3	3100001	3150000	50000	*	2173	87149	0.0249343079094424	CHH
Fvb3	3150001	3200000	50000	*	2223	97526	0.0227939216209011	CHH
Fvb3	3200001	3250000	50000	*	1956	102390	0.0191034280691474	CHH
Fvb3	3250001	3300000	50000	*	1976	116017	0.0170319866916055	CHH
Fvb3	3300001	3350000	50000	*	1380	97009	0.0142254842334216	CHH
Fvb3	3350001	3400000	50000	*	1665	95239	0.0174823339178278	CHH
Fvb3	3400001	3450000	50000	*	2636	98106	0.0268688969074267	CHH
Fvb3	3450001	3500000	50000	*	1167	86381	0.0135099153749088	CHH
Fvb3	3500001	3550000	50000	*	1431	120828	0.0118432813586255	CHH
Fvb3	3550001	3600000	50000	*	2179	94039	0.0231712374653069	CHH
Fvb3	3600001	3650000	50000	*	1757	108199	0.0162385973992366	CHH
Fvb3	3650001	3700000	50000	*	2616	104916	0.0249342331007663	CHH
Fvb3	3700001	3750000	50000	*	1329	85956	0.0154613988552283	CHH
Fvb3	3750001	3800000	50000	*	2543	115829	0.021954778164363	CHH
Fvb3	3800001	3850000	50000	*	1129	57221	0.0197305185159295	CHH
Fvb3	3850001	3900000	50000	*	4121	74325	0.0554456777665658	CHH
Fvb3	3900001	3950000	50000	*	3859	108073	0.0357073459606007	CHH
Fvb3	3950001	4000000	50000	*	2142	72516	0.0295383087870263	CHH
Fvb3	4000001	4050000	50000	*	3781	63855	0.059212277816929	CHH
Fvb3	4050001	4100000	50000	*	658	7595	0.0866359447004608	CHH
Fvb3	4100001	4150000	50000	*	450	6089	0.0739037608802759	CHH
Fvb3	4150001	4200000	50000	*	1169	52028	0.0224686707157684	CHH
Fvb3	4200001	4250000	50000	*	1570	89927	0.0174586053131985	CHH
Fvb3	4250001	4300000	50000	*	1058	115855	0.00913210478615511	CHH
Fvb3	4300001	4350000	50000	*	3261	108300	0.0301108033240997	CHH
Fvb3	4350001	4400000	50000	*	3535	109544	0.032270138026729	CHH
Fvb3	4400001	4450000	50000	*	923	117883	0.00782979734143176	CHH
Fvb3	4450001	4500000	50000	*	1104	116080	0.00951068228807719	CHH
Fvb3	4500001	4550000	50000	*	2164	119189	0.0181560378894025	CHH
