seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb5	1	50000	50000	*	7009	16091	0.435585109688646	CHG
Fvb5	50001	100000	50000	*	1682	18781	0.089558596453863	CHG
Fvb5	100001	150000	50000	*	466	24774	0.0188100427867926	CHG
Fvb5	150001	200000	50000	*	1385	22587	0.0613184575198123	CHG
Fvb5	200001	250000	50000	*	257	24561	0.0104637433329262	CHG
Fvb5	250001	300000	50000	*	320	27465	0.0116511924267249	CHG
Fvb5	300001	350000	50000	*	139	23936	0.00580715240641711	CHG
Fvb5	350001	400000	50000	*	411	28178	0.0145858471147704	CHG
Fvb5	400001	450000	50000	*	425	27944	0.0152089894073862	CHG
Fvb5	450001	500000	50000	*	341	25062	0.0136062564839199	CHG
Fvb5	500001	550000	50000	*	367	20091	0.0182668856702006	CHG
Fvb5	550001	600000	50000	*	805	20294	0.0396668966196905	CHG
Fvb5	600001	650000	50000	*	993	5493	0.180775532495904	CHG
Fvb5	650001	700000	50000	*	356	30521	0.0116641001277809	CHG
Fvb5	700001	750000	50000	*	575	23180	0.0248058671268335	CHG
Fvb5	750001	800000	50000	*	515	20459	0.0251722958111345	CHG
Fvb5	800001	850000	50000	*	771	24352	0.0316606438896189	CHG
Fvb5	850001	900000	50000	*	531	19582	0.0271167398631396	CHG
Fvb5	900001	950000	50000	*	216	21436	0.0100765068109722	CHG
Fvb5	950001	1000000	50000	*	1163	10836	0.107327427094869	CHG
Fvb5	1000001	1050000	50000	*	2957	4561	0.648322736242052	CHG
Fvb5	1050001	1100000	50000	*	528	21131	0.0249869859448204	CHG
Fvb5	1100001	1150000	50000	*	387	20676	0.0187173534532792	CHG
Fvb5	1150001	1200000	50000	*	775	25690	0.0301673803036201	CHG
Fvb5	1200001	1250000	50000	*	1025	18527	0.0553246613051223	CHG
Fvb5	1250001	1300000	50000	*	387	25060	0.0154429369513168	CHG
Fvb5	1300001	1350000	50000	*	1249	24626	0.050718752537968	CHG
Fvb5	1350001	1400000	50000	*	579	16227	0.0356812719541505	CHG
Fvb5	1400001	1450000	50000	*	165	21580	0.00764596848934198	CHG
Fvb5	1450001	1500000	50000	*	1525	19922	0.0765485393032828	CHG
Fvb5	1500001	1550000	50000	*	343	20105	0.0170604327281771	CHG
Fvb5	1550001	1600000	50000	*	897	21135	0.0424414478353442	CHG
Fvb5	1600001	1650000	50000	*	425	18606	0.0228420939481888	CHG
Fvb5	1650001	1700000	50000	*	524	19632	0.0266911165444173	CHG
Fvb5	1700001	1750000	50000	*	287	21913	0.0130972482088258	CHG
Fvb5	1750001	1800000	50000	*	300	23098	0.0129881375010823	CHG
