seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb3	1	50000	50000	*	2194	65359	0.0335684450496489	CHH
Fvb3	50001	100000	50000	*	1105	106183	0.0104065622557283	CHH
Fvb3	100001	150000	50000	*	1760	104028	0.0169185219364017	CHH
Fvb3	150001	200000	50000	*	862	105996	0.0081323823540511	CHH
Fvb3	200001	250000	50000	*	1187	87734	0.0135295324503613	CHH
Fvb3	250001	300000	50000	*	618	99282	0.00622469329787877	CHH
Fvb3	300001	350000	50000	*	3286	93493	0.0351470163541656	CHH
Fvb3	350001	400000	50000	*	3906	81954	0.047660882934329	CHH
Fvb3	400001	450000	50000	*	356	49095	0.00725124758122008	CHH
Fvb3	450001	500000	50000	*	1642	90385	0.0181667312053991	CHH
Fvb3	500001	550000	50000	*	1419	90013	0.0157643895881706	CHH
Fvb3	550001	600000	50000	*	1693	76249	0.0222035698828837	CHH
Fvb3	600001	650000	50000	*	3392	57315	0.0591817150833115	CHH
Fvb3	650001	700000	50000	*	3328	85509	0.0389198797787367	CHH
Fvb3	700001	750000	50000	*	2771	95185	0.0291117297893576	CHH
Fvb3	750001	800000	50000	*	1437	99055	0.0145070920195851	CHH
Fvb3	800001	850000	50000	*	1300	43240	0.0300647548566142	CHH
Fvb3	850001	900000	50000	*	1295	107503	0.0120461754555687	CHH
Fvb3	900001	950000	50000	*	1392	85902	0.0162045121184606	CHH
Fvb3	950001	1000000	50000	*	1020	100103	0.0101895048100457	CHH
Fvb3	1000001	1050000	50000	*	1278	90588	0.0141078288515035	CHH
Fvb3	1050001	1100000	50000	*	1127	82605	0.0136432419345076	CHH
Fvb3	1100001	1150000	50000	*	961	65792	0.0146066391050584	CHH
Fvb3	1150001	1200000	50000	*	856	79423	0.010777734409428	CHH
Fvb3	1200001	1250000	50000	*	1173	98043	0.0119641381842661	CHH
Fvb3	1250001	1300000	50000	*	1799	97353	0.0184791429129046	CHH
Fvb3	1300001	1350000	50000	*	1240	97323	0.0127410786761608	CHH
Fvb3	1350001	1400000	50000	*	771	94450	0.00816304923239809	CHH
Fvb3	1400001	1450000	50000	*	285	33351	0.00854547090042278	CHH
Fvb3	1450001	1500000	50000	*	1514	91614	0.0165258584932434	CHH
Fvb3	1500001	1550000	50000	*	2079	52489	0.0396082988816704	CHH
Fvb3	1550001	1600000	50000	*	989	84836	0.0116577867886275	CHH
Fvb3	1600001	1650000	50000	*	1454	63473	0.0229073779402266	CHH
Fvb3	1650001	1700000	50000	*	1339	60838	0.0220092705217134	CHH
Fvb3	1700001	1750000	50000	*	2598	94379	0.0275273101007639	CHH
Fvb3	1750001	1800000	50000	*	1831	93508	0.0195812123026907	CHH
Fvb3	1800001	1850000	50000	*	1364	87447	0.0155980193717337	CHH
Fvb3	1850001	1900000	50000	*	628	73853	0.00850337833263375	CHH
Fvb3	1900001	1950000	50000	*	1090	68375	0.0159414990859232	CHH
Fvb3	1950001	2000000	50000	*	675	47475	0.014218009478673	CHH
Fvb3	2000001	2050000	50000	*	3188	72934	0.0437107521869087	CHH
Fvb3	2050001	2100000	50000	*	1090	87075	0.01251794430089	CHH
Fvb3	2100001	2150000	50000	*	957	63136	0.0151577546882919	CHH
Fvb3	2150001	2200000	50000	*	1082	65997	0.0163946846068761	CHH
Fvb3	2200001	2250000	50000	*	1625	81371	0.0199702596748227	CHH
Fvb3	2250001	2300000	50000	*	1572	85544	0.0183765079958852	CHH
Fvb3	2300001	2350000	50000	*	1368	107505	0.0127249895353704	CHH
Fvb3	2350001	2400000	50000	*	1727	64741	0.0266755224664432	CHH
Fvb3	2400001	2450000	50000	*	3327	32014	0.103923283563441	CHH
Fvb3	2450001	2500000	50000	*	2995	91563	0.0327097189912956	CHH
Fvb3	2500001	2550000	50000	*	2776	89199	0.0311214251280844	CHH
Fvb3	2550001	2600000	50000	*	1699	93306	0.018208904036182	CHH
Fvb3	2600001	2650000	50000	*	1391	91711	0.0151672100402351	CHH
Fvb3	2650001	2700000	50000	*	1440	91484	0.0157404573477329	CHH
Fvb3	2700001	2750000	50000	*	412	53332	0.00772519312982825	CHH
Fvb3	2750001	2800000	50000	*	941	69133	0.0136114446067725	CHH
Fvb3	2800001	2850000	50000	*	1247	81059	0.0153838562035061	CHH
Fvb3	2850001	2900000	50000	*	1508	93197	0.0161807783512345	CHH
Fvb3	2900001	2950000	50000	*	804	88141	0.0091217481081449	CHH
Fvb3	2950001	3000000	50000	*	973	86185	0.0112896675755642	CHH
Fvb3	3000001	3050000	50000	*	1765	90833	0.0194312639679412	CHH
Fvb3	3050001	3100000	50000	*	5961	59998	0.0993533117770592	CHH
Fvb3	3100001	3150000	50000	*	1851	68393	0.0270641732341029	CHH
Fvb3	3150001	3200000	50000	*	2030	76261	0.0266191106856716	CHH
Fvb3	3200001	3250000	50000	*	1514	83096	0.0182198902474247	CHH
Fvb3	3250001	3300000	50000	*	1447	90067	0.0160658176690686	CHH
Fvb3	3300001	3350000	50000	*	1258	78842	0.0159559625580274	CHH
Fvb3	3350001	3400000	50000	*	1369	74404	0.0183995484113757	CHH
Fvb3	3400001	3450000	50000	*	2240	81028	0.0276447647726712	CHH
Fvb3	3450001	3500000	50000	*	1061	69759	0.0152095070170157	CHH
Fvb3	3500001	3550000	50000	*	962	97281	0.00988887860938929	CHH
Fvb3	3550001	3600000	50000	*	1900	73748	0.025763410533167	CHH
Fvb3	3600001	3650000	50000	*	1553	83234	0.0186582406228224	CHH
Fvb3	3650001	3700000	50000	*	1964	84155	0.0233378884201771	CHH
Fvb3	3700001	3750000	50000	*	1213	66785	0.0181627610990492	CHH
Fvb3	3750001	3800000	50000	*	2133	96248	0.022161499459729	CHH
Fvb3	3800001	3850000	50000	*	816	47291	0.0172548687911019	CHH
Fvb3	3850001	3900000	50000	*	2959	62223	0.0475547627083233	CHH
Fvb3	3900001	3950000	50000	*	2947	86517	0.0340626697643238	CHH
Fvb3	3950001	4000000	50000	*	1985	59516	0.0333523758317091	CHH
Fvb3	4000001	4050000	50000	*	2871	51018	0.05627425614489	CHH
Fvb3	4050001	4100000	50000	*	581	6172	0.0941348023331173	CHH
Fvb3	4100001	4150000	50000	*	371	4817	0.0770188914261989	CHH
Fvb3	4150001	4200000	50000	*	1026	41244	0.0248763456502764	CHH
Fvb3	4200001	4250000	50000	*	1121	70817	0.0158295324568959	CHH
Fvb3	4250001	4300000	50000	*	909	93217	0.00975144018794855	CHH
Fvb3	4300001	4350000	50000	*	2436	82155	0.0296512689428519	CHH
Fvb3	4350001	4400000	50000	*	2649	89437	0.0296186142200655	CHH
Fvb3	4400001	4450000	50000	*	772	97937	0.00788261841796257	CHH
Fvb3	4450001	4500000	50000	*	916	93773	0.00976827018438143	CHH
Fvb3	4500001	4550000	50000	*	1930	97331	0.0198292424818403	CHH
Fvb3	4550001	4600000	50000	*	2513	92755	0.027092879090076	CHH
Fvb3	4600001	4650000	50000	*	4034	62634	0.0644059137209822	CHH
Fvb3	4650001	4700000	50000	*	2125	90530	0.0234728819175964	CHH
Fvb3	4700001	4750000	50000	*	2026	87259	0.0232182353682715	CHH
Fvb3	4750001	4800000	50000	*	3847	91367	0.0421049175303994	CHH
Fvb3	4800001	4850000	50000	*	1524	97535	0.015625160198903	CHH
Fvb3	4850001	4900000	50000	*	2280	88386	0.0257959405335687	CHH
Fvb3	4900001	4950000	50000	*	1220	91288	0.0133642976075716	CHH
Fvb3	4950001	5000000	50000	*	1703	81932	0.0207855294634575	CHH
Fvb3	5000001	5050000	50000	*	3963	72320	0.0547981194690265	CHH
Fvb3	5050001	5100000	50000	*	1083	83772	0.0129279472854892	CHH
Fvb3	5100001	5150000	50000	*	1578	73715	0.0214067693142508	CHH
Fvb3	5150001	5200000	50000	*	1574	75678	0.0207986468987024	CHH
Fvb3	5200001	5250000	50000	*	2748	60705	0.0452680998270324	CHH
Fvb3	5250001	5300000	50000	*	1447	77110	0.0187654000778109	CHH
Fvb3	5300001	5350000	50000	*	2108	65418	0.032223547035984	CHH
Fvb3	5350001	5400000	50000	*	2145	73745	0.0290867177435758	CHH
Fvb3	5400001	5450000	50000	*	1364	67325	0.0202599331600446	CHH
Fvb3	5450001	5500000	50000	*	1990	86024	0.0231330791407049	CHH
Fvb3	5500001	5550000	50000	*	1729	97853	0.0176693611846341	CHH
Fvb3	5550001	5600000	50000	*	1117	19400	0.0575773195876289	CHH
Fvb3	5600001	5650000	50000	*	958	80413	0.011913496573937	CHH
Fvb3	5650001	5700000	50000	*	1757	66231	0.0265283628512328	CHH
Fvb3	5700001	5750000	50000	*	674	49209	0.0136966815013514	CHH
Fvb3	5750001	5800000	50000	*	960	99032	0.00969383633572986	CHH
Fvb3	5800001	5850000	50000	*	1243	79042	0.0157258166544369	CHH
Fvb3	5850001	5900000	50000	*	1134	82583	0.0137316396837121	CHH
Fvb3	5900001	5950000	50000	*	660	64687	0.0102029774143182	CHH
Fvb3	5950001	6000000	50000	*	561	114494	0.00489982007790801	CHH
Fvb3	6000001	6050000	50000	*	464	54832	0.00846221184709659	CHH
Fvb3	6050001	6100000	50000	*	1905	32010	0.0595126522961575	CHH
