seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb7	1	50000	50000	*	33	168	0.196428571428571	CHG
Fvb7	50001	100000	50000	*	0	0	0	CHG
Fvb7	100001	150000	50000	*	0	0	0	CHG
Fvb7	150001	200000	50000	*	0	0	0	CHG
Fvb7	200001	250000	50000	*	0	0	0	CHG
Fvb7	250001	300000	50000	*	0	0	0	CHG
Fvb7	300001	350000	50000	*	0	0	0	CHG
Fvb7	350001	400000	50000	*	0	0	0	CHG
Fvb7	400001	450000	50000	*	0	0	0	CHG
Fvb7	450001	500000	50000	*	0	0	0	CHG
Fvb7	500001	550000	50000	*	0	0	0	CHG
Fvb7	550001	600000	50000	*	1	1	1	CHG
Fvb7	600001	650000	50000	*	16718	28941	0.577657993849556	CHG
Fvb7	650001	700000	50000	*	6925	32163	0.215309517147032	CHG
Fvb7	700001	750000	50000	*	8561	22010	0.388959563834621	CHG
Fvb7	750001	800000	50000	*	4845	38499	0.125847424608431	CHG
Fvb7	800001	850000	50000	*	14573	29256	0.498120043751709	CHG
Fvb7	850001	900000	50000	*	5879	22243	0.26430787213955	CHG
Fvb7	900001	950000	50000	*	14183	24254	0.584769522552981	CHG
Fvb7	950001	1000000	50000	*	7749	17367	0.446191051995163	CHG
Fvb7	1000001	1050000	50000	*	10744	26997	0.397970144830907	CHG
Fvb7	1050001	1100000	50000	*	9640	21464	0.449124114796869	CHG
Fvb7	1100001	1150000	50000	*	7597	33732	0.225216411715878	CHG
Fvb7	1150001	1200000	50000	*	6256	36233	0.172660282063312	CHG
Fvb7	1200001	1250000	50000	*	10626	23571	0.450808196512664	CHG
Fvb7	1250001	1300000	50000	*	9271	27626	0.335589661912691	CHG
Fvb7	1300001	1350000	50000	*	6421	31563	0.203434401039191	CHG
Fvb7	1350001	1400000	50000	*	7327	30346	0.241448625848547	CHG
Fvb7	1400001	1450000	50000	*	4665	30153	0.154710974032435	CHG
Fvb7	1450001	1500000	50000	*	6710	28997	0.231403248611925	CHG
Fvb7	1500001	1550000	50000	*	4438	32413	0.136920371455897	CHG
Fvb7	1550001	1600000	50000	*	7047	36559	0.192756913482316	CHG
Fvb7	1600001	1650000	50000	*	5407	36329	0.148834264637067	CHG
Fvb7	1650001	1700000	50000	*	6505	36474	0.178346219224653	CHG
Fvb7	1700001	1750000	50000	*	9915	23810	0.416421671566569	CHG
Fvb7	1750001	1800000	50000	*	4855	32111	0.151194294789947	CHG
Fvb7	1800001	1850000	50000	*	6998	25874	0.270464559016774	CHG
Fvb7	1850001	1900000	50000	*	7987	30685	0.260290043995438	CHG
Fvb7	1900001	1950000	50000	*	5517	28458	0.193864642631246	CHG
Fvb7	1950001	2000000	50000	*	6356	34970	0.181755790677724	CHG
Fvb7	2000001	2050000	50000	*	3634	32309	0.112476399764771	CHG
Fvb7	2050001	2100000	50000	*	5969	27025	0.220869565217391	CHG
Fvb7	2100001	2150000	50000	*	9198	20918	0.439716990152022	CHG
Fvb7	2150001	2200000	50000	*	3153	34842	0.0904942311003961	CHG
Fvb7	2200001	2250000	50000	*	11385	25265	0.45062339204433	CHG
Fvb7	2250001	2300000	50000	*	10980	31943	0.343737282033622	CHG
Fvb7	2300001	2350000	50000	*	11240	36760	0.305767138193689	CHG
Fvb7	2350001	2400000	50000	*	3168	36915	0.0858187728565624	CHG
Fvb7	2400001	2450000	50000	*	5980	33557	0.178204249485949	CHG
Fvb7	2450001	2500000	50000	*	10204	26293	0.388088084280987	CHG
Fvb7	2500001	2550000	50000	*	10976	29850	0.367705192629816	CHG
Fvb7	2550001	2600000	50000	*	12648	29796	0.424486508256142	CHG
Fvb7	2600001	2650000	50000	*	5508	32814	0.167855183763028	CHG
Fvb7	2650001	2700000	50000	*	3891	35552	0.109445319531953	CHG
Fvb7	2700001	2750000	50000	*	7568	30076	0.251629206011438	CHG
Fvb7	2750001	2800000	50000	*	6991	28151	0.248339312990658	CHG
Fvb7	2800001	2850000	50000	*	6148	31918	0.192618585124381	CHG
Fvb7	2850001	2900000	50000	*	8468	17893	0.473257698541329	CHG
Fvb7	2900001	2950000	50000	*	5988	33948	0.176387416048074	CHG
Fvb7	2950001	3000000	50000	*	7191	31091	0.231288797401177	CHG
Fvb7	3000001	3050000	50000	*	4885	36575	0.133561175666439	CHG
Fvb7	3050001	3100000	50000	*	7537	29332	0.256954861584617	CHG
Fvb7	3100001	3150000	50000	*	7052	32095	0.219722698239601	CHG
Fvb7	3150001	3200000	50000	*	4877	40258	0.121143623627602	CHG
Fvb7	3200001	3250000	50000	*	7568	25585	0.295798319327731	CHG
Fvb7	3250001	3300000	50000	*	8678	32210	0.269419434958088	CHG
Fvb7	3300001	3350000	50000	*	12498	23596	0.529666045092389	CHG
Fvb7	3350001	3400000	50000	*	9553	24947	0.382931815448751	CHG
Fvb7	3400001	3450000	50000	*	1841	37895	0.0485816070721731	CHG
Fvb7	3450001	3500000	50000	*	10990	29461	0.373035538508537	CHG
Fvb7	3500001	3550000	50000	*	6015	32314	0.186142229374265	CHG
Fvb7	3550001	3600000	50000	*	7730	27260	0.283565663976522	CHG
Fvb7	3600001	3650000	50000	*	4877	29384	0.165974680098013	CHG
Fvb7	3650001	3700000	50000	*	9719	31137	0.312136686257507	CHG
Fvb7	3700001	3750000	50000	*	15397	37863	0.40665029184164	CHG
Fvb7	3750001	3800000	50000	*	13514	28421	0.475493473136061	CHG
Fvb7	3800001	3850000	50000	*	10105	28887	0.34981133381798	CHG
Fvb7	3850001	3900000	50000	*	6168	27990	0.220364415862808	CHG
Fvb7	3900001	3950000	50000	*	16331	28933	0.564441986658832	CHG
Fvb7	3950001	4000000	50000	*	4192	32963	0.127172890816977	CHG
Fvb7	4000001	4050000	50000	*	13479	21521	0.626318479624553	CHG
Fvb7	4050001	4100000	50000	*	17577	28020	0.627301927194861	CHG
Fvb7	4100001	4150000	50000	*	9186	14779	0.621557615535557	CHG
Fvb7	4150001	4200000	50000	*	14314	21003	0.681521687377994	CHG
Fvb7	4200001	4250000	50000	*	6773	32475	0.208560431100847	CHG
Fvb7	4250001	4300000	50000	*	3926	36945	0.106266071186899	CHG
Fvb7	4300001	4350000	50000	*	8535	19523	0.43717666342263	CHG
Fvb7	4350001	4400000	50000	*	4379	31739	0.137969060146823	CHG
Fvb7	4400001	4450000	50000	*	9789	26519	0.369131566046985	CHG
Fvb7	4450001	4500000	50000	*	3274	35616	0.0919249775381851	CHG
Fvb7	4500001	4550000	50000	*	10259	24167	0.424504489593247	CHG
Fvb7	4550001	4600000	50000	*	10603	24093	0.440086332129664	CHG
Fvb7	4600001	4650000	50000	*	8362	31212	0.267909778290401	CHG
Fvb7	4650001	4700000	50000	*	10266	27137	0.378302686369164	CHG
Fvb7	4700001	4750000	50000	*	9431	27743	0.339941606891829	CHG
Fvb7	4750001	4800000	50000	*	4870	36638	0.132922102734865	CHG
Fvb7	4800001	4850000	50000	*	1656	26025	0.0636311239193084	CHG
Fvb7	4850001	4900000	50000	*	7183	31670	0.226807704452163	CHG
Fvb7	4900001	4950000	50000	*	2580	39117	0.0659559782191886	CHG
Fvb7	4950001	5000000	50000	*	1109	29201	0.0379781514331701	CHG
Fvb7	5000001	5050000	50000	*	3455	37228	0.0928064897389062	CHG
Fvb7	5050001	5100000	50000	*	3597	30910	0.116370106761566	CHG
Fvb7	5100001	5150000	50000	*	1204	40133	0.0300002491715047	CHG
Fvb7	5150001	5200000	50000	*	5104	35177	0.145094806265458	CHG
Fvb7	5200001	5250000	50000	*	2851	31621	0.0901616014673793	CHG
Fvb7	5250001	5300000	50000	*	1930	37296	0.0517481767481767	CHG
Fvb7	5300001	5350000	50000	*	3733	36240	0.103007726269316	CHG
Fvb7	5350001	5400000	50000	*	5130	29158	0.175937993003635	CHG
Fvb7	5400001	5450000	50000	*	6097	35299	0.17272443978583	CHG
Fvb7	5450001	5500000	50000	*	5364	45368	0.118233115852583	CHG
