seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb3	1	50000	50000	*	4882	137270	0.0355649449989073	CHH
Fvb3	50001	100000	50000	*	2073	202052	0.0102597351176925	CHH
Fvb3	100001	150000	50000	*	2398	172861	0.0138724177229103	CHH
Fvb3	150001	200000	50000	*	1873	188576	0.00993233497369761	CHH
Fvb3	200001	250000	50000	*	3016	174861	0.0172479855428026	CHH
Fvb3	250001	300000	50000	*	1448	166520	0.00869565217391304	CHH
Fvb3	300001	350000	50000	*	14110	185082	0.0762364789660799	CHH
Fvb3	350001	400000	50000	*	24745	185220	0.133597883597884	CHH
Fvb3	400001	450000	50000	*	1629	162566	0.0100205455015194	CHH
Fvb3	450001	500000	50000	*	2719	176419	0.0154121721583276	CHH
Fvb3	500001	550000	50000	*	2959	173240	0.0170803509582083	CHH
Fvb3	550001	600000	50000	*	5529	157634	0.0350749203851961	CHH
Fvb3	600001	650000	50000	*	18721	140415	0.133326211587081	CHH
Fvb3	650001	700000	50000	*	18644	174423	0.106889573049426	CHH
Fvb3	700001	750000	50000	*	4056	168435	0.0240805058331107	CHH
Fvb3	750001	800000	50000	*	3503	175662	0.0199417062312851	CHH
Fvb3	800001	850000	50000	*	6153	146315	0.0420531046030824	CHH
Fvb3	850001	900000	50000	*	1809	189858	0.00952817368770344	CHH
Fvb3	900001	950000	50000	*	2978	156673	0.0190077422402073	CHH
Fvb3	950001	1000000	50000	*	1781	184982	0.00962796380188343	CHH
Fvb3	1000001	1050000	50000	*	3267	158413	0.020623307430577	CHH
Fvb3	1050001	1100000	50000	*	1875	139597	0.0134315207346863	CHH
Fvb3	1100001	1150000	50000	*	1844	125263	0.0147210269592777	CHH
Fvb3	1150001	1200000	50000	*	2406	177296	0.0135705261258009	CHH
Fvb3	1200001	1250000	50000	*	1166	164686	0.00708014038837545	CHH
Fvb3	1250001	1300000	50000	*	3234	157959	0.0204736672174425	CHH
Fvb3	1300001	1350000	50000	*	3591	169051	0.0212421103690602	CHH
Fvb3	1350001	1400000	50000	*	1781	179307	0.00993268528278316	CHH
Fvb3	1400001	1450000	50000	*	461	66593	0.00692264952772814	CHH
Fvb3	1450001	1500000	50000	*	2459	124519	0.0197479902665457	CHH
Fvb3	1500001	1550000	50000	*	9992	160992	0.062065195786126	CHH
Fvb3	1550001	1600000	50000	*	1489	161892	0.00919748968448101	CHH
Fvb3	1600001	1650000	50000	*	3563	129699	0.0274712989306009	CHH
Fvb3	1650001	1700000	50000	*	5462	138315	0.0394895709069877	CHH
Fvb3	1700001	1750000	50000	*	2798	175216	0.0159688612912063	CHH
Fvb3	1750001	1800000	50000	*	3522	159714	0.022051917803073	CHH
Fvb3	1800001	1850000	50000	*	1486	119375	0.012448167539267	CHH
Fvb3	1850001	1900000	50000	*	1937	174453	0.0111032771004225	CHH
Fvb3	1900001	1950000	50000	*	2620	148022	0.0177000716109767	CHH
Fvb3	1950001	2000000	50000	*	3572	167332	0.0213467836397103	CHH
Fvb3	2000001	2050000	50000	*	4069	135676	0.0299905657596038	CHH
Fvb3	2050001	2100000	50000	*	2481	163734	0.0151526256000586	CHH
Fvb3	2100001	2150000	50000	*	2960	151041	0.019597327877861	CHH
Fvb3	2150001	2200000	50000	*	4440	146992	0.0302057254816589	CHH
Fvb3	2200001	2250000	50000	*	4325	162419	0.0266286579772071	CHH
Fvb3	2250001	2300000	50000	*	3750	162530	0.0230726635082754	CHH
Fvb3	2300001	2350000	50000	*	3946	168986	0.023351046832282	CHH
Fvb3	2350001	2400000	50000	*	1960	87740	0.0223387280601778	CHH
Fvb3	2400001	2450000	50000	*	25015	119055	0.210112972995674	CHH
Fvb3	2450001	2500000	50000	*	7461	169248	0.0440832387975043	CHH
Fvb3	2500001	2550000	50000	*	3962	164579	0.0240735452275199	CHH
Fvb3	2550001	2600000	50000	*	3043	167206	0.0181991076875232	CHH
Fvb3	2600001	2650000	50000	*	2063	167651	0.0123053247520146	CHH
Fvb3	2650001	2700000	50000	*	2890	174135	0.0165963189479427	CHH
Fvb3	2700001	2750000	50000	*	921	91603	0.0100542558649826	CHH
Fvb3	2750001	2800000	50000	*	3713	131087	0.0283247003898175	CHH
Fvb3	2800001	2850000	50000	*	1987	165089	0.0120359321335764	CHH
Fvb3	2850001	2900000	50000	*	2704	180909	0.0149467411792669	CHH
Fvb3	2900001	2950000	50000	*	1883	191036	0.00985678092087355	CHH
Fvb3	2950001	3000000	50000	*	1955	175208	0.0111581662937765	CHH
Fvb3	3000001	3050000	50000	*	2179	170954	0.0127461188389859	CHH
Fvb3	3050001	3100000	50000	*	21397	164970	0.129702370127902	CHH
Fvb3	3100001	3150000	50000	*	5242	143901	0.0364278219053377	CHH
Fvb3	3150001	3200000	50000	*	3162	150073	0.021069746056919	CHH
Fvb3	3200001	3250000	50000	*	2584	144451	0.0178884189102187	CHH
Fvb3	3250001	3300000	50000	*	2660	149220	0.0178260286824822	CHH
Fvb3	3300001	3350000	50000	*	3293	146127	0.0225351919905288	CHH
Fvb3	3350001	3400000	50000	*	3657	153037	0.0238961819690663	CHH
Fvb3	3400001	3450000	50000	*	2452	143272	0.0171143000725892	CHH
Fvb3	3450001	3500000	50000	*	3116	146813	0.0212242785039472	CHH
Fvb3	3500001	3550000	50000	*	1985	186656	0.0106345362592148	CHH
Fvb3	3550001	3600000	50000	*	4773	150972	0.0316151339321199	CHH
Fvb3	3600001	3650000	50000	*	2763	162220	0.0170324251017137	CHH
Fvb3	3650001	3700000	50000	*	3466	155683	0.0222631886590058	CHH
Fvb3	3700001	3750000	50000	*	3137	154967	0.020243019481567	CHH
Fvb3	3750001	3800000	50000	*	3197	174221	0.0183502562836857	CHH
Fvb3	3800001	3850000	50000	*	4504	152457	0.029542756318175	CHH
Fvb3	3850001	3900000	50000	*	18088	147123	0.122944746912447	CHH
Fvb3	3900001	3950000	50000	*	8262	177448	0.0465601190207836	CHH
Fvb3	3950001	4000000	50000	*	4220	159286	0.0264932260211192	CHH
Fvb3	4000001	4050000	50000	*	4131	105900	0.0390084985835694	CHH
Fvb3	4050001	4100000	50000	*	3675	45032	0.081608633860366	CHH
Fvb3	4100001	4150000	50000	*	184	2433	0.0756267981915331	CHH
Fvb3	4150001	4200000	50000	*	635	62594	0.0101447423075694	CHH
Fvb3	4200001	4250000	50000	*	2402	136087	0.0176504735940979	CHH
Fvb3	4250001	4300000	50000	*	1858	184952	0.010045849733985	CHH
Fvb3	4300001	4350000	50000	*	5128	163836	0.031299592275202	CHH
Fvb3	4350001	4400000	50000	*	4462	158822	0.0280943446122074	CHH
Fvb3	4400001	4450000	50000	*	1801	188090	0.00957520336009357	CHH
Fvb3	4450001	4500000	50000	*	1996	196630	0.0101510451101053	CHH
Fvb3	4500001	4550000	50000	*	2480	176196	0.0140752343980567	CHH
Fvb3	4550001	4600000	50000	*	3772	156557	0.0240934611674981	CHH
Fvb3	4600001	4650000	50000	*	4586	123254	0.0372077173965956	CHH
Fvb3	4650001	4700000	50000	*	2859	159588	0.0179148808181066	CHH
Fvb3	4700001	4750000	50000	*	4286	158149	0.0271010249827694	CHH
Fvb3	4750001	4800000	50000	*	10947	155636	0.0703371970495258	CHH
Fvb3	4800001	4850000	50000	*	2539	170952	0.0148521222331415	CHH
Fvb3	4850001	4900000	50000	*	5642	167106	0.0337630007300755	CHH
Fvb3	4900001	4950000	50000	*	2144	166554	0.0128727019465158	CHH
Fvb3	4950001	5000000	50000	*	3179	172965	0.0183794409273552	CHH
Fvb3	5000001	5050000	50000	*	7106	149889	0.0474084155608484	CHH
Fvb3	5050001	5100000	50000	*	2322	172468	0.0134633671173783	CHH
Fvb3	5100001	5150000	50000	*	2854	147714	0.0193211205437535	CHH
Fvb3	5150001	5200000	50000	*	3019	145291	0.0207789883750542	CHH
Fvb3	5200001	5250000	50000	*	5865	127194	0.0461106655974338	CHH
Fvb3	5250001	5300000	50000	*	2543	155841	0.0163179137710872	CHH
Fvb3	5300001	5350000	50000	*	4693	129387	0.0362710318656434	CHH
Fvb3	5350001	5400000	50000	*	4858	134263	0.0361827160126021	CHH
Fvb3	5400001	5450000	50000	*	2384	137936	0.0172833777983993	CHH
Fvb3	5450001	5500000	50000	*	2844	159585	0.0178212237992292	CHH
Fvb3	5500001	5550000	50000	*	2647	181179	0.0146098609662268	CHH
Fvb3	5550001	5600000	50000	*	5260	151405	0.0347412568937618	CHH
Fvb3	5600001	5650000	50000	*	2395	161703	0.0148111043085162	CHH
Fvb3	5650001	5700000	50000	*	5879	138027	0.0425931158396546	CHH
Fvb3	5700001	5750000	50000	*	4763	132506	0.0359455420886601	CHH
Fvb3	5750001	5800000	50000	*	1434	166835	0.00859531872808464	CHH
Fvb3	5800001	5850000	50000	*	2075	150664	0.0137723676525248	CHH
