seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb3	1	50000	50000	*	13047	21042	0.620045623039635	CG
Fvb3	50001	100000	50000	*	6123	26090	0.234687619777693	CG
Fvb3	100001	150000	50000	*	6285	24022	0.261635167762884	CG
Fvb3	150001	200000	50000	*	7905	26154	0.302248222069282	CG
Fvb3	200001	250000	50000	*	4684	30669	0.15272750986338	CG
Fvb3	250001	300000	50000	*	4403	19982	0.220348313482134	CG
Fvb3	300001	350000	50000	*	9712	28458	0.34127486119896	CG
Fvb3	350001	400000	50000	*	13441	31839	0.42215521844279	CG
Fvb3	400001	450000	50000	*	2801	24602	0.113852532314446	CG
Fvb3	450001	500000	50000	*	7307	33328	0.219245079212674	CG
Fvb3	500001	550000	50000	*	6104	31093	0.196314282957579	CG
Fvb3	550001	600000	50000	*	9285	25986	0.357307781112907	CG
Fvb3	600001	650000	50000	*	11783	23337	0.504906371855851	CG
Fvb3	650001	700000	50000	*	11912	34432	0.345957249070632	CG
Fvb3	700001	750000	50000	*	8525	23607	0.361121701190325	CG
Fvb3	750001	800000	50000	*	7169	20047	0.357609617399112	CG
Fvb3	800001	850000	50000	*	12169	21116	0.576292858495927	CG
Fvb3	850001	900000	50000	*	2767	33395	0.0828567150771073	CG
Fvb3	900001	950000	50000	*	5845	20191	0.289485414293497	CG
Fvb3	950001	1000000	50000	*	3475	28510	0.121887057172922	CG
Fvb3	1000001	1050000	50000	*	8819	20129	0.438124099557852	CG
Fvb3	1050001	1100000	50000	*	3949	23947	0.164905833716123	CG
Fvb3	1100001	1150000	50000	*	2952	21471	0.13748777420707	CG
Fvb3	1150001	1200000	50000	*	9540	26388	0.361527967257844	CG
Fvb3	1200001	1250000	50000	*	6442	23731	0.271459272681303	CG
Fvb3	1250001	1300000	50000	*	5547	22758	0.243738465594516	CG
Fvb3	1300001	1350000	50000	*	8070	28946	0.278794997581704	CG
Fvb3	1350001	1400000	50000	*	3022	26050	0.116007677543186	CG
Fvb3	1400001	1450000	50000	*	573	10749	0.0533072843985487	CG
Fvb3	1450001	1500000	50000	*	2672	26917	0.0992681205186313	CG
Fvb3	1500001	1550000	50000	*	16042	28499	0.562896943752412	CG
Fvb3	1550001	1600000	50000	*	4546	29804	0.152529861763522	CG
Fvb3	1600001	1650000	50000	*	8176	18135	0.450840915357044	CG
Fvb3	1650001	1700000	50000	*	6912	22655	0.305098212315162	CG
Fvb3	1700001	1750000	50000	*	4729	27819	0.169991732269312	CG
Fvb3	1750001	1800000	50000	*	6006	19491	0.308142219485917	CG
Fvb3	1800001	1850000	50000	*	3296	13282	0.248155398283391	CG
Fvb3	1850001	1900000	50000	*	4215	18191	0.23170798746633	CG
Fvb3	1900001	1950000	50000	*	6271	19563	0.320554107243265	CG
Fvb3	1950001	2000000	50000	*	5674	26521	0.213943667282531	CG
Fvb3	2000001	2050000	50000	*	8562	20199	0.423882370414377	CG
Fvb3	2050001	2100000	50000	*	2946	25327	0.116318553322541	CG
Fvb3	2100001	2150000	50000	*	5785	24302	0.238046251337338	CG
Fvb3	2150001	2200000	50000	*	4995	25285	0.197547953332015	CG
Fvb3	2200001	2250000	50000	*	4922	25858	0.190347281305592	CG
Fvb3	2250001	2300000	50000	*	9212	24893	0.370063873378058	CG
Fvb3	2300001	2350000	50000	*	5746	29688	0.193546213958502	CG
Fvb3	2350001	2400000	50000	*	2940	8307	0.353918382087396	CG
Fvb3	2400001	2450000	50000	*	15163	19796	0.765962820771873	CG
Fvb3	2450001	2500000	50000	*	6536	19985	0.327045283962972	CG
Fvb3	2500001	2550000	50000	*	6257	19457	0.321580922033201	CG
Fvb3	2550001	2600000	50000	*	7538	22216	0.339305005401512	CG
