group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	AK0H	Fvb1	1	50000	50000	*	15937	36198	0.440272943256533	CG
1	AK0H	Fvb1	50001	100000	50000	*	10689	36070	0.296340449126698	CG
1	AK0H	Fvb1	100001	150000	50000	*	9367	45718	0.204886477973665	CG
1	AK0H	Fvb1	150001	200000	50000	*	11148	43350	0.257162629757785	CG
1	AK0H	Fvb1	200001	250000	50000	*	10804	44626	0.242101017344149	CG
1	AK0H	Fvb1	250001	300000	50000	*	25343	43930	0.576895060323242	CG
1	AK0H	Fvb1	300001	350000	50000	*	12018	39480	0.304407294832827	CG
1	AK0H	Fvb1	350001	400000	50000	*	12867	52447	0.245333384178313	CG
1	AK0H	Fvb1	400001	450000	50000	*	13958	39450	0.353814955640051	CG
1	AK0H	Fvb1	450001	500000	50000	*	13269	32019	0.414410193947344	CG
1	AK0H	Fvb1	500001	550000	50000	*	8237	32320	0.254857673267327	CG
1	AK0H	Fvb1	550001	600000	50000	*	10675	37296	0.286223723723724	CG
1	AK0H	Fvb1	600001	650000	50000	*	7651	24674	0.310083488692551	CG
1	AK0H	Fvb1	650001	700000	50000	*	3182	19074	0.166823948830869	CG
1	AK0H	Fvb1	700001	750000	50000	*	18436	50006	0.368675758908931	CG
1	AK0H	Fvb1	750001	800000	50000	*	29098	46884	0.620638170804539	CG
1	AK0H	Fvb1	800001	850000	50000	*	20743	38021	0.545566923542253	CG
1	AK0H	Fvb1	850001	900000	50000	*	10028	43541	0.230311660274224	CG
1	AK0H	Fvb1	900001	950000	50000	*	9490	41327	0.229631959735766	CG
1	AK0H	Fvb1	950001	1000000	50000	*	9796	38241	0.256164849245574	CG
1	AK0H	Fvb1	1000001	1050000	50000	*	8398	48517	0.173093967063091	CG
1	AK0H	Fvb1	1050001	1100000	50000	*	8714	37854	0.230200243039045	CG
1	AK0H	Fvb1	1100001	1150000	50000	*	6691	22111	0.302609560852065	CG
1	AK0H	Fvb1	1150001	1200000	50000	*	10358	31064	0.333440638681432	CG
1	AK0H	Fvb1	1200001	1250000	50000	*	2932	15955	0.183766844249452	CG
1	AK0H	Fvb1	1250001	1300000	50000	*	718	855	0.839766081871345	CG
1	AK0H	Fvb1	1300001	1350000	50000	*	2904	12226	0.237526582692622	CG
1	AK0H	Fvb1	1350001	1400000	50000	*	10329	31576	0.327115530782873	CG
1	AK0H	Fvb1	1400001	1450000	50000	*	12828	39586	0.324053958470166	CG
1	AK0H	Fvb1	1450001	1500000	50000	*	10239	44537	0.229898735882525	CG
1	AK0H	Fvb1	1500001	1550000	50000	*	10104	41350	0.244353083434099	CG
1	AK0H	Fvb1	1550001	1600000	50000	*	13497	43786	0.30824921207692	CG
1	AK0H	Fvb1	1600001	1650000	50000	*	9087	35631	0.255030731666246	CG
1	AK0H	Fvb1	1650001	1700000	50000	*	8323	39233	0.212142838936609	CG
1	AK0H	Fvb1	1700001	1750000	50000	*	12469	42616	0.292589637694763	CG
1	AK0H	Fvb1	1750001	1800000	50000	*	8292	39922	0.207705024798357	CG
1	AK0H	Fvb1	1800001	1850000	50000	*	9927	34595	0.286948981066628	CG
1	AK0H	Fvb1	1850001	1900000	50000	*	12765	48363	0.263941442838534	CG
1	AK0H	Fvb1	1900001	1950000	50000	*	10520	47077	0.223463687150838	CG
1	AK0H	Fvb1	1950001	2000000	50000	*	9872	43190	0.228571428571429	CG
1	AK0H	Fvb1	2000001	2050000	50000	*	9211	36806	0.250258110090746	CG
1	AK0H	Fvb1	2050001	2100000	50000	*	10413	41346	0.251850239442751	CG
1	AK0H	Fvb1	2100001	2150000	50000	*	12069	39092	0.308733244653638	CG
1	AK0H	Fvb1	2150001	2200000	50000	*	5632	52497	0.107282320894527	CG
1	AK0H	Fvb1	2200001	2250000	50000	*	13298	39809	0.334045065186264	CG
1	AK0H	Fvb1	2250001	2300000	50000	*	12827	31124	0.412125690785246	CG
1	AK0H	Fvb1	2300001	2350000	50000	*	14639	46564	0.314384503049566	CG
1	AK0H	Fvb1	2350001	2400000	50000	*	6032	35038	0.172155944974028	CG
1	AK0H	Fvb1	2400001	2450000	50000	*	7785	23920	0.325459866220736	CG
1	AK0H	Fvb1	2450001	2500000	50000	*	17623	36473	0.483179338140542	CG
1	AK0H	Fvb1	2500001	2550000	50000	*	8632	48723	0.177164788703487	CG
1	AK0H	Fvb1	2550001	2600000	50000	*	19871	32652	0.608569153497489	CG
1	AK0H	Fvb1	2600001	2650000	50000	*	15454	36555	0.422760224319519	CG
1	AK0H	Fvb1	2650001	2700000	50000	*	11047	50245	0.219862672902776	CG
1	AK0H	Fvb1	2700001	2750000	50000	*	10891	42578	0.255789374794495	CG
1	AK0H	Fvb1	2750001	2800000	50000	*	7431	42370	0.175383526079773	CG
1	AK0H	Fvb1	2800001	2850000	50000	*	10210	37831	0.269884486267876	CG
1	AK0H	Fvb1	2850001	2900000	50000	*	8032	40836	0.196689195807621	CG
1	AK0H	Fvb1	2900001	2950000	50000	*	5186	51568	0.100566242631089	CG
1	AK0H	Fvb1	2950001	3000000	50000	*	12272	33245	0.369138216273124	CG
1	AK0H	Fvb1	3000001	3050000	50000	*	11838	48808	0.242542206195706	CG
