group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	AL0H	Fvb1	1	50000	50000	*	11650	27946	0.416875402562084	CG
1	AL0H	Fvb1	50001	100000	50000	*	8028	27720	0.28961038961039	CG
1	AL0H	Fvb1	100001	150000	50000	*	7183	33965	0.211482408361549	CG
1	AL0H	Fvb1	150001	200000	50000	*	9280	36657	0.253157650653354	CG
1	AL0H	Fvb1	200001	250000	50000	*	8666	35606	0.243385946188845	CG
1	AL0H	Fvb1	250001	300000	50000	*	19768	34974	0.565219877623377	CG
1	AL0H	Fvb1	300001	350000	50000	*	8453	28941	0.292076984209253	CG
1	AL0H	Fvb1	350001	400000	50000	*	9772	42074	0.232257451157484	CG
1	AL0H	Fvb1	400001	450000	50000	*	9655	28160	0.342862215909091	CG
1	AL0H	Fvb1	450001	500000	50000	*	9297	23319	0.398687765341567	CG
1	AL0H	Fvb1	500001	550000	50000	*	5612	23509	0.238717087073036	CG
1	AL0H	Fvb1	550001	600000	50000	*	8667	30720	0.28212890625	CG
1	AL0H	Fvb1	600001	650000	50000	*	5820	19234	0.302589165020277	CG
1	AL0H	Fvb1	650001	700000	50000	*	2722	14486	0.187905563992821	CG
1	AL0H	Fvb1	700001	750000	50000	*	15855	41213	0.384708708417247	CG
1	AL0H	Fvb1	750001	800000	50000	*	23887	39507	0.604627028121599	CG
1	AL0H	Fvb1	800001	850000	50000	*	16514	30186	0.547074802888756	CG
1	AL0H	Fvb1	850001	900000	50000	*	7285	33498	0.217475670189265	CG
1	AL0H	Fvb1	900001	950000	50000	*	7299	31779	0.229679977343529	CG
1	AL0H	Fvb1	950001	1000000	50000	*	6877	28446	0.241756310201786	CG
1	AL0H	Fvb1	1000001	1050000	50000	*	6518	37663	0.173061094442822	CG
1	AL0H	Fvb1	1050001	1100000	50000	*	6492	28716	0.226076055160886	CG
1	AL0H	Fvb1	1100001	1150000	50000	*	5384	17387	0.309656640018405	CG
1	AL0H	Fvb1	1150001	1200000	50000	*	8331	24738	0.336769342711618	CG
1	AL0H	Fvb1	1200001	1250000	50000	*	2268	13429	0.16888822697148	CG
1	AL0H	Fvb1	1250001	1300000	50000	*	598	686	0.871720116618076	CG
1	AL0H	Fvb1	1300001	1350000	50000	*	2509	10021	0.250374214150284	CG
1	AL0H	Fvb1	1350001	1400000	50000	*	8006	24175	0.331168562564633	CG
1	AL0H	Fvb1	1400001	1450000	50000	*	9427	30401	0.31008848393145	CG
1	AL0H	Fvb1	1450001	1500000	50000	*	8546	35718	0.23926311663587	CG
1	AL0H	Fvb1	1500001	1550000	50000	*	7849	32874	0.238760114376103	CG
1	AL0H	Fvb1	1550001	1600000	50000	*	11553	38822	0.297588995930143	CG
1	AL0H	Fvb1	1600001	1650000	50000	*	7204	29006	0.248362407777701	CG
1	AL0H	Fvb1	1650001	1700000	50000	*	6856	31306	0.21899955280138	CG
1	AL0H	Fvb1	1700001	1750000	50000	*	9861	34463	0.286132954182747	CG
1	AL0H	Fvb1	1750001	1800000	50000	*	6161	31490	0.195649412511909	CG
1	AL0H	Fvb1	1800001	1850000	50000	*	6825	25398	0.268721946609969	CG
1	AL0H	Fvb1	1850001	1900000	50000	*	10558	40531	0.260491969110064	CG
