group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	AL0H	Fvb1	1	50000	50000	*	2991	44163	0.0677263772841519	CHG
1	AL0H	Fvb1	50001	100000	50000	*	3245	48088	0.0674804525037431	CHG
1	AL0H	Fvb1	100001	150000	50000	*	400	51095	0.00782855465309717	CHG
1	AL0H	Fvb1	150001	200000	50000	*	3550	51344	0.0691414770956684	CHG
1	AL0H	Fvb1	200001	250000	50000	*	1646	49229	0.0334355765910337	CHG
1	AL0H	Fvb1	250001	300000	50000	*	6508	49369	0.131823614008791	CHG
1	AL0H	Fvb1	300001	350000	50000	*	607	48814	0.0124349571844143	CHG
1	AL0H	Fvb1	350001	400000	50000	*	2601	59374	0.0438070535924816	CHG
1	AL0H	Fvb1	400001	450000	50000	*	1801	43689	0.041223191192291	CHG
1	AL0H	Fvb1	450001	500000	50000	*	3254	46264	0.0703354660210963	CHG
1	AL0H	Fvb1	500001	550000	50000	*	528	37766	0.0139808293173754	CHG
1	AL0H	Fvb1	550001	600000	50000	*	863	48813	0.0176797164689734	CHG
1	AL0H	Fvb1	600001	650000	50000	*	700	33709	0.0207659675457593	CHG
1	AL0H	Fvb1	650001	700000	50000	*	939	20323	0.0462038084928406	CHG
1	AL0H	Fvb1	700001	750000	50000	*	5114	48471	0.10550638526129	CHG
1	AL0H	Fvb1	750001	800000	50000	*	6912	47492	0.145540301524467	CHG
1	AL0H	Fvb1	800001	850000	50000	*	5204	47052	0.110601037150387	CHG
1	AL0H	Fvb1	850001	900000	50000	*	1855	47506	0.039047699237991	CHG
1	AL0H	Fvb1	900001	950000	50000	*	385	49346	0.00780205082478823	CHG
1	AL0H	Fvb1	950001	1000000	50000	*	2388	41737	0.0572154203704147	CHG
1	AL0H	Fvb1	1000001	1050000	50000	*	1614	44810	0.0360187458156661	CHG
1	AL0H	Fvb1	1050001	1100000	50000	*	1372	45122	0.0304064536146447	CHG
1	AL0H	Fvb1	1100001	1150000	50000	*	2057	35189	0.058455767427321	CHG
1	AL0H	Fvb1	1150001	1200000	50000	*	1083	44348	0.024420492468657	CHG
1	AL0H	Fvb1	1200001	1250000	50000	*	355	15505	0.0228958400515963	CHG
1	AL0H	Fvb1	1250001	1300000	50000	*	614	915	0.67103825136612	CHG
1	AL0H	Fvb1	1300001	1350000	50000	*	463	14507	0.0319156269387192	CHG
1	AL0H	Fvb1	1350001	1400000	50000	*	849	36026	0.0235663132182313	CHG
1	AL0H	Fvb1	1400001	1450000	50000	*	1985	42905	0.0462650040787787	CHG
1	AL0H	Fvb1	1450001	1500000	50000	*	1460	52447	0.0278376265563331	CHG
1	AL0H	Fvb1	1500001	1550000	50000	*	3712	42940	0.0864462040055892	CHG
1	AL0H	Fvb1	1550001	1600000	50000	*	3117	51502	0.0605219214787775	CHG
1	AL0H	Fvb1	1600001	1650000	50000	*	2138	42477	0.0503331214539633	CHG
1	AL0H	Fvb1	1650001	1700000	50000	*	6986	49665	0.140662438336857	CHG
1	AL0H	Fvb1	1700001	1750000	50000	*	3224	46641	0.0691237323385005	CHG
1	AL0H	Fvb1	1750001	1800000	50000	*	654	48962	0.0133572974960173	CHG
1	AL0H	Fvb1	1800001	1850000	50000	*	554	47130	0.0117547209845109	CHG
1	AL0H	Fvb1	1850001	1900000	50000	*	2783	55987	0.0497079679211245	CHG
1	AL0H	Fvb1	1900001	1950000	50000	*	1062	54812	0.0193753192731519	CHG
1	AL0H	Fvb1	1950001	2000000	50000	*	1790	50846	0.0352043425244857	CHG
1	AL0H	Fvb1	2000001	2050000	50000	*	2619	52900	0.0495085066162571	CHG
1	AL0H	Fvb1	2050001	2100000	50000	*	2152	45174	0.0476380218709877	CHG
1	AL0H	Fvb1	2100001	2150000	50000	*	3646	46588	0.0782604962651327	CHG
