group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	AL0H	Fvb1	1	50000	50000	*	2355	176300	0.0133579126488939	CHH
1	AL0H	Fvb1	50001	100000	50000	*	3349	197278	0.0169760439582721	CHH
1	AL0H	Fvb1	100001	150000	50000	*	1000	196626	0.00508579740217469	CHH
1	AL0H	Fvb1	150001	200000	50000	*	3876	200553	0.0193265620559154	CHH
1	AL0H	Fvb1	200001	250000	50000	*	2543	207580	0.0122506985258695	CHH
1	AL0H	Fvb1	250001	300000	50000	*	15051	200532	0.075055352761654	CHH
1	AL0H	Fvb1	300001	350000	50000	*	1298	190165	0.0068256514079878	CHH
1	AL0H	Fvb1	350001	400000	50000	*	3183	220290	0.0144491352308321	CHH
1	AL0H	Fvb1	400001	450000	50000	*	2235	173876	0.0128539878994226	CHH
1	AL0H	Fvb1	450001	500000	50000	*	2739	179476	0.0152610934052464	CHH
1	AL0H	Fvb1	500001	550000	50000	*	1775	146662	0.0121026578118395	CHH
1	AL0H	Fvb1	550001	600000	50000	*	1870	187072	0.00999615121450564	CHH
1	AL0H	Fvb1	600001	650000	50000	*	966	132346	0.00729904946126063	CHH
1	AL0H	Fvb1	650001	700000	50000	*	1105	87225	0.0126683863571224	CHH
1	AL0H	Fvb1	700001	750000	50000	*	9962	209475	0.0475569877073636	CHH
1	AL0H	Fvb1	750001	800000	50000	*	14294	216787	0.0659356880255735	CHH
1	AL0H	Fvb1	800001	850000	50000	*	11157	197300	0.0565484034465281	CHH
1	AL0H	Fvb1	850001	900000	50000	*	2353	204227	0.0115214932403649	CHH
1	AL0H	Fvb1	900001	950000	50000	*	1005	200763	0.00500590248203105	CHH
1	AL0H	Fvb1	950001	1000000	50000	*	2021	177025	0.0114164666007626	CHH
1	AL0H	Fvb1	1000001	1050000	50000	*	1963	171423	0.011451205497512	CHH
1	AL0H	Fvb1	1050001	1100000	50000	*	1608	192360	0.00835932626325639	CHH
1	AL0H	Fvb1	1100001	1150000	50000	*	1856	151456	0.0122543841115572	CHH
1	AL0H	Fvb1	1150001	1200000	50000	*	2270	186761	0.0121545718859933	CHH
1	AL0H	Fvb1	1200001	1250000	50000	*	419	54854	0.00763845845334889	CHH
1	AL0H	Fvb1	1250001	1300000	50000	*	215	3837	0.056033359395361	CHH
1	AL0H	Fvb1	1300001	1350000	50000	*	616	49431	0.0124618154599341	CHH
1	AL0H	Fvb1	1350001	1400000	50000	*	1581	140171	0.011279080551612	CHH
1	AL0H	Fvb1	1400001	1450000	50000	*	2199	184539	0.0119161803196072	CHH
1	AL0H	Fvb1	1450001	1500000	50000	*	1899	197050	0.00963714793199696	CHH
1	AL0H	Fvb1	1500001	1550000	50000	*	3747	182305	0.0205534680891912	CHH
1	AL0H	Fvb1	1550001	1600000	50000	*	2760	202374	0.0136381155682054	CHH
