group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	FK0H	Fvb1	1	50000	50000	*	1028	16501	0.0622992545906309	CHG
1	FK0H	Fvb1	50001	100000	50000	*	1414	18400	0.0768478260869565	CHG
1	FK0H	Fvb1	100001	150000	50000	*	202	19855	0.0101737597582473	CHG
1	FK0H	Fvb1	150001	200000	50000	*	1540	19003	0.0810398358153976	CHG
1	FK0H	Fvb1	200001	250000	50000	*	425	16322	0.0260384756770004	CHG
1	FK0H	Fvb1	250001	300000	50000	*	2248	17741	0.126712135730793	CHG
1	FK0H	Fvb1	300001	350000	50000	*	229	19378	0.0118175250283827	CHG
1	FK0H	Fvb1	350001	400000	50000	*	824	19956	0.0412908398476649	CHG
1	FK0H	Fvb1	400001	450000	50000	*	520	16641	0.0312481221080464	CHG
1	FK0H	Fvb1	450001	500000	50000	*	1087	17367	0.0625899694823516	CHG
1	FK0H	Fvb1	500001	550000	50000	*	253	14754	0.0171478920970584	CHG
1	FK0H	Fvb1	550001	600000	50000	*	294	17514	0.0167865707434053	CHG
1	FK0H	Fvb1	600001	650000	50000	*	778	19935	0.0390268372209681	CHG
1	FK0H	Fvb1	650001	700000	50000	*	706	12827	0.0550401496842598	CHG
1	FK0H	Fvb1	700001	750000	50000	*	1739	18480	0.0941017316017316	CHG
1	FK0H	Fvb1	750001	800000	50000	*	2797	16758	0.166905358634682	CHG
1	FK0H	Fvb1	800001	850000	50000	*	1736	17180	0.10104772991851	CHG
1	FK0H	Fvb1	850001	900000	50000	*	629	16550	0.0380060422960725	CHG
1	FK0H	Fvb1	900001	950000	50000	*	89	19671	0.00452442682120889	CHG
1	FK0H	Fvb1	950001	1000000	50000	*	830	17622	0.0471002156395415	CHG
1	FK0H	Fvb1	1000001	1050000	50000	*	686	19061	0.0359897172236504	CHG
1	FK0H	Fvb1	1050001	1100000	50000	*	264	18328	0.0144041903099083	CHG
1	FK0H	Fvb1	1100001	1150000	50000	*	466	13665	0.0341017197219173	CHG
1	FK0H	Fvb1	1150001	1200000	50000	*	363	17573	0.0206566892391737	CHG
1	FK0H	Fvb1	1200001	1250000	50000	*	2247	16978	0.132347744139475	CHG
1	FK0H	Fvb1	1250001	1300000	50000	*	3234	12104	0.267184401850628	CHG
1	FK0H	Fvb1	1300001	1350000	50000	*	784	13554	0.05784270326103	CHG
1	FK0H	Fvb1	1350001	1400000	50000	*	492	14841	0.0331514048918536	CHG
1	FK0H	Fvb1	1400001	1450000	50000	*	233	16678	0.0139705000599592	CHG
1	FK0H	Fvb1	1450001	1500000	50000	*	361	19746	0.0182821837334144	CHG
1	FK0H	Fvb1	1500001	1550000	50000	*	1458	16085	0.090643456636618	CHG
1	FK0H	Fvb1	1550001	1600000	50000	*	902	17960	0.0502227171492205	CHG
1	FK0H	Fvb1	1600001	1650000	50000	*	1105	19414	0.0569176882661996	CHG
1	FK0H	Fvb1	1650001	1700000	50000	*	2965	19731	0.150271146926157	CHG
1	FK0H	Fvb1	1700001	1750000	50000	*	1104	16680	0.0661870503597122	CHG
1	FK0H	Fvb1	1750001	1800000	50000	*	240	17731	0.0135356155885173	CHG
1	FK0H	Fvb1	1800001	1850000	50000	*	171	18657	0.00916546068499759	CHG
1	FK0H	Fvb1	1850001	1900000	50000	*	660	19093	0.0345676425915257	CHG
1	FK0H	Fvb1	1900001	1950000	50000	*	368	18151	0.0202743650487576	CHG
1	FK0H	Fvb1	1950001	2000000	50000	*	434	16955	0.025597168976703	CHG
1	FK0H	Fvb1	2000001	2050000	50000	*	686	18198	0.0376964501593582	CHG
1	FK0H	Fvb1	2050001	2100000	50000	*	539	15840	0.0340277777777778	CHG
1	FK0H	Fvb1	2100001	2150000	50000	*	1024	17111	0.0598445444450938	CHG
1	FK0H	Fvb1	2150001	2200000	50000	*	248	16606	0.0149343610743105	CHG
1	FK0H	Fvb1	2200001	2250000	50000	*	570	17941	0.0317708043029931	CHG
1	FK0H	Fvb1	2250001	2300000	50000	*	886	12738	0.0695556602292354	CHG
1	FK0H	Fvb1	2300001	2350000	50000	*	468	17875	0.0261818181818182	CHG
1	FK0H	Fvb1	2350001	2400000	50000	*	611	14510	0.0421088904203997	CHG
1	FK0H	Fvb1	2400001	2450000	50000	*	709	11227	0.0631513316112942	CHG
1	FK0H	Fvb1	2450001	2500000	50000	*	1399	15394	0.0908795634662856	CHG
1	FK0H	Fvb1	2500001	2550000	50000	*	554	17769	0.0311778940852046	CHG
1	FK0H	Fvb1	2550001	2600000	50000	*	2324	11503	0.202034251934278	CHG
1	FK0H	Fvb1	2600001	2650000	50000	*	1983	13694	0.144807945085439	CHG
1	FK0H	Fvb1	2650001	2700000	50000	*	545	19863	0.0274379499572069	CHG
1	FK0H	Fvb1	2700001	2750000	50000	*	332	19311	0.0171922738335664	CHG
1	FK0H	Fvb1	2750001	2800000	50000	*	382	16881	0.0226289911735087	CHG
1	FK0H	Fvb1	2800001	2850000	50000	*	255	18397	0.0138609555905854	CHG
1	FK0H	Fvb1	2850001	2900000	50000	*	1205	16118	0.0747611366174463	CHG
1	FK0H	Fvb1	2900001	2950000	50000	*	138	21150	0.00652482269503546	CHG
