group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	FK42D	Fvb1	1	50000	50000	*	5335	12616	0.422875713379835	CG
1	FK42D	Fvb1	50001	100000	50000	*	4652	13899	0.334700338153824	CG
1	FK42D	Fvb1	100001	150000	50000	*	3818	18457	0.206859186216612	CG
1	FK42D	Fvb1	150001	200000	50000	*	4899	17511	0.279767003597739	CG
1	FK42D	Fvb1	200001	250000	50000	*	3259	15878	0.20525255069908	CG
1	FK42D	Fvb1	250001	300000	50000	*	10379	17660	0.587712344280861	CG
1	FK42D	Fvb1	300001	350000	50000	*	3822	15033	0.254240670524845	CG
1	FK42D	Fvb1	350001	400000	50000	*	4320	18700	0.231016042780749	CG
1	FK42D	Fvb1	400001	450000	50000	*	4549	14581	0.311981345586722	CG
1	FK42D	Fvb1	450001	500000	50000	*	4407	11885	0.370803533866218	CG
1	FK42D	Fvb1	500001	550000	50000	*	3124	12493	0.250060033618827	CG
1	FK42D	Fvb1	550001	600000	50000	*	3632	14039	0.258707885177007	CG
1	FK42D	Fvb1	600001	650000	50000	*	3242	15181	0.213556419208221	CG
1	FK42D	Fvb1	650001	700000	50000	*	2335	11980	0.194908180300501	CG
1	FK42D	Fvb1	700001	750000	50000	*	7760	21372	0.363091895938611	CG
1	FK42D	Fvb1	750001	800000	50000	*	12060	19397	0.621745630767644	CG
1	FK42D	Fvb1	800001	850000	50000	*	7590	15506	0.489487940152199	CG
1	FK42D	Fvb1	850001	900000	50000	*	2440	15477	0.15765329198165	CG
1	FK42D	Fvb1	900001	950000	50000	*	3442	16025	0.214789391575663	CG
1	FK42D	Fvb1	950001	1000000	50000	*	3734	15236	0.24507744814912	CG
1	FK42D	Fvb1	1000001	1050000	50000	*	3278	19097	0.171649997381788	CG
1	FK42D	Fvb1	1050001	1100000	50000	*	3153	14783	0.213285530677129	CG
1	FK42D	Fvb1	1100001	1150000	50000	*	2156	8186	0.263376496457366	CG
1	FK42D	Fvb1	1150001	1200000	50000	*	4378	13311	0.328900909022613	CG
1	FK42D	Fvb1	1200001	1250000	50000	*	5163	18597	0.277625423455396	CG
1	FK42D	Fvb1	1250001	1300000	50000	*	5769	13088	0.440785452322738	CG
1	FK42D	Fvb1	1300001	1350000	50000	*	2921	14104	0.207104367555303	CG
1	FK42D	Fvb1	1350001	1400000	50000	*	5817	14233	0.408698095974145	CG
1	FK42D	Fvb1	1400001	1450000	50000	*	3830	15748	0.243205486410973	CG
1	FK42D	Fvb1	1450001	1500000	50000	*	3764	17092	0.220219985958343	CG
