group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	FL0H	Fvb1	1	50000	50000	*	4949	15644	0.316351316798773	CG
1	FL0H	Fvb1	50001	100000	50000	*	4242	15416	0.275168655941879	CG
1	FL0H	Fvb1	100001	150000	50000	*	3887	21428	0.181398170617883	CG
1	FL0H	Fvb1	150001	200000	50000	*	3307	17000	0.194529411764706	CG
1	FL0H	Fvb1	200001	250000	50000	*	3406	20147	0.169057427904899	CG
1	FL0H	Fvb1	250001	300000	50000	*	8607	17035	0.505253889051952	CG
1	FL0H	Fvb1	300001	350000	50000	*	4794	18615	0.257534246575342	CG
1	FL0H	Fvb1	350001	400000	50000	*	4052	22629	0.179062265234876	CG
1	FL0H	Fvb1	400001	450000	50000	*	4276	17969	0.237965384829428	CG
1	FL0H	Fvb1	450001	500000	50000	*	3976	12297	0.323330893713914	CG
1	FL0H	Fvb1	500001	550000	50000	*	2074	11141	0.186159231666816	CG
1	FL0H	Fvb1	550001	600000	50000	*	3917	15929	0.245903697658359	CG
1	FL0H	Fvb1	600001	650000	50000	*	3549	10727	0.330847394425282	CG
1	FL0H	Fvb1	650001	700000	50000	*	843	7008	0.120291095890411	CG
1	FL0H	Fvb1	700001	750000	50000	*	3283	14848	0.221107219827586	CG
1	FL0H	Fvb1	750001	800000	50000	*	5965	14539	0.410275809890639	CG
1	FL0H	Fvb1	800001	850000	50000	*	4762	13331	0.357212512189633	CG
1	FL0H	Fvb1	850001	900000	50000	*	2526	8767	0.288125926770845	CG
1	FL0H	Fvb1	900001	950000	50000	*	3257	16899	0.192733297828274	CG
1	FL0H	Fvb1	950001	1000000	50000	*	3575	16348	0.218681184242721	CG
1	FL0H	Fvb1	1000001	1050000	50000	*	2732	17865	0.152924713126224	CG
1	FL0H	Fvb1	1050001	1100000	50000	*	2725	11965	0.227747597158379	CG
1	FL0H	Fvb1	1100001	1150000	50000	*	2246	10264	0.218823070927514	CG
1	FL0H	Fvb1	1150001	1200000	50000	*	4322	14940	0.289290495314592	CG
1	FL0H	Fvb1	1200001	1250000	50000	*	842	7469	0.112732628196546	CG
1	FL0H	Fvb1	1250001	1300000	50000	*	1010	1143	0.883639545056868	CG
1	FL0H	Fvb1	1300001	1350000	50000	*	1317	6232	0.211328626444159	CG
1	FL0H	Fvb1	1350001	1400000	50000	*	4140	14879	0.278244505679145	CG
1	FL0H	Fvb1	1400001	1450000	50000	*	4514	17216	0.262197955390335	CG
1	FL0H	Fvb1	1450001	1500000	50000	*	3835	21004	0.182584269662921	CG
1	FL0H	Fvb1	1500001	1550000	50000	*	1910	14762	0.129386262024116	CG
1	FL0H	Fvb1	1550001	1600000	50000	*	3693	17690	0.208762012436405	CG
1	FL0H	Fvb1	1600001	1650000	50000	*	2380	12269	0.193984839840248	CG
1	FL0H	Fvb1	1650001	1700000	50000	*	2851	12866	0.221591792320846	CG
1	FL0H	Fvb1	1700001	1750000	50000	*	2877	14869	0.193489811016208	CG
1	FL0H	Fvb1	1750001	1800000	50000	*	1705	14032	0.121507981755986	CG
1	FL0H	Fvb1	1800001	1850000	50000	*	3300	13530	0.24390243902439	CG
1	FL0H	Fvb1	1850001	1900000	50000	*	3433	17761	0.193288666178706	CG
1	FL0H	Fvb1	1900001	1950000	50000	*	3282	19506	0.168255921254998	CG
1	FL0H	Fvb1	1950001	2000000	50000	*	3117	15904	0.195988430583501	CG
1	FL0H	Fvb1	2000001	2050000	50000	*	1701	11501	0.147900182592818	CG
1	FL0H	Fvb1	2050001	2100000	50000	*	3239	18013	0.179814578360073	CG
1	FL0H	Fvb1	2100001	2150000	50000	*	2701	15250	0.177114754098361	CG
1	FL0H	Fvb1	2150001	2200000	50000	*	1369	23249	0.0588842530861542	CG
1	FL0H	Fvb1	2200001	2250000	50000	*	4461	15171	0.294047854459166	CG
1	FL0H	Fvb1	2250001	2300000	50000	*	3642	10065	0.361847988077496	CG
1	FL0H	Fvb1	2300001	2350000	50000	*	4570	16802	0.271991429591715	CG
1	FL0H	Fvb1	2350001	2400000	50000	*	1607	13135	0.122344880091359	CG
1	FL0H	Fvb1	2400001	2450000	50000	*	1359	7185	0.189144050104384	CG
1	FL0H	Fvb1	2450001	2500000	50000	*	4249	12116	0.350693298118191	CG
1	FL0H	Fvb1	2500001	2550000	50000	*	2054	20089	0.102245009706805	CG
1	FL0H	Fvb1	2550001	2600000	50000	*	1226	6221	0.197074425333548	CG
1	FL0H	Fvb1	2600001	2650000	50000	*	1494	7770	0.192277992277992	CG
1	FL0H	Fvb1	2650001	2700000	50000	*	3421	16933	0.202031536053859	CG
1	FL0H	Fvb1	2700001	2750000	50000	*	3210	20405	0.157314383729478	CG
1	FL0H	Fvb1	2750001	2800000	50000	*	2113	17420	0.121297359357061	CG
1	FL0H	Fvb1	2800001	2850000	50000	*	3663	16864	0.21720825426945	CG
1	FL0H	Fvb1	2850001	2900000	50000	*	2288	17946	0.127493591886771	CG
1	FL0H	Fvb1	2900001	2950000	50000	*	966	11966	0.0807287314056493	CG
1	FL0H	Fvb1	2950001	3000000	50000	*	3339	12840	0.260046728971963	CG
1	FL0H	Fvb1	3000001	3050000	50000	*	4629	22539	0.205377345933715	CG
1	FL0H	Fvb1	3050001	3100000	50000	*	5068	11276	0.449450159631075	CG
1	FL0H	Fvb1	3100001	3150000	50000	*	5255	17432	0.301457090408444	CG
1	FL0H	Fvb1	3150001	3200000	50000	*	3523	14396	0.24472075576549	CG
1	FL0H	Fvb1	3200001	3250000	50000	*	3329	16994	0.195892668000471	CG
