group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	FL0H	Fvb1	1	50000	50000	*	1188	105115	0.0113019074347144	CHH
1	FL0H	Fvb1	50001	100000	50000	*	2960	114814	0.025780828122006	CHH
1	FL0H	Fvb1	100001	150000	50000	*	655	126437	0.00518044559741215	CHH
1	FL0H	Fvb1	150001	200000	50000	*	1726	100429	0.0171862708978482	CHH
1	FL0H	Fvb1	200001	250000	50000	*	1836	116521	0.015756816367865	CHH
1	FL0H	Fvb1	250001	300000	50000	*	6353	103106	0.061616200803057	CHH
1	FL0H	Fvb1	300001	350000	50000	*	884	120039	0.00736427327785137	CHH
1	FL0H	Fvb1	350001	400000	50000	*	1165	115982	0.0100446621027401	CHH
1	FL0H	Fvb1	400001	450000	50000	*	1279	109935	0.0116341474507664	CHH
1	FL0H	Fvb1	450001	500000	50000	*	1376	98814	0.0139251523063534	CHH
1	FL0H	Fvb1	500001	550000	50000	*	847	69605	0.012168666044106	CHH
1	FL0H	Fvb1	550001	600000	50000	*	904	98199	0.00920579639303863	CHH
1	FL0H	Fvb1	600001	650000	50000	*	569	84478	0.00673548142711712	CHH
1	FL0H	Fvb1	650001	700000	50000	*	431	48004	0.00897841846512791	CHH
1	FL0H	Fvb1	700001	750000	50000	*	2231	79711	0.0279886088494687	CHH
1	FL0H	Fvb1	750001	800000	50000	*	4009	89920	0.0445840747330961	CHH
1	FL0H	Fvb1	800001	850000	50000	*	2731	91963	0.0296967258571382	CHH
1	FL0H	Fvb1	850001	900000	50000	*	817	57368	0.0142413889276252	CHH
1	FL0H	Fvb1	900001	950000	50000	*	522	108622	0.0048056563127175	CHH
1	FL0H	Fvb1	950001	1000000	50000	*	1296	104139	0.0124449053668654	CHH
1	FL0H	Fvb1	1000001	1050000	50000	*	877	82735	0.0106001087810479	CHH
1	FL0H	Fvb1	1050001	1100000	50000	*	592	83761	0.00706772841776006	CHH
1	FL0H	Fvb1	1100001	1150000	50000	*	1178	89245	0.013199619026276	CHH
1	FL0H	Fvb1	1150001	1200000	50000	*	1983	109822	0.018056491413378	CHH
1	FL0H	Fvb1	1200001	1250000	50000	*	338	30684	0.0110155129709295	CHH
1	FL0H	Fvb1	1250001	1300000	50000	*	274	3954	0.0692969145169449	CHH
1	FL0H	Fvb1	1300001	1350000	50000	*	330	31790	0.0103806228373702	CHH
1	FL0H	Fvb1	1350001	1400000	50000	*	901	85726	0.01051023026853	CHH
