group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	FL42D	Fvb1	1	50000	50000	*	2053	163932	0.0125234853475831	CHH
1	FL42D	Fvb1	50001	100000	50000	*	3764	175788	0.0214121555510046	CHH
1	FL42D	Fvb1	100001	150000	50000	*	1169	191785	0.00609536720807154	CHH
1	FL42D	Fvb1	150001	200000	50000	*	2837	153486	0.0184837705067563	CHH
1	FL42D	Fvb1	200001	250000	50000	*	3230	182409	0.0177074596099973	CHH
1	FL42D	Fvb1	250001	300000	50000	*	11381	161520	0.0704618623080733	CHH
1	FL42D	Fvb1	300001	350000	50000	*	1622	182165	0.00890401559026158	CHH
1	FL42D	Fvb1	350001	400000	50000	*	1899	168867	0.0112455364280765	CHH
1	FL42D	Fvb1	400001	450000	50000	*	1786	169460	0.0105393603210197	CHH
1	FL42D	Fvb1	450001	500000	50000	*	2179	145325	0.0149939790125581	CHH
1	FL42D	Fvb1	500001	550000	50000	*	1715	106392	0.0161196330551169	CHH
1	FL42D	Fvb1	550001	600000	50000	*	1461	148288	0.00985244928787225	CHH
1	FL42D	Fvb1	600001	650000	50000	*	892	123385	0.0072294038983669	CHH
1	FL42D	Fvb1	650001	700000	50000	*	774	74015	0.0104573397284334	CHH
1	FL42D	Fvb1	700001	750000	50000	*	4140	121976	0.0339411031678363	CHH
1	FL42D	Fvb1	750001	800000	50000	*	6722	132294	0.0508110723086459	CHH
1	FL42D	Fvb1	800001	850000	50000	*	3705	135068	0.0274306275357598	CHH
1	FL42D	Fvb1	850001	900000	50000	*	1569	85498	0.0183513064633091	CHH
1	FL42D	Fvb1	900001	950000	50000	*	1007	165332	0.00609077492560424	CHH
1	FL42D	Fvb1	950001	1000000	50000	*	2021	152462	0.0132557620915376	CHH
1	FL42D	Fvb1	1000001	1050000	50000	*	1461	128985	0.011326898476567	CHH
1	FL42D	Fvb1	1050001	1100000	50000	*	1010	120647	0.00837153016651885	CHH
1	FL42D	Fvb1	1100001	1150000	50000	*	1952	137379	0.0142088674397106	CHH
1	FL42D	Fvb1	1150001	1200000	50000	*	2931	158706	0.0184681108464708	CHH
1	FL42D	Fvb1	1200001	1250000	50000	*	687	43174	0.015912354657896	CHH
1	FL42D	Fvb1	1250001	1300000	50000	*	406	5205	0.0780019212295869	CHH
1	FL42D	Fvb1	1300001	1350000	50000	*	591	44987	0.01313712850379	CHH
1	FL42D	Fvb1	1350001	1400000	50000	*	1619	128109	0.0126376757292618	CHH
1	FL42D	Fvb1	1400001	1450000	50000	*	2424	158664	0.0152775676902133	CHH
1	FL42D	Fvb1	1450001	1500000	50000	*	2061	174132	0.0118358486665288	CHH
1	FL42D	Fvb1	1500001	1550000	50000	*	1639	128362	0.0127685763699537	CHH
1	FL42D	Fvb1	1550001	1600000	50000	*	1623	142232	0.0114109342482704	CHH
1	FL42D	Fvb1	1600001	1650000	50000	*	1196	104207	0.0114771560451793	CHH
1	FL42D	Fvb1	1650001	1700000	50000	*	4638	143904	0.0322298198799199	CHH
1	FL42D	Fvb1	1700001	1750000	50000	*	2414	136955	0.017626227593005	CHH
1	FL42D	Fvb1	1750001	1800000	50000	*	1337	140973	0.00948408560504494	CHH
1	FL42D	Fvb1	1800001	1850000	50000	*	943	155748	0.00605465238718956	CHH
1	FL42D	Fvb1	1850001	1900000	50000	*	1754	150340	0.0116668883863243	CHH
1	FL42D	Fvb1	1900001	1950000	50000	*	1161	152607	0.00760777683854607	CHH
1	FL42D	Fvb1	1950001	2000000	50000	*	2175	149630	0.0145358551092695	CHH
1	FL42D	Fvb1	2000001	2050000	50000	*	1352	132723	0.0101866292956006	CHH
1	FL42D	Fvb1	2050001	2100000	50000	*	2151	168599	0.0127580827881541	CHH
1	FL42D	Fvb1	2100001	2150000	50000	*	2107	158484	0.0132947174478181	CHH
1	FL42D	Fvb1	2150001	2200000	50000	*	1731	155046	0.0111644286211834	CHH
1	FL42D	Fvb1	2200001	2250000	50000	*	1781	148756	0.0119726263142327	CHH
1	FL42D	Fvb1	2250001	2300000	50000	*	1318	106276	0.0124016711204788	CHH
1	FL42D	Fvb1	2300001	2350000	50000	*	1738	152379	0.0114057711364427	CHH
1	FL42D	Fvb1	2350001	2400000	50000	*	2453	145445	0.0168654817972429	CHH
1	FL42D	Fvb1	2400001	2450000	50000	*	872	89077	0.0097892834289435	CHH
1	FL42D	Fvb1	2450001	2500000	50000	*	1363	103668	0.0131477408650693	CHH
1	FL42D	Fvb1	2500001	2550000	50000	*	2631	165806	0.0158679420527605	CHH
1	FL42D	Fvb1	2550001	2600000	50000	*	817	53659	0.0152257775955571	CHH
1	FL42D	Fvb1	2600001	2650000	50000	*	930	72312	0.0128609359442416	CHH
1	FL42D	Fvb1	2650001	2700000	50000	*	1420	134150	0.0105851658591129	CHH
1	FL42D	Fvb1	2700001	2750000	50000	*	2023	171531	0.0117937865458722	CHH
1	FL42D	Fvb1	2750001	2800000	50000	*	1387	151083	0.00918038429207787	CHH
