group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	NK0H	Fvb1	1	50000	50000	*	1039	26135	0.0397551176583126	CHG
1	NK0H	Fvb1	50001	100000	50000	*	3581	29118	0.122982347688715	CHG
1	NK0H	Fvb1	100001	150000	50000	*	274	34507	0.00794041788622598	CHG
1	NK0H	Fvb1	150001	200000	50000	*	1563	26668	0.0586095695215239	CHG
1	NK0H	Fvb1	200001	250000	50000	*	712	29946	0.0237761303679957	CHG
1	NK0H	Fvb1	250001	300000	50000	*	2663	29294	0.0909059875742473	CHG
1	NK0H	Fvb1	300001	350000	50000	*	356	33825	0.0105247597930525	CHG
1	NK0H	Fvb1	350001	400000	50000	*	1042	32627	0.0319367395102216	CHG
1	NK0H	Fvb1	400001	450000	50000	*	807	30649	0.0263303859832295	CHG
1	NK0H	Fvb1	450001	500000	50000	*	1507	28161	0.0535137246546643	CHG
1	NK0H	Fvb1	500001	550000	50000	*	562	21086	0.0266527553827184	CHG
1	NK0H	Fvb1	550001	600000	50000	*	462	28714	0.0160897123354461	CHG
1	NK0H	Fvb1	600001	650000	50000	*	242	23767	0.0101821853830942	CHG
1	NK0H	Fvb1	650001	700000	50000	*	241	11989	0.0201017599466177	CHG
1	NK0H	Fvb1	700001	750000	50000	*	1248	20421	0.0611135595710298	CHG
1	NK0H	Fvb1	750001	800000	50000	*	1692	22916	0.0738348751963693	CHG
1	NK0H	Fvb1	800001	850000	50000	*	1251	25139	0.0497633159632444	CHG
1	NK0H	Fvb1	850001	900000	50000	*	816	14404	0.0566509302971397	CHG
1	NK0H	Fvb1	900001	950000	50000	*	154	29482	0.0052235262193881	CHG
1	NK0H	Fvb1	950001	1000000	50000	*	1289	26968	0.0477973894986651	CHG
1	NK0H	Fvb1	1000001	1050000	50000	*	467	24605	0.0189798821377769	CHG
1	NK0H	Fvb1	1050001	1100000	50000	*	265	22520	0.0117673179396092	CHG
