group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	NK42D	Fvb1	1	50000	50000	*	4156	12922	0.321622039931899	CG
1	NK42D	Fvb1	50001	100000	50000	*	3471	12568	0.276177593889243	CG
1	NK42D	Fvb1	100001	150000	50000	*	3238	16829	0.19240596589221	CG
1	NK42D	Fvb1	150001	200000	50000	*	2526	13665	0.184851811196487	CG
1	NK42D	Fvb1	200001	250000	50000	*	2641	16505	0.160012117540139	CG
1	NK42D	Fvb1	250001	300000	50000	*	6714	13634	0.492445357195247	CG
1	NK42D	Fvb1	300001	350000	50000	*	3955	15473	0.255606540425257	CG
1	NK42D	Fvb1	350001	400000	50000	*	3405	18292	0.186146949486114	CG
1	NK42D	Fvb1	400001	450000	50000	*	3860	15360	0.251302083333333	CG
1	NK42D	Fvb1	450001	500000	50000	*	3595	10562	0.340371141829199	CG
1	NK42D	Fvb1	500001	550000	50000	*	1924	10354	0.185821904577941	CG
1	NK42D	Fvb1	550001	600000	50000	*	3173	12549	0.252848832576301	CG
1	NK42D	Fvb1	600001	650000	50000	*	3015	9224	0.326864700780572	CG
1	NK42D	Fvb1	650001	700000	50000	*	761	6323	0.120354262217302	CG
1	NK42D	Fvb1	700001	750000	50000	*	3029	13342	0.22702743216909	CG
1	NK42D	Fvb1	750001	800000	50000	*	5142	11979	0.429251189581768	CG
1	NK42D	Fvb1	800001	850000	50000	*	3923	11157	0.351617818409967	CG
1	NK42D	Fvb1	850001	900000	50000	*	2198	7017	0.313239276043893	CG
1	NK42D	Fvb1	900001	950000	50000	*	2692	14833	0.18148722443201	CG
1	NK42D	Fvb1	950001	1000000	50000	*	2995	13912	0.215281771132835	CG
1	NK42D	Fvb1	1000001	1050000	50000	*	2030	15045	0.134928547690263	CG
1	NK42D	Fvb1	1050001	1100000	50000	*	2354	10013	0.235094377309498	CG
1	NK42D	Fvb1	1100001	1150000	50000	*	1815	8511	0.213253436728939	CG
1	NK42D	Fvb1	1150001	1200000	50000	*	3510	11920	0.294463087248322	CG
1	NK42D	Fvb1	1200001	1250000	50000	*	694	6149	0.112863880305741	CG
1	NK42D	Fvb1	1250001	1300000	50000	*	801	862	0.9292343387471	CG
1	NK42D	Fvb1	1300001	1350000	50000	*	1200	5265	0.227920227920228	CG
1	NK42D	Fvb1	1350001	1400000	50000	*	3607	12106	0.29795142904345	CG
1	NK42D	Fvb1	1400001	1450000	50000	*	4232	14779	0.286352256580283	CG
1	NK42D	Fvb1	1450001	1500000	50000	*	2883	16974	0.169848002827854	CG
1	NK42D	Fvb1	1500001	1550000	50000	*	1827	12726	0.143564356435644	CG
1	NK42D	Fvb1	1550001	1600000	50000	*	3207	15953	0.201028019808187	CG
1	NK42D	Fvb1	1600001	1650000	50000	*	2237	10690	0.209260991580917	CG
1	NK42D	Fvb1	1650001	1700000	50000	*	2573	11002	0.233866569714597	CG
1	NK42D	Fvb1	1700001	1750000	50000	*	2637	13536	0.194813829787234	CG
1	NK42D	Fvb1	1750001	1800000	50000	*	1549	12820	0.120826833073323	CG
1	NK42D	Fvb1	1800001	1850000	50000	*	2815	12096	0.232721560846561	CG
1	NK42D	Fvb1	1850001	1900000	50000	*	3194	16121	0.198126667080206	CG
1	NK42D	Fvb1	1900001	1950000	50000	*	2749	16093	0.170819611010999	CG
1	NK42D	Fvb1	1950001	2000000	50000	*	2698	13683	0.197178981217569	CG
1	NK42D	Fvb1	2000001	2050000	50000	*	1421	9741	0.145878246586593	CG
1	NK42D	Fvb1	2050001	2100000	50000	*	2966	15288	0.194008372579801	CG
1	NK42D	Fvb1	2100001	2150000	50000	*	2517	13411	0.187681753784207	CG
1	NK42D	Fvb1	2150001	2200000	50000	*	1456	20315	0.0716711789318238	CG
1	NK42D	Fvb1	2200001	2250000	50000	*	3976	14191	0.280177577337749	CG
1	NK42D	Fvb1	2250001	2300000	50000	*	3403	9439	0.360525479394004	CG
1	NK42D	Fvb1	2300001	2350000	50000	*	4339	15807	0.274498639843107	CG
1	NK42D	Fvb1	2350001	2400000	50000	*	1441	12083	0.119258462302408	CG
1	NK42D	Fvb1	2400001	2450000	50000	*	1439	6914	0.2081284350593	CG
1	NK42D	Fvb1	2450001	2500000	50000	*	3946	10659	0.370203583825875	CG
1	NK42D	Fvb1	2500001	2550000	50000	*	1640	17308	0.0947538710422926	CG
1	NK42D	Fvb1	2550001	2600000	50000	*	1050	4818	0.217932752179328	CG
1	NK42D	Fvb1	2600001	2650000	50000	*	1565	6421	0.243731505995951	CG
1	NK42D	Fvb1	2650001	2700000	50000	*	2809	14087	0.199403705544119	CG
1	NK42D	Fvb1	2700001	2750000	50000	*	3118	17789	0.175276856484344	CG
1	NK42D	Fvb1	2750001	2800000	50000	*	1674	13964	0.119879690633056	CG
1	NK42D	Fvb1	2800001	2850000	50000	*	3109	14126	0.220090613053943	CG
1	NK42D	Fvb1	2850001	2900000	50000	*	2244	15555	0.144262295081967	CG
1	NK42D	Fvb1	2900001	2950000	50000	*	861	10640	0.0809210526315789	CG
1	NK42D	Fvb1	2950001	3000000	50000	*	2720	11181	0.24326983275199	CG
1	NK42D	Fvb1	3000001	3050000	50000	*	3982	18547	0.21469779479161	CG
1	NK42D	Fvb1	3050001	3100000	50000	*	3736	8825	0.423342776203966	CG
1	NK42D	Fvb1	3100001	3150000	50000	*	4358	14804	0.294379897325047	CG
1	NK42D	Fvb1	3150001	3200000	50000	*	2989	12222	0.244558991981672	CG
1	NK42D	Fvb1	3200001	3250000	50000	*	2974	14967	0.198703815059798	CG
1	NK42D	Fvb1	3250001	3300000	50000	*	3617	14968	0.241648850881881	CG
1	NK42D	Fvb1	3300001	3350000	50000	*	990	16066	0.0616208141416656	CG
1	NK42D	Fvb1	3350001	3400000	50000	*	4043	13766	0.29369460990847	CG
1	NK42D	Fvb1	3400001	3450000	50000	*	2583	14985	0.172372372372372	CG
1	NK42D	Fvb1	3450001	3500000	50000	*	3971	12447	0.319032698642243	CG
1	NK42D	Fvb1	3500001	3550000	50000	*	2811	16631	0.169021706451807	CG
1	NK42D	Fvb1	3550001	3600000	50000	*	3206	9958	0.321952199236795	CG
1	NK42D	Fvb1	3600001	3650000	50000	*	4278	12257	0.349025046911969	CG
1	NK42D	Fvb1	3650001	3700000	50000	*	2617	11396	0.22964197964198	CG
1	NK42D	Fvb1	3700001	3750000	50000	*	1752	7558	0.231807356443504	CG
1	NK42D	Fvb1	3750001	3800000	50000	*	2354	14440	0.163019390581717	CG
1	NK42D	Fvb1	3800001	3850000	50000	*	2770	15102	0.183419414647067	CG
1	NK42D	Fvb1	3850001	3900000	50000	*	232	1088	0.213235294117647	CG
1	NK42D	Fvb1	3900001	3950000	50000	*	2390	15064	0.158656399362719	CG
1	NK42D	Fvb1	3950001	4000000	50000	*	3314	9654	0.343277397969753	CG
1	NK42D	Fvb1	4000001	4050000	50000	*	2726	13599	0.200455915876167	CG
1	NK42D	Fvb1	4050001	4100000	50000	*	2812	14695	0.191357604627424	CG
1	NK42D	Fvb1	4100001	4150000	50000	*	2230	9689	0.23015791103313	CG
1	NK42D	Fvb1	4150001	4200000	50000	*	4038	14361	0.281178190933779	CG
1	NK42D	Fvb1	4200001	4250000	50000	*	5199	14533	0.357737562788137	CG
1	NK42D	Fvb1	4250001	4300000	50000	*	4426	16067	0.27547146324765	CG
1	NK42D	Fvb1	4300001	4350000	50000	*	3404	16506	0.206228038289107	CG
1	NK42D	Fvb1	4350001	4400000	50000	*	3266	14801	0.220660766164448	CG
1	NK42D	Fvb1	4400001	4450000	50000	*	1099	7601	0.144586238652809	CG
1	NK42D	Fvb1	4450001	4500000	50000	*	4226	13071	0.323311146813557	CG
1	NK42D	Fvb1	4500001	4550000	50000	*	2425	14408	0.168309272626319	CG
1	NK42D	Fvb1	4550001	4600000	50000	*	3477	12949	0.26851494323886	CG
1	NK42D	Fvb1	4600001	4650000	50000	*	3660	9678	0.378177309361438	CG
1	NK42D	Fvb1	4650001	4700000	50000	*	1245	14680	0.0848092643051771	CG
1	NK42D	Fvb1	4700001	4750000	50000	*	3536	17038	0.20753609578589	CG
1	NK42D	Fvb1	4750001	4800000	50000	*	3299	18206	0.181203998681753	CG
1	NK42D	Fvb1	4800001	4850000	50000	*	1114	4259	0.261563747358535	CG
1	NK42D	Fvb1	4850001	4900000	50000	*	2632	15853	0.166025357976408	CG
1	NK42D	Fvb1	4900001	4950000	50000	*	3081	17567	0.175385666306142	CG
1	NK42D	Fvb1	4950001	5000000	50000	*	3017	15110	0.199669093315685	CG
1	NK42D	Fvb1	5000001	5050000	50000	*	3891	10810	0.359944495837188	CG
1	NK42D	Fvb1	5050001	5100000	50000	*	2814	19082	0.147468818782098	CG
1	NK42D	Fvb1	5100001	5150000	50000	*	4303	14950	0.287826086956522	CG
1	NK42D	Fvb1	5150001	5200000	50000	*	3810	13073	0.291440373288457	CG
1	NK42D	Fvb1	5200001	5250000	50000	*	1887	2976	0.634072580645161	CG
1	NK42D	Fvb1	5250001	5300000	50000	*	3180	5226	0.60849598163031	CG
1	NK42D	Fvb1	5300001	5350000	50000	*	4382	11684	0.375042793563848	CG
1	NK42D	Fvb1	5350001	5400000	50000	*	4896	10613	0.461321021388863	CG
1	NK42D	Fvb1	5400001	5450000	50000	*	3756	19835	0.189362238467356	CG
1	NK42D	Fvb1	5450001	5500000	50000	*	2648	15609	0.169645717214428	CG
1	NK42D	Fvb1	5500001	5550000	50000	*	4075	13612	0.299368204525419	CG
1	NK42D	Fvb1	5550001	5600000	50000	*	3097	14319	0.216286053495356	CG
