group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	NL0H	Fvb1	1	50000	50000	*	2813	144116	0.0195189985844736	CHH
1	NL0H	Fvb1	50001	100000	50000	*	3918	177395	0.0220863045745371	CHH
1	NL0H	Fvb1	100001	150000	50000	*	1284	184442	0.00696153804448011	CHH
1	NL0H	Fvb1	150001	200000	50000	*	4164	172621	0.0241222099281084	CHH
1	NL0H	Fvb1	200001	250000	50000	*	2942	172157	0.0170890524346962	CHH
1	NL0H	Fvb1	250001	300000	50000	*	19877	179533	0.110715021750876	CHH
1	NL0H	Fvb1	300001	350000	50000	*	1442	186120	0.00774768966258328	CHH
1	NL0H	Fvb1	350001	400000	50000	*	3076	183552	0.0167581938633194	CHH
1	NL0H	Fvb1	400001	450000	50000	*	2029	164911	0.01230360618758	CHH
1	NL0H	Fvb1	450001	500000	50000	*	3223	173882	0.0185355585972096	CHH
1	NL0H	Fvb1	500001	550000	50000	*	1898	140785	0.0134815498810243	CHH
1	NL0H	Fvb1	550001	600000	50000	*	2277	173222	0.0131449815843253	CHH
1	NL0H	Fvb1	600001	650000	50000	*	2836	185708	0.0152712861050682	CHH
1	NL0H	Fvb1	650001	700000	50000	*	2582	124408	0.0207542923284676	CHH
1	NL0H	Fvb1	700001	750000	50000	*	12004	183621	0.0653737862227087	CHH
1	NL0H	Fvb1	750001	800000	50000	*	18660	181980	0.102538740520936	CHH
1	NL0H	Fvb1	800001	850000	50000	*	10949	164990	0.0663615976725862	CHH
1	NL0H	Fvb1	850001	900000	50000	*	2270	164713	0.0137815472974204	CHH
1	NL0H	Fvb1	900001	950000	50000	*	1133	181205	0.00625258684914875	CHH
1	NL0H	Fvb1	950001	1000000	50000	*	2564	170391	0.0150477431319729	CHH
1	NL0H	Fvb1	1000001	1050000	50000	*	2596	157532	0.0164791915293401	CHH
1	NL0H	Fvb1	1050001	1100000	50000	*	1464	170835	0.00856967249100009	CHH
1	NL0H	Fvb1	1100001	1150000	50000	*	2007	132438	0.0151542608616862	CHH
1	NL0H	Fvb1	1150001	1200000	50000	*	2638	167742	0.0157265324128721	CHH
1	NL0H	Fvb1	1200001	1250000	50000	*	4877	155326	0.0313984780397358	CHH
1	NL0H	Fvb1	1250001	1300000	50000	*	4921	112871	0.0435984442416564	CHH
1	NL0H	Fvb1	1300001	1350000	50000	*	2298	137184	0.0167512246326102	CHH
1	NL0H	Fvb1	1350001	1400000	50000	*	2953	147584	0.0200089440589766	CHH
1	NL0H	Fvb1	1400001	1450000	50000	*	1826	176781	0.0103291643332711	CHH
1	NL0H	Fvb1	1450001	1500000	50000	*	1932	183592	0.0105233343500806	CHH
1	NL0H	Fvb1	1500001	1550000	50000	*	5477	162672	0.0336689780662929	CHH
1	NL0H	Fvb1	1550001	1600000	50000	*	2542	164900	0.0154154032747119	CHH
1	NL0H	Fvb1	1600001	1650000	50000	*	2475	169755	0.0145798356454891	CHH
1	NL0H	Fvb1	1650001	1700000	50000	*	6969	187876	0.037093614937512	CHH
1	NL0H	Fvb1	1700001	1750000	50000	*	3564	159246	0.0223804679552391	CHH
1	NL0H	Fvb1	1750001	1800000	50000	*	2200	180029	0.0122202534036183	CHH
1	NL0H	Fvb1	1800001	1850000	50000	*	1060	184932	0.00573183656695434	CHH
1	NL0H	Fvb1	1850001	1900000	50000	*	2712	178590	0.0151856206954477	CHH
1	NL0H	Fvb1	1900001	1950000	50000	*	1625	176739	0.00919434872891665	CHH
1	NL0H	Fvb1	1950001	2000000	50000	*	2159	167194	0.0129131428161298	CHH
1	NL0H	Fvb1	2000001	2050000	50000	*	3507	174377	0.0201115972863394	CHH
1	NL0H	Fvb1	2050001	2100000	50000	*	2482	177875	0.0139536191145467	CHH
1	NL0H	Fvb1	2100001	2150000	50000	*	3323	183403	0.0181185694890487	CHH
1	NL0H	Fvb1	2150001	2200000	50000	*	2118	163696	0.0129386179259114	CHH
1	NL0H	Fvb1	2200001	2250000	50000	*	2001	168428	0.0118804474315434	CHH
1	NL0H	Fvb1	2250001	2300000	50000	*	3640	141409	0.0257409358668826	CHH
1	NL0H	Fvb1	2300001	2350000	50000	*	1885	165201	0.0114103425524059	CHH
1	NL0H	Fvb1	2350001	2400000	50000	*	3049	153286	0.0198909228500972	CHH
1	NL0H	Fvb1	2400001	2450000	50000	*	2346	120204	0.0195168214036139	CHH
1	NL0H	Fvb1	2450001	2500000	50000	*	3081	139602	0.0220698843856105	CHH
1	NL0H	Fvb1	2500001	2550000	50000	*	2577	174770	0.0147450935515249	CHH
1	NL0H	Fvb1	2550001	2600000	50000	*	4371	114205	0.0382732805043562	CHH
1	NL0H	Fvb1	2600001	2650000	50000	*	4957	137185	0.0361336880854321	CHH
1	NL0H	Fvb1	2650001	2700000	50000	*	2143	178145	0.0120295265093042	CHH
1	NL0H	Fvb1	2700001	2750000	50000	*	1752	173912	0.0100740604443627	CHH
1	NL0H	Fvb1	2750001	2800000	50000	*	2123	172193	0.0123291887591249	CHH
1	NL0H	Fvb1	2800001	2850000	50000	*	1471	172200	0.00854239256678281	CHH
1	NL0H	Fvb1	2850001	2900000	50000	*	3473	151775	0.022882556415747	CHH
1	NL0H	Fvb1	2900001	2950000	50000	*	1436	191275	0.00750751535746961	CHH
1	NL0H	Fvb1	2950001	3000000	50000	*	2741	146496	0.0187104084753167	CHH
1	NL0H	Fvb1	3000001	3050000	50000	*	1598	179042	0.00892528010187554	CHH
1	NL0H	Fvb1	3050001	3100000	50000	*	47293	176389	0.268117626382598	CHH
1	NL0H	Fvb1	3100001	3150000	50000	*	2426	147369	0.0164620781846928	CHH
1	NL0H	Fvb1	3150001	3200000	50000	*	1003	122742	0.0081716119991527	CHH
1	NL0H	Fvb1	3200001	3250000	50000	*	1179	177532	0.00664105626027984	CHH
1	NL0H	Fvb1	3250001	3300000	50000	*	2492	125694	0.0198259264563145	CHH
1	NL0H	Fvb1	3300001	3350000	50000	*	4858	163316	0.0297460138626956	CHH
1	NL0H	Fvb1	3350001	3400000	50000	*	3706	150537	0.0246185323209576	CHH
1	NL0H	Fvb1	3400001	3450000	50000	*	2247	174334	0.0128890520495142	CHH
1	NL0H	Fvb1	3450001	3500000	50000	*	2517	164995	0.0152550077275069	CHH
1	NL0H	Fvb1	3500001	3550000	50000	*	3578	160130	0.0223443452195091	CHH
1	NL0H	Fvb1	3550001	3600000	50000	*	15783	182171	0.0866383782270504	CHH
1	NL0H	Fvb1	3600001	3650000	50000	*	6033	159239	0.0378864474155201	CHH
1	NL0H	Fvb1	3650001	3700000	50000	*	1762	175558	0.010036569111063	CHH
1	NL0H	Fvb1	3700001	3750000	50000	*	1100	96157	0.0114396247803072	CHH
1	NL0H	Fvb1	3750001	3800000	50000	*	3378	175281	0.0192719119585123	CHH
1	NL0H	Fvb1	3800001	3850000	50000	*	1261	182065	0.00692609782220636	CHH
1	NL0H	Fvb1	3850001	3900000	50000	*	3633	89331	0.0406689726970481	CHH
1	NL0H	Fvb1	3900001	3950000	50000	*	3574	175997	0.0203071643266647	CHH
1	NL0H	Fvb1	3950001	4000000	50000	*	2607	136781	0.0190596647195151	CHH
1	NL0H	Fvb1	4000001	4050000	50000	*	3040	160696	0.0189177079703291	CHH
1	NL0H	Fvb1	4050001	4100000	50000	*	2476	166625	0.0148597149287322	CHH
1	NL0H	Fvb1	4100001	4150000	50000	*	2614	162124	0.0161234610545015	CHH
1	NL0H	Fvb1	4150001	4200000	50000	*	1552	137205	0.0113115411245946	CHH
1	NL0H	Fvb1	4200001	4250000	50000	*	1189	163448	0.00727448485145123	CHH
1	NL0H	Fvb1	4250001	4300000	50000	*	1711	162430	0.0105337683925383	CHH
1	NL0H	Fvb1	4300001	4350000	50000	*	1860	168746	0.0110224834959051	CHH
1	NL0H	Fvb1	4350001	4400000	50000	*	2690	153012	0.0175803204977387	CHH
1	NL0H	Fvb1	4400001	4450000	50000	*	2870	104732	0.0274032769354161	CHH
1	NL0H	Fvb1	4450001	4500000	50000	*	2359	158967	0.0148395578956639	CHH
1	NL0H	Fvb1	4500001	4550000	50000	*	3487	161214	0.0216296351433498	CHH
1	NL0H	Fvb1	4550001	4600000	50000	*	1404	156660	0.00896208349291459	CHH
1	NL0H	Fvb1	4600001	4650000	50000	*	4687	146793	0.0319293154305723	CHH
1	NL0H	Fvb1	4650001	4700000	50000	*	2634	170379	0.0154596517176413	CHH
1	NL0H	Fvb1	4700001	4750000	50000	*	1934	190435	0.0101556961692966	CHH
1	NL0H	Fvb1	4750001	4800000	50000	*	3185	181055	0.0175913396481732	CHH
1	NL0H	Fvb1	4800001	4850000	50000	*	5995	122977	0.0487489530562626	CHH
1	NL0H	Fvb1	4850001	4900000	50000	*	2631	166166	0.0158335640263351	CHH
1	NL0H	Fvb1	4900001	4950000	50000	*	2883	172668	0.0166967822642296	CHH
1	NL0H	Fvb1	4950001	5000000	50000	*	4185	153120	0.0273315047021944	CHH
1	NL0H	Fvb1	5000001	5050000	50000	*	1063	102969	0.0103234954209519	CHH
1	NL0H	Fvb1	5050001	5100000	50000	*	1562	185878	0.00840336134453781	CHH
1	NL0H	Fvb1	5100001	5150000	50000	*	2811	179108	0.0156944413426536	CHH
1	NL0H	Fvb1	5150001	5200000	50000	*	1576	172678	0.00912681407011895	CHH
1	NL0H	Fvb1	5200001	5250000	50000	*	28825	157342	0.183199654256333	CHH
1	NL0H	Fvb1	5250001	5300000	50000	*	36793	146773	0.250679620911203	CHH
1	NL0H	Fvb1	5300001	5350000	50000	*	1903	182410	0.0104325420755441	CHH
1	NL0H	Fvb1	5350001	5400000	50000	*	5935	138139	0.0429639710726153	CHH
1	NL0H	Fvb1	5400001	5450000	50000	*	2818	170571	0.0165209795334494	CHH
1	NL0H	Fvb1	5450001	5500000	50000	*	5310	155344	0.0341822020805438	CHH
1	NL0H	Fvb1	5500001	5550000	50000	*	1686	159967	0.0105396738077228	CHH
1	NL0H	Fvb1	5550001	5600000	50000	*	1589	166374	0.00955077115414668	CHH
1	NL0H	Fvb1	5600001	5650000	50000	*	2409	174535	0.0138023892056035	CHH
1	NL0H	Fvb1	5650001	5700000	50000	*	9254	156079	0.0592904875095304	CHH
1	NL0H	Fvb1	5700001	5750000	50000	*	1906	174833	0.0109018320339982	CHH
1	NL0H	Fvb1	5750001	5800000	50000	*	3189	161187	0.0197844739340021	CHH
1	NL0H	Fvb1	5800001	5850000	50000	*	1944	103186	0.0188397650844107	CHH
