group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	NL42D	Fvb1	1	50000	50000	*	8106	19706	0.411346797929565	CG
1	NL42D	Fvb1	50001	100000	50000	*	6608	21387	0.308972740449806	CG
1	NL42D	Fvb1	100001	150000	50000	*	5652	28685	0.197036778804253	CG
1	NL42D	Fvb1	150001	200000	50000	*	6877	26579	0.25873810150871	CG
1	NL42D	Fvb1	200001	250000	50000	*	5104	26163	0.19508466154493	CG
1	NL42D	Fvb1	250001	300000	50000	*	14275	27402	0.520947376103934	CG
1	NL42D	Fvb1	300001	350000	50000	*	6260	26079	0.24003987882971	CG
1	NL42D	Fvb1	350001	400000	50000	*	6461	31761	0.203425584836749	CG
1	NL42D	Fvb1	400001	450000	50000	*	7248	24130	0.300372979693328	CG
1	NL42D	Fvb1	450001	500000	50000	*	7304	20464	0.356919468334636	CG
1	NL42D	Fvb1	500001	550000	50000	*	5301	20929	0.253284915667256	CG
1	NL42D	Fvb1	550001	600000	50000	*	6267	25934	0.241651885555641	CG
1	NL42D	Fvb1	600001	650000	50000	*	5485	25758	0.212943551517975	CG
1	NL42D	Fvb1	650001	700000	50000	*	3929	19717	0.199269665770655	CG
1	NL42D	Fvb1	700001	750000	50000	*	10897	32393	0.336399839471491	CG
1	NL42D	Fvb1	750001	800000	50000	*	16699	29004	0.575748172665839	CG
1	NL42D	Fvb1	800001	850000	50000	*	10651	23408	0.455015379357485	CG
1	NL42D	Fvb1	850001	900000	50000	*	3320	24727	0.134266186759413	CG
1	NL42D	Fvb1	900001	950000	50000	*	5781	26312	0.219709638187899	CG
1	NL42D	Fvb1	950001	1000000	50000	*	6108	25164	0.24272770624702	CG
1	NL42D	Fvb1	1000001	1050000	50000	*	4732	28545	0.165773340339814	CG
1	NL42D	Fvb1	1050001	1100000	50000	*	4206	21988	0.191286156085137	CG
1	NL42D	Fvb1	1100001	1150000	50000	*	3373	12491	0.270034424785846	CG
1	NL42D	Fvb1	1150001	1200000	50000	*	6345	20249	0.313348807348511	CG
1	NL42D	Fvb1	1200001	1250000	50000	*	6877	28700	0.239616724738676	CG
1	NL42D	Fvb1	1250001	1300000	50000	*	7792	18131	0.429761182505102	CG
1	NL42D	Fvb1	1300001	1350000	50000	*	4222	21938	0.192451454097912	CG
1	NL42D	Fvb1	1350001	1400000	50000	*	9256	24416	0.379095674967235	CG
1	NL42D	Fvb1	1400001	1450000	50000	*	6450	26949	0.239340977401759	CG
1	NL42D	Fvb1	1450001	1500000	50000	*	6477	30049	0.215547938367333	CG
1	NL42D	Fvb1	1500001	1550000	50000	*	7168	26564	0.269838879686794	CG
1	NL42D	Fvb1	1550001	1600000	50000	*	7524	28860	0.260706860706861	CG
1	NL42D	Fvb1	1600001	1650000	50000	*	5703	29900	0.190735785953177	CG
1	NL42D	Fvb1	1650001	1700000	50000	*	5833	26172	0.222871771358704	CG
1	NL42D	Fvb1	1700001	1750000	50000	*	6010	24859	0.241763546401706	CG
1	NL42D	Fvb1	1750001	1800000	50000	*	4740	25370	0.186834844304296	CG
1	NL42D	Fvb1	1800001	1850000	50000	*	5290	22897	0.231034633358082	CG
1	NL42D	Fvb1	1850001	1900000	50000	*	6339	32537	0.194824353812583	CG
1	NL42D	Fvb1	1900001	1950000	50000	*	5225	31678	0.164940968495486	CG
1	NL42D	Fvb1	1950001	2000000	50000	*	4259	24412	0.17446337866623	CG
1	NL42D	Fvb1	2000001	2050000	50000	*	5410	21907	0.246953028712284	CG
1	NL42D	Fvb1	2050001	2100000	50000	*	5719	27672	0.20667100318011	CG
1	NL42D	Fvb1	2100001	2150000	50000	*	7110	25170	0.282479141835518	CG
1	NL42D	Fvb1	2150001	2200000	50000	*	2906	32676	0.0889337740237483	CG
1	NL42D	Fvb1	2200001	2250000	50000	*	7459	23461	0.31793188696134	CG
1	NL42D	Fvb1	2250001	2300000	50000	*	8066	18543	0.434988944615219	CG
1	NL42D	Fvb1	2300001	2350000	50000	*	7853	27187	0.288851289219112	CG
1	NL42D	Fvb1	2350001	2400000	50000	*	3517	20777	0.169273716128411	CG
1	NL42D	Fvb1	2400001	2450000	50000	*	3480	13374	0.260206370569762	CG
1	NL42D	Fvb1	2450001	2500000	50000	*	9877	20708	0.476965423990728	CG
1	NL42D	Fvb1	2500001	2550000	50000	*	4324	28042	0.154197275515298	CG
1	NL42D	Fvb1	2550001	2600000	50000	*	9544	18475	0.5165899864682	CG
1	NL42D	Fvb1	2600001	2650000	50000	*	7860	20803	0.377830120655675	CG
1	NL42D	Fvb1	2650001	2700000	50000	*	5117	31407	0.162925462476518	CG
1	NL42D	Fvb1	2700001	2750000	50000	*	6239	27372	0.227933654829753	CG
1	NL42D	Fvb1	2750001	2800000	50000	*	4344	26091	0.166494193400023	CG
1	NL42D	Fvb1	2800001	2850000	50000	*	6092	23395	0.260397520837786	CG
1	NL42D	Fvb1	2850001	2900000	50000	*	3618	22742	0.15908891038607	CG
1	NL42D	Fvb1	2900001	2950000	50000	*	2643	30786	0.0858507113623075	CG
1	NL42D	Fvb1	2950001	3000000	50000	*	6034	16981	0.355338319298039	CG
1	NL42D	Fvb1	3000001	3050000	50000	*	6876	30912	0.222437888198758	CG
1	NL42D	Fvb1	3050001	3100000	50000	*	19546	27888	0.700874928284567	CG
1	NL42D	Fvb1	3100001	3150000	50000	*	7640	20726	0.368619125735791	CG
1	NL42D	Fvb1	3150001	3200000	50000	*	4963	18176	0.273052376760563	CG
1	NL42D	Fvb1	3200001	3250000	50000	*	5020	23715	0.21168037107316	CG
1	NL42D	Fvb1	3250001	3300000	50000	*	4725	20016	0.236061151079137	CG
1	NL42D	Fvb1	3300001	3350000	50000	*	5490	29279	0.187506403907237	CG
1	NL42D	Fvb1	3350001	3400000	50000	*	8035	25463	0.315555904645957	CG
1	NL42D	Fvb1	3400001	3450000	50000	*	4987	24594	0.202773034073351	CG
1	NL42D	Fvb1	3450001	3500000	50000	*	6836	22667	0.301583800238232	CG
1	NL42D	Fvb1	3500001	3550000	50000	*	5708	27975	0.204039320822163	CG
1	NL42D	Fvb1	3550001	3600000	50000	*	13134	25608	0.512886597938144	CG
1	NL42D	Fvb1	3600001	3650000	50000	*	10043	23061	0.435497159706864	CG
1	NL42D	Fvb1	3650001	3700000	50000	*	5419	22211	0.243978208995543	CG
1	NL42D	Fvb1	3700001	3750000	50000	*	4255	15699	0.271036371743423	CG
1	NL42D	Fvb1	3750001	3800000	50000	*	4961	27355	0.18135624200329	CG
1	NL42D	Fvb1	3800001	3850000	50000	*	5446	26874	0.202649400907941	CG
1	NL42D	Fvb1	3850001	3900000	50000	*	5570	12193	0.456819486590667	CG
1	NL42D	Fvb1	3900001	3950000	50000	*	6874	27460	0.250327749453751	CG
1	NL42D	Fvb1	3950001	4000000	50000	*	5150	18501	0.278363331711799	CG
1	NL42D	Fvb1	4000001	4050000	50000	*	5724	22788	0.251184834123223	CG
1	NL42D	Fvb1	4050001	4100000	50000	*	4886	23279	0.209888740925297	CG
1	NL42D	Fvb1	4100001	4150000	50000	*	9083	22535	0.403061903705347	CG
1	NL42D	Fvb1	4150001	4200000	50000	*	5754	22097	0.260397339005295	CG
1	NL42D	Fvb1	4200001	4250000	50000	*	7809	22331	0.349693251533742	CG
1	NL42D	Fvb1	4250001	4300000	50000	*	7871	28887	0.272475508013986	CG
1	NL42D	Fvb1	4300001	4350000	50000	*	7345	27874	0.263507211021023	CG
1	NL42D	Fvb1	4350001	4400000	50000	*	4685	22616	0.207154227095861	CG
1	NL42D	Fvb1	4400001	4450000	50000	*	3169	16339	0.193953118305894	CG
1	NL42D	Fvb1	4450001	4500000	50000	*	6549	19929	0.328616588890562	CG
1	NL42D	Fvb1	4500001	4550000	50000	*	5338	25904	0.206068560840025	CG
1	NL42D	Fvb1	4550001	4600000	50000	*	5946	20796	0.285920369301789	CG
1	NL42D	Fvb1	4600001	4650000	50000	*	9530	24046	0.39632371288364	CG
1	NL42D	Fvb1	4650001	4700000	50000	*	3391	26376	0.128563845920534	CG
1	NL42D	Fvb1	4700001	4750000	50000	*	7780	31079	0.250329804691271	CG
1	NL42D	Fvb1	4750001	4800000	50000	*	5389	29517	0.182572754683742	CG
1	NL42D	Fvb1	4800001	4850000	50000	*	9479	18703	0.506817088167674	CG
1	NL42D	Fvb1	4850001	4900000	50000	*	5336	27343	0.19515049555645	CG
1	NL42D	Fvb1	4900001	4950000	50000	*	6873	29980	0.229252835223482	CG
1	NL42D	Fvb1	4950001	5000000	50000	*	7832	28069	0.279026684242403	CG
1	NL42D	Fvb1	5000001	5050000	50000	*	4285	12549	0.341461471033549	CG
1	NL42D	Fvb1	5050001	5100000	50000	*	5008	33637	0.14888366976841	CG
1	NL42D	Fvb1	5100001	5150000	50000	*	6821	24540	0.277954360228199	CG
1	NL42D	Fvb1	5150001	5200000	50000	*	7728	28561	0.270578761247855	CG
1	NL42D	Fvb1	5200001	5250000	50000	*	22368	24975	0.895615615615616	CG
1	NL42D	Fvb1	5250001	5300000	50000	*	23506	28366	0.828668123810195	CG
1	NL42D	Fvb1	5300001	5350000	50000	*	6734	21576	0.312106043752317	CG
1	NL42D	Fvb1	5350001	5400000	50000	*	9925	20931	0.47417705795232	CG
1	NL42D	Fvb1	5400001	5450000	50000	*	6391	30423	0.210071327613976	CG
1	NL42D	Fvb1	5450001	5500000	50000	*	7657	23746	0.322454308093995	CG
1	NL42D	Fvb1	5500001	5550000	50000	*	6992	22915	0.305127645646956	CG
1	NL42D	Fvb1	5550001	5600000	50000	*	5355	23181	0.231008153228938	CG
1	NL42D	Fvb1	5600001	5650000	50000	*	7366	24282	0.303352277407133	CG
1	NL42D	Fvb1	5650001	5700000	50000	*	10691	30257	0.353339723039297	CG
1	NL42D	Fvb1	5700001	5750000	50000	*	7500	23615	0.317594749100148	CG
1	NL42D	Fvb1	5750001	5800000	50000	*	5724	25711	0.222628446968224	CG
1	NL42D	Fvb1	5800001	5850000	50000	*	3320	19037	0.174397226453748	CG
1	NL42D	Fvb1	5850001	5900000	50000	*	3975	23628	0.168232605383443	CG
1	NL42D	Fvb1	5900001	5950000	50000	*	5295	22876	0.231465291134814	CG
1	NL42D	Fvb1	5950001	6000000	50000	*	6524	25484	0.256003767069534	CG
1	NL42D	Fvb1	6000001	6050000	50000	*	5871	25889	0.226775850747422	CG
1	NL42D	Fvb1	6050001	6100000	50000	*	7861	25794	0.304760797084593	CG
1	NL42D	Fvb1	6100001	6150000	50000	*	5811	26328	0.220715587967183	CG
1	NL42D	Fvb1	6150001	6200000	50000	*	5750	21324	0.269649221534421	CG
1	NL42D	Fvb1	6200001	6250000	50000	*	7806	22414	0.348264477558669	CG
1	NL42D	Fvb1	6250001	6300000	50000	*	4663	23158	0.201355902927714	CG
1	NL42D	Fvb1	6300001	6350000	50000	*	3889	17642	0.220439859426369	CG
1	NL42D	Fvb1	6350001	6400000	50000	*	6441	19449	0.331173839271942	CG
1	NL42D	Fvb1	6400001	6450000	50000	*	3366	33120	0.101630434782609	CG
1	NL42D	Fvb1	6450001	6500000	50000	*	8879	25480	0.348469387755102	CG
1	NL42D	Fvb1	6500001	6550000	50000	*	4957	20697	0.239503309658405	CG
1	NL42D	Fvb1	6550001	6600000	50000	*	6970	28789	0.242106360068082	CG
1	NL42D	Fvb1	6600001	6650000	50000	*	5134	24323	0.211075936356535	CG
1	NL42D	Fvb1	6650001	6700000	50000	*	6907	31364	0.220220635123071	CG
1	NL42D	Fvb1	6700001	6750000	50000	*	5959	23441	0.254212704236167	CG
1	NL42D	Fvb1	6750001	6800000	50000	*	8275	25032	0.33057686161713	CG
1	NL42D	Fvb1	6800001	6850000	50000	*	5535	39338	0.140703645330215	CG
1	NL42D	Fvb1	6850001	6900000	50000	*	6531	26256	0.248743144424132	CG
1	NL42D	Fvb1	6900001	6950000	50000	*	4989	20013	0.249287962824164	CG
1	NL42D	Fvb1	6950001	7000000	50000	*	6748	24036	0.28074554834415	CG
1	NL42D	Fvb1	7000001	7050000	50000	*	4486	21955	0.204327032566614	CG
1	NL42D	Fvb1	7050001	7100000	50000	*	4989	20319	0.245533736896501	CG
1	NL42D	Fvb1	7100001	7150000	50000	*	7141	28483	0.250710950391462	CG
1	NL42D	Fvb1	7150001	7200000	50000	*	3913	29173	0.134130874438693	CG
1	NL42D	Fvb1	7200001	7250000	50000	*	4835	24690	0.195828270554881	CG
1	NL42D	Fvb1	7250001	7300000	50000	*	6488	32197	0.201509457402864	CG
1	NL42D	Fvb1	7300001	7350000	50000	*	8338	30763	0.271039885576829	CG
1	NL42D	Fvb1	7350001	7400000	50000	*	6582	22778	0.28896303450698	CG
1	NL42D	Fvb1	7400001	7450000	50000	*	5900	26931	0.219078385503695	CG
1	NL42D	Fvb1	7450001	7500000	50000	*	10777	39420	0.273389142567225	CG
1	NL42D	Fvb1	7500001	7550000	50000	*	6272	25574	0.24524908109799	CG
1	NL42D	Fvb1	7550001	7600000	50000	*	3731	28492	0.130949038326548	CG
1	NL42D	Fvb1	7600001	7650000	50000	*	5854	28919	0.202427469829524	CG
1	NL42D	Fvb1	7650001	7700000	50000	*	4799	24396	0.196712575832104	CG
1	NL42D	Fvb1	7700001	7750000	50000	*	6492	30635	0.2119144769055	CG
1	NL42D	Fvb1	7750001	7800000	50000	*	10741	31643	0.339443162784818	CG
1	NL42D	Fvb1	7800001	7850000	50000	*	6557	25506	0.257076766251078	CG
1	NL42D	Fvb1	7850001	7900000	50000	*	2503	12503	0.200191953931057	CG
1	NL42D	Fvb1	7900001	7950000	50000	*	4250	9878	0.430249038266856	CG
1	NL42D	Fvb1	7950001	8000000	50000	*	5904	19360	0.30495867768595	CG
1	NL42D	Fvb1	8000001	8050000	50000	*	3942	27300	0.144395604395604	CG
1	NL42D	Fvb1	8050001	8100000	50000	*	8442	23828	0.354289071680376	CG
1	NL42D	Fvb1	8100001	8150000	50000	*	7308	19257	0.379498364231189	CG
1	NL42D	Fvb1	8150001	8200000	50000	*	7460	26098	0.285845658671163	CG
1	NL42D	Fvb1	8200001	8250000	50000	*	6384	18160	0.351541850220264	CG
1	NL42D	Fvb1	8250001	8300000	50000	*	6717	25044	0.268207954000958	CG
1	NL42D	Fvb1	8300001	8350000	50000	*	6844	12471	0.548793200224521	CG
1	NL42D	Fvb1	8350001	8400000	50000	*	9171	15989	0.57358183751329	CG
1	NL42D	Fvb1	8400001	8450000	50000	*	6784	28877	0.234927450912491	CG
1	NL42D	Fvb1	8450001	8500000	50000	*	11267	23462	0.480223339868724	CG
1	NL42D	Fvb1	8500001	8550000	50000	*	7451	20600	0.361699029126214	CG
1	NL42D	Fvb1	8550001	8600000	50000	*	8178	18375	0.445061224489796	CG
1	NL42D	Fvb1	8600001	8650000	50000	*	5423	19690	0.275418994413408	CG
1	NL42D	Fvb1	8650001	8700000	50000	*	4771	25970	0.18371197535618	CG
1	NL42D	Fvb1	8700001	8750000	50000	*	7026	21247	0.330681978632277	CG
1	NL42D	Fvb1	8750001	8800000	50000	*	4458	16474	0.270608231152119	CG
1	NL42D	Fvb1	8800001	8850000	50000	*	3270	24856	0.131557772771162	CG
1	NL42D	Fvb1	8850001	8900000	50000	*	9347	20749	0.450479541182708	CG
1	NL42D	Fvb1	8900001	8950000	50000	*	6610	22981	0.287628910839389	CG
1	NL42D	Fvb1	8950001	9000000	50000	*	8978	22342	0.40184406051383	CG
1	NL42D	Fvb1	9000001	9050000	50000	*	5384	28437	0.189330801420684	CG
1	NL42D	Fvb1	9050001	9100000	50000	*	5767	22177	0.2600441899265	CG
1	NL42D	Fvb1	9100001	9150000	50000	*	8522	28297	0.301162667420575	CG
1	NL42D	Fvb1	9150001	9200000	50000	*	4394	12138	0.362003624979404	CG
1	NL42D	Fvb1	9200001	9250000	50000	*	2547	26169	0.0973289006075891	CG
1	NL42D	Fvb1	9250001	9300000	50000	*	6362	23242	0.273728594785302	CG
1	NL42D	Fvb1	9300001	9350000	50000	*	11683	17384	0.67205476300046	CG
1	NL42D	Fvb1	9350001	9400000	50000	*	17756	30752	0.577393340270552	CG
1	NL42D	Fvb1	9400001	9450000	50000	*	6749	25948	0.260097117311546	CG
1	NL42D	Fvb1	9450001	9500000	50000	*	7686	25861	0.297204284443757	CG
1	NL42D	Fvb1	9500001	9550000	50000	*	9860	26303	0.374862183020948	CG
1	NL42D	Fvb1	9550001	9600000	50000	*	9067	17137	0.52908910544436	CG
1	NL42D	Fvb1	9600001	9650000	50000	*	13566	25604	0.529839087642556	CG
1	NL42D	Fvb1	9650001	9700000	50000	*	5127	18981	0.270112217480639	CG
1	NL42D	Fvb1	9700001	9750000	50000	*	6694	27246	0.245687440358218	CG
1	NL42D	Fvb1	9750001	9800000	50000	*	3870	26014	0.148766049050511	CG
1	NL42D	Fvb1	9800001	9850000	50000	*	4670	28631	0.163109915825504	CG
1	NL42D	Fvb1	9850001	9900000	50000	*	7608	21517	0.353580889529209	CG
1	NL42D	Fvb1	9900001	9950000	50000	*	6473	28889	0.224064522828758	CG
1	NL42D	Fvb1	9950001	10000000	50000	*	5959	17174	0.346977989984861	CG
1	NL42D	Fvb1	10000001	10050000	50000	*	8807	20037	0.439536856814892	CG
1	NL42D	Fvb1	10050001	10100000	50000	*	7428	23319	0.318538530811784	CG
1	NL42D	Fvb1	10100001	10150000	50000	*	2684	24017	0.11175417412666	CG
1	NL42D	Fvb1	10150001	10200000	50000	*	9137	43084	0.212074087828428	CG
1	NL42D	Fvb1	10200001	10250000	50000	*	5773	24535	0.235296515182393	CG
1	NL42D	Fvb1	10250001	10300000	50000	*	11146	24796	0.449507985158897	CG
1	NL42D	Fvb1	10300001	10350000	50000	*	6190	21890	0.282777523983554	CG
1	NL42D	Fvb1	10350001	10400000	50000	*	9304	22799	0.408088074038335	CG
1	NL42D	Fvb1	10400001	10450000	50000	*	7039	28309	0.248648839591649	CG
1	NL42D	Fvb1	10450001	10500000	50000	*	13883	28313	0.490340126443683	CG
1	NL42D	Fvb1	10500001	10550000	50000	*	7245	18615	0.389202256244964	CG
1	NL42D	Fvb1	10550001	10600000	50000	*	5095	26876	0.189574341419854	CG
1	NL42D	Fvb1	10600001	10650000	50000	*	4796	21365	0.22447928855605	CG
1	NL42D	Fvb1	10650001	10700000	50000	*	6781	29875	0.226979079497908	CG
1	NL42D	Fvb1	10700001	10750000	50000	*	8536	24108	0.354073336651734	CG
1	NL42D	Fvb1	10750001	10800000	50000	*	10159	17014	0.597096508757494	CG
1	NL42D	Fvb1	10800001	10850000	50000	*	7516	25213	0.298100186411772	CG
1	NL42D	Fvb1	10850001	10900000	50000	*	10014	18755	0.533937616635564	CG
1	NL42D	Fvb1	10900001	10950000	50000	*	11307	28691	0.394095709455927	CG
1	NL42D	Fvb1	10950001	11000000	50000	*	5488	23492	0.233611442193087	CG
1	NL42D	Fvb1	11000001	11050000	50000	*	5748	23841	0.24109726940984	CG
1	NL42D	Fvb1	11050001	11100000	50000	*	6331	12375	0.51159595959596	CG
1	NL42D	Fvb1	11100001	11150000	50000	*	5528	28128	0.196530147895336	CG
1	NL42D	Fvb1	11150001	11200000	50000	*	11052	19235	0.574577592929555	CG
1	NL42D	Fvb1	11200001	11250000	50000	*	7636	21879	0.349010466657525	CG
1	NL42D	Fvb1	11250001	11300000	50000	*	7261	17685	0.410573932711337	CG
1	NL42D	Fvb1	11300001	11350000	50000	*	8581	22704	0.377951021846371	CG
1	NL42D	Fvb1	11350001	11400000	50000	*	8248	15687	0.525785682412188	CG
1	NL42D	Fvb1	11400001	11450000	50000	*	10265	22852	0.449194818834238	CG
1	NL42D	Fvb1	11450001	11500000	50000	*	14575	24363	0.598243237696507	CG
1	NL42D	Fvb1	11500001	11550000	50000	*	6634	24036	0.276002662672658	CG
1	NL42D	Fvb1	11550001	11600000	50000	*	9084	20378	0.445774855236039	CG
1	NL42D	Fvb1	11600001	11650000	50000	*	10195	21480	0.474627560521415	CG
1	NL42D	Fvb1	11650001	11700000	50000	*	12568	16311	0.770522959965667	CG
1	NL42D	Fvb1	11700001	11750000	50000	*	10994	22028	0.499092064644997	CG
1	NL42D	Fvb1	11750001	11800000	50000	*	6483	26170	0.24772640427971	CG
1	NL42D	Fvb1	11800001	11850000	50000	*	9406	25650	0.366705653021442	CG
1	NL42D	Fvb1	11850001	11900000	50000	*	7423	20775	0.357304452466907	CG
1	NL42D	Fvb1	11900001	11950000	50000	*	10455	22017	0.474860335195531	CG
1	NL42D	Fvb1	11950001	12000000	50000	*	9972	18442	0.540722264396486	CG
1	NL42D	Fvb1	12000001	12050000	50000	*	10270	25945	0.395837348236654	CG
1	NL42D	Fvb1	12050001	12100000	50000	*	4896	16996	0.288067780654272	CG
1	NL42D	Fvb1	12100001	12150000	50000	*	7231	17402	0.415526950925181	CG
1	NL42D	Fvb1	12150001	12200000	50000	*	13621	18260	0.745947426067908	CG
1	NL42D	Fvb1	12200001	12250000	50000	*	10285	20794	0.494613830912763	CG
1	NL42D	Fvb1	12250001	12300000	50000	*	12218	19786	0.61750732841403	CG
1	NL42D	Fvb1	12300001	12350000	50000	*	8223	21499	0.382482906181683	CG
1	NL42D	Fvb1	12350001	12400000	50000	*	9900	20728	0.477614820532613	CG
1	NL42D	Fvb1	12400001	12450000	50000	*	9101	26871	0.338692270477466	CG
1	NL42D	Fvb1	12450001	12500000	50000	*	18338	32818	0.558778718995673	CG
1	NL42D	Fvb1	12500001	12550000	50000	*	5779	22362	0.258429478579733	CG
1	NL42D	Fvb1	12550001	12600000	50000	*	14075	21569	0.652556910380639	CG
1	NL42D	Fvb1	12600001	12650000	50000	*	9775	21176	0.461607480166226	CG
1	NL42D	Fvb1	12650001	12700000	50000	*	6556	19534	0.335619944711785	CG
1	NL42D	Fvb1	12700001	12750000	50000	*	14085	27568	0.51091845618108	CG
1	NL42D	Fvb1	12750001	12800000	50000	*	7469	21744	0.343497056659308	CG
1	NL42D	Fvb1	12800001	12850000	50000	*	8018	22279	0.35989047982405	CG
1	NL42D	Fvb1	12850001	12900000	50000	*	8862	20865	0.424730409777139	CG
1	NL42D	Fvb1	12900001	12950000	50000	*	11278	18334	0.615141267590269	CG
1	NL42D	Fvb1	12950001	13000000	50000	*	8656	18054	0.479450537277058	CG
1	NL42D	Fvb1	13000001	13050000	50000	*	8211	21449	0.382815049652664	CG
1	NL42D	Fvb1	13050001	13100000	50000	*	9174	29557	0.310383327130629	CG
1	NL42D	Fvb1	13100001	13150000	50000	*	7849	20025	0.391960049937578	CG
1	NL42D	Fvb1	13150001	13200000	50000	*	7314	23532	0.310810810810811	CG
1	NL42D	Fvb1	13200001	13250000	50000	*	8364	21200	0.394528301886792	CG
1	NL42D	Fvb1	13250001	13300000	50000	*	9604	25666	0.374191537442531	CG
1	NL42D	Fvb1	13300001	13350000	50000	*	16294	21597	0.754456637495948	CG
1	NL42D	Fvb1	13350001	13400000	50000	*	9664	19050	0.507296587926509	CG
1	NL42D	Fvb1	13400001	13450000	50000	*	13326	16710	0.797486535008977	CG
1	NL42D	Fvb1	13450001	13500000	50000	*	11596	17848	0.649708650829225	CG
1	NL42D	Fvb1	13500001	13550000	50000	*	7929	22117	0.358502509381923	CG
1	NL42D	Fvb1	13550001	13600000	50000	*	8515	15345	0.554903877484523	CG
1	NL42D	Fvb1	13600001	13650000	50000	*	8830	19121	0.461795931175148	CG
1	NL42D	Fvb1	13650001	13700000	50000	*	13315	27788	0.479163667770261	CG
1	NL42D	Fvb1	13700001	13750000	50000	*	13691	22921	0.597312508180271	CG
