group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	NL42D	Fvb1	1	50000	50000	*	2333	30551	0.076364112467677	CHG
1	NL42D	Fvb1	50001	100000	50000	*	3014	36419	0.0827589994233779	CHG
1	NL42D	Fvb1	100001	150000	50000	*	397	41981	0.00945665896476978	CHG
1	NL42D	Fvb1	150001	200000	50000	*	3143	38684	0.0812480612139386	CHG
1	NL42D	Fvb1	200001	250000	50000	*	859	35646	0.024098075520395	CHG
1	NL42D	Fvb1	250001	300000	50000	*	4626	38393	0.120490714453156	CHG
1	NL42D	Fvb1	300001	350000	50000	*	488	42691	0.0114309807687803	CHG
1	NL42D	Fvb1	350001	400000	50000	*	1624	45028	0.0360664475437506	CHG
1	NL42D	Fvb1	400001	450000	50000	*	1342	37569	0.0357209401368149	CHG
1	NL42D	Fvb1	450001	500000	50000	*	2913	39895	0.0730166687554831	CHG
1	NL42D	Fvb1	500001	550000	50000	*	726	33619	0.0215949314375799	CHG
1	NL42D	Fvb1	550001	600000	50000	*	760	40831	0.0186133085155886	CHG
1	NL42D	Fvb1	600001	650000	50000	*	1817	41923	0.0433413639291081	CHG
1	NL42D	Fvb1	650001	700000	50000	*	1675	27241	0.0614881979369333	CHG
1	NL42D	Fvb1	700001	750000	50000	*	3551	37895	0.0937062937062937	CHG
1	NL42D	Fvb1	750001	800000	50000	*	5754	34865	0.165036569625699	CHG
1	NL42D	Fvb1	800001	850000	50000	*	3753	35237	0.106507364418083	CHG
1	NL42D	Fvb1	850001	900000	50000	*	1295	34155	0.0379153857414727	CHG
1	NL42D	Fvb1	900001	950000	50000	*	220	40699	0.00540553821961228	CHG
1	NL42D	Fvb1	950001	1000000	50000	*	2156	37205	0.0579492003762935	CHG
1	NL42D	Fvb1	1000001	1050000	50000	*	1440	34441	0.0418106326761708	CHG
1	NL42D	Fvb1	1050001	1100000	50000	*	551	33914	0.0162469776493484	CHG
1	NL42D	Fvb1	1100001	1150000	50000	*	1242	27723	0.0448003462828698	CHG
1	NL42D	Fvb1	1150001	1200000	50000	*	872	36696	0.0237628079354698	CHG
1	NL42D	Fvb1	1200001	1250000	50000	*	5256	34567	0.152052535655394	CHG
1	NL42D	Fvb1	1250001	1300000	50000	*	7233	23640	0.305964467005076	CHG
1	NL42D	Fvb1	1300001	1350000	50000	*	2335	29699	0.0786221758308361	CHG
1	NL42D	Fvb1	1350001	1400000	50000	*	1224	34275	0.0357111597374179	CHG
1	NL42D	Fvb1	1400001	1450000	50000	*	502	38333	0.0130957660501396	CHG
1	NL42D	Fvb1	1450001	1500000	50000	*	907	44220	0.0205110809588422	CHG
1	NL42D	Fvb1	1500001	1550000	50000	*	4069	35281	0.115331198095292	CHG
1	NL42D	Fvb1	1550001	1600000	50000	*	2509	38634	0.0649427965004918	CHG
1	NL42D	Fvb1	1600001	1650000	50000	*	2281	39979	0.0570549538507717	CHG
1	NL42D	Fvb1	1650001	1700000	50000	*	7639	42572	0.179437188762567	CHG
1	NL42D	Fvb1	1700001	1750000	50000	*	2190	34041	0.0643341852472019	CHG
1	NL42D	Fvb1	1750001	1800000	50000	*	556	40245	0.013815380792645	CHG
1	NL42D	Fvb1	1800001	1850000	50000	*	499	40933	0.0121906530183471	CHG
1	NL42D	Fvb1	1850001	1900000	50000	*	2064	45187	0.0456768539624228	CHG
1	NL42D	Fvb1	1900001	1950000	50000	*	951	41722	0.0227937299266574	CHG
1	NL42D	Fvb1	1950001	2000000	50000	*	1069	37378	0.0285997110599818	CHG
1	NL42D	Fvb1	2000001	2050000	50000	*	1688	39193	0.0430689153675401	CHG
1	NL42D	Fvb1	2050001	2100000	50000	*	1612	37032	0.0435299200691294	CHG
1	NL42D	Fvb1	2100001	2150000	50000	*	3218	39592	0.0812790462719741	CHG
1	NL42D	Fvb1	2150001	2200000	50000	*	659	34732	0.0189738569618795	CHG
1	NL42D	Fvb1	2200001	2250000	50000	*	1392	40008	0.0347930413917217	CHG
1	NL42D	Fvb1	2250001	2300000	50000	*	2022	26495	0.0763162860917154	CHG
1	NL42D	Fvb1	2300001	2350000	50000	*	992	38787	0.0255755794467218	CHG
1	NL42D	Fvb1	2350001	2400000	50000	*	1548	31486	0.0491647081242457	CHG
1	NL42D	Fvb1	2400001	2450000	50000	*	1476	21341	0.0691626446745701	CHG
1	NL42D	Fvb1	2450001	2500000	50000	*	3008	30946	0.097201576940477	CHG
1	NL42D	Fvb1	2500001	2550000	50000	*	1188	34463	0.034471752314076	CHG
1	NL42D	Fvb1	2550001	2600000	50000	*	5184	22922	0.226158275892156	CHG
1	NL42D	Fvb1	2600001	2650000	50000	*	4738	29071	0.162980289635719	CHG
1	NL42D	Fvb1	2650001	2700000	50000	*	1477	41583	0.0355193228001828	CHG
1	NL42D	Fvb1	2700001	2750000	50000	*	646	38933	0.0165926078134231	CHG
1	NL42D	Fvb1	2750001	2800000	50000	*	993	35512	0.0279623789141699	CHG
1	NL42D	Fvb1	2800001	2850000	50000	*	624	39819	0.0156709108716944	CHG
1	NL42D	Fvb1	2850001	2900000	50000	*	2794	32141	0.0869294670358732	CHG
1	NL42D	Fvb1	2900001	2950000	50000	*	322	42996	0.00748906875058145	CHG
1	NL42D	Fvb1	2950001	3000000	50000	*	2573	29320	0.0877557980900409	CHG
1	NL42D	Fvb1	3000001	3050000	50000	*	839	43142	0.0194474062398591	CHG
1	NL42D	Fvb1	3050001	3100000	50000	*	10679	29697	0.359598612654477	CHG
1	NL42D	Fvb1	3100001	3150000	50000	*	1684	30420	0.0553583168967784	CHG
1	NL42D	Fvb1	3150001	3200000	50000	*	390	26889	0.0145040722972219	CHG
1	NL42D	Fvb1	3200001	3250000	50000	*	320	36874	0.00867820144275099	CHG
1	NL42D	Fvb1	3250001	3300000	50000	*	1858	29742	0.0624705803241208	CHG
1	NL42D	Fvb1	3300001	3350000	50000	*	4459	39541	0.112769024556789	CHG
1	NL42D	Fvb1	3350001	3400000	50000	*	3430	34845	0.0984359305495767	CHG
1	NL42D	Fvb1	3400001	3450000	50000	*	2314	41012	0.0564225104847362	CHG
1	NL42D	Fvb1	3450001	3500000	50000	*	875	35771	0.0244611556847726	CHG
1	NL42D	Fvb1	3500001	3550000	50000	*	2369	37035	0.0639665181584987	CHG
1	NL42D	Fvb1	3550001	3600000	50000	*	3236	39119	0.0827219509701168	CHG
1	NL42D	Fvb1	3600001	3650000	50000	*	3125	35595	0.0877932293861497	CHG
1	NL42D	Fvb1	3650001	3700000	50000	*	1364	38259	0.0356517420737604	CHG
1	NL42D	Fvb1	3700001	3750000	50000	*	1419	24891	0.057008557309871	CHG
1	NL42D	Fvb1	3750001	3800000	50000	*	1589	38761	0.0409948143752741	CHG
1	NL42D	Fvb1	3800001	3850000	50000	*	470	43924	0.0107003005190784	CHG
1	NL42D	Fvb1	3850001	3900000	50000	*	4232	18161	0.233026815703981	CHG
1	NL42D	Fvb1	3900001	3950000	50000	*	2789	39563	0.0704951596188358	CHG
1	NL42D	Fvb1	3950001	4000000	50000	*	2337	30625	0.0763102040816327	CHG
1	NL42D	Fvb1	4000001	4050000	50000	*	1731	34333	0.0504179652229633	CHG
1	NL42D	Fvb1	4050001	4100000	50000	*	1836	36621	0.050135168346031	CHG
1	NL42D	Fvb1	4100001	4150000	50000	*	2540	37231	0.0682227176277833	CHG
1	NL42D	Fvb1	4150001	4200000	50000	*	568	33409	0.0170014068065491	CHG
1	NL42D	Fvb1	4200001	4250000	50000	*	563	37401	0.015053073447234	CHG
1	NL42D	Fvb1	4250001	4300000	50000	*	650	38783	0.0167599205837609	CHG
1	NL42D	Fvb1	4300001	4350000	50000	*	1060	39224	0.0270242708545788	CHG
1	NL42D	Fvb1	4350001	4400000	50000	*	2731	33355	0.0818767800929396	CHG
1	NL42D	Fvb1	4400001	4450000	50000	*	2405	22051	0.109065348510272	CHG
1	NL42D	Fvb1	4450001	4500000	50000	*	1162	34098	0.0340782450583612	CHG
1	NL42D	Fvb1	4500001	4550000	50000	*	3183	34144	0.0932228209934396	CHG
1	NL42D	Fvb1	4550001	4600000	50000	*	603	34838	0.0173086859176761	CHG
1	NL42D	Fvb1	4600001	4650000	50000	*	5652	30975	0.182469733656174	CHG
1	NL42D	Fvb1	4650001	4700000	50000	*	1640	32352	0.0506923837784372	CHG
1	NL42D	Fvb1	4700001	4750000	50000	*	856	45341	0.0188791601420348	CHG
1	NL42D	Fvb1	4750001	4800000	50000	*	1343	41507	0.0323559881465777	CHG
1	NL42D	Fvb1	4800001	4850000	50000	*	5457	20791	0.262469337694195	CHG
1	NL42D	Fvb1	4850001	4900000	50000	*	1103	39669	0.0278050870957171	CHG
1	NL42D	Fvb1	4900001	4950000	50000	*	1884	38347	0.0491303100633687	CHG
1	NL42D	Fvb1	4950001	5000000	50000	*	3310	33211	0.0996657733883352	CHG
