,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb1,context,group
1,Fvb1,1,50000,50000,*,15937,36198,0.0706075455406449,CG,AK_FK
2,Fvb1,50001,100000,50000,*,10689,36070,-0.018683474318278,CG,AK_FK
3,Fvb1,100001,150000,50000,*,9367,45718,0.0176052644380754,CG,AK_FK
4,Fvb1,150001,200000,50000,*,11148,43350,0.0124279728543356,CG,AK_FK
5,Fvb1,200001,250000,50000,*,10804,44626,0.0584767446924451,CG,AK_FK
6,Fvb1,250001,300000,50000,*,25343,43930,0.0299467035157298,CG,AK_FK
7,Fvb1,300001,350000,50000,*,12018,39480,0.0788238191883606,CG,AK_FK
8,Fvb1,350001,400000,50000,*,12867,52447,0.036157158943694,CG,AK_FK
9,Fvb1,400001,450000,50000,*,13958,39450,0.0664001441907095,CG,AK_FK
10,Fvb1,450001,500000,50000,*,13269,32019,0.0824604519684342,CG,AK_FK
11,Fvb1,500001,550000,50000,*,8237,32320,0.0119734227929434,CG,AK_FK
12,Fvb1,550001,600000,50000,*,10675,37296,0.0459480867666107,CG,AK_FK
13,Fvb1,600001,650000,50000,*,7651,24674,0.104632237045647,CG,AK_FK
14,Fvb1,650001,700000,50000,*,3182,19074,-0.0190748671002395,CG,AK_FK
15,Fvb1,700001,750000,50000,*,18436,50006,0.0163760604035746,CG,AK_FK
16,Fvb1,750001,800000,50000,*,29098,46884,0.0351325850125022,CG,AK_FK
17,Fvb1,800001,850000,50000,*,20743,38021,0.0954426778908508,CG,AK_FK
18,Fvb1,850001,900000,50000,*,10028,43541,0.09751323224082,CG,AK_FK
19,Fvb1,900001,950000,50000,*,9490,41327,0.0173788109253166,CG,AK_FK
20,Fvb1,950001,1000000,50000,*,9796,38241,0.0297687399046384,CG,AK_FK
21,Fvb1,1000001,1050000,50000,*,8398,48517,0.00977997608952585,CG,AK_FK
22,Fvb1,1050001,1100000,50000,*,8714,37854,0.0401712179408716,CG,AK_FK
23,Fvb1,1100001,1150000,50000,*,6691,22111,0.069744439850203,CG,AK_FK
24,Fvb1,1150001,1200000,50000,*,10358,31064,0.0284753853830131,CG,AK_FK
25,Fvb1,1200001,1250000,50000,*,2932,15955,-0.034818313637679,CG,AK_FK
26,Fvb1,1250001,1300000,50000,*,718,855,0.44146715022525,CG,AK_FK
27,Fvb1,1300001,1350000,50000,*,2904,12226,0.0601763683570625,CG,AK_FK
28,Fvb1,1350001,1400000,50000,*,10329,31576,-0.0521199576550693,CG,AK_FK
29,Fvb1,1400001,1450000,50000,*,12828,39586,0.0927372324915185,CG,AK_FK
30,Fvb1,1450001,1500000,50000,*,10239,44537,0.0182409009090197,CG,AK_FK
31,Fvb1,1500001,1550000,50000,*,10104,41350,-0.00488557660757419,CG,AK_FK
32,Fvb1,1550001,1600000,50000,*,13497,43786,0.078469383068824,CG,AK_FK
33,Fvb1,1600001,1650000,50000,*,9087,35631,0.0634549352155294,CG,AK_FK
34,Fvb1,1650001,1700000,50000,*,8323,39233,0.0151502314097278,CG,AK_FK
35,Fvb1,1700001,1750000,50000,*,12469,42616,0.0503636462562681,CG,AK_FK
36,Fvb1,1750001,1800000,50000,*,8292,39922,0.0324970827538169,CG,AK_FK
37,Fvb1,1800001,1850000,50000,*,9927,34595,0.0688485057194383,CG,AK_FK
38,Fvb1,1850001,1900000,50000,*,12765,48363,0.0818542603904966,CG,AK_FK
39,Fvb1,1900001,1950000,50000,*,10520,47077,0.046808243828728,CG,AK_FK
40,Fvb1,1950001,2000000,50000,*,9872,43190,0.0676705276705277,CG,AK_FK
41,Fvb1,2000001,2050000,50000,*,9211,36806,0.00761540813538361,CG,AK_FK
42,Fvb1,2050001,2100000,50000,*,10413,41346,0.0634244729942499,CG,AK_FK
