,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHG.Fvb7,context,group
1,Fvb7,1,50000,50000,*,13,81,-0.428878153515835,CHG,AL_FL
2,Fvb7,50001,100000,50000,*,0,0,0,CHG,AL_FL
3,Fvb7,100001,150000,50000,*,0,0,0,CHG,AL_FL
4,Fvb7,150001,200000,50000,*,0,0,0,CHG,AL_FL
5,Fvb7,200001,250000,50000,*,0,0,0,CHG,AL_FL
6,Fvb7,250001,300000,50000,*,0,0,0,CHG,AL_FL
7,Fvb7,300001,350000,50000,*,0,0,0,CHG,AL_FL
8,Fvb7,350001,400000,50000,*,0,0,0,CHG,AL_FL
9,Fvb7,400001,450000,50000,*,0,0,0,CHG,AL_FL
10,Fvb7,450001,500000,50000,*,0,0,0,CHG,AL_FL
11,Fvb7,500001,550000,50000,*,0,0,0,CHG,AL_FL
12,Fvb7,550001,600000,50000,*,9,10,-0.00909090909090904,CHG,AL_FL
13,Fvb7,600001,650000,50000,*,11229,19400,0.128577987372183,CHG,AL_FL
14,Fvb7,650001,700000,50000,*,4325,19961,0.0731309020032019,CHG,AL_FL
15,Fvb7,700001,750000,50000,*,4668,13342,0.0279360712726396,CHG,AL_FL
16,Fvb7,750001,800000,50000,*,3130,26675,-0.165656592086547,CHG,AL_FL
17,Fvb7,800001,850000,50000,*,8190,18250,-0.0175729171042803,CHG,AL_FL
18,Fvb7,850001,900000,50000,*,3081,13685,0.0116710155096605,CHG,AL_FL
19,Fvb7,900001,950000,50000,*,9264,16907,0.0219488355183493,CHG,AL_FL
20,Fvb7,950001,1000000,50000,*,5726,12141,0.105998950792487,CHG,AL_FL
21,Fvb7,1000001,1050000,50000,*,6422,18304,0.0339518754650318,CHG,AL_FL
22,Fvb7,1050001,1100000,50000,*,5684,13951,0.0445185349923684,CHG,AL_FL
23,Fvb7,1100001,1150000,50000,*,4497,22569,0.0102490906078641,CHG,AL_FL
24,Fvb7,1150001,1200000,50000,*,3905,25385,0.00320389209264638,CHG,AL_FL
25,Fvb7,1200001,1250000,50000,*,4570,13263,-0.0250552868085993,CHG,AL_FL
26,Fvb7,1250001,1300000,50000,*,7458,17135,0.0192217568859898,CHG,AL_FL
27,Fvb7,1300001,1350000,50000,*,4256,23032,0.0253487641300043,CHG,AL_FL
28,Fvb7,1350001,1400000,50000,*,5574,22399,0.0362438334949378,CHG,AL_FL
29,Fvb7,1400001,1450000,50000,*,2980,21929,-0.0239906113493123,CHG,AL_FL
30,Fvb7,1450001,1500000,50000,*,3899,19734,-0.0260291008072517,CHG,AL_FL
31,Fvb7,1500001,1550000,50000,*,2793,22095,0.0277089261554313,CHG,AL_FL
32,Fvb7,1550001,1600000,50000,*,4300,25571,-0.0223265058029641,CHG,AL_FL
33,Fvb7,1600001,1650000,50000,*,4152,26491,-0.00582067079402609,CHG,AL_FL
34,Fvb7,1650001,1700000,50000,*,4917,27473,0.0572122506588758,CHG,AL_FL
35,Fvb7,1700001,1750000,50000,*,6999,18274,0.0557447292892748,CHG,AL_FL
36,Fvb7,1750001,1800000,50000,*,3282,23909,0.0814745134301081,CHG,AL_FL
37,Fvb7,1800001,1850000,50000,*,5328,20307,0.113080085809106,CHG,AL_FL
38,Fvb7,1850001,1900000,50000,*,6029,23770,0.0753834600469821,CHG,AL_FL
39,Fvb7,1900001,1950000,50000,*,3483,21255,-0.00122958727978892,CHG,AL_FL
40,Fvb7,1950001,2000000,50000,*,5660,27022,0.0922611957784063,CHG,AL_FL
41,Fvb7,2000001,2050000,50000,*,2818,22875,-0.00214449181078813,CHG,AL_FL
42,Fvb7,2050001,2100000,50000,*,4024,18733,0.0251439270405473,CHG,AL_FL
43,Fvb7,2100001,2150000,50000,*,5419,13171,-0.0739694433439829,CHG,AL_FL
44,Fvb7,2150001,2200000,50000,*,1772,26049,0.0194145328675445,CHG,AL_FL
45,Fvb7,2200001,2250000,50000,*,7887,17332,0.0637543689479527,CHG,AL_FL
46,Fvb7,2250001,2300000,50000,*,7343,22499,0.0503539372772183,CHG,AL_FL
47,Fvb7,2300001,2350000,50000,*,7234,25869,0.0360927860178128,CHG,AL_FL
48,Fvb7,2350001,2400000,50000,*,1928,26182,0.0273959391678517,CHG,AL_FL
