seqnames	start	end	Proportion
Fvb1	1	50000	0.369665397715889
Fvb1	50001	100000	0.315023923444976
Fvb1	100001	150000	0.187281213535589
Fvb1	150001	200000	0.24473465690345
Fvb1	200001	250000	0.183624272651704
Fvb1	250001	300000	0.546948356807512
Fvb1	300001	350000	0.225583475644466
Fvb1	350001	400000	0.209176225234619
Fvb1	400001	450000	0.287414811449341
Fvb1	450001	500000	0.33194974197891
Fvb1	500001	550000	0.242884250474383
Fvb1	550001	600000	0.240275636957113
Fvb1	600001	650000	0.205451251646904
Fvb1	650001	700000	0.185898815931109
Fvb1	700001	750000	0.352299698505356
Fvb1	750001	800000	0.585505585792037
Fvb1	800001	850000	0.450124245651402
Fvb1	850001	900000	0.132798428033404
Fvb1	900001	950000	0.212253148810449
Fvb1	950001	1000000	0.226396109340936
Fvb1	1000001	1050000	0.163313990973565
Fvb1	1050001	1100000	0.190029025098173
Fvb1	1100001	1150000	0.232865121001862
Fvb1	1150001	1200000	0.304965253298419
Fvb1	1200001	1250000	0.218585157887131
Fvb1	1250001	1300000	0.398298931646095
Fvb1	1300001	1350000	0.17735021433556
Fvb1	1350001	1400000	0.379235488437942
Fvb1	1400001	1450000	0.231316725978648
Fvb1	1450001	1500000	0.211657834973505
Fvb1	1500001	1550000	0.249238660041673
Fvb1	1550001	1600000	0.229779829008096
Fvb1	1600001	1650000	0.191575796450716
Fvb1	1650001	1700000	0.196992607526882
Fvb1	1700001	1750000	0.242225991438494
Fvb1	1750001	1800000	0.17520794204454
Fvb1	1800001	1850000	0.21810047534719
Fvb1	1850001	1900000	0.182087182448037
Fvb1	1900001	1950000	0.17665544332211
Fvb1	1950001	2000000	0.160900900900901
Fvb1	2000001	2050000	0.242642701955362
Fvb1	2050001	2100000	0.188425766448502
Fvb1	2100001	2150000	0.264954954954955
Fvb1	2150001	2200000	0.0925112895132965
Fvb1	2200001	2250000	0.318013834928456
Fvb1	2250001	2300000	0.407706787731148
Fvb1	2300001	2350000	0.299943995519642
Fvb1	2350001	2400000	0.170434782608696
Fvb1	2400001	2450000	0.235505682635592
Fvb1	2450001	2500000	0.452773330822111
Fvb1	2500001	2550000	0.141752233631151
Fvb1	2550001	2600000	0.484139872252896
Fvb1	2600001	2650000	0.367124142233313
Fvb1	2650001	2700000	0.154651242856159
Fvb1	2700001	2750000	0.222541860293575
Fvb1	2750001	2800000	0.163460751411967
Fvb1	2800001	2850000	0.250394285184154
Fvb1	2850001	2900000	0.164623312011372
Fvb1	2900001	2950000	0.0712852748428514
Fvb1	2950001	3000000	0.346181995608685
Fvb1	3000001	3050000	0.213408047529031
Fvb1	3050001	3100000	0.716767054209273
Fvb1	3100001	3150000	0.346192987325377
Fvb1	3150001	3200000	0.253813369223867
Fvb1	3200001	3250000	0.210963327439071
Fvb1	3250001	3300000	0.220554842531346
Fvb1	3300001	3350000	0.184616458435123
Fvb1	3350001	3400000	0.298713235294118
Fvb1	3400001	3450000	0.186327422256489
Fvb1	3450001	3500000	0.306118491224668
Fvb1	3500001	3550000	0.172245520396493
Fvb1	3550001	3600000	0.515075376884422
Fvb1	3600001	3650000	0.42996268317102
Fvb1	3650001	3700000	0.2255127379748
Fvb1	3700001	3750000	0.271648873072361
Fvb1	3750001	3800000	0.177616203583485
Fvb1	3800001	3850000	0.186695457187941
Fvb1	3850001	3900000	0.452876147648492
Fvb1	3900001	3950000	0.253787299158378
Fvb1	3950001	4000000	0.238063364569389
Fvb1	4000001	4050000	0.233213594915723
Fvb1	4050001	4100000	0.219066743163129
Fvb1	4100001	4150000	0.357724355904607
Fvb1	4150001	4200000	0.271083738949041
Fvb1	4200001	4250000	0.353966409633464
Fvb1	4250001	4300000	0.256368913253789
Fvb1	4300001	4350000	0.251928429423459
Fvb1	4350001	4400000	0.195563172426926
Fvb1	4400001	4450000	0.206759187869442
Fvb1	4450001	4500000	0.320256776034237
Fvb1	4500001	4550000	0.183012057445665
Fvb1	4550001	4600000	0.252107771260997
Fvb1	4600001	4650000	0.364584209198688
Fvb1	4650001	4700000	0.112375415282392
Fvb1	4700001	4750000	0.226968117511677
Fvb1	4750001	4800000	0.176348834000276
Fvb1	4800001	4850000	0.468067717454758
Fvb1	4850001	4900000	0.181541906589891
Fvb1	4900001	4950000	0.209638874137015
Fvb1	4950001	5000000	0.25754666257009
Fvb1	5000001	5050000	0.321875550854927
Fvb1	5050001	5100000	0.141012108040981
Fvb1	5100001	5150000	0.300392722609602
Fvb1	5150001	5200000	0.261720527992717
Fvb1	5200001	5250000	0.902695804753549
Fvb1	5250001	5300000	0.81400755594304
Fvb1	5300001	5350000	0.315618860510806
Fvb1	5350001	5400000	0.442863741339492
Fvb1	5400001	5450000	0.199686561316442
Fvb1	5450001	5500000	0.306355191759404
Fvb1	5500001	5550000	0.29733614411652
Fvb1	5550001	5600000	0.24564907275321
Fvb1	5600001	5650000	0.304567642956764
Fvb1	5650001	5700000	0.340147007350368
Fvb1	5700001	5750000	0.294924909373382
Fvb1	5750001	5800000	0.216252294343401
Fvb1	5800001	5850000	0.158935801041064
Fvb1	5850001	5900000	0.148067698434247
Fvb1	5900001	5950000	0.221701795472287
Fvb1	5950001	6000000	0.252797383370632
Fvb1	6000001	6050000	0.219784017278618
Fvb1	6050001	6100000	0.269159863049776
Fvb1	6100001	6150000	0.208164279208413
Fvb1	6150001	6200000	0.280522541989981
Fvb1	6200001	6250000	0.350683392623104
Fvb1	6250001	6300000	0.209425493716338
Fvb1	6300001	6350000	0.220283887745151
