seqnames	start	end	Proportion
Fvb1	1	50000	0.422875713379835
Fvb1	50001	100000	0.334700338153824
Fvb1	100001	150000	0.206859186216612
Fvb1	150001	200000	0.279767003597739
Fvb1	200001	250000	0.20525255069908
Fvb1	250001	300000	0.587712344280861
Fvb1	300001	350000	0.254240670524845
Fvb1	350001	400000	0.231016042780749
Fvb1	400001	450000	0.311981345586722
Fvb1	450001	500000	0.370803533866218
Fvb1	500001	550000	0.250060033618827
Fvb1	550001	600000	0.258707885177007
Fvb1	600001	650000	0.213556419208221
Fvb1	650001	700000	0.194908180300501
Fvb1	700001	750000	0.363091895938611
Fvb1	750001	800000	0.621745630767644
Fvb1	800001	850000	0.489487940152199
Fvb1	850001	900000	0.15765329198165
Fvb1	900001	950000	0.214789391575663
Fvb1	950001	1000000	0.24507744814912
Fvb1	1000001	1050000	0.171649997381788
Fvb1	1050001	1100000	0.213285530677129
Fvb1	1100001	1150000	0.263376496457366
Fvb1	1150001	1200000	0.328900909022613
Fvb1	1200001	1250000	0.277625423455396
Fvb1	1250001	1300000	0.440785452322738
Fvb1	1300001	1350000	0.207104367555303
Fvb1	1350001	1400000	0.408698095974145
Fvb1	1400001	1450000	0.243205486410973
Fvb1	1450001	1500000	0.220219985958343
Fvb1	1500001	1550000	0.288426433004746
Fvb1	1550001	1600000	0.256661596529773
Fvb1	1600001	1650000	0.18506476200629
Fvb1	1650001	1700000	0.223320750194739
Fvb1	1700001	1750000	0.267724934119714
Fvb1	1750001	1800000	0.19595285140015
Fvb1	1800001	1850000	0.240026595744681
Fvb1	1850001	1900000	0.214117904168716
Fvb1	1900001	1950000	0.182789050643584
Fvb1	1950001	2000000	0.189936847885777
Fvb1	2000001	2050000	0.25797122406189
Fvb1	2050001	2100000	0.204137470804137
Fvb1	2100001	2150000	0.299357573349228
Fvb1	2150001	2200000	0.114505664762274
Fvb1	2200001	2250000	0.326109534030326
Fvb1	2250001	2300000	0.40980764467927
Fvb1	2300001	2350000	0.293126120741183
Fvb1	2350001	2400000	0.189146800501882
Fvb1	2400001	2450000	0.273488372093023
Fvb1	2450001	2500000	0.476516634050881
Fvb1	2500001	2550000	0.157647926655777
Fvb1	2550001	2600000	0.550621530763818
Fvb1	2600001	2650000	0.393838532394148
Fvb1	2650001	2700000	0.166815813023109
Fvb1	2700001	2750000	0.235963706351388
Fvb1	2750001	2800000	0.165470714504753
Fvb1	2800001	2850000	0.258585593275987
Fvb1	2850001	2900000	0.18045488627843
Fvb1	2900001	2950000	0.088507067579042
Fvb1	2950001	3000000	0.33769538349691
Fvb1	3000001	3050000	0.234178519892806
Fvb1	3050001	3100000	0.741011059866565
Fvb1	3100001	3150000	0.367497944642368
Fvb1	3150001	3200000	0.317822802197802
Fvb1	3200001	3250000	0.233738958552103
Fvb1	3250001	3300000	0.247278859420512
Fvb1	3300001	3350000	0.191542426425761
Fvb1	3350001	3400000	0.353600980692614
Fvb1	3400001	3450000	0.198756154444157
Fvb1	3450001	3500000	0.313761719017313
Fvb1	3500001	3550000	0.215870257746887
Fvb1	3550001	3600000	0.555919287324246
Fvb1	3600001	3650000	0.455347664543524
Fvb1	3650001	3700000	0.253207150368034
Fvb1	3700001	3750000	0.288031764038571
Fvb1	3750001	3800000	0.215239396385767
Fvb1	3800001	3850000	0.209265579572747
Fvb1	3850001	3900000	0.475435608541858
Fvb1	3900001	3950000	0.248510976232344
Fvb1	3950001	4000000	0.274554351625306
Fvb1	4000001	4050000	0.24177131526768
Fvb1	4050001	4100000	0.212929567880231
Fvb1	4100001	4150000	0.395940537449971
Fvb1	4150001	4200000	0.280037100456621
Fvb1	4200001	4250000	0.369371394320821
Fvb1	4250001	4300000	0.299260417293007
Fvb1	4300001	4350000	0.248980516538287
Fvb1	4350001	4400000	0.213650479954828
Fvb1	4400001	4450000	0.216224366706876
Fvb1	4450001	4500000	0.36508630107057
Fvb1	4500001	4550000	0.207865168539326
Fvb1	4550001	4600000	0.285637871088526
Fvb1	4600001	4650000	0.412370509480826
Fvb1	4650001	4700000	0.12445360309729
Fvb1	4700001	4750000	0.259628957451099
Fvb1	4750001	4800000	0.200152905198777
Fvb1	4800001	4850000	0.506116335191812
Fvb1	4850001	4900000	0.202390348404555
Fvb1	4900001	4950000	0.233842725246737
Fvb1	4950001	5000000	0.279255007613916
Fvb1	5000001	5050000	0.340477153255156
Fvb1	5050001	5100000	0.164675008200947
Fvb1	5100001	5150000	0.307246734039931
Fvb1	5150001	5200000	0.281154762564415
Fvb1	5200001	5250000	0.912010415536509
Fvb1	5250001	5300000	0.848867087129175
Fvb1	5300001	5350000	0.325239301801802
Fvb1	5350001	5400000	0.487913362985883
Fvb1	5400001	5450000	0.213474457493596
Fvb1	5450001	5500000	0.36106274585671
Fvb1	5500001	5550000	0.312069821897396
Fvb1	5550001	5600000	0.23811260210035
Fvb1	5600001	5650000	0.320444532123364
Fvb1	5650001	5700000	0.384243048403708
Fvb1	5700001	5750000	0.313932629061192
Fvb1	5750001	5800000	0.24278068210107
Fvb1	5800001	5850000	0.196606418295832
Fvb1	5850001	5900000	0.168206391569151
Fvb1	5900001	5950000	0.232193329564726
Fvb1	5950001	6000000	0.274305773208801
Fvb1	6000001	6050000	0.238647040400877
Fvb1	6050001	6100000	0.316163764455669
Fvb1	6100001	6150000	0.224469287777917
Fvb1	6150001	6200000	0.27484682103923
Fvb1	6200001	6250000	0.379020391002733
Fvb1	6250001	6300000	0.215152652652653
Fvb1	6300001	6350000	0.219987329743427
Fvb1	6350001	6400000	0.358998895841001
Fvb1	6400001	6450000	0.105080944021845
Fvb1	6450001	6500000	0.354366347177849
Fvb1	6500001	6550000	0.248747346072187
Fvb1	6550001	6600000	0.25051772084492
Fvb1	6600001	6650000	0.228790677845673
Fvb1	6650001	6700000	0.213234077750207
Fvb1	6700001	6750000	0.231716147719044
Fvb1	6750001	6800000	0.352294723696534
Fvb1	6800001	6850000	0.126793081261118
Fvb1	6850001	6900000	0.267662161364575
Fvb1	6900001	6950000	0.259893509857533
Fvb1	6950001	7000000	0.294114103259232
Fvb1	7000001	7050000	0.181258873639375
Fvb1	7050001	7100000	0.245315161839864
Fvb1	7100001	7150000	0.242957327944847
Fvb1	7150001	7200000	0.142515243033791
Fvb1	7200001	7250000	0.194419896477717
Fvb1	7250001	7300000	0.197812672452717
Fvb1	7300001	7350000	0.268961836135575
Fvb1	7350001	7400000	0.284587621975672
Fvb1	7400001	7450000	0.245605756753568
