seqnames	start	end	Proportion
Fvb1	1	50000	0.0773559757120995
Fvb1	50001	100000	0.0799393591739736
Fvb1	100001	150000	0.0110321952626456
Fvb1	150001	200000	0.0853897532296125
Fvb1	200001	250000	0.0312333155365723
Fvb1	250001	300000	0.155851020574124
Fvb1	300001	350000	0.0133058319178193
Fvb1	350001	400000	0.0461283768530363
Fvb1	400001	450000	0.0387286324786325
Fvb1	450001	500000	0.0743165681731219
Fvb1	500001	550000	0.0206696779261587
Fvb1	550001	600000	0.0201472953525777
Fvb1	600001	650000	0.0450632502121812
Fvb1	650001	700000	0.0617436258958994
Fvb1	700001	750000	0.11217560029105
Fvb1	750001	800000	0.194093382482008
Fvb1	800001	850000	0.117029416765856
Fvb1	850001	900000	0.0523770038695412
Fvb1	900001	950000	0.00638411796202479
Fvb1	950001	1000000	0.0586199530014954
Fvb1	1000001	1050000	0.0401053093462045
Fvb1	1050001	1100000	0.021914446002805
Fvb1	1100001	1150000	0.0477857332272607
Fvb1	1150001	1200000	0.0283984308374552
Fvb1	1200001	1250000	0.173661106233538
Fvb1	1250001	1300000	0.296671575846834
Fvb1	1300001	1350000	0.0704796457344075
Fvb1	1350001	1400000	0.0438788723976492
Fvb1	1400001	1450000	0.0189853438556933
Fvb1	1450001	1500000	0.0245911283680433
Fvb1	1500001	1550000	0.117468633668827
Fvb1	1550001	1600000	0.0577774066961677
Fvb1	1600001	1650000	0.0538612308898471
Fvb1	1650001	1700000	0.177370926400586
Fvb1	1700001	1750000	0.0787192073030873
Fvb1	1750001	1800000	0.0169873461605131
Fvb1	1800001	1850000	0.0127817426716665
Fvb1	1850001	1900000	0.0472685314128835
Fvb1	1900001	1950000	0.0281076638586398
Fvb1	1950001	2000000	0.0318502202643172
Fvb1	2000001	2050000	0.0529263738939849
Fvb1	2050001	2100000	0.0396903175225402
Fvb1	2100001	2150000	0.0756731263934145
Fvb1	2150001	2200000	0.0197359404266983
Fvb1	2200001	2250000	0.0373418992170247
Fvb1	2250001	2300000	0.0783669638667292
Fvb1	2300001	2350000	0.0262408217309313
Fvb1	2350001	2400000	0.053301308258381
Fvb1	2400001	2450000	0.0809341010876519
Fvb1	2450001	2500000	0.104384332808549
Fvb1	2500001	2550000	0.0354688633744505
Fvb1	2550001	2600000	0.23485884840194
Fvb1	2600001	2650000	0.178395803737296
Fvb1	2650001	2700000	0.0340741331843754
Fvb1	2700001	2750000	0.0192047606167163
Fvb1	2750001	2800000	0.0278300618445819
Fvb1	2800001	2850000	0.0181964449892737
Fvb1	2850001	2900000	0.0908385093167702
Fvb1	2900001	2950000	0.00914975950236881
Fvb1	2950001	3000000	0.084598015018642
Fvb1	3000001	3050000	0.0219259259259259
Fvb1	3050001	3100000	0.423957498840494
Fvb1	3100001	3150000	0.0555066487513321
Fvb1	3150001	3200000	0.019503250541757
Fvb1	3200001	3250000	0.0126921285514672
Fvb1	3250001	3300000	0.0607483714588699
Fvb1	3300001	3350000	0.121263877028181
Fvb1	3350001	3400000	0.113802996493465
Fvb1	3400001	3450000	0.049799228407212
Fvb1	3450001	3500000	0.0289087594409237
Fvb1	3500001	3550000	0.0679918102712848
Fvb1	3550001	3600000	0.118555762014063
Fvb1	3600001	3650000	0.0998299097213136
Fvb1	3650001	3700000	0.0426316211234875
Fvb1	3700001	3750000	0.0529888480986355
Fvb1	3750001	3800000	0.0535152151101784
Fvb1	3800001	3850000	0.0102347313383024
Fvb1	3850001	3900000	0.249848759830611
Fvb1	3900001	3950000	0.0673587638821825
Fvb1	3950001	4000000	0.0826846202398485
Fvb1	4000001	4050000	0.0506317928779712
Fvb1	4050001	4100000	0.0484615059042621
Fvb1	4100001	4150000	0.0653178412812346
Fvb1	4150001	4200000	0.0232993356414335
Fvb1	4200001	4250000	0.018128453038674
Fvb1	4250001	4300000	0.0211732796710267
Fvb1	4300001	4350000	0.026737318987137
Fvb1	4350001	4400000	0.0827006637062503
Fvb1	4400001	4450000	0.115068094093657
Fvb1	4450001	4500000	0.0408171739401237
