seqnames	start	end	Proportion
Fvb1	1	50000	0.0238147793883207
Fvb1	50001	100000	0.0275285583675766
Fvb1	100001	150000	0.00915541742337721
Fvb1	150001	200000	0.0376577029404373
Fvb1	200001	250000	0.0199227883203741
Fvb1	250001	300000	0.112634593699169
Fvb1	300001	350000	0.0107399915805037
Fvb1	350001	400000	0.024104489599229
Fvb1	400001	450000	0.0179595799135116
Fvb1	450001	500000	0.0224792953858288
Fvb1	500001	550000	0.0190881206388777
Fvb1	550001	600000	0.0171914988316457
Fvb1	600001	650000	0.0203912352249948
Fvb1	650001	700000	0.0281762939163233
Fvb1	700001	750000	0.0655011545167523
Fvb1	750001	800000	0.118051253704886
Fvb1	800001	850000	0.0713499889984598
Fvb1	850001	900000	0.0286975020009267
Fvb1	900001	950000	0.00704943695399687
Fvb1	950001	1000000	0.0194498039459762
Fvb1	1000001	1050000	0.0253719954215948
Fvb1	1050001	1100000	0.0155945816473178
Fvb1	1100001	1150000	0.0183864059708301
Fvb1	1150001	1200000	0.0242483220803194
Fvb1	1200001	1250000	0.0407173703635557
Fvb1	1250001	1300000	0.054634574584827
Fvb1	1300001	1350000	0.02211885072095
Fvb1	1350001	1400000	0.0278110084727995
Fvb1	1400001	1450000	0.0134608273020234
Fvb1	1450001	1500000	0.0158263247296681
Fvb1	1500001	1550000	0.0440925593806045
Fvb1	1550001	1600000	0.022767743576698
Fvb1	1600001	1650000	0.0197202684455551
Fvb1	1650001	1700000	0.0452072331573052
Fvb1	1700001	1750000	0.0392784597721452
Fvb1	1750001	1800000	0.0178282009724473
Fvb1	1800001	1850000	0.00962498424914461
Fvb1	1850001	1900000	0.0252425325504212
Fvb1	1900001	1950000	0.0143671536059355
Fvb1	1950001	2000000	0.0186212784121225
Fvb1	2000001	2050000	0.0290858187191352
Fvb1	2050001	2100000	0.017915515532404
Fvb1	2100001	2150000	0.0230328212709003
Fvb1	2150001	2200000	0.0170545351051952
Fvb1	2200001	2250000	0.0177475781839836
Fvb1	2250001	2300000	0.0375956340554
Fvb1	2300001	2350000	0.0154043783118343
Fvb1	2350001	2400000	0.0263675898374914
Fvb1	2400001	2450000	0.0373561256673175
Fvb1	2450001	2500000	0.0342424054171585
Fvb1	2500001	2550000	0.0181894809436691
Fvb1	2550001	2600000	0.0542388399119893
Fvb1	2600001	2650000	0.0555135516114564
Fvb1	2650001	2700000	0.0192409550195567
Fvb1	2700001	2750000	0.0162459283387622
Fvb1	2750001	2800000	0.0195161745787707
Fvb1	2800001	2850000	0.0129246345327899
Fvb1	2850001	2900000	0.0329748387884438
Fvb1	2900001	2950000	0.0122507955925502
Fvb1	2950001	3000000	0.028390105531383
Fvb1	3000001	3050000	0.0123416757558785
Fvb1	3050001	3100000	0.274281032826713
Fvb1	3100001	3150000	0.0231861865636677
Fvb1	3150001	3200000	0.0122991279548072
Fvb1	3200001	3250000	0.0110247283626827
Fvb1	3250001	3300000	0.0260939274500635
Fvb1	3300001	3350000	0.0362140090482539
Fvb1	3350001	3400000	0.0351372914034971
Fvb1	3400001	3450000	0.0206035359461785
Fvb1	3450001	3500000	0.0221775872117226
Fvb1	3500001	3550000	0.0313657640827504
Fvb1	3550001	3600000	0.0980982832580222
Fvb1	3600001	3650000	0.05107704291943
Fvb1	3650001	3700000	0.0165888437013606
Fvb1	3700001	3750000	0.0165591676061284
Fvb1	3750001	3800000	0.0307306334536512
Fvb1	3800001	3850000	0.00802434975096846
Fvb1	3850001	3900000	0.0518227097424369
Fvb1	3900001	3950000	0.0215017836260183
Fvb1	3950001	4000000	0.0312608011060333
Fvb1	4000001	4050000	0.0272757679401832
Fvb1	4050001	4100000	0.0214815284202522
Fvb1	4100001	4150000	0.0214683544303797
Fvb1	4150001	4200000	0.0138430948126148
Fvb1	4200001	4250000	0.0123191218051782
Fvb1	4250001	4300000	0.0212606982746909
Fvb1	4300001	4350000	0.0211586445589182
Fvb1	4350001	4400000	0.0232849907918969
Fvb1	4400001	4450000	0.0375945902431171
Fvb1	4450001	4500000	0.0210835714939536
Fvb1	4500001	4550000	0.0305201258903429
Fvb1	4550001	4600000	0.0146083260506872
Fvb1	4600001	4650000	0.0405767471888955
Fvb1	4650001	4700000	0.0220551638324347
Fvb1	4700001	4750000	0.0136330342428127
Fvb1	4750001	4800000	0.0262078331148561
Fvb1	4800001	4850000	0.0804613654975224
Fvb1	4850001	4900000	0.0246110556042656
Fvb1	4900001	4950000	0.019867219088504
Fvb1	4950001	5000000	0.0416746752292333
Fvb1	5000001	5050000	0.0135153748149168
Fvb1	5050001	5100000	0.0151616762125716
Fvb1	5100001	5150000	0.0164698084199479
Fvb1	5150001	5200000	0.0126806453822295
Fvb1	5200001	5250000	0.191495806394335
Fvb1	5250001	5300000	0.257546638918678
