seqnames	start	end	Proportion
Fvb1	1	50000	0.0125234853475831
Fvb1	50001	100000	0.0214121555510046
Fvb1	100001	150000	0.00609536720807154
Fvb1	150001	200000	0.0184837705067563
Fvb1	200001	250000	0.0177074596099973
Fvb1	250001	300000	0.0704618623080733
Fvb1	300001	350000	0.00890401559026158
Fvb1	350001	400000	0.0112455364280765
Fvb1	400001	450000	0.0105393603210197
Fvb1	450001	500000	0.0149939790125581
Fvb1	500001	550000	0.0161196330551169
Fvb1	550001	600000	0.00985244928787225
Fvb1	600001	650000	0.0072294038983669
Fvb1	650001	700000	0.0104573397284334
Fvb1	700001	750000	0.0339411031678363
Fvb1	750001	800000	0.0508110723086459
Fvb1	800001	850000	0.0274306275357598
Fvb1	850001	900000	0.0183513064633091
Fvb1	900001	950000	0.00609077492560424
Fvb1	950001	1000000	0.0132557620915376
Fvb1	1000001	1050000	0.011326898476567
Fvb1	1050001	1100000	0.00837153016651885
Fvb1	1100001	1150000	0.0142088674397106
Fvb1	1150001	1200000	0.0184681108464708
Fvb1	1200001	1250000	0.015912354657896
Fvb1	1250001	1300000	0.0780019212295869
Fvb1	1300001	1350000	0.01313712850379
Fvb1	1350001	1400000	0.0126376757292618
Fvb1	1400001	1450000	0.0152775676902133
Fvb1	1450001	1500000	0.0118358486665288
Fvb1	1500001	1550000	0.0127685763699537
Fvb1	1550001	1600000	0.0114109342482704
Fvb1	1600001	1650000	0.0114771560451793
Fvb1	1650001	1700000	0.0322298198799199
Fvb1	1700001	1750000	0.017626227593005
Fvb1	1750001	1800000	0.00948408560504494
Fvb1	1800001	1850000	0.00605465238718956
Fvb1	1850001	1900000	0.0116668883863243
Fvb1	1900001	1950000	0.00760777683854607
Fvb1	1950001	2000000	0.0145358551092695
Fvb1	2000001	2050000	0.0101866292956006
Fvb1	2050001	2100000	0.0127580827881541
Fvb1	2100001	2150000	0.0132947174478181
Fvb1	2150001	2200000	0.0111644286211834
Fvb1	2200001	2250000	0.0119726263142327
Fvb1	2250001	2300000	0.0124016711204788
Fvb1	2300001	2350000	0.0114057711364427
Fvb1	2350001	2400000	0.0168654817972429
Fvb1	2400001	2450000	0.0097892834289435
Fvb1	2450001	2500000	0.0131477408650693
Fvb1	2500001	2550000	0.0158679420527605
Fvb1	2550001	2600000	0.0152257775955571
Fvb1	2600001	2650000	0.0128609359442416
Fvb1	2650001	2700000	0.0105851658591129
Fvb1	2700001	2750000	0.0117937865458722
Fvb1	2750001	2800000	0.00918038429207787
Fvb1	2800001	2850000	0.00783236578227702
Fvb1	2850001	2900000	0.0202189939288812
Fvb1	2900001	2950000	0.00838613310423602
Fvb1	2950001	3000000	0.0171181405719689
Fvb1	3000001	3050000	0.0083240025124942
Fvb1	3050001	3100000	0.0981613736514208
Fvb1	3100001	3150000	0.0148179796006944
Fvb1	3150001	3200000	0.00820491157379952
Fvb1	3200001	3250000	0.00952182544545477
Fvb1	3250001	3300000	0.0279465864514949
Fvb1	3300001	3350000	0.0132956671680669
Fvb1	3350001	3400000	0.026246719160105
Fvb1	3400001	3450000	0.0143402019528856
Fvb1	3450001	3500000	0.0153610041519931
Fvb1	3500001	3550000	0.0225379116884454
Fvb1	3550001	3600000	0.0101137896028728
Fvb1	3600001	3650000	0.0179678994134794
Fvb1	3650001	3700000	0.00822863964527315
Fvb1	3700001	3750000	0.00774611755578081
Fvb1	3750001	3800000	0.0118804911577004
Fvb1	3800001	3850000	0.00712244739033288
Fvb1	3850001	3900000	0.0288989028213166
Fvb1	3900001	3950000	0.0129377146329308
Fvb1	3950001	4000000	0.0317868383748588
Fvb1	4000001	4050000	0.0136735695885823
Fvb1	4050001	4100000	0.0130995954536698
Fvb1	4100001	4150000	0.0163037045804237
Fvb1	4150001	4200000	0.00910599808134489
Fvb1	4200001	4250000	0.00931924648659424
Fvb1	4250001	4300000	0.00952893051367742
Fvb1	4300001	4350000	0.010800956600149
Fvb1	4350001	4400000	0.0211140266202602
Fvb1	4400001	4450000	0.0214565547227066
Fvb1	4450001	4500000	0.0145677753322447
Fvb1	4500001	4550000	0.0215302877952007
Fvb1	4550001	4600000	0.00859016774043763
Fvb1	4600001	4650000	0.0343571223113554
Fvb1	4650001	4700000	0.0134825139856862
Fvb1	4700001	4750000	0.00909976330422768
Fvb1	4750001	4800000	0.0155653258802826
Fvb1	4800001	4850000	0.0186600457772433
Fvb1	4850001	4900000	0.0130002816181912
Fvb1	4900001	4950000	0.0177097111906568
Fvb1	4950001	5000000	0.0256588811278254
Fvb1	5000001	5050000	0.0123586941810851
Fvb1	5050001	5100000	0.00966624615452714
Fvb1	5100001	5150000	0.00969070094396465
Fvb1	5150001	5200000	0.00865097577320634
Fvb1	5200001	5250000	0.0195019075377361
Fvb1	5250001	5300000	0.061986238811423
Fvb1	5300001	5350000	0.00801352246818738
Fvb1	5350001	5400000	0.0445643431029652
Fvb1	5400001	5450000	0.0119333088836855
Fvb1	5450001	5500000	0.0218197965837754
Fvb1	5500001	5550000	0.0119773801798461
Fvb1	5550001	5600000	0.0111060390130934
Fvb1	5600001	5650000	0.00980031646274877
Fvb1	5650001	5700000	0.015615181228584
Fvb1	5700001	5750000	0.00982399645309392
Fvb1	5750001	5800000	0.0145049070349454
Fvb1	5800001	5850000	0.0183891743814418
Fvb1	5850001	5900000	0.016875683621443
Fvb1	5900001	5950000	0.0164121002993903
Fvb1	5950001	6000000	0.0171555173440032
Fvb1	6000001	6050000	0.0132746667330504
Fvb1	6050001	6100000	0.0131073937287276
Fvb1	6100001	6150000	0.0119488492319928
Fvb1	6150001	6200000	0.0143852005285526
Fvb1	6200001	6250000	0.0226961520397431
Fvb1	6250001	6300000	0.0104833620282947
Fvb1	6300001	6350000	0.0126605830464898
Fvb1	6350001	6400000	0.0141146486228175
Fvb1	6400001	6450000	0.00930665988938508
Fvb1	6450001	6500000	0.0104262876341253
Fvb1	6500001	6550000	0.00999811902247045
Fvb1	6550001	6600000	0.0131943145085844
Fvb1	6600001	6650000	0.0161986095463806
Fvb1	6650001	6700000	0.0136857913933084
Fvb1	6700001	6750000	0.0118650872039304
Fvb1	6750001	6800000	0.0249268366269422
Fvb1	6800001	6850000	0.00880815697026819
Fvb1	6850001	6900000	0.0111499077547887
Fvb1	6900001	6950000	0.0264071280463984
Fvb1	6950001	7000000	0.0241816837561518
Fvb1	7000001	7050000	0.00820345480683659
Fvb1	7050001	7100000	0.0110963022657533
Fvb1	7100001	7150000	0.0103928725617175
Fvb1	7150001	7200000	0.00626909552083934
Fvb1	7200001	7250000	0.00945082373304402
Fvb1	7250001	7300000	0.0145136105574464
Fvb1	7300001	7350000	0.0238942278075525
Fvb1	7350001	7400000	0.012388383391691
Fvb1	7400001	7450000	0.0135458637490096
Fvb1	7450001	7500000	0.0056028512287364
Fvb1	7500001	7550000	0.0150258362795757
Fvb1	7550001	7600000	0.00987475193208185
Fvb1	7600001	7650000	0.00997259572586417
Fvb1	7650001	7700000	0.0170495996541444
Fvb1	7700001	7750000	0.013010636362766
Fvb1	7750001	7800000	0.0298980090734403
Fvb1	7800001	7850000	0.0227134078295416
Fvb1	7850001	7900000	0.0189842188453915
Fvb1	7900001	7950000	0.0264395921810876
Fvb1	7950001	8000000	0.0168625447112928
Fvb1	8000001	8050000	0.00632098198921647
Fvb1	8050001	8100000	0.0249173166443338
Fvb1	8100001	8150000	0.0194127474370118
Fvb1	8150001	8200000	0.0107595081367709
Fvb1	8200001	8250000	0.0153177488734125
Fvb1	8250001	8300000	0.00984640856951126
Fvb1	8300001	8350000	0.0347403988007424
Fvb1	8350001	8400000	0.0446863118883055
Fvb1	8400001	8450000	0.0173457699230895
Fvb1	8450001	8500000	0.0285817454585856
Fvb1	8500001	8550000	0.0793868455849944
Fvb1	8550001	8600000	0.0339528109525197
Fvb1	8600001	8650000	0.0161716203538026
Fvb1	8650001	8700000	0.00675364086696518
Fvb1	8700001	8750000	0.036400160037342
Fvb1	8750001	8800000	0.0181654656288516
Fvb1	8800001	8850000	0.010658561864478
Fvb1	8850001	8900000	0.0173249805337297
Fvb1	8900001	8950000	0.0108592567469963
Fvb1	8950001	9000000	0.0223332770555462
