seqnames	start	end	Proportion
Fvb1	1	50000	0.0133355316755247
Fvb1	50001	100000	0.0255787163554113
Fvb1	100001	150000	0.00506042237451782
Fvb1	150001	200000	0.0212501315575457
Fvb1	200001	250000	0.0200509229789943
Fvb1	250001	300000	0.065233158788565
Fvb1	300001	350000	0.00739992250594501
Fvb1	350001	400000	0.0115386853546816
Fvb1	400001	450000	0.0143708152025562
Fvb1	450001	500000	0.0176238990894163
Fvb1	500001	550000	0.0142496210207175
Fvb1	550001	600000	0.0110930785828892
Fvb1	600001	650000	0.00800636091570682
Fvb1	650001	700000	0.0096157620000785
Fvb1	700001	750000	0.0317028576587964
Fvb1	750001	800000	0.0449367552896052
Fvb1	800001	850000	0.0320474894489804
Fvb1	850001	900000	0.0227710228861942
Fvb1	900001	950000	0.00455295899783841
Fvb1	950001	1000000	0.0137569002864929
Fvb1	1000001	1050000	0.0140289576097418
Fvb1	1050001	1100000	0.00811605857953102
Fvb1	1100001	1150000	0.0154353408029879
Fvb1	1150001	1200000	0.0197660416308275
Fvb1	1200001	1250000	0.0162034190136515
Fvb1	1250001	1300000	0.114656876588534
Fvb1	1300001	1350000	0.0121553421959626
Fvb1	1350001	1400000	0.0142897628182769
Fvb1	1400001	1450000	0.0144340602284528
Fvb1	1450001	1500000	0.0125000965109366
Fvb1	1500001	1550000	0.0136098016640236
Fvb1	1550001	1600000	0.0138231118032336
Fvb1	1600001	1650000	0.0173341378183372
Fvb1	1650001	1700000	0.0343480987400946
Fvb1	1700001	1750000	0.0214326955621478
Fvb1	1750001	1800000	0.00986292859084379
Fvb1	1800001	1850000	0.00890305087087554
Fvb1	1850001	1900000	0.0131406387062594
Fvb1	1900001	1950000	0.00792743218262328
Fvb1	1950001	2000000	0.0185922165231249
Fvb1	2000001	2050000	0.0111650899173272
Fvb1	2050001	2100000	0.0149539091840219
Fvb1	2100001	2150000	0.0121520972167777
Fvb1	2150001	2200000	0.0112730840059894
Fvb1	2200001	2250000	0.0143227558957896
Fvb1	2250001	2300000	0.0140675613142064
Fvb1	2300001	2350000	0.0114903712939873
Fvb1	2350001	2400000	0.0195108247469393
Fvb1	2400001	2450000	0.0123757264654689
Fvb1	2450001	2500000	0.0144419329219867
Fvb1	2500001	2550000	0.0163232126163476
Fvb1	2550001	2600000	0.0191400458282787
Fvb1	2600001	2650000	0.0159337920031907
Fvb1	2650001	2700000	0.0127323576415174
Fvb1	2700001	2750000	0.0125963223161583
Fvb1	2750001	2800000	0.00831519616050003
Fvb1	2800001	2850000	0.0080005932468731
Fvb1	2850001	2900000	0.0269274632971887
Fvb1	2900001	2950000	0.00691466198651377
Fvb1	2950001	3000000	0.0173980245796577
Fvb1	3000001	3050000	0.00730899067793986
Fvb1	3050001	3100000	0.0914531379438398
Fvb1	3100001	3150000	0.0179438463162339
Fvb1	3150001	3200000	0.00747194081298079
Fvb1	3200001	3250000	0.0108494808274058
Fvb1	3250001	3300000	0.0290334302325581
Fvb1	3300001	3350000	0.0119953818758194
Fvb1	3350001	3400000	0.0275674860503695
Fvb1	3400001	3450000	0.0163868534149584
Fvb1	3450001	3500000	0.0209552745632456
Fvb1	3500001	3550000	0.0245512047091514
Fvb1	3550001	3600000	0.010601150026137
Fvb1	3600001	3650000	0.0191448441992385
Fvb1	3650001	3700000	0.00843339468481892
Fvb1	3700001	3750000	0.00823087963203126
Fvb1	3750001	3800000	0.0146603888268967
Fvb1	3800001	3850000	0.00695322886033114
Fvb1	3850001	3900000	0.0299968424376381
Fvb1	3900001	3950000	0.0123875451921191
Fvb1	3950001	4000000	0.0333891287111268
Fvb1	4000001	4050000	0.0156514708147235
Fvb1	4050001	4100000	0.0159755705560913
Fvb1	4100001	4150000	0.0180945835205794
Fvb1	4150001	4200000	0.00779661706107181
Fvb1	4200001	4250000	0.0108926741260874
Fvb1	4250001	4300000	0.013808087974459
Fvb1	4300001	4350000	0.0124258825295427
Fvb1	4350001	4400000	0.0261624038538312
Fvb1	4400001	4450000	0.0260263874471574
Fvb1	4450001	4500000	0.0172012362352824
Fvb1	4500001	4550000	0.0204798024342918
Fvb1	4550001	4600000	0.007745588575702
Fvb1	4600001	4650000	0.0381843734114762
Fvb1	4650001	4700000	0.0187371148127201
Fvb1	4700001	4750000	0.0100860350945414
Fvb1	4750001	4800000	0.0197764469806233
Fvb1	4800001	4850000	0.0228485237842518
Fvb1	4850001	4900000	0.0130649545503259
Fvb1	4900001	4950000	0.0174722934190101
Fvb1	4950001	5000000	0.0290162205594335
Fvb1	5000001	5050000	0.0157019736364485
Fvb1	5050001	5100000	0.0101874084245572
Fvb1	5100001	5150000	0.0119022556390977
Fvb1	5150001	5200000	0.00908006617675349
Fvb1	5200001	5250000	0.0183186869992246
Fvb1	5250001	5300000	0.0738062916838813
Fvb1	5300001	5350000	0.00646749398327075
Fvb1	5350001	5400000	0.0547353912002612
Fvb1	5400001	5450000	0.0139360562949365
Fvb1	5450001	5500000	0.0257498487336848
Fvb1	5500001	5550000	0.0122071165283255
Fvb1	5550001	5600000	0.0113169593806521
Fvb1	5600001	5650000	0.0096384930440375
Fvb1	5650001	5700000	0.0172846538619008
Fvb1	5700001	5750000	0.0114746639089969
Fvb1	5750001	5800000	0.0151216187127789
Fvb1	5800001	5850000	0.0238522981675465
Fvb1	5850001	5900000	0.0195854615927866
Fvb1	5900001	5950000	0.0206754897591412
Fvb1	5950001	6000000	0.0168244912095223
Fvb1	6000001	6050000	0.0177593198634035
Fvb1	6050001	6100000	0.0120466864914584
Fvb1	6100001	6150000	0.0128841068660527
Fvb1	6150001	6200000	0.0194296868711261
Fvb1	6200001	6250000	0.032207683716369
Fvb1	6250001	6300000	0.0132015617374329
Fvb1	6300001	6350000	0.0155460877474329
Fvb1	6350001	6400000	0.0177094167151704
Fvb1	6400001	6450000	0.00935915767580918
Fvb1	6450001	6500000	0.0119717924889302
Fvb1	6500001	6550000	0.010601651430863
Fvb1	6550001	6600000	0.0141921783755088
Fvb1	6600001	6650000	0.0182656992580838
Fvb1	6650001	6700000	0.0155993161943586
Fvb1	6700001	6750000	0.0134405568096313
Fvb1	6750001	6800000	0.0280750133227315
Fvb1	6800001	6850000	0.0101630745816222
Fvb1	6850001	6900000	0.0152272473094228
Fvb1	6900001	6950000	0.0311973613870873
Fvb1	6950001	7000000	0.0311686093676615
Fvb1	7000001	7050000	0.00949175942704289
Fvb1	7050001	7100000	0.0128936848672505
Fvb1	7100001	7150000	0.0134723318424976
Fvb1	7150001	7200000	0.0061411436082813
