seqnames	start	end	Proportion
Fvb1	1	50000	0.076364112467677
Fvb1	50001	100000	0.0827589994233779
Fvb1	100001	150000	0.00945665896476978
Fvb1	150001	200000	0.0812480612139386
Fvb1	200001	250000	0.024098075520395
Fvb1	250001	300000	0.120490714453156
Fvb1	300001	350000	0.0114309807687803
Fvb1	350001	400000	0.0360664475437506
Fvb1	400001	450000	0.0357209401368149
Fvb1	450001	500000	0.0730166687554831
Fvb1	500001	550000	0.0215949314375799
Fvb1	550001	600000	0.0186133085155886
Fvb1	600001	650000	0.0433413639291081
Fvb1	650001	700000	0.0614881979369333
Fvb1	700001	750000	0.0937062937062937
Fvb1	750001	800000	0.165036569625699
Fvb1	800001	850000	0.106507364418083
Fvb1	850001	900000	0.0379153857414727
Fvb1	900001	950000	0.00540553821961228
Fvb1	950001	1000000	0.0579492003762935
Fvb1	1000001	1050000	0.0418106326761708
Fvb1	1050001	1100000	0.0162469776493484
Fvb1	1100001	1150000	0.0448003462828698
Fvb1	1150001	1200000	0.0237628079354698
Fvb1	1200001	1250000	0.152052535655394
Fvb1	1250001	1300000	0.305964467005076
Fvb1	1300001	1350000	0.0786221758308361
Fvb1	1350001	1400000	0.0357111597374179
Fvb1	1400001	1450000	0.0130957660501396
Fvb1	1450001	1500000	0.0205110809588422
Fvb1	1500001	1550000	0.115331198095292
Fvb1	1550001	1600000	0.0649427965004918
Fvb1	1600001	1650000	0.0570549538507717
Fvb1	1650001	1700000	0.179437188762567
Fvb1	1700001	1750000	0.0643341852472019
Fvb1	1750001	1800000	0.013815380792645
Fvb1	1800001	1850000	0.0121906530183471
Fvb1	1850001	1900000	0.0456768539624228
Fvb1	1900001	1950000	0.0227937299266574
Fvb1	1950001	2000000	0.0285997110599818
Fvb1	2000001	2050000	0.0430689153675401
Fvb1	2050001	2100000	0.0435299200691294
Fvb1	2100001	2150000	0.0812790462719741
Fvb1	2150001	2200000	0.0189738569618795
Fvb1	2200001	2250000	0.0347930413917217
Fvb1	2250001	2300000	0.0763162860917154
Fvb1	2300001	2350000	0.0255755794467218
Fvb1	2350001	2400000	0.0491647081242457
Fvb1	2400001	2450000	0.0691626446745701
Fvb1	2450001	2500000	0.097201576940477
Fvb1	2500001	2550000	0.034471752314076
Fvb1	2550001	2600000	0.226158275892156
Fvb1	2600001	2650000	0.162980289635719
Fvb1	2650001	2700000	0.0355193228001828
Fvb1	2700001	2750000	0.0165926078134231
Fvb1	2750001	2800000	0.0279623789141699
Fvb1	2800001	2850000	0.0156709108716944
Fvb1	2850001	2900000	0.0869294670358732
Fvb1	2900001	2950000	0.00748906875058145
Fvb1	2950001	3000000	0.0877557980900409
Fvb1	3000001	3050000	0.0194474062398591
Fvb1	3050001	3100000	0.359598612654477
Fvb1	3100001	3150000	0.0553583168967784
Fvb1	3150001	3200000	0.0145040722972219
Fvb1	3200001	3250000	0.00867820144275099
Fvb1	3250001	3300000	0.0624705803241208
Fvb1	3300001	3350000	0.112769024556789
Fvb1	3350001	3400000	0.0984359305495767
Fvb1	3400001	3450000	0.0564225104847362
Fvb1	3450001	3500000	0.0244611556847726
Fvb1	3500001	3550000	0.0639665181584987
Fvb1	3550001	3600000	0.0827219509701168
Fvb1	3600001	3650000	0.0877932293861497
Fvb1	3650001	3700000	0.0356517420737604
Fvb1	3700001	3750000	0.057008557309871
Fvb1	3750001	3800000	0.0409948143752741
Fvb1	3800001	3850000	0.0107003005190784
