seqnames	start	end	methdiff
Fvb1	73053	73102	-0.21139806
Fvb1	73103	73152	-0.221059113
Fvb1	157553	157602	-0.33299285
Fvb1	157603	157652	-0.225089257
Fvb1	162503	162552	-0.221060782
Fvb1	184003	184052	-0.200725411
Fvb1	205653	205702	-0.226026273
Fvb1	226153	226202	-0.231782316
Fvb1	226253	226302	-0.206930857
Fvb1	267653	267702	-0.20727459
Fvb1	267953	268002	-0.257805907
Fvb1	268603	268652	-0.252122213
Fvb1	269453	269502	-0.205533597
Fvb1	269503	269552	-0.233333333
Fvb1	270903	270952	0.203030784
Fvb1	271253	271302	-0.289045785
Fvb1	271303	271352	-0.204464434
Fvb1	274503	274552	-0.211417225
Fvb1	274653	274702	-0.215442124
Fvb1	304003	304052	-0.260778517
Fvb1	381353	381402	0.258692185
Fvb1	383653	383702	0.418191057
Fvb1	383753	383802	0.239398271
Fvb1	394503	394552	-0.253787879
Fvb1	445403	445452	-0.23
Fvb1	545053	545102	0.244871795
Fvb1	552003	552052	-0.223323171
Fvb1	592253	592302	0.286419753
Fvb1	660803	660852	0.457595086
Fvb1	703453	703502	-0.257502246
Fvb1	746503	746552	-0.258389262
Fvb1	746553	746602	-0.230800745
Fvb1	746603	746652	-0.247064482
Fvb1	746653	746702	-0.241769779
Fvb1	746703	746752	-0.204873825
Fvb1	747603	747652	-0.295516569
Fvb1	760453	760502	-0.258783575
Fvb1	760503	760552	-0.224345949
Fvb1	763953	764002	-0.452194357
Fvb1	764103	764152	-0.24258109
Fvb1	807403	807452	-0.254153795
Fvb1	813703	813752	-0.320749195
Fvb1	814803	814852	-0.211863163
Fvb1	816003	816052	-0.227090355
Fvb1	816053	816102	-0.354460094
Fvb1	816103	816152	-0.208825072
Fvb1	816753	816802	-0.246980676
Fvb1	816803	816852	-0.20197065
Fvb1	817053	817102	-0.236058302
Fvb1	1159653	1159702	0.207432264
Fvb1	1159903	1159952	0.202806122
Fvb1	1162103	1162152	-0.243766347
Fvb1	1380703	1380752	0.266025641
Fvb1	1413853	1413902	-0.249350649
Fvb1	1461053	1461102	-0.203893485
Fvb1	1631203	1631252	0.207581454
Fvb1	1655453	1655502	-0.200665645
Fvb1	1669853	1669902	0.299669063
Fvb1	1684403	1684452	0.204081633
Fvb1	1690603	1690652	-0.256859756
Fvb1	1691453	1691502	-0.282531451
Fvb1	1719603	1719652	0.337952519
Fvb1	1719703	1719752	0.259622642
Fvb1	1725803	1725852	-0.202559435
Fvb1	1753803	1753852	-0.283314315
Fvb1	1767753	1767802	-0.253594177
Fvb1	1777103	1777152	0.206657566
Fvb1	1885153	1885202	0.27027966
Fvb1	1927703	1927752	0.231256831
Fvb1	1987153	1987202	-0.215413534
Fvb1	2018853	2018902	0.231241876
Fvb1	2099503	2099552	-0.287878788
Fvb1	2193103	2193152	-0.255744996
Fvb1	2267603	2267652	-0.205
Fvb1	2278653	2278702	0.218465157
Fvb1	2282403	2282452	0.256449948
Fvb1	2365553	2365602	-0.246035941
Fvb1	2373953	2374002	-0.25423127
Fvb1	2433353	2433402	-0.259259259
Fvb1	2434003	2434052	-0.284090909
Fvb1	2434803	2434852	-0.213963964
Fvb1	2449503	2449552	0.254117647
Fvb1	2452903	2452952	0.200778008
Fvb1	2563603	2563652	0.263135073
Fvb1	2613153	2613202	-0.263736264
Fvb1	2674053	2674102	0.245859155
Fvb1	2720253	2720302	0.262523191
Fvb1	2754503	2754552	0.21289507
Fvb1	2829003	2829052	-0.371170173
Fvb1	2829053	2829102	-0.467948718
Fvb1	2971003	2971052	-0.204411765
Fvb1	3054153	3054202	-0.224509804
Fvb1	3054203	3054252	-0.237336994
Fvb1	3054353	3054402	-0.266853597
Fvb1	3056803	3056852	-0.371266623
Fvb1	3056853	3056902	-0.421425905
Fvb1	3056903	3056952	-0.353941577
Fvb1	3056953	3057002	-0.441219908
Fvb1	3057003	3057052	-0.324127566
Fvb1	3057053	3057102	-0.353411514
Fvb1	3058553	3058602	-0.210983982
Fvb1	3064403	3064452	-0.222841674
Fvb1	3067153	3067202	-0.21255315
