seqnames	start	end	methdiff
Fvb1	30853	30902	-0.241967871
Fvb1	30953	31002	-0.268
Fvb1	31103	31152	-0.265309201
Fvb1	38903	38952	-0.290561224
Fvb1	45203	45252	-0.249416083
Fvb1	51503	51552	0.2
Fvb1	57453	57502	0.315354441
Fvb1	73903	73952	0.267951318
Fvb1	157353	157402	-0.238095238
Fvb1	157503	157552	0.350087413
Fvb1	157553	157602	0.242242102
Fvb1	159753	159802	0.304878049
Fvb1	223853	223902	-0.478709677
Fvb1	226353	226402	-0.20952381
Fvb1	267003	267052	-0.203596491
Fvb1	267203	267252	-0.224074074
Fvb1	267353	267402	-0.291426806
Fvb1	267453	267502	-0.214414851
Fvb1	267553	267602	-0.209928315
Fvb1	267753	267802	-0.281086875
Fvb1	267803	267852	-0.237689083
Fvb1	267853	267902	-0.211432528
Fvb1	267903	267952	-0.367613376
Fvb1	267953	268002	-0.312775891
Fvb1	268003	268052	-0.218729695
Fvb1	268053	268102	-0.205128205
Fvb1	268103	268152	-0.32545045
Fvb1	268703	268752	-0.202385266
Fvb1	268753	268802	-0.205385476
Fvb1	268803	268852	-0.3003892
Fvb1	268903	268952	-0.340602837
Fvb1	268953	269002	-0.334903192
Fvb1	269003	269052	-0.261195342
Fvb1	269053	269102	-0.316958795
Fvb1	269253	269302	-0.245197639
Fvb1	269353	269402	-0.214393511
Fvb1	269453	269502	-0.272416102
Fvb1	269503	269552	-0.258568155
Fvb1	269553	269602	-0.365210084
Fvb1	269603	269652	-0.216333362
Fvb1	269653	269702	-0.202554517
Fvb1	269753	269802	-0.308691309
Fvb1	269803	269852	-0.310749774
Fvb1	270303	270352	-0.240133779
Fvb1	270353	270402	-0.316367689
Fvb1	270403	270452	-0.324189911
Fvb1	270553	270602	-0.346349956
Fvb1	270603	270652	-0.365079365
Fvb1	270653	270702	-0.335610497
Fvb1	270703	270752	-0.329828753
Fvb1	270753	270802	-0.235140845
Fvb1	270803	270852	-0.324207102
Fvb1	270853	270902	-0.238878543
Fvb1	271103	271152	-0.246252347
Fvb1	271253	271302	-0.243324309
Fvb1	271303	271352	-0.303809524
Fvb1	271353	271402	-0.297632861
Fvb1	271403	271452	-0.295849421
Fvb1	272053	272102	-0.291115812
Fvb1	272553	272602	-0.212962963
Fvb1	272603	272652	-0.315649867
Fvb1	272653	272702	-0.22552589
Fvb1	272753	272802	-0.367384357
Fvb1	272803	272852	-0.215471074
Fvb1	272853	272902	-0.399227468
Fvb1	272903	272952	-0.377403846
Fvb1	272953	273002	-0.366361037
Fvb1	273003	273052	-0.341551475
Fvb1	273053	273102	-0.271367168
Fvb1	273103	273152	-0.500502765
Fvb1	273153	273202	-0.361047699
Fvb1	273403	273452	-0.23283833
Fvb1	274453	274502	-0.457320162
Fvb1	274503	274552	-0.363407917
Fvb1	274553	274602	-0.328545344
Fvb1	274603	274652	-0.301268636
Fvb1	274703	274752	-0.3828125
Fvb1	274803	274852	-0.230131827
Fvb1	274953	275002	-0.267067308
Fvb1	275003	275052	-0.283435583
Fvb1	275053	275102	-0.399978409
Fvb1	275103	275152	-0.225871507
Fvb1	275153	275202	-0.270137694
Fvb1	275203	275252	-0.296416095
Fvb1	275303	275352	-0.206783555
Fvb1	275353	275402	-0.242846608
Fvb1	276253	276302	-0.255711983
Fvb1	276353	276402	-0.210193364
Fvb1	276503	276552	-0.204064748
Fvb1	276903	276952	0.25
Fvb1	277553	277602	0.234591495
Fvb1	277653	277702	0.205797101
