seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType
contig_10	3254	3303	50	*	437	647	0.675425038639876	82	189	0.433862433862434	24	CHH	-1	9.23150366174571e-08	loss
contig_10	3304	3353	50	*	296	373	0.793565683646113	61	114	0.535087719298246	19	CHH	-1	1.13931673228104e-06	loss
contig_10	3354	3403	50	*	96	130	0.738461538461539	13	61	0.213114754098361	15	CHH	-1	1.36773052144564e-09	loss
contig_10	3404	3453	50	*	73	212	0.344339622641509	16	173	0.092485549132948	18	CHH	-1	2.2455939227983e-07	loss
contig_10	3454	3503	50	*	127	407	0.312039312039312	19	233	0.0815450643776824	16	CHH	-1	2.93995161111171e-09	loss
contig_10	3504	3553	50	*	170	472	0.360169491525424	37	273	0.135531135531136	13	CHH	-1	5.1437130795579e-09	loss
contig_10	13354	13403	50	*	59	138	0.427536231884058	14	115	0.121739130434783	19	CHH	-1	1.80133381867038e-06	loss
contig_12	7651	7700	50	*	37	85	0.435294117647059	15	68	0.220588235294118	16	CHH	-1	0.00573837979055085	loss
contig_12	7701	7750	50	*	47	89	0.528089887640449	10	85	0.117647058823529	20	CHH	-1	3.00372692885282e-07	loss
contig_12	8101	8150	50	*	74	141	0.524822695035461	25	150	0.166666666666667	19	CHH	-1	1.17859631762762e-08	loss
contig_12	8151	8200	50	*	92	141	0.652482269503546	34	147	0.231292517006803	21	CHH	-1	1.51704884968581e-10	loss
contig_12	8201	8250	50	*	52	84	0.619047619047619	15	80	0.1875	20	CHH	-1	5.76534324024675e-07	loss
contig_12	8651	8700	50	*	94	153	0.61437908496732	26	99	0.262626262626263	16	CHH	-1	1.13906037980009e-06	loss
contig_12	20801	20850	50	*	51	101	0.504950495049505	22	108	0.203703703703704	21	CHH	-1	3.27788460321269e-05	loss
contig_16	7401	7450	50	*	24	97	0.247422680412371	4	101	0.0396039603960396	19	CHH	-1	0.000111761831053517	loss
contig_17	45806	45855	50	*	23	89	0.258426966292135	29	61	0.475409836065574	14	CHH	1	0.00641001048802823	gain
contig_17	46006	46055	50	*	14	69	0.202898550724638	30	59	0.508474576271186	12	CHH	1	0.000594481547272327	gain
contig_17	72356	72405	50	*	9	65	0.138461538461538	28	73	0.383561643835616	14	CHH	1	0.00171690552093178	gain
contig_17	76406	76455	50	*	25	99	0.252525252525253	1	57	0.0175438596491228	13	CHH	-1	0.000373073036916226	loss
contig_20	4352	4401	50	*	70	163	0.429447852760736	18	94	0.191489361702128	16	CHH	-1	0.000297571236154118	loss
contig_20	4402	4451	50	*	100	170	0.588235294117647	34	142	0.23943661971831	21	CHH	-1	4.19449803356191e-08	loss
contig_20	5702	5751	50	*	141	188	0.75	41	80	0.5125	20	CHH	-1	0.000353379286476419	loss
contig_21	39654	39703	50	*	9	37	0.243243243243243	1	37	0.027027027027027	9	CHH	-1	0.00679838092600429	loss
contig_22	6052	6101	50	*	139	185	0.751351351351351	71	131	0.541984732824427	20	CHH	-1	0.000288114084425888	loss
contig_22	12602	12651	50	*	129	270	0.477777777777778	44	188	0.234042553191489	17	CHH	-1	2.22060596961166e-06	loss
contig_22	27502	27551	50	*	53	77	0.688311688311688	26	79	0.329113924050633	19	CHH	-1	4.33744204214662e-05	loss
contig_22	27602	27651	50	*	63	113	0.557522123893805	12	75	0.16	18	CHH	-1	1.18031739588033e-06	loss
contig_22	35052	35101	50	*	53	141	0.375886524822695	15	97	0.154639175257732	16	CHH	-1	0.000468933964888925	loss
contig_22	35152	35201	50	*	58	155	0.374193548387097	19	119	0.159663865546218	18	CHH	-1	0.000262626421102867	loss
contig_22	42602	42651	50	*	56	116	0.482758620689655	25	90	0.277777777777778	17	CHH	-1	0.00340604719334771	loss
contig_22	43302	43351	50	*	698	1117	0.624888093106535	310	759	0.408432147562582	18	CHH	-1	9.84628139573038e-17	loss
contig_22	43502	43551	50	*	49	84	0.583333333333333	14	81	0.172839506172839	16	CHH	-1	1.3074393547601e-06	loss
contig_22	52352	52401	50	*	112	286	0.391608391608392	17	129	0.131782945736434	20	CHH	-1	2.21857165560452e-06	loss
contig_22	52402	52451	50	*	40	146	0.273972602739726	4	66	0.0606060606060606	15	CHH	-1	0.000744960705352649	loss
contig_22	58552	58601	50	*	89	149	0.597315436241611	27	79	0.341772151898734	17	CHH	-1	0.000526817912018197	loss
contig_22	58602	58651	50	*	89	144	0.618055555555556	30	79	0.379746835443038	14	CHH	-1	0.00108377168794099	loss
contig_5	9154	9203	50	*	2	57	0.0350877192982456	27	64	0.421875	14	CHH	1	7.78423820548278e-06	gain
contig_6	48356	48405	50	*	26	83	0.313253012048193	47	81	0.580246913580247	16	CHH	1	0.00100490777088566	gain
contig_6	48606	48655	50	*	30	109	0.275229357798165	43	81	0.530864197530864	16	CHH	1	0.000676434500819206	gain
contig_7	8551	8600	50	*	38	126	0.301587301587302	1	73	0.0136986301369863	15	CHH	-1	9.11879092097424e-06	loss
contig_7	8601	8650	50	*	85	203	0.41871921182266	14	157	0.089171974522293	19	CHH	-1	7.19876729770135e-10	loss
contig_7	8651	8700	50	*	72	158	0.455696202531646	19	117	0.162393162393162	24	CHH	-1	4.62139139924284e-06	loss
contig_7	39351	39400	50	*	116	290	0.4	44	253	0.173913043478261	18	CHH	-1	3.0228517293327e-07	loss
contig_7	39851	39900	50	*	58	134	0.432835820895522	6	130	0.0461538461538462	19	CHH	-1	6.77888119137558e-11	loss
contig_7	39901	39950	50	*	59	164	0.359756097560976	18	132	0.136363636363636	18	CHH	-1	6.73435405278328e-05	loss
contig_7	40001	40050	50	*	41	91	0.450549450549451	14	75	0.186666666666667	18	CHH	-1	0.000654705997437784	loss
contig_7	40851	40900	50	*	59	72	0.819444444444444	28	51	0.549019607843137	12	CHH	-1	0.0017049570205709	loss
contig_9	9303	9352	50	*	104	148	0.702702702702703	36	94	0.382978723404255	19	CHH	-1	9.64298984412759e-06	loss
contig_9	21353	21402	50	*	58	175	0.331428571428571	73	117	0.623931623931624	18	CHH	1	9.28541530334894e-06	gain
contig_9	32353	32402	50	*	3	158	0.0189873417721519	21	78	0.269230769230769	17	CHH	1	1.0940256812372e-07	gain
contig_9	42303	42352	50	*	338	743	0.454912516823688	104	453	0.229580573951435	19	CHH	-1	3.25536861802661e-12	loss
contig_9	42653	42702	50	*	58	113	0.513274336283186	16	84	0.19047619047619	16	CHH	-1	2.65069698949395e-05	loss
contig_9	53503	53552	50	*	187	345	0.542028985507246	46	183	0.251366120218579	18	CHH	-1	1.49968003800945e-08	loss
Fvb1	5903	5952	50	*	21	67	0.313432835820896	4	62	0.0645161290322581	11	CHH	-1	0.000692191106774877	loss
Fvb1	19653	19702	50	*	13	75	0.173333333333333	35	68	0.514705882352941	12	CHH	1	7.5616654379333e-05	gain
Fvb1	20653	20702	50	*	4	61	0.0655737704918033	26	72	0.361111111111111	15	CHH	1	0.000168261140662563	gain
Fvb1	31303	31352	50	*	26	112	0.232142857142857	1	95	0.0105263157894737	18	CHH	-1	1.93163492294031e-05	loss
Fvb1	51953	52002	50	*	25	72	0.347222222222222	7	63	0.111111111111111	12	CHH	-1	0.00183934831348252	loss
Fvb1	180103	180152	50	*	45	126	0.357142857142857	43	76	0.565789473684211	18	CHH	1	0.00430890075545677	gain
Fvb1	226103	226152	50	*	152	254	0.598425196850394	41	106	0.386792452830189	19	CHH	-1	0.000530897711567036	loss
Fvb1	226153	226202	50	*	147	192	0.765625	48	91	0.527472527472527	13	CHH	-1	0.000179483006144551	loss
Fvb1	226253	226302	50	*	111	160	0.69375	32	77	0.415584415584416	15	CHH	-1	0.000150234227533249	loss
Fvb1	226303	226352	50	*	67	128	0.5234375	12	76	0.157894736842105	12	CHH	-1	3.48826227392701e-06	loss
Fvb1	267803	267852	50	*	40	110	0.363636363636364	58	98	0.591836734693878	22	CHH	1	0.00151484897071723	gain
Fvb1	268103	268152	50	*	49	150	0.326666666666667	108	182	0.593406593406593	27	CHH	1	1.23343106664135e-05	gain
Fvb1	273403	273452	50	*	132	194	0.680412371134021	20	93	0.21505376344086	22	CHH	-1	4.577682409973e-11	loss
Fvb1	385353	385402	50	*	23	54	0.425925925925926	38	53	0.716981132075472	12	CHH	1	0.00296039916683731	gain
Fvb1	444603	444652	50	*	51	91	0.56043956043956	17	71	0.23943661971831	9	CHH	-1	0.000146563411245764	loss
Fvb1	448603	448652	50	*	133	198	0.671717171717172	27	107	0.252336448598131	17	CHH	-1	5.24610909448644e-10	loss
Fvb1	448653	448702	50	*	116	147	0.789115646258503	23	60	0.383333333333333	13	CHH	-1	5.36451010434201e-07	loss
Fvb1	473153	473202	50	*	21	71	0.295774647887324	2	76	0.0263157894736842	14	CHH	-1	4.21959618218891e-05	loss
Fvb1	575003	575052	50	*	31	45	0.688888888888889	14	36	0.388888888888889	9	CHH	-1	0.00715616234242855	loss
Fvb1	583403	583452	50	*	14	78	0.179487179487179	26	61	0.426229508196721	12	CHH	1	0.00199536831080002	gain
Fvb1	583453	583502	50	*	19	86	0.22093023255814	34	74	0.459459459459459	17	CHH	1	0.00195454438315834	gain
Fvb1	744453	744502	50	*	40	112	0.357142857142857	13	105	0.123809523809524	23	CHH	-1	0.000204949379904226	loss
Fvb1	744503	744552	50	*	38	113	0.336283185840708	12	153	0.0784313725490196	24	CHH	-1	1.98237913048173e-06	loss
Fvb1	744553	744602	50	*	44	104	0.423076923076923	25	121	0.206611570247934	18	CHH	-1	0.000824187616952288	loss
Fvb1	747103	747152	50	*	36	101	0.356435643564356	11	81	0.135802469135802	19	CHH	-1	0.00118640824078826	loss
Fvb1	763003	763052	50	*	68	106	0.641509433962264	40	104	0.384615384615385	20	CHH	-1	0.000452827367930284	loss
Fvb1	806153	806202	50	*	62	117	0.52991452991453	22	67	0.328358208955224	16	CHH	-1	0.00832846126609738	loss
Fvb1	806253	806302	50	*	34	85	0.4	11	72	0.152777777777778	18	CHH	-1	0.00107912005318095	loss
Fvb1	808003	808052	50	*	37	118	0.313559322033898	11	97	0.11340206185567	24	CHH	-1	0.000833595583177235	loss
Fvb1	808103	808152	50	*	29	64	0.453125	11	62	0.17741935483871	15	CHH	-1	0.00138238348404143	loss
Fvb1	857603	857652	50	*	42	86	0.488372093023256	20	74	0.27027027027027	17	CHH	-1	0.00520596693176362	loss
Fvb1	970603	970652	50	*	18	104	0.173076923076923	50	126	0.396825396825397	19	CHH	1	0.000486021631987373	gain
Fvb1	1003003	1003052	50	*	35	87	0.402298850574713	12	65	0.184615384615385	13	CHH	-1	0.00457531309657463	loss
Fvb1	1003053	1003102	50	*	20	104	0.192307692307692	28	61	0.459016393442623	11	CHH	1	0.000574031297345673	gain
Fvb1	1100353	1100402	50	*	28	78	0.358974358974359	71	115	0.617391304347826	14	CHH	1	0.000794642137354007	gain
Fvb1	1104403	1104452	50	*	2	75	0.0266666666666667	15	54	0.277777777777778	12	CHH	1	0.000124696238352439	gain
Fvb1	1131903	1131952	50	*	23	96	0.239583333333333	35	71	0.492957746478873	15	CHH	1	0.00112122427916512	gain
Fvb1	1156653	1156702	50	*	15	61	0.245901639344262	22	44	0.5	11	CHH	1	0.00735540632128124	gain
Fvb1	1199053	1199102	50	*	21	118	0.177966101694915	48	109	0.440366972477064	17	CHH	1	8.12637209292287e-05	gain
Fvb1	1413853	1413902	50	*	7	34	0.205882352941176	20	32	0.625	8	CHH	1	0.000947326359812862	gain
Fvb1	1440253	1440302	50	*	30	97	0.309278350515464	47	90	0.522222222222222	19	CHH	1	0.00369444235179559	gain
Fvb1	1460953	1461002	50	*	5	84	0.0595238095238095	41	114	0.359649122807018	15	CHH	1	8.74560981310439e-06	gain
Fvb1	1461003	1461052	50	*	18	91	0.197802197802198	43	98	0.438775510204082	17	CHH	1	0.000759281256154937	gain
Fvb1	1461503	1461552	50	*	32	75	0.426666666666667	8	68	0.117647058823529	14	CHH	-1	0.000144954556778868	loss
Fvb1	1668703	1668752	50	*	32	80	0.4	46	73	0.63013698630137	13	CHH	1	0.00492873731377272	gain
Fvb1	1725603	1725652	50	*	22	85	0.258823529411765	3	77	0.038961038961039	16	CHH	-1	0.000300655459015384	loss
Fvb1	1872403	1872452	50	*	1	44	0.0227272727272727	10	38	0.263157894736842	8	CHH	1	0.00201316428136174	gain
Fvb1	1883453	1883502	50	*	15	54	0.277777777777778	1	55	0.0181818181818182	12	CHH	-1	0.000336331221615515	loss
Fvb1	1978053	1978102	50	*	65	168	0.386904761904762	40	65	0.615384615384615	13	CHH	1	0.00224862942692856	gain
Fvb1	1992903	1992952	50	*	21	52	0.403846153846154	5	41	0.121951219512195	9	CHH	-1	0.00323272539158616	loss
Fvb1	2081053	2081102	50	*	12	54	0.222222222222222	32	55	0.581818181818182	10	CHH	1	0.000339150372304856	gain
Fvb1	2081103	2081152	50	*	11	79	0.139240506329114	28	67	0.417910447761194	14	CHH	1	0.000373073036916226	gain
Fvb1	2081153	2081202	50	*	7	63	0.111111111111111	16	43	0.372093023255814	10	CHH	1	0.00192921336100748	gain
Fvb1	2081203	2081252	50	*	24	84	0.285714285714286	31	61	0.508196721311475	14	CHH	1	0.00670442052788153	gain
Fvb1	2336653	2336702	50	*	34	113	0.300884955752212	53	94	0.563829787234043	22	CHH	1	0.000348650226284841	gain
Fvb1	2365903	2365952	50	*	1	59	0.0169491525423729	13	59	0.220338983050847	14	CHH	1	0.00107148650464849	gain
Fvb1	2385903	2385952	50	*	52	136	0.382352941176471	13	85	0.152941176470588	21	CHH	-1	0.000573909708650253	loss
Fvb1	2386053	2386102	50	*	30	66	0.454545454545455	18	77	0.233766233766234	16	CHH	-1	0.00572481679238909	loss
Fvb1	2398403	2398452	50	*	62	147	0.421768707482993	12	69	0.173913043478261	17	CHH	-1	0.000682823043935668	loss
Fvb1	2469153	2469202	50	*	19	66	0.287878787878788	26	47	0.553191489361702	10	CHH	1	0.00499110630376346	gain
Fvb1	2486003	2486052	50	*	50	101	0.495049504950495	97	131	0.740458015267176	14	CHH	1	0.0003204188747837	gain
Fvb1	2486053	2486102	50	*	43	90	0.477777777777778	87	121	0.71900826446281	13	CHH	1	0.000710892475819335	gain
Fvb1	2553453	2553502	50	*	0	90	0	14	54	0.259259259259259	13	CHH	1	5.06878334229565e-06	gain
Fvb1	2634903	2634952	50	*	29	77	0.376623376623377	9	63	0.142857142857143	15	CHH	-1	0.0025614667312702	loss
Fvb1	2702053	2702102	50	*	36	98	0.36734693877551	48	82	0.585365853658537	16	CHH	1	0.00405967080743528	gain
Fvb1	2757653	2757702	50	*	17	71	0.23943661971831	25	53	0.471698113207547	10	CHH	1	0.0070926360741256	gain
Fvb1	2826653	2826702	50	*	4	73	0.0547945205479452	22	83	0.265060240963855	18	CHH	1	0.000813364649247746	gain
Fvb1	2852853	2852902	50	*	20	53	0.377358490566038	9	67	0.134328358208955	12	CHH	-1	0.00260642632232716	loss
Fvb1	2870003	2870052	50	*	15	80	0.1875	42	104	0.403846153846154	14	CHH	1	0.00223243737746577	gain
Fvb1	2873053	2873102	50	*	26	70	0.371428571428571	11	65	0.169230769230769	11	CHH	-1	0.00852769280680635	loss
Fvb1	2873803	2873852	50	*	46	85	0.541176470588235	19	85	0.223529411764706	18	CHH	-1	9.04814852183329e-05	loss
Fvb1	2873903	2873952	50	*	40	69	0.579710144927536	8	62	0.129032258064516	15	CHH	-1	1.80133381867038e-06	loss
Fvb1	2874803	2874852	50	*	22	112	0.196428571428571	39	90	0.433333333333333	14	CHH	1	0.000567860214008229	gain
Fvb1	2972753	2972802	50	*	8	130	0.0615384615384615	24	85	0.282352941176471	18	CHH	1	4.96706798354493e-05	gain
Fvb1	3053003	3053052	50	*	34	90	0.377777777777778	16	104	0.153846153846154	18	CHH	-1	0.000725508027668873	loss
Fvb1	3067253	3067302	50	*	86	142	0.605633802816901	60	164	0.365853658536585	26	CHH	-1	0.00011416066717938	loss
Fvb1	3069953	3070002	50	*	45	155	0.290322580645161	5	93	0.0537634408602151	20	CHH	-1	4.19975326679474e-05	loss
Fvb1	3127803	3127852	50	*	23	75	0.306666666666667	5	90	0.0555555555555556	13	CHH	-1	8.52217915205146e-05	loss
Fvb1	3129103	3129152	50	*	29	58	0.5	30	119	0.252100840336134	10	CHH	-1	0.00154520483396305	loss
Fvb1	3154003	3154052	50	*	17	35	0.485714285714286	5	40	0.125	7	CHH	-1	0.00105091466533058	loss
Fvb1	3175353	3175402	50	*	26	88	0.295454545454545	3	82	0.0365853658536585	11	CHH	-1	4.37838092799196e-05	loss
Fvb1	3289003	3289052	50	*	112	202	0.554455445544555	28	113	0.247787610619469	17	CHH	-1	2.62974219624839e-06	loss
Fvb1	3289103	3289152	50	*	160	201	0.796019900497512	69	126	0.547619047619048	14	CHH	-1	1.59274405362025e-05	loss
Fvb1	3289253	3289302	50	*	54	129	0.418604651162791	14	76	0.184210526315789	17	CHH	-1	0.000997379953403496	loss
Fvb1	3293003	3293052	50	*	11	85	0.129411764705882	22	64	0.34375	14	CHH	1	0.00239984163350356	gain
Fvb1	3311053	3311102	50	*	53	145	0.36551724137931	56	97	0.577319587628866	15	CHH	1	0.00171342205612049	gain
Fvb1	3311103	3311152	50	*	50	97	0.515463917525773	53	64	0.828125	12	CHH	1	0.000178764243123277	gain
Fvb1	3311153	3311202	50	*	27	135	0.2	39	94	0.414893617021277	13	CHH	1	0.000778672533820736	gain
Fvb1	3409903	3409952	50	*	37	132	0.28030303030303	34	69	0.492753623188406	14	CHH	1	0.00336472916353129	gain
Fvb1	3470153	3470202	50	*	50	82	0.609756097560976	13	70	0.185714285714286	15	CHH	-1	2.24950518508275e-06	loss
Fvb1	3502753	3502802	50	*	39	81	0.481481481481481	23	93	0.247311827956989	17	CHH	-1	0.00184488126609549	loss
Fvb1	3517153	3517202	50	*	65	104	0.625	52	61	0.852459016393443	15	CHH	1	0.00248709738794855	gain
Fvb1	3527853	3527902	50	*	77	124	0.620967741935484	27	85	0.317647058823529	14	CHH	-1	7.7753942098188e-05	loss
Fvb1	3605853	3605902	50	*	15	85	0.176470588235294	31	67	0.462686567164179	15	CHH	1	0.000351119927827611	gain
Fvb1	3608703	3608752	50	*	20	56	0.357142857142857	7	62	0.112903225806452	10	CHH	-1	0.00218626154270068	loss
Fvb1	3608853	3608902	50	*	12	84	0.142857142857143	45	128	0.3515625	19	CHH	1	0.00127852155476184	gain
Fvb1	3609303	3609352	50	*	10	90	0.111111111111111	18	50	0.36	11	CHH	1	0.000787319001632329	gain
Fvb1	3921053	3921102	50	*	12	109	0.110091743119266	44	87	0.505747126436782	17	CHH	1	6.61022218703779e-08	gain
Fvb1	3921103	3921152	50	*	37	96	0.385416666666667	35	55	0.636363636363636	13	CHH	1	0.00355204141695723	gain
Fvb1	3948003	3948052	50	*	29	59	0.491525423728814	62	81	0.765432098765432	13	CHH	1	0.00126920462771572	gain
Fvb1	3999603	3999652	50	*	31	53	0.584905660377358	14	48	0.291666666666667	10	CHH	-1	0.0036469988719155	loss
Fvb1	4059103	4059152	50	*	19	112	0.169642857142857	34	87	0.390804597701149	18	CHH	1	0.000848070010537438	gain
Fvb1	4199703	4199752	50	*	0	56	0	9	45	0.2	9	CHH	1	0.000834882477442665	gain
Fvb1	4203853	4203902	50	*	0	49	0	17	74	0.22972972972973	11	CHH	1	0.00061961727020917	gain
Fvb1	4203903	4203952	50	*	18	65	0.276923076923077	42	72	0.583333333333333	11	CHH	1	0.000627461058825992	gain
Fvb1	4222303	4222352	50	*	32	67	0.477611940298507	12	63	0.19047619047619	12	CHH	-1	0.000956121607702124	loss
Fvb1	4357803	4357852	50	*	8	73	0.10958904109589	17	46	0.369565217391304	10	CHH	1	0.00115067323319758	gain
Fvb1	4396603	4396652	50	*	58	122	0.475409836065574	25	109	0.229357798165138	18	CHH	-1	0.000282159815835637	loss
Fvb1	4445303	4445352	50	*	32	132	0.242424242424242	60	132	0.454545454545455	17	CHH	1	0.000615863909766346	gain
Fvb1	4493903	4493952	50	*	29	70	0.414285714285714	25	126	0.198412698412698	17	CHH	-1	0.00173165583653613	loss
Fvb1	4500703	4500752	50	*	50	125	0.4	16	81	0.197530864197531	15	CHH	-1	0.00295072436230878	loss
Fvb1	4514553	4514602	50	*	39	79	0.493670886075949	5	40	0.125	10	CHH	-1	0.000248101065772704	loss
Fvb1	4573103	4573152	50	*	8	96	0.0833333333333333	15	52	0.288461538461538	13	CHH	1	0.00152764510068158	gain
Fvb1	4583653	4583702	50	*	10	49	0.204081632653061	28	61	0.459016393442623	9	CHH	1	0.00561609692774085	gain
Fvb1	4631853	4631902	50	*	36	108	0.333333333333333	9	81	0.111111111111111	19	CHH	-1	0.000739035897726184	loss
Fvb1	4633553	4633602	50	*	12	50	0.24	2	82	0.024390243902439	12	CHH	-1	0.000273114223544944	loss
Fvb1	4642853	4642902	50	*	16	45	0.355555555555556	33	52	0.634615384615385	8	CHH	1	0.00643196802274933	gain
Fvb1	4654353	4654402	50	*	18	52	0.346153846153846	41	49	0.836734693877551	7	CHH	1	7.08189145229092e-06	gain
Fvb1	4736503	4736552	50	*	30	61	0.491803278688525	9	59	0.152542372881356	14	CHH	-1	0.000225705702115283	loss
Fvb1	4788753	4788802	50	*	40	138	0.289855072463768	13	150	0.0866666666666667	14	CHH	-1	5.00322136132684e-05	loss
Fvb1	4891153	4891202	50	*	17	52	0.326923076923077	2	58	0.0344827586206897	10	CHH	-1	0.000174915923299983	loss
Fvb1	4922503	4922552	50	*	33	76	0.434210526315789	9	53	0.169811320754717	11	CHH	-1	0.00219081777707083	loss
Fvb1	4922653	4922702	50	*	27	77	0.350649350649351	35	58	0.603448275862069	14	CHH	1	0.00408259572159498	gain
Fvb1	4964403	4964452	50	*	29	81	0.358024691358025	8	62	0.129032258064516	14	CHH	-1	0.00253489316228348	loss
Fvb1	4966503	4966552	50	*	2	84	0.0238095238095238	28	93	0.301075268817204	16	CHH	1	9.63513777444848e-06	gain
Fvb1	4966953	4967002	50	*	33	67	0.492537313432836	21	76	0.276315789473684	15	CHH	-1	0.00791310872220474	loss
Fvb1	4975753	4975802	50	*	26	52	0.5	19	83	0.228915662650602	11	CHH	-1	0.00168713863798684	loss
Fvb1	4975803	4975852	50	*	43	96	0.447916666666667	17	82	0.207317073170732	17	CHH	-1	0.00116925314890533	loss
Fvb1	5022253	5022302	50	*	39	85	0.458823529411765	11	63	0.174603174603175	15	CHH	-1	0.000618858812124213	loss
Fvb1	5028903	5028952	50	*	28	59	0.474576271186441	10	57	0.175438596491228	13	CHH	-1	0.00102625826280389	loss
Fvb1	5052053	5052102	50	*	1	46	0.0217391304347826	12	52	0.230769230769231	11	CHH	1	0.00293036334540722	gain
