seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType	source	type	gene	score	phase
contig_10	31404	31503	100	*	396	1048	0.377862595419847	60	644	0.093167701863354	18	CG	-1	1.18045853907159e-35	loss	EVM	SO:0000704	FvH4_c10g00010	1	NA
contig_10	31504	31603	100	*	325	1166	0.278730703259005	28	714	0.0392156862745098	20	CG	-1	4.12751545931959e-36	loss	EVM	SO:0000704	FvH4_c10g00010	1	NA
contig_12	8701	8800	100	*	99	219	0.452054794520548	20	115	0.173913043478261	18	CG	-1	4.54544148913202e-06	loss	NA	NA	NA	NA	NA
contig_12	21301	21400	100	*	138	305	0.452459016393443	26	162	0.160493827160494	17	CG	-1	6.64108849941653e-09	loss	NA	NA	NA	NA	NA
contig_12	31601	31700	100	*	55	147	0.374149659863946	5	64	0.078125	16	CG	-1	6.21474295478718e-05	loss	NA	NA	NA	NA	NA
contig_12	31701	31800	100	*	129	257	0.501945525291829	16	107	0.149532710280374	19	CG	-1	7.91397871689698e-09	loss	NA	NA	NA	NA	NA
contig_12	31801	31900	100	*	128	318	0.40251572327044	21	116	0.181034482758621	20	CG	-1	8.36844112649246e-05	loss	NA	NA	NA	NA	NA
contig_12	32801	32900	100	*	43	170	0.252941176470588	7	144	0.0486111111111111	18	CG	-1	7.22594149973623e-06	loss	NA	NA	NA	NA	NA
contig_16	44701	44800	100	*	45	137	0.328467153284672	5	103	0.0485436893203883	16	CG	-1	1.562805390136e-06	loss	NA	NA	NA	NA	NA
contig_20	4502	4601	100	*	750	2273	0.32996040475143	130	1303	0.0997697620874904	18	CG	-1	3.88331063009714e-51	loss	NA	NA	NA	NA	NA
contig_20	4602	4701	100	*	552	1003	0.550348953140578	94	343	0.274052478134111	18	CG	-1	4.11100416853283e-17	loss	NA	NA	NA	NA	NA
contig_20	4702	4801	100	*	797	1516	0.525725593667546	142	458	0.310043668122271	18	CG	-1	1.92071565929317e-14	loss	NA	NA	NA	NA	NA
contig_20	4902	5001	100	*	448	1056	0.424242424242424	66	449	0.146993318485523	20	CG	-1	1.6903439392727e-23	loss	NA	NA	NA	NA	NA
contig_20	5002	5101	100	*	508	1273	0.399057344854674	49	584	0.0839041095890411	18	CG	-1	5.08357863801586e-41	loss	NA	NA	NA	NA	NA
contig_20	5102	5201	100	*	97	292	0.332191780821918	9	113	0.079646017699115	18	CG	-1	2.41895942038562e-06	loss	NA	NA	NA	NA	NA
contig_22	11702	11801	100	*	27	127	0.21259842519685	0	56	0	12	CG	-1	0.0004595747988625	loss	NA	NA	NA	NA	NA
contig_22	11902	12001	100	*	76	232	0.327586206896552	9	124	0.0725806451612903	18	CG	-1	9.77883612378726e-07	loss	NA	NA	NA	NA	NA
contig_22	12302	12401	100	*	68	136	0.5	12	65	0.184615384615385	16	CG	-1	9.20950593262604e-05	loss	NA	NA	NA	NA	NA
contig_22	12402	12501	100	*	193	463	0.416846652267819	30	193	0.155440414507772	18	CG	-1	2.85615786662781e-09	loss	NA	NA	NA	NA	NA
contig_22	12502	12601	100	*	174	334	0.520958083832335	32	136	0.235294117647059	16	CG	-1	2.36088486554543e-07	loss	NA	NA	NA	NA	NA
contig_22	20502	20601	100	*	316	734	0.430517711171662	22	278	0.079136690647482	18	CG	-1	2.35921287734574e-24	loss	NA	NA	NA	NA	NA
contig_22	20602	20701	100	*	326	986	0.330628803245436	22	382	0.0575916230366492	18	CG	-1	1.40012473172313e-23	loss	NA	NA	NA	NA	NA
contig_22	20702	20801	100	*	312	726	0.429752066115702	77	350	0.22	22	CG	-1	4.87613242358766e-10	loss	NA	NA	NA	NA	NA
contig_22	27402	27501	100	*	49	150	0.326666666666667	7	72	0.0972222222222222	18	CG	-1	0.000512894078778472	loss	NA	NA	NA	NA	NA
contig_22	27502	27601	100	*	62	159	0.389937106918239	7	84	0.0833333333333333	16	CG	-1	4.54544148913202e-06	loss	NA	NA	NA	NA	NA
contig_22	42902	43001	100	*	66	128	0.515625	27	120	0.225	18	CG	-1	1.7442586372465e-05	loss	NA	NA	NA	NA	NA
