group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	NL0H	Fvb1	1	50000	50000	*	2964	35975	0.0823905489923558	CHG
1	NL0H	Fvb1	50001	100000	50000	*	3603	43740	0.0823731138545953	CHG
1	NL0H	Fvb1	100001	150000	50000	*	514	48209	0.0106619096019415	CHG
1	NL0H	Fvb1	150001	200000	50000	*	3666	44667	0.0820740143730271	CHG
1	NL0H	Fvb1	200001	250000	50000	*	1370	42158	0.0324967977608046	CHG
1	NL0H	Fvb1	250001	300000	50000	*	6783	44667	0.151857075693465	CHG
1	NL0H	Fvb1	300001	350000	50000	*	609	47667	0.0127761344326263	CHG
1	NL0H	Fvb1	350001	400000	50000	*	1936	50227	0.038545005674239	CHG
1	NL0H	Fvb1	400001	450000	50000	*	1581	41497	0.0380991396968456	CHG
1	NL0H	Fvb1	450001	500000	50000	*	3449	45090	0.0764914615214016	CHG
1	NL0H	Fvb1	500001	550000	50000	*	617	36020	0.017129372570794	CHG
1	NL0H	Fvb1	550001	600000	50000	*	914	45820	0.0199476211261458	CHG
1	NL0H	Fvb1	600001	650000	50000	*	2168	46225	0.046901027582477	CHG
1	NL0H	Fvb1	650001	700000	50000	*	1795	30296	0.0592487457090045	CHG
1	NL0H	Fvb1	700001	750000	50000	*	5045	43198	0.11678781425066	CHG
1	NL0H	Fvb1	750001	800000	50000	*	7268	40139	0.181070779042826	CHG
1	NL0H	Fvb1	800001	850000	50000	*	4272	39563	0.107979677981953	CHG
1	NL0H	Fvb1	850001	900000	50000	*	1460	38094	0.0383262456029821	CHG
1	NL0H	Fvb1	900001	950000	50000	*	305	44971	0.00678214849569723	CHG
1	NL0H	Fvb1	950001	1000000	50000	*	2540	40217	0.0631573712609096	CHG
1	NL0H	Fvb1	1000001	1050000	50000	*	1708	41460	0.041196333815726	CHG
1	NL0H	Fvb1	1050001	1100000	50000	*	788	40629	0.0193950134140638	CHG
1	NL0H	Fvb1	1100001	1150000	50000	*	1666	31476	0.052929215910535	CHG
1	NL0H	Fvb1	1150001	1200000	50000	*	1059	40341	0.026251208447981	CHG
1	NL0H	Fvb1	1200001	1250000	50000	*	5964	37787	0.157832058644507	CHG
1	NL0H	Fvb1	1250001	1300000	50000	*	8720	28405	0.306988206301707	CHG
1	NL0H	Fvb1	1300001	1350000	50000	*	2485	34292	0.0724658812551032	CHG
1	NL0H	Fvb1	1350001	1400000	50000	*	1530	37711	0.040571716475299	CHG
1	NL0H	Fvb1	1400001	1450000	50000	*	591	41564	0.0142190357039746	CHG
1	NL0H	Fvb1	1450001	1500000	50000	*	1153	48880	0.023588379705401	CHG
1	NL0H	Fvb1	1500001	1550000	50000	*	4232	38784	0.109117161716172	CHG
1	NL0H	Fvb1	1550001	1600000	50000	*	2630	42151	0.0623947237313468	CHG
1	NL0H	Fvb1	1600001	1650000	50000	*	2314	43466	0.0532370128376202	CHG
1	NL0H	Fvb1	1650001	1700000	50000	*	7989	45306	0.176334260362866	CHG
1	NL0H	Fvb1	1700001	1750000	50000	*	2432	37810	0.064321608040201	CHG
1	NL0H	Fvb1	1750001	1800000	50000	*	741	44406	0.0166869341980813	CHG
1	NL0H	Fvb1	1800001	1850000	50000	*	502	45092	0.0111327951743103	CHG
1	NL0H	Fvb1	1850001	1900000	50000	*	2194	48553	0.045187732992812	CHG
1	NL0H	Fvb1	1900001	1950000	50000	*	1034	45274	0.0228387153774793	CHG
1	NL0H	Fvb1	1950001	2000000	50000	*	1157	40751	0.0283919413020539	CHG
1	NL0H	Fvb1	2000001	2050000	50000	*	2204	43431	0.0507471621652737	CHG
1	NL0H	Fvb1	2050001	2100000	50000	*	1596	38260	0.0417145844223732	CHG
1	NL0H	Fvb1	2100001	2150000	50000	*	3358	43230	0.077677538746241	CHG
1	NL0H	Fvb1	2150001	2200000	50000	*	790	39420	0.0200405885337392	CHG
1	NL0H	Fvb1	2200001	2250000	50000	*	1784	45230	0.0394428476674773	CHG
1	NL0H	Fvb1	2250001	2300000	50000	*	2134	32212	0.0662486030050913	CHG
1	NL0H	Fvb1	2300001	2350000	50000	*	1235	43992	0.0280732860520095	CHG
1	NL0H	Fvb1	2350001	2400000	50000	*	1893	33998	0.055679745867404	CHG
1	NL0H	Fvb1	2400001	2450000	50000	*	1827	26088	0.0700321987120515	CHG
1	NL0H	Fvb1	2450001	2500000	50000	*	3437	37009	0.0928693020616607	CHG
1	NL0H	Fvb1	2500001	2550000	50000	*	1406	39424	0.0356635551948052	CHG
1	NL0H	Fvb1	2550001	2600000	50000	*	6250	26503	0.23582235973286	CHG
1	NL0H	Fvb1	2600001	2650000	50000	*	5582	32918	0.169572878060636	CHG
1	NL0H	Fvb1	2650001	2700000	50000	*	1635	46034	0.0355172263978798	CHG
1	NL0H	Fvb1	2700001	2750000	50000	*	911	46186	0.0197245918676655	CHG
1	NL0H	Fvb1	2750001	2800000	50000	*	1062	40622	0.0261434690561765	CHG
1	NL0H	Fvb1	2800001	2850000	50000	*	678	45389	0.0149375399325828	CHG
1	NL0H	Fvb1	2850001	2900000	50000	*	3463	39249	0.0882315473005682	CHG
1	NL0H	Fvb1	2900001	2950000	50000	*	376	47947	0.00784199219972053	CHG
1	NL0H	Fvb1	2950001	3000000	50000	*	3058	33606	0.0909956555377016	CHG
1	NL0H	Fvb1	3000001	3050000	50000	*	1041	47737	0.0218069841003833	CHG
1	NL0H	Fvb1	3050001	3100000	50000	*	16665	38802	0.42948817071285	CHG
1	NL0H	Fvb1	3100001	3150000	50000	*	2090	36604	0.057097584963392	CHG
1	NL0H	Fvb1	3150001	3200000	50000	*	483	29996	0.0161021469529271	CHG
1	NL0H	Fvb1	3200001	3250000	50000	*	399	43820	0.00910543130990415	CHG
1	NL0H	Fvb1	3250001	3300000	50000	*	2234	33341	0.0670045889445428	CHG
1	NL0H	Fvb1	3300001	3350000	50000	*	5124	42597	0.120290161278963	CHG
1	NL0H	Fvb1	3350001	3400000	50000	*	3736	36932	0.101158886602404	CHG
1	NL0H	Fvb1	3400001	3450000	50000	*	2344	43873	0.0534269368404258	CHG
1	NL0H	Fvb1	3450001	3500000	50000	*	1080	40365	0.0267558528428094	CHG
1	NL0H	Fvb1	3500001	3550000	50000	*	2652	40710	0.0651436993367723	CHG
1	NL0H	Fvb1	3550001	3600000	50000	*	4672	45326	0.10307549750695	CHG
1	NL0H	Fvb1	3600001	3650000	50000	*	3608	39976	0.0902541524914949	CHG
1	NL0H	Fvb1	3650001	3700000	50000	*	1546	44202	0.0349757929505452	CHG
1	NL0H	Fvb1	3700001	3750000	50000	*	1507	26434	0.0570099114776424	CHG
1	NL0H	Fvb1	3750001	3800000	50000	*	1767	41841	0.0422313042231304	CHG
1	NL0H	Fvb1	3800001	3850000	50000	*	508	47194	0.0107640801796839	CHG
1	NL0H	Fvb1	3850001	3900000	50000	*	4440	20398	0.217668398862634	CHG
1	NL0H	Fvb1	3900001	3950000	50000	*	3176	43805	0.0725031389110832	CHG
1	NL0H	Fvb1	3950001	4000000	50000	*	2498	33758	0.0739972747200664	CHG
1	NL0H	Fvb1	4000001	4050000	50000	*	1950	39819	0.0489715964740451	CHG
1	NL0H	Fvb1	4050001	4100000	50000	*	1789	41478	0.0431312985196972	CHG
1	NL0H	Fvb1	4100001	4150000	50000	*	2635	40417	0.0651953385951456	CHG
1	NL0H	Fvb1	4150001	4200000	50000	*	848	38121	0.0222449568479316	CHG
1	NL0H	Fvb1	4200001	4250000	50000	*	654	41141	0.0158965508859775	CHG
1	NL0H	Fvb1	4250001	4300000	50000	*	772	42701	0.0180792018922273	CHG
1	NL0H	Fvb1	4300001	4350000	50000	*	1061	42354	0.0250507626198234	CHG
1	NL0H	Fvb1	4350001	4400000	50000	*	3051	37428	0.0815165117024687	CHG
1	NL0H	Fvb1	4400001	4450000	50000	*	2612	23513	0.111087483519755	CHG
1	NL0H	Fvb1	4450001	4500000	50000	*	1415	38974	0.0363062554523529	CHG
1	NL0H	Fvb1	4500001	4550000	50000	*	3222	38287	0.0841538903544284	CHG
1	NL0H	Fvb1	4550001	4600000	50000	*	718	38391	0.0187023000182334	CHG
1	NL0H	Fvb1	4600001	4650000	50000	*	6504	35510	0.183159673331456	CHG
1	NL0H	Fvb1	4650001	4700000	50000	*	1705	35196	0.048443004886919	CHG
1	NL0H	Fvb1	4700001	4750000	50000	*	1049	50335	0.0208403695241879	CHG
1	NL0H	Fvb1	4750001	4800000	50000	*	1705	46218	0.0368903890259206	CHG
1	NL0H	Fvb1	4800001	4850000	50000	*	6214	23656	0.262681772066283	CHG
1	NL0H	Fvb1	4850001	4900000	50000	*	1293	43047	0.0300369363718726	CHG
1	NL0H	Fvb1	4900001	4950000	50000	*	2028	42516	0.047699689528648	CHG
1	NL0H	Fvb1	4950001	5000000	50000	*	3477	35713	0.0973595049421779	CHG
1	NL0H	Fvb1	5000001	5050000	50000	*	467	26479	0.0176366176970429	CHG
1	NL0H	Fvb1	5050001	5100000	50000	*	1353	46569	0.0290536623075436	CHG
1	NL0H	Fvb1	5100001	5150000	50000	*	1596	46483	0.0343351332745305	CHG
1	NL0H	Fvb1	5150001	5200000	50000	*	758	44955	0.0168613057501946	CHG
1	NL0H	Fvb1	5200001	5250000	50000	*	13221	27807	0.475455820476858	CHG
1	NL0H	Fvb1	5250001	5300000	50000	*	14433	27210	0.530429988974642	CHG
1	NL0H	Fvb1	5300001	5350000	50000	*	748	43907	0.0170360079258433	CHG
1	NL0H	Fvb1	5350001	5400000	50000	*	6757	31163	0.216827648172512	CHG
1	NL0H	Fvb1	5400001	5450000	50000	*	2265	43856	0.0516462969719081	CHG
1	NL0H	Fvb1	5450001	5500000	50000	*	6758	35947	0.187998998525607	CHG
1	NL0H	Fvb1	5500001	5550000	50000	*	674	39320	0.0171414038657172	CHG
1	NL0H	Fvb1	5550001	5600000	50000	*	588	41186	0.0142766959646482	CHG
