seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType
contig_10	13354	13403	50	*	53	114	0.464912280701754	24	126	0.19047619047619	19	CHH	-1	2.17697499028653e-05	loss
contig_10	13404	13453	50	*	65	143	0.454545454545455	35	155	0.225806451612903	18	CHH	-1	7.90116580828321e-05	loss
contig_10	13454	13503	50	*	88	169	0.520710059171598	54	173	0.312138728323699	19	CHH	-1	0.000188658650127329	loss
contig_12	8451	8500	50	*	18	91	0.197802197802198	73	143	0.510489510489511	20	CHH	1	9.17037601097067e-06	gain
contig_12	21301	21350	50	*	14	64	0.21875	55	84	0.654761904761905	16	CHH	1	1.33723398422637e-06	gain
contig_12	21551	21600	50	*	16	360	0.0444444444444444	55	168	0.327380952380952	20	CHH	1	6.78033284042353e-16	gain
contig_12	32301	32350	50	*	45	175	0.257142857142857	37	76	0.486842105263158	16	CHH	1	0.000570802221347376	gain
contig_21	29754	29803	50	*	36	80	0.45	12	63	0.19047619047619	14	CHH	-1	0.00142521212947304	loss
contig_21	29854	29903	50	*	40	76	0.526315789473684	14	60	0.233333333333333	13	CHH	-1	0.000772023313994662	loss
contig_21	29954	30003	50	*	26	67	0.388059701492537	10	93	0.10752688172043	12	CHH	-1	7.52613433446395e-05	loss
contig_21	39954	40003	50	*	11	62	0.17741935483871	26	55	0.472727272727273	12	CHH	1	0.000867563747064695	gain
contig_22	19952	20001	50	*	27	88	0.306818181818182	50	73	0.684931506849315	18	CHH	1	9.22389250479443e-06	gain
contig_22	20002	20051	50	*	22	94	0.234042553191489	40	78	0.512820512820513	17	CHH	1	0.000280619004191096	gain
contig_22	27802	27851	50	*	108	194	0.556701030927835	39	148	0.263513513513513	18	CHH	-1	6.81184364802214e-07	loss
contig_22	28052	28101	50	*	37	130	0.284615384615385	56	104	0.538461538461538	19	CHH	1	0.000171770369841592	gain
contig_22	35052	35101	50	*	57	91	0.626373626373626	27	74	0.364864864864865	16	CHH	-1	0.00112709544828879	loss
contig_22	35102	35151	50	*	60	109	0.55045871559633	19	89	0.213483146067416	19	CHH	-1	8.09018039750893e-06	loss
contig_22	42702	42751	50	*	17	70	0.242857142857143	46	73	0.63013698630137	17	CHH	1	1.44372291414838e-05	gain
contig_22	42952	43001	50	*	65	284	0.22887323943662	120	233	0.515021459227468	17	CHH	1	1.0330912760294e-09	gain
contig_22	43652	43701	50	*	114	207	0.550724637681159	46	141	0.326241134751773	16	CHH	-1	9.46021778093389e-05	loss
contig_22	44002	44051	50	*	23	198	0.116161616161616	62	182	0.340659340659341	21	CHH	1	1.46892692260979e-06	gain
