group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	FL42D	Fvb1	1	50000	50000	*	1937	41697	0.0464541813559729	CHG
1	FL42D	Fvb1	50001	100000	50000	*	5156	43138	0.119523390050535	CHG
1	FL42D	Fvb1	100001	150000	50000	*	429	50234	0.00854003264721105	CHG
1	FL42D	Fvb1	150001	200000	50000	*	2676	38959	0.0686875946507867	CHG
1	FL42D	Fvb1	200001	250000	50000	*	1092	44120	0.0247506799637353	CHG
1	FL42D	Fvb1	250001	300000	50000	*	4367	41710	0.104699112922561	CHG
1	FL42D	Fvb1	300001	350000	50000	*	652	47069	0.013852004504026	CHG
1	FL42D	Fvb1	350001	400000	50000	*	1623	46447	0.0349430533726613	CHG
1	FL42D	Fvb1	400001	450000	50000	*	1016	42066	0.0241525222269767	CHG
1	FL42D	Fvb1	450001	500000	50000	*	2085	37601	0.0554506529081673	CHG
1	FL42D	Fvb1	500001	550000	50000	*	788	27853	0.0282913869242092	CHG
1	FL42D	Fvb1	550001	600000	50000	*	671	38865	0.0172648912903641	CHG
1	FL42D	Fvb1	600001	650000	50000	*	434	32167	0.0134920881648895	CHG
1	FL42D	Fvb1	650001	700000	50000	*	460	17430	0.0263912794033276	CHG
1	FL42D	Fvb1	700001	750000	50000	*	1870	27959	0.0668836510604814	CHG
1	FL42D	Fvb1	750001	800000	50000	*	2766	32121	0.0861118894181377	CHG
1	FL42D	Fvb1	800001	850000	50000	*	1776	33679	0.0527331571602482	CHG
1	FL42D	Fvb1	850001	900000	50000	*	1079	19890	0.0542483660130719	CHG
1	FL42D	Fvb1	900001	950000	50000	*	264	41801	0.00631563838185689	CHG
1	FL42D	Fvb1	950001	1000000	50000	*	2179	35775	0.0609084556254368	CHG
1	FL42D	Fvb1	1000001	1050000	50000	*	697	33202	0.0209927112824529	CHG
1	FL42D	Fvb1	1050001	1100000	50000	*	414	29053	0.0142498192957698	CHG
1	FL42D	Fvb1	1100001	1150000	50000	*	1470	32555	0.0451543541698664	CHG
1	FL42D	Fvb1	1150001	1200000	50000	*	1557	38507	0.0404342067676007	CHG
