seqnames	start	end	methdiff
Fvb1	461203	461302	0.388335704
Fvb1	1002403	1002502	-0.344949495
Fvb1	1172303	1172402	-0.205966381
Fvb1	1875703	1875802	0.213786214
Fvb1	2240403	2240502	-0.210881078
Fvb1	2254903	2255002	0.25
Fvb1	2667003	2667102	0.439324117
Fvb1	3611303	3611402	-0.214750198
Fvb1	3814603	3814702	-0.25194603
Fvb1	4222903	4223002	0.401785714
Fvb1	5152103	5152202	-0.400472069
Fvb1	5494603	5494702	-0.3125
Fvb1	6727003	6727102	-0.311904762
Fvb1	6791303	6791402	0.321678322
Fvb1	6812503	6812602	-0.435238095
Fvb1	7851803	7851902	-0.269727403
Fvb1	7918303	7918402	0.280249805
Fvb1	8035203	8035302	-0.333333333
Fvb1	9515303	9515402	-0.25
Fvb1	9972403	9972502	0.316129032
Fvb1	10060703	10060802	-0.581140351
Fvb1	10142503	10142602	-0.237332038
Fvb1	11660903	11661002	0.24280291
Fvb1	11850503	11850602	0.359310345
Fvb1	12427503	12427602	-0.397435897
Fvb1	12862303	12862402	0.410794603
Fvb1	13661403	13661502	-0.395588235
Fvb1	14236403	14236502	0.281818182
Fvb1	15181503	15181602	-0.466666667
Fvb1	16145303	16145402	-0.324942792
Fvb1	16404003	16404102	-0.31010929
Fvb1	18013403	18013502	-0.298245614
Fvb1	18079503	18079602	0.233954633
Fvb1	18079603	18079702	0.334881757
Fvb1	18374703	18374802	0.27698033
Fvb1	19239203	19239302	0.396825397
Fvb1	19422403	19422502	0.212121212
Fvb1	19804103	19804202	0.220464135
Fvb1	21413403	21413502	0.434210526
Fvb1	22942403	22942502	0.314102564
Fvb1	23664603	23664702	-0.326086957
Fvb2	3075501	3075600	0.305555556
Fvb2	4444001	4444100	-0.40625
Fvb2	4651901	4652000	0.282564219
Fvb2	5717301	5717400	-0.312121212
Fvb2	6797301	6797400	-0.433139535
Fvb2	8142301	8142400	-0.21193132
Fvb2	8781901	8782000	0.288636364
Fvb2	9020501	9020600	-0.235714286
