seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb2	1	50000	50000	*	5927	106334	0.0557394624485113	CHH
Fvb2	50001	100000	50000	*	3046	81138	0.0375409795656782	CHH
Fvb2	100001	150000	50000	*	4225	68295	0.0618639724723625	CHH
Fvb2	150001	200000	50000	*	6449	116278	0.0554619102495743	CHH
Fvb2	200001	250000	50000	*	4428	118189	0.0374654155632081	CHH
Fvb2	250001	300000	50000	*	4308	117484	0.0366688229886623	CHH
Fvb2	300001	350000	50000	*	5075	106060	0.0478502734301339	CHH
Fvb2	350001	400000	50000	*	5787	142204	0.0406950578042812	CHH
Fvb2	400001	450000	50000	*	2861	127458	0.0224466098636414	CHH
Fvb2	450001	500000	50000	*	8028	109141	0.0735562254331553	CHH
Fvb2	500001	550000	50000	*	1296	111897	0.0115820799485241	CHH
Fvb2	550001	600000	50000	*	378	73616	0.00513475331449685	CHH
Fvb2	600001	650000	50000	*	2495	95250	0.0261942257217848	CHH
Fvb2	650001	700000	50000	*	4327	88279	0.049015054542983	CHH
Fvb2	700001	750000	50000	*	4264	105542	0.0404009778097819	CHH
Fvb2	750001	800000	50000	*	2468	134185	0.0183925177925998	CHH
Fvb2	800001	850000	50000	*	2997	97128	0.0308561897702001	CHH
Fvb2	850001	900000	50000	*	1763	54321	0.0324552198965409	CHH
Fvb2	900001	950000	50000	*	206	4036	0.0510406342913776	CHH
Fvb2	950001	1000000	50000	*	1302	109159	0.0119275552176183	CHH
Fvb2	1000001	1050000	50000	*	1934	162279	0.0119177465969103	CHH
Fvb2	1050001	1100000	50000	*	2910	110113	0.0264273973100361	CHH
Fvb2	1100001	1150000	50000	*	4614	135059	0.034162847348196	CHH
Fvb2	1150001	1200000	50000	*	2561	110198	0.0232399862066462	CHH
Fvb2	1200001	1250000	50000	*	1863	129426	0.0143943257150804	CHH
Fvb2	1250001	1300000	50000	*	1651	169055	0.00976605246813167	CHH
Fvb2	1300001	1350000	50000	*	3908	145321	0.0268921903923039	CHH
Fvb2	1350001	1400000	50000	*	6582	129325	0.0508950318963851	CHH
Fvb2	1400001	1450000	50000	*	3215	108563	0.0296141410977958	CHH
Fvb2	1450001	1500000	50000	*	3769	129296	0.0291501670585324	CHH
Fvb2	1500001	1550000	50000	*	2253	126528	0.0178063353566009	CHH
Fvb2	1550001	1600000	50000	*	2692	65615	0.0410272041453936	CHH
Fvb2	1600001	1650000	50000	*	3626	92666	0.0391297779120713	CHH
Fvb2	1650001	1700000	50000	*	1476	114878	0.0128484130991138	CHH
Fvb2	1700001	1750000	50000	*	2450	125227	0.0195644709208078	CHH
Fvb2	1750001	1800000	50000	*	1912	85397	0.0223895453001862	CHH
Fvb2	1800001	1850000	50000	*	3923	130224	0.0301250153581521	CHH
Fvb2	1850001	1900000	50000	*	4237	99401	0.0426253257009487	CHH
Fvb2	1900001	1950000	50000	*	2451	114326	0.0214386928607666	CHH
Fvb2	1950001	2000000	50000	*	3487	75188	0.0463770814491674	CHH
Fvb2	2000001	2050000	50000	*	5184	118988	0.0435674185632165	CHH
Fvb2	2050001	2100000	50000	*	3991	130881	0.0304933489200113	CHH
Fvb2	2100001	2150000	50000	*	5591	130354	0.0428908970956012	CHH
Fvb2	2150001	2200000	50000	*	2579	144216	0.0178828978754091	CHH
Fvb2	2200001	2250000	50000	*	4706	88672	0.0530719956694334	CHH
Fvb2	2250001	2300000	50000	*	2910	109431	0.0265920991309592	CHH
Fvb2	2300001	2350000	50000	*	3406	135695	0.0251004090054903	CHH
Fvb2	2350001	2400000	50000	*	622	100326	0.00619978868887427	CHH
Fvb2	2400001	2450000	50000	*	1293	140784	0.00918428230480737	CHH
Fvb2	2450001	2500000	50000	*	2403	58618	0.0409942338530827	CHH
Fvb2	2500001	2550000	50000	*	4795	107900	0.0444392956441149	CHH
Fvb2	2550001	2600000	50000	*	5130	145098	0.035355414960923	CHH
Fvb2	2600001	2650000	50000	*	5586	120406	0.0463930368918492	CHH
Fvb2	2650001	2700000	50000	*	68	3192	0.0213032581453634	CHH
Fvb2	2700001	2750000	50000	*	525	20998	0.0250023811791599	CHH
Fvb2	2750001	2800000	50000	*	380	11507	0.033023377074824	CHH
Fvb2	2800001	2850000	50000	*	3061	115469	0.0265092795468914	CHH
Fvb2	2850001	2900000	50000	*	3195	140121	0.0228017213693879	CHH
Fvb2	2900001	2950000	50000	*	3029	133635	0.0226662176824934	CHH
Fvb2	2950001	3000000	50000	*	1847	121025	0.0152613096467672	CHH
Fvb2	3000001	3050000	50000	*	3263	123071	0.0265131509453892	CHH
Fvb2	3050001	3100000	50000	*	4308	115260	0.0373763664757939	CHH
Fvb2	3100001	3150000	50000	*	2283	121557	0.0187813124706928	CHH
