seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType	source	type	gene	score	phase
contig_10	404	453	50	*	3135	9156	0.342398427260813	414	3038	0.136273864384463	21	CHH	-1	6.83101714647179e-100	loss	NA	NA	NA	NA	NA
contig_10	454	503	50	*	2622	7083	0.370182126217704	353	2459	0.143554290361936	13	CHH	-1	3.13338775669875e-93	loss	NA	NA	NA	NA	NA
contig_10	504	553	50	*	2447	7780	0.31452442159383	272	2668	0.101949025487256	13	CHH	-1	1.85741130045652e-99	loss	NA	NA	NA	NA	NA
contig_10	604	653	50	*	2121	5920	0.358277027027027	175	1570	0.111464968152866	19	CHH	-1	9.41669227498249e-76	loss	NA	NA	NA	NA	NA
contig_10	654	703	50	*	2028	3323	0.610291904905206	150	695	0.215827338129496	16	CHH	-1	1.11491323803679e-76	loss	NA	NA	NA	NA	NA
contig_10	704	753	50	*	1257	3228	0.389405204460967	74	672	0.110119047619048	19	CHH	-1	1.63267163056765e-40	loss	NA	NA	NA	NA	NA
contig_10	754	803	50	*	138	620	0.22258064516129	2	138	0.0144927536231884	18	CHH	-1	1.7863464050395e-07	loss	NA	NA	NA	NA	NA
contig_10	854	903	50	*	185	471	0.392781316348195	12	71	0.169014084507042	17	CHH	-1	0.000439886068041834	loss	NA	NA	NA	NA	NA
contig_10	1854	1903	50	*	302	504	0.599206349206349	0	125	0	21	CHH	-1	3.93791295936429e-30	loss	NA	NA	NA	NA	NA
contig_10	1904	1953	50	*	287	438	0.655251141552511	4	114	0.0350877192982456	19	CHH	-1	3.37972405720771e-29	loss	NA	NA	NA	NA	NA
contig_10	1954	2003	50	*	290	611	0.474631751227496	8	219	0.0365296803652968	19	CHH	-1	3.99519778412431e-28	loss	NA	NA	NA	NA	NA
contig_10	2004	2053	50	*	112	446	0.251121076233184	5	170	0.0294117647058824	16	CHH	-1	1.03370129138755e-08	loss	NA	NA	NA	NA	NA
contig_10	2054	2103	50	*	184	465	0.395698924731183	13	127	0.102362204724409	19	CHH	-1	1.36996526139774e-08	loss	NA	NA	NA	NA	NA
contig_10	13404	13453	50	*	123	363	0.338842975206612	2	82	0.024390243902439	18	CHH	-1	1.5923741892405e-07	loss	NA	NA	NA	NA	NA
contig_10	13454	13503	50	*	152	395	0.384810126582278	0	77	0	19	CHH	-1	1.63169014009863e-09	loss	NA	NA	NA	NA	NA
