group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	FK0H	Fvb1	1	50000	50000	*	1020	64053	0.0159243126785631	CHH
1	FK0H	Fvb1	50001	100000	50000	*	2026	75183	0.0269475812351196	CHH
1	FK0H	Fvb1	100001	150000	50000	*	592	75706	0.00781972366787309	CHH
1	FK0H	Fvb1	150001	200000	50000	*	2095	73762	0.0284021582928879	CHH
1	FK0H	Fvb1	200001	250000	50000	*	1146	68047	0.0168413008655782	CHH
1	FK0H	Fvb1	250001	300000	50000	*	5569	69813	0.0797702433644164	CHH
1	FK0H	Fvb1	300001	350000	50000	*	577	76085	0.00758362357889203	CHH
1	FK0H	Fvb1	350001	400000	50000	*	1217	74223	0.0163965347668512	CHH
1	FK0H	Fvb1	400001	450000	50000	*	818	67475	0.0121230085216747	CHH
1	FK0H	Fvb1	450001	500000	50000	*	1202	66925	0.0179604034366829	CHH
1	FK0H	Fvb1	500001	550000	50000	*	845	56969	0.0148326282715161	CHH
1	FK0H	Fvb1	550001	600000	50000	*	881	66875	0.0131738317757009	CHH
1	FK0H	Fvb1	600001	650000	50000	*	1450	79547	0.01822821728035	CHH
1	FK0H	Fvb1	650001	700000	50000	*	1254	52173	0.0240354206198608	CHH
1	FK0H	Fvb1	700001	750000	50000	*	3923	78494	0.0499783422936785	CHH
1	FK0H	Fvb1	750001	800000	50000	*	7074	76271	0.0927482267178875	CHH
1	FK0H	Fvb1	800001	850000	50000	*	3782	71324	0.0530256295216196	CHH
1	FK0H	Fvb1	850001	900000	50000	*	1363	70991	0.0191996168528405	CHH
1	FK0H	Fvb1	900001	950000	50000	*	366	80913	0.00452337696043899	CHH
1	FK0H	Fvb1	950001	1000000	50000	*	1172	73841	0.0158719410625533	CHH
1	FK0H	Fvb1	1000001	1050000	50000	*	1470	72801	0.0201920303292537	CHH
1	FK0H	Fvb1	1050001	1100000	50000	*	801	76984	0.010404759430531	CHH
1	FK0H	Fvb1	1100001	1150000	50000	*	800	57146	0.0139992300423477	CHH
1	FK0H	Fvb1	1150001	1200000	50000	*	1206	72110	0.0167244487588407	CHH
1	FK0H	Fvb1	1200001	1250000	50000	*	1763	67410	0.0261533897047916	CHH
1	FK0H	Fvb1	1250001	1300000	50000	*	2154	47569	0.0452815909520906	CHH
1	FK0H	Fvb1	1300001	1350000	50000	*	828	54251	0.0152623914766548	CHH
1	FK0H	Fvb1	1350001	1400000	50000	*	1171	58437	0.0200386741276931	CHH
1	FK0H	Fvb1	1400001	1450000	50000	*	888	70907	0.0125234462041829	CHH
1	FK0H	Fvb1	1450001	1500000	50000	*	798	72960	0.0109375	CHH
1	FK0H	Fvb1	1500001	1550000	50000	*	2243	67419	0.0332695530933416	CHH
1	FK0H	Fvb1	1550001	1600000	50000	*	1117	68406	0.0163289769903225	CHH
1	FK0H	Fvb1	1600001	1650000	50000	*	1411	76231	0.0185095302436017	CHH
1	FK0H	Fvb1	1650001	1700000	50000	*	2961	79593	0.0372017639742188	CHH
1	FK0H	Fvb1	1700001	1750000	50000	*	2280	69317	0.0328923640665349	CHH
1	FK0H	Fvb1	1750001	1800000	50000	*	1022	72628	0.0140717078812579	CHH
1	FK0H	Fvb1	1800001	1850000	50000	*	464	76998	0.00602613054884542	CHH
1	FK0H	Fvb1	1850001	1900000	50000	*	1106	71693	0.015426889654499	CHH
1	FK0H	Fvb1	1900001	1950000	50000	*	651	70552	0.00922723664814605	CHH
1	FK0H	Fvb1	1950001	2000000	50000	*	1049	68980	0.0152073064656422	CHH
1	FK0H	Fvb1	2000001	2050000	50000	*	1453	73057	0.0198885801497461	CHH
1	FK0H	Fvb1	2050001	2100000	50000	*	989	73723	0.0134150807753347	CHH
1	FK0H	Fvb1	2100001	2150000	50000	*	1322	73145	0.0180736892473853	CHH
