seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb2	1	50000	50000	*	3208	6943	0.462048106006049	CHG
Fvb2	50001	100000	50000	*	3482	12004	0.290069976674442	CHG
Fvb2	100001	150000	50000	*	5986	9556	0.626412724989535	CHG
Fvb2	150001	200000	50000	*	6562	17013	0.385705049080115	CHG
Fvb2	200001	250000	50000	*	5107	18783	0.271894798487994	CHG
Fvb2	250001	300000	50000	*	5786	20477	0.28256092201006	CHG
Fvb2	300001	350000	50000	*	6163	16301	0.37807496472609	CHG
Fvb2	350001	400000	50000	*	5944	19796	0.300262679329157	CHG
Fvb2	400001	450000	50000	*	4311	22465	0.191898508791453	CHG
Fvb2	450001	500000	50000	*	9358	16694	0.560560680484006	CHG
Fvb2	500001	550000	50000	*	1434	19753	0.0725965676099833	CHG
Fvb2	550001	600000	50000	*	1485	24344	0.0610006572461387	CHG
Fvb2	600001	650000	50000	*	3889	18174	0.213987014416199	CHG
Fvb2	650001	700000	50000	*	5307	14197	0.373811368599	CHG
Fvb2	700001	750000	50000	*	3188	14404	0.221327409053041	CHG
Fvb2	750001	800000	50000	*	2636	20047	0.131490996159026	CHG
Fvb2	800001	850000	50000	*	4711	17946	0.262509751476652	CHG
Fvb2	850001	900000	50000	*	4120	16305	0.252683226004293	CHG
Fvb2	900001	950000	50000	*	8074	12616	0.63998097653773	CHG
Fvb2	950001	1000000	50000	*	1881	11641	0.161584056352547	CHG
Fvb2	1000001	1050000	50000	*	70	9705	0.00721277691911386	CHG
Fvb2	1050001	1100000	50000	*	2253	8973	0.251086593112671	CHG
Fvb2	1100001	1150000	50000	*	2328	16696	0.139434595112602	CHG
Fvb2	1150001	1200000	50000	*	1538	13662	0.112575025618504	CHG
Fvb2	1200001	1250000	50000	*	1853	17847	0.103826973721074	CHG
Fvb2	1250001	1300000	50000	*	921	22884	0.0402464604090194	CHG
Fvb2	1300001	1350000	50000	*	3203	20529	0.156023186711481	CHG
Fvb2	1350001	1400000	50000	*	3209	17111	0.18754017883233	CHG
Fvb2	1400001	1450000	50000	*	2410	16201	0.148756249614221	CHG
Fvb2	1450001	1500000	50000	*	3853	21833	0.176475976732469	CHG
Fvb2	1500001	1550000	50000	*	1726	23671	0.072916226606396	CHG
Fvb2	1550001	1600000	50000	*	3754	9493	0.395449278415675	CHG
Fvb2	1600001	1650000	50000	*	5670	14480	0.391574585635359	CHG
Fvb2	1650001	1700000	50000	*	818	19062	0.0429126009862554	CHG
Fvb2	1700001	1750000	50000	*	2420	21981	0.110095082116373	CHG
Fvb2	1750001	1800000	50000	*	2478	12601	0.196651059439727	CHG
Fvb2	1800001	1850000	50000	*	3597	21623	0.166350645146372	CHG
Fvb2	1850001	1900000	50000	*	5388	14022	0.384253316217373	CHG
Fvb2	1900001	1950000	50000	*	1769	18456	0.0958495882097963	CHG
Fvb2	1950001	2000000	50000	*	1866	9413	0.198236481461808	CHG
Fvb2	2000001	2050000	50000	*	4037	17291	0.23347406165057	CHG
Fvb2	2050001	2100000	50000	*	3270	18795	0.173982442138867	CHG
Fvb2	2100001	2150000	50000	*	4394	18942	0.231971280751769	CHG
Fvb2	2150001	2200000	50000	*	3599	25057	0.143632517859281	CHG
Fvb2	2200001	2250000	50000	*	5178	11001	0.470684483228797	CHG
Fvb2	2250001	2300000	50000	*	3264	16082	0.202959830866808	CHG
Fvb2	2300001	2350000	50000	*	2383	21450	0.111095571095571	CHG
Fvb2	2350001	2400000	50000	*	1853	23292	0.079555212089988	CHG
Fvb2	2400001	2450000	50000	*	496	23099	0.0214727910299147	CHG
Fvb2	2450001	2500000	50000	*	3637	8399	0.433027741397785	CHG
Fvb2	2500001	2550000	50000	*	7046	14729	0.4783759929391	CHG
Fvb2	2550001	2600000	50000	*	7412	19221	0.385619894906613	CHG
Fvb2	2600001	2650000	50000	*	6202	20976	0.295671243325706	CHG
Fvb2	2650001	2700000	50000	*	214	417	0.513189448441247	CHG
Fvb2	2700001	2750000	50000	*	1193	2938	0.406058543226685	CHG
Fvb2	2750001	2800000	50000	*	725	2740	0.264598540145985	CHG
Fvb2	2800001	2850000	50000	*	2418	21271	0.113675896760848	CHG
Fvb2	2850001	2900000	50000	*	1436	23880	0.0601340033500838	CHG
Fvb2	2900001	2950000	50000	*	2669	22425	0.11901895206243	CHG
