group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	NK42D	Fvb1	1	50000	50000	*	1232	86710	0.014208280475147	CHH
1	NK42D	Fvb1	50001	100000	50000	*	2525	93947	0.0268768560997158	CHH
1	NK42D	Fvb1	100001	150000	50000	*	563	101017	0.00557331934228892	CHH
1	NK42D	Fvb1	150001	200000	50000	*	1848	79437	0.0232637184183693	CHH
1	NK42D	Fvb1	200001	250000	50000	*	1555	97117	0.0160116148563073	CHH
1	NK42D	Fvb1	250001	300000	50000	*	4266	85722	0.0497655211031007	CHH
1	NK42D	Fvb1	300001	350000	50000	*	907	103626	0.00875262964892981	CHH
1	NK42D	Fvb1	350001	400000	50000	*	1126	96276	0.0116955419834642	CHH
1	NK42D	Fvb1	400001	450000	50000	*	1028	93622	0.0109803251372541	CHH
1	NK42D	Fvb1	450001	500000	50000	*	1283	84523	0.0151793003087917	CHH
1	NK42D	Fvb1	500001	550000	50000	*	682	62156	0.0109723920458202	CHH
1	NK42D	Fvb1	550001	600000	50000	*	1116	81552	0.0136845203060624	CHH
1	NK42D	Fvb1	600001	650000	50000	*	530	70588	0.00750835836119454	CHH
1	NK42D	Fvb1	650001	700000	50000	*	429	42497	0.0100948302233099	CHH
1	NK42D	Fvb1	700001	750000	50000	*	1946	69031	0.0281902333734119	CHH
1	NK42D	Fvb1	750001	800000	50000	*	3234	74714	0.0432850603635196	CHH
1	NK42D	Fvb1	800001	850000	50000	*	1900	76718	0.0247660262259183	CHH
1	NK42D	Fvb1	850001	900000	50000	*	878	46048	0.0190670604586518	CHH
1	NK42D	Fvb1	900001	950000	50000	*	512	92353	0.0055439455134105	CHH
1	NK42D	Fvb1	950001	1000000	50000	*	1355	88888	0.0152439024390244	CHH
1	NK42D	Fvb1	1000001	1050000	50000	*	969	71300	0.0135904628330996	CHH
1	NK42D	Fvb1	1050001	1100000	50000	*	653	73119	0.00893064730097512	CHH
1	NK42D	Fvb1	1100001	1150000	50000	*	1112	76620	0.0145131819368311	CHH
1	NK42D	Fvb1	1150001	1200000	50000	*	1838	91467	0.0200946789552516	CHH
1	NK42D	Fvb1	1200001	1250000	50000	*	248	26100	0.00950191570881226	CHH
1	NK42D	Fvb1	1250001	1300000	50000	*	464	2850	0.16280701754386	CHH
1	NK42D	Fvb1	1300001	1350000	50000	*	463	26968	0.0171684959952536	CHH
