seqnames	start	end	methdiff
Fvb1	67903	68002	0.343012704
Fvb1	129103	129202	0.24201788
Fvb1	381103	381202	0.387878788
Fvb1	400103	400202	0.212732095
Fvb1	592403	592502	0.342741935
Fvb1	633003	633102	0.355555556
Fvb1	1029303	1029402	0.332746479
Fvb1	1200503	1200602	0.255217832
Fvb1	1200603	1200702	0.293384647
Fvb1	1203403	1203502	0.267229255
Fvb1	1518803	1518902	0.26984127
Fvb1	1589503	1589602	-0.244897959
Fvb1	1761703	1761802	0.256793478
Fvb1	1970803	1970902	0.385093168
Fvb1	2162103	2162202	0.293255132
Fvb1	2162203	2162302	0.265306122
Fvb1	2316703	2316802	0.211161388
Fvb1	2392403	2392502	0.382658469
Fvb1	2542103	2542202	0.422043011
Fvb1	2677903	2678002	0.283112072
Fvb1	2757603	2757702	0.217081164
Fvb1	3262703	3262802	0.261904762
Fvb1	3957103	3957202	0.450980392
Fvb1	4142703	4142802	0.371794872
Fvb1	4202103	4202202	0.213622291
Fvb1	4396703	4396802	0.358358358
Fvb1	4923603	4923702	0.211092406
Fvb1	5066003	5066102	0.247648903
Fvb1	5373003	5373102	0.247792734
Fvb1	5592903	5593002	0.291666667
Fvb1	5838703	5838802	-0.214049782
Fvb1	6473503	6473602	0.219022181
Fvb1	6790903	6791002	0.25070028
Fvb1	6791303	6791402	0.244085326
Fvb1	7918303	7918402	0.311128029
Fvb1	9472903	9473002	0.255564388
Fvb1	9711503	9711602	0.232905983
Fvb1	9832703	9832802	0.37488232
Fvb1	9834103	9834202	0.335969388
Fvb1	9926203	9926302	0.275558924
Fvb1	9974603	9974702	0.239952996
Fvb1	10220603	10220702	0.341272065
Fvb1	10926303	10926402	0.352163462
Fvb1	11186803	11186902	0.301463415
Fvb1	11251303	11251402	0.218844985
Fvb1	11321503	11321602	-0.214285714
Fvb1	12024303	12024402	0.493650794
Fvb1	12058803	12058902	0.425757576
Fvb1	12750003	12750102	0.207239819
Fvb1	13042203	13042302	0.211628747
Fvb1	13189203	13189302	0.329727417
Fvb1	13402603	13402702	0.211399658
Fvb1	13456403	13456502	-0.209302326
Fvb1	14016803	14016902	0.242199776
Fvb1	14043603	14043702	0.344315245
Fvb1	14094103	14094202	0.217236467
Fvb1	15343703	15343802	0.251636364
Fvb1	15666403	15666502	0.257442348
Fvb1	15887403	15887502	0.227272727
Fvb1	16545803	16545902	0.232119875
Fvb1	17039603	17039702	0.223208624
Fvb1	17313303	17313402	0.294117647
Fvb1	17428903	17429002	0.296296296
Fvb1	18027003	18027102	0.313043478
Fvb1	18145703	18145802	-0.258131868
Fvb1	18152203	18152302	0.205882353
Fvb1	18377003	18377102	0.289930556
Fvb1	18429203	18429302	0.218564845
Fvb1	18569303	18569402	0.273040482
Fvb1	19903803	19903902	0.246451613
Fvb1	20098203	20098302	-0.280705828
Fvb1	20169003	20169102	0.307986111
Fvb1	20286503	20286602	0.29588551
Fvb1	21134303	21134402	0.30227596
Fvb1	21349803	21349902	0.224175824
Fvb1	21421503	21421602	-0.249894648
Fvb1	21427503	21427602	0.278181818
Fvb1	21428603	21428702	0.385620915
Fvb1	21429403	21429502	0.354636591
Fvb1	21495303	21495402	0.225506294
Fvb1	22185603	22185702	0.279527077
Fvb1	22185703	22185802	0.312161723
Fvb1	22185803	22185902	0.316333333
Fvb1	23312403	23312502	-0.296470588
Fvb1	23535803	23535902	0.285974499
Fvb1	23936803	23936902	0.301282051
Fvb1	23975003	23975102	0.301470588
Fvb1	23975203	23975302	0.243012422
Fvb1	24137003	24137102	0.45
Fvb1	24150203	24150302	0.273429273
Fvb1	24231203	24231302	-0.341820719
Fvb2	258901	259000	-0.277039848
Fvb2	461601	461700	0.427865613
Fvb2	462001	462100	0.255291005
Fvb2	482701	482800	-0.238636364
Fvb2	483501	483600	0.202689377
Fvb2	875501	875600	-0.22618466
Fvb2	1380301	1380400	0.219164118
Fvb2	1450101	1450200	0.427841635
Fvb2	1494601	1494700	0.324404762
Fvb2	1745201	1745300	-0.346666667
Fvb2	1825701	1825800	0.304675716
Fvb2	2089601	2089700	0.432360743
Fvb2	2285201	2285300	0.268796992
Fvb2	2906501	2906600	-0.23704955
Fvb2	3670401	3670500	0.371551724
Fvb2	3867901	3868000	-0.345989097
Fvb2	4359001	4359100	-0.200320513
Fvb2	4444001	4444100	-0.339516129
Fvb2	5051701	5051800	0.253267974
Fvb2	5278401	5278500	0.483388704
Fvb2	5529301	5529400	0.353365385
Fvb2	5644701	5644800	0.225171307
Fvb2	5682401	5682500	0.323547124
Fvb2	5831101	5831200	0.244847193
Fvb2	7487001	7487100	0.423076923
Fvb2	7701701	7701800	-0.342825849
Fvb2	7982001	7982100	-0.477443609
Fvb2	8573501	8573600	-0.253968254
Fvb2	8588501	8588600	0.334800469
Fvb2	8781901	8782000	0.296910755
Fvb2	8879401	8879500	0.416666667
Fvb2	8942801	8942900	0.438936782
Fvb2	8965001	8965100	0.26370614
Fvb2	9614301	9614400	0.472455649
Fvb2	10124101	10124200	0.305084746
Fvb2	10236801	10236900	-0.357894737
Fvb2	10903701	10903800	0.20782241
Fvb2	10942701	10942800	0.333333333
Fvb2	11459201	11459300	0.234913793
Fvb2	11518301	11518400	0.208722741
Fvb2	11704401	11704500	-0.375804376
Fvb2	11915601	11915700	0.307359307
Fvb2	11915801	11915900	0.264208133
Fvb2	12149101	12149200	0.217391304
Fvb2	12493401	12493500	-0.364705882
Fvb2	12538301	12538400	-0.326617827
Fvb2	12936601	12936700	0.236742424
Fvb2	13082201	13082300	0.300140581
Fvb2	13082401	13082500	0.214460784
Fvb2	13149901	13150000	0.236356259
Fvb2	13150201	13150300	0.342741935
Fvb2	13240401	13240500	-0.418300654
Fvb2	13593801	13593900	-0.216507937
Fvb2	13803701	13803800	0.399482312
Fvb2	15469201	15469300	0.303030303
Fvb2	15469301	15469400	0.278444826
Fvb2	15476601	15476700	0.336551724
Fvb2	15501501	15501600	0.203331846
Fvb2	15790401	15790500	0.210526316
Fvb2	15884801	15884900	0.213227821
Fvb2	15927601	15927700	0.607142857
Fvb2	16690101	16690200	-0.326495726
Fvb2	16813101	16813200	0.310606061
Fvb2	16813301	16813400	0.248962225
Fvb2	16864401	16864500	-0.217897291
Fvb2	16864501	16864600	-0.276623377
Fvb2	17134801	17134900	-0.362477231
Fvb2	17165701	17165800	-0.357142857
Fvb2	17195701	17195800	-0.378431373
Fvb2	17220701	17220800	0.271515152
Fvb2	17317401	17317500	0.222647223
Fvb2	17546301	17546400	0.312741313
Fvb2	17633501	17633600	0.577861163
Fvb2	17664401	17664500	0.253671971
Fvb2	17858701	17858800	0.227865797
Fvb2	18363401	18363500	0.218141234
Fvb2	18434401	18434500	0.284013941
Fvb2	19462301	19462400	-0.492063492
Fvb2	19560001	19560100	0.276213934
Fvb2	20036601	20036700	0.241669081
Fvb2	20210901	20211000	-0.463888889
Fvb2	20392101	20392200	-0.205882353
Fvb2	20648601	20648700	0.291983765
Fvb2	20779901	20780000	-0.314814815
Fvb2	20876201	20876300	0.311313291
Fvb2	21783001	21783100	0.393333333
Fvb2	22062301	22062400	0.422149123
Fvb2	22072601	22072700	0.48657289
Fvb2	22145901	22146000	0.232051282
Fvb2	22177701	22177800	0.204545455
Fvb2	22177801	22177900	0.252722323
Fvb2	22573701	22573800	0.260695187
Fvb2	22884701	22884800	0.311764706
Fvb2	22911401	22911500	0.239200516
Fvb2	23190701	23190800	0.219669118
Fvb2	23244501	23244600	0.216941694
Fvb2	23367201	23367300	0.254117327
Fvb2	23391501	23391600	0.220769231
Fvb2	23428601	23428700	0.237779156
Fvb2	23611001	23611100	0.473043478
