seqnames	start	end	methdiff
Fvb1	36803	36902	0.486486486
Fvb1	381103	381202	0.487989019
Fvb1	762903	763002	0.260180995
Fvb1	763203	763302	-0.309243697
Fvb1	889603	889702	0.362916667
Fvb1	1135403	1135502	-0.339712919
Fvb1	1200603	1200702	0.280393836
Fvb1	1338003	1338102	0.368055556
Fvb1	1433403	1433502	0.3620335
Fvb1	1670103	1670202	-0.305847953
Fvb1	1701403	1701502	0.419693301
Fvb1	3009203	3009302	-0.319168174
Fvb1	3580303	3580402	-0.354267311
Fvb1	4903203	4903302	0.575
Fvb1	4923703	4923802	0.35015015
Fvb1	5574203	5574302	0.280232558
Fvb1	6374103	6374202	0.464646465
Fvb1	6517603	6517702	-0.258403361
Fvb1	6843203	6843302	-0.423076923
Fvb1	7324903	7325002	0.246299077
Fvb1	7894203	7894302	0.222252798
Fvb1	8371703	8371802	-0.273777778
Fvb1	8542503	8542602	0.203494624
Fvb1	8882603	8882702	-0.223130841
Fvb1	9972803	9972902	-0.240933215
Fvb1	10477003	10477102	0.415444015
Fvb1	10759303	10759402	0.318982387
Fvb1	10921703	10921802	-0.301948052
Fvb1	11327103	11327202	0.203482587
Fvb1	11749603	11749702	-0.464583333
Fvb1	11751903	11752002	0.323799796
Fvb1	12446403	12446502	-0.31089478
Fvb1	13185803	13185902	0.221428571
Fvb1	13189203	13189302	0.270885587
Fvb1	13242103	13242202	-0.267676768
Fvb1	13331203	13331302	0.333710407
Fvb1	13346003	13346102	0.28845565
Fvb1	13714503	13714602	0.267981221
Fvb1	14057903	14058002	-0.277464789
Fvb1	14197003	14197102	0.357946554
Fvb1	14222203	14222302	0.230503291
Fvb1	14693803	14693902	0.217647059
Fvb1	14919003	14919102	-0.246527778
Fvb1	15029603	15029702	-0.332660782
Fvb1	15034903	15035002	-0.232847602
Fvb1	15377403	15377502	0.307176392
Fvb1	15784203	15784302	0.254841998
Fvb1	16414603	16414702	-0.267368421
Fvb1	16629903	16630002	0.29122807
Fvb1	17285203	17285302	0.263343576
Fvb1	17401003	17401102	-0.410014514
Fvb1	17668803	17668902	0.202380952
Fvb1	17801903	17802002	0.257561728
