seqnames	start	end	methdiff
Fvb1	31603	31702	0.235294118
Fvb1	270403	270502	-0.221533008
Fvb1	275203	275302	-0.27585732
Fvb1	442903	443002	-0.361588862
Fvb1	473003	473102	-0.24341868
Fvb1	743203	743302	0.251750065
Fvb1	745803	745902	-0.255526083
Fvb1	748403	748502	-0.385714286
Fvb1	756203	756302	-0.264587525
Fvb1	1614703	1614802	-0.293706294
Fvb1	2126503	2126602	0.21466205
Fvb1	2544503	2544602	-0.251046699
Fvb1	2691703	2691802	-0.243001787
Fvb1	2783703	2783802	-0.300420168
Fvb1	2865303	2865402	-0.309320587
Fvb1	3009103	3009202	-0.510551648
Fvb1	3065103	3065202	-0.260935143
Fvb1	3072003	3072102	-0.21197042
Fvb1	3072203	3072302	-0.243572653
Fvb1	3128603	3128702	-0.319872958
Fvb1	3434303	3434402	-0.292896175
Fvb1	3587603	3587702	0.213823529
Fvb1	3601103	3601202	-0.396103896
Fvb1	3709603	3709702	-0.246001374
Fvb1	3709703	3709802	-0.333333333
Fvb1	3870603	3870702	-0.354885057
Fvb1	3999403	3999502	-0.308113561
Fvb1	4540803	4540902	-0.304050117
Fvb1	4544703	4544802	0.216248507
Fvb1	4640903	4641002	-0.229493088
Fvb1	4685903	4686002	-0.307377049
Fvb1	4838003	4838102	-0.271753681
Fvb1	4962603	4962702	-0.266516854
Fvb1	4962903	4963002	-0.252444444
Fvb1	5019803	5019902	-0.320412518
Fvb1	5177103	5177202	-0.313283208
Fvb1	5220303	5220402	-0.258270911
Fvb1	5232403	5232502	-0.345868644
Fvb1	5252503	5252602	0.264307121
Fvb1	5252803	5252902	0.268390805
Fvb1	5259503	5259602	-0.285412262
Fvb1	5264703	5264802	-0.380575831
Fvb1	5272403	5272502	-0.318532819
Fvb1	5277503	5277602	-0.439471753
Fvb1	5472503	5472602	-0.270889488
Fvb1	5911303	5911402	0.233035024
Fvb1	6311003	6311102	0.246054849
Fvb1	6753103	6753202	-0.253681392
Fvb1	6819503	6819602	-0.362962963
Fvb1	6917003	6917102	-0.386779661
Fvb1	7100603	7100702	-0.317141089
Fvb1	7433803	7433902	0.382051282
Fvb1	7586903	7587002	0.397233202
Fvb1	7730703	7730802	0.246902142
Fvb1	8303703	8303802	-0.25474547
Fvb1	8368003	8368102	0.341776867
Fvb1	8386803	8386902	-0.213533835
Fvb1	8561503	8561602	-0.373197115
Fvb1	8579703	8579802	-0.208030303
Fvb1	8649403	8649502	-0.447058824
Fvb1	8782903	8783002	0.377321603
Fvb1	8852103	8852202	-0.330759854
Fvb1	8860603	8860702	-0.344594595
Fvb1	8871603	8871702	0.276541096
Fvb1	9153603	9153702	0.284817352
Fvb1	9224803	9224902	-0.30672533
Fvb1	9316003	9316102	-0.353775744
Fvb1	9334903	9335002	-0.247058824
Fvb1	9349203	9349302	-0.224656638
Fvb1	9420303	9420402	-0.293612453
Fvb1	9649203	9649302	-0.268944099
Fvb1	9747903	9748002	-0.332640333
Fvb1	9834803	9834902	-0.43220339
Fvb1	10083203	10083302	0.418918919
Fvb1	10194803	10194902	-0.436170933
Fvb1	10194903	10195002	-0.232395678
Fvb1	10231803	10231902	-0.235014006
Fvb1	10397503	10397602	0.25
Fvb1	10411503	10411602	0.338672769
Fvb1	10506203	10506302	0.306751468
Fvb1	10527903	10528002	-0.298809524
Fvb1	10559803	10559902	-0.289932186
Fvb1	10739303	10739402	-0.210347175
Fvb1	10740103	10740202	-0.23812622
Fvb1	10788403	10788502	-0.235340022
Fvb1	10996303	10996402	0.25877551
Fvb1	11087303	11087402	0.322368421
Fvb1	11176703	11176802	-0.214285714
Fvb1	11215903	11216002	-0.304073034
Fvb1	11294003	11294102	-0.207850467
Fvb1	11352403	11352502	-0.382575758
Fvb1	11390303	11390402	-0.274509804
Fvb1	11402903	11403002	-0.214132104
Fvb1	11423803	11423902	0.328506098
Fvb1	11448803	11448902	-0.270795215
Fvb1	11454403	11454502	0.214997627
Fvb1	11494003	11494102	-0.420634921
Fvb1	11815203	11815302	-0.202544359
Fvb1	12051803	12051902	-0.235504955
Fvb1	12215503	12215602	-0.233500943
Fvb1	12258603	12258702	-0.227564103
Fvb1	12287903	12288002	-0.312770563
Fvb1	12399903	12400002	0.236885865
Fvb1	12458503	12458602	-0.325252525
Fvb1	12581703	12581802	0.235294118
Fvb1	12680803	12680902	-0.322972973
Fvb1	12731403	12731502	-0.31011236
Fvb1	12779503	12779602	-0.328218244
Fvb1	12911003	12911102	-0.28
Fvb1	13054303	13054402	0.376724138
Fvb1	13106603	13106702	0.298780488
Fvb1	13306203	13306302	-0.233209942
Fvb1	13306903	13307002	0.437188435
Fvb1	13337703	13337802	-0.272325376
Fvb1	13411003	13411102	0.351402899
Fvb1	13411303	13411402	0.376506024
Fvb1	13437603	13437702	-0.301136364
Fvb1	13448403	13448502	-0.292293233
Fvb1	13501903	13502002	-0.28584024
Fvb1	13582503	13582602	-0.297979798
Fvb1	13770703	13770802	-0.368638498
Fvb1	13796503	13796602	-0.201604555
Fvb1	14221003	14221102	0.375331565
Fvb1	14224503	14224602	-0.26689872
Fvb1	14261003	14261102	-0.454407295
Fvb1	14263003	14263102	0.256097561
Fvb1	14323303	14323402	-0.243442623
Fvb1	14375103	14375202	-0.29093432
Fvb1	14388403	14388502	-0.230472441
Fvb1	14421803	14421902	-0.305429864
Fvb1	14444603	14444702	-0.319627193
Fvb1	14487203	14487302	-0.301075269
Fvb1	14544303	14544402	-0.225306327
Fvb1	14612203	14612302	-0.236531987
Fvb1	14625003	14625102	0.31051109
Fvb1	14748103	14748202	-0.227124183
Fvb1	14972503	14972602	-0.259615385
Fvb1	15150203	15150302	-0.225678733
Fvb1	15424403	15424502	-0.229408915
Fvb1	15506903	15507002	0.265424431
Fvb1	15739403	15739502	-0.243919759
Fvb1	15786203	15786302	-0.344791667
Fvb1	15977503	15977602	-0.31092437
Fvb1	15993703	15993802	-0.264232673
Fvb1	16004903	16005002	-0.221890547
Fvb1	16023203	16023302	-0.256563642
Fvb1	16030903	16031002	-0.307692308
Fvb1	16035303	16035402	-0.257540228
Fvb1	16058603	16058702	-0.377791563
Fvb1	16261803	16261902	-0.312653462
Fvb1	16266203	16266302	-0.282095263
Fvb1	16266403	16266502	-0.230566535
Fvb1	16270203	16270302	-0.323763955
Fvb1	16339703	16339802	0.397624039
Fvb1	16399303	16399402	0.266007194
Fvb1	16587703	16587802	-0.201758361
Fvb1	16596603	16596702	-0.365934066
Fvb1	16638803	16638902	-0.220561594
Fvb1	16666103	16666202	0.235507575
Fvb1	16689503	16689602	0.326612903
Fvb1	16722303	16722402	-0.283316263
Fvb1	16722603	16722702	0.581944444
Fvb1	16752303	16752402	-0.233862959
Fvb1	16801203	16801302	-0.495567376
Fvb1	16806503	16806602	-0.277176015
Fvb1	16820603	16820702	-0.296638102
Fvb1	16906403	16906502	-0.268714689
Fvb1	17160403	17160502	-0.201405409
Fvb1	17181503	17181602	0.328888889
Fvb1	17313403	17313502	-0.273989899
Fvb1	17368203	17368302	0.224202727
Fvb1	17406503	17406602	-0.269803922
Fvb1	17447403	17447502	-0.268656716
Fvb1	17447503	17447602	-0.281684982
Fvb1	17472103	17472202	-0.29932598
Fvb1	17546003	17546102	-0.236342726
Fvb1	17568703	17568802	-0.323423423
Fvb1	17617103	17617202	-0.235010891
Fvb1	17653603	17653702	-0.25487988
Fvb1	17710603	17710702	0.308035714
Fvb1	17818803	17818902	-0.450310559
Fvb1	17840203	17840302	-0.229102167
Fvb1	17868903	17869002	0.223
Fvb1	18043603	18043702	-0.331695332
Fvb1	18081103	18081202	-0.427771557
Fvb1	18465303	18465402	-0.207291667
Fvb1	18465903	18466002	0.261682243
Fvb1	18582603	18582702	0.277511962
Fvb1	18594803	18594902	-0.460591133
Fvb1	18598303	18598402	0.207057191
Fvb1	18598603	18598702	-0.215733425
Fvb1	18620603	18620702	-0.233050847
Fvb1	18626303	18626402	-0.273648145
Fvb1	18666103	18666202	-0.21875
Fvb1	18687303	18687402	-0.209946168
Fvb1	18747403	18747502	-0.319163763
Fvb1	18894003	18894102	-0.224696356
Fvb1	19071503	19071602	-0.247857143
Fvb1	19085403	19085502	0.285966238
Fvb1	19088803	19088902	-0.256053704
Fvb1	19311303	19311402	0.307692308
Fvb1	19343603	19343702	-0.276407337
Fvb1	19493603	19493702	-0.207224959
