group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	FK42D	Fvb1	1	50000	50000	*	1942	81546	0.0238147793883207	CHH
1	FK42D	Fvb1	50001	100000	50000	*	2740	99533	0.0275285583675766	CHH
1	FK42D	Fvb1	100001	150000	50000	*	978	106822	0.00915541742337721	CHH
1	FK42D	Fvb1	150001	200000	50000	*	3746	99475	0.0376577029404373	CHH
1	FK42D	Fvb1	200001	250000	50000	*	1832	91955	0.0199227883203741	CHH
1	FK42D	Fvb1	250001	300000	50000	*	11287	100209	0.112634593699169	CHH
1	FK42D	Fvb1	300001	350000	50000	*	1046	97393	0.0107399915805037	CHH
1	FK42D	Fvb1	350001	400000	50000	*	2401	99608	0.024104489599229	CHH
1	FK42D	Fvb1	400001	450000	50000	*	1628	90648	0.0179595799135116	CHH
1	FK42D	Fvb1	450001	500000	50000	*	2052	91284	0.0224792953858288	CHH
1	FK42D	Fvb1	500001	550000	50000	*	1562	81831	0.0190881206388777	CHH
1	FK42D	Fvb1	550001	600000	50000	*	1545	89870	0.0171914988316457	CHH
1	FK42D	Fvb1	600001	650000	50000	*	2065	101269	0.0203912352249948	CHH
1	FK42D	Fvb1	650001	700000	50000	*	2017	71585	0.0281762939163233	CHH
1	FK42D	Fvb1	700001	750000	50000	*	6950	106105	0.0655011545167523	CHH
1	FK42D	Fvb1	750001	800000	50000	*	12387	104929	0.118051253704886	CHH
1	FK42D	Fvb1	800001	850000	50000	*	7134	99986	0.0713499889984598	CHH
1	FK42D	Fvb1	850001	900000	50000	*	2725	94956	0.0286975020009267	CHH
1	FK42D	Fvb1	900001	950000	50000	*	698	99015	0.00704943695399687	CHH
1	FK42D	Fvb1	950001	1000000	50000	*	1875	96402	0.0194498039459762	CHH
1	FK42D	Fvb1	1000001	1050000	50000	*	2261	89114	0.0253719954215948	CHH
1	FK42D	Fvb1	1050001	1100000	50000	*	1530	98111	0.0155945816473178	CHH
1	FK42D	Fvb1	1100001	1150000	50000	*	1451	78917	0.0183864059708301	CHH
1	FK42D	Fvb1	1150001	1200000	50000	*	2417	99677	0.0242483220803194	CHH
1	FK42D	Fvb1	1200001	1250000	50000	*	3762	92393	0.0407173703635557	CHH
1	FK42D	Fvb1	1250001	1300000	50000	*	3734	68345	0.054634574584827	CHH
1	FK42D	Fvb1	1300001	1350000	50000	*	1669	75456	0.02211885072095	CHH
1	FK42D	Fvb1	1350001	1400000	50000	*	2255	81083	0.0278110084727995	CHH
1	FK42D	Fvb1	1400001	1450000	50000	*	1274	94645	0.0134608273020234	CHH
1	FK42D	Fvb1	1450001	1500000	50000	*	1528	96548	0.0158263247296681	CHH
1	FK42D	Fvb1	1500001	1550000	50000	*	4032	91444	0.0440925593806045	CHH
1	FK42D	Fvb1	1550001	1600000	50000	*	2148	94344	0.022767743576698	CHH
1	FK42D	Fvb1	1600001	1650000	50000	*	1957	99238	0.0197202684455551	CHH
1	FK42D	Fvb1	1650001	1700000	50000	*	5085	112482	0.0452072331573052	CHH
1	FK42D	Fvb1	1700001	1750000	50000	*	3558	90584	0.0392784597721452	CHH
1	FK42D	Fvb1	1750001	1800000	50000	*	1705	95635	0.0178282009724473	CHH
1	FK42D	Fvb1	1800001	1850000	50000	*	993	103169	0.00962498424914461	CHH
1	FK42D	Fvb1	1850001	1900000	50000	*	2373	94008	0.0252425325504212	CHH
1	FK42D	Fvb1	1900001	1950000	50000	*	1371	95426	0.0143671536059355	CHH
1	FK42D	Fvb1	1950001	2000000	50000	*	1745	93710	0.0186212784121225	CHH
1	FK42D	Fvb1	2000001	2050000	50000	*	2992	102868	0.0290858187191352	CHH
1	FK42D	Fvb1	2050001	2100000	50000	*	1699	94834	0.017915515532404	CHH
1	FK42D	Fvb1	2100001	2150000	50000	*	2306	100118	0.0230328212709003	CHH
1	FK42D	Fvb1	2150001	2200000	50000	*	1558	91354	0.0170545351051952	CHH
1	FK42D	Fvb1	2200001	2250000	50000	*	1669	94041	0.0177475781839836	CHH
1	FK42D	Fvb1	2250001	2300000	50000	*	2914	77509	0.0375956340554	CHH
1	FK42D	Fvb1	2300001	2350000	50000	*	1439	93415	0.0154043783118343	CHH
1	FK42D	Fvb1	2350001	2400000	50000	*	2304	87380	0.0263675898374914	CHH
1	FK42D	Fvb1	2400001	2450000	50000	*	2736	73241	0.0373561256673175	CHH
1	FK42D	Fvb1	2450001	2500000	50000	*	2756	80485	0.0342424054171585	CHH
1	FK42D	Fvb1	2500001	2550000	50000	*	1899	104401	0.0181894809436691	CHH
1	FK42D	Fvb1	2550001	2600000	50000	*	3673	67719	0.0542388399119893	CHH
1	FK42D	Fvb1	2600001	2650000	50000	*	4332	78035	0.0555135516114564	CHH
1	FK42D	Fvb1	2650001	2700000	50000	*	1889	98176	0.0192409550195567	CHH
1	FK42D	Fvb1	2700001	2750000	50000	*	1596	98240	0.0162459283387622	CHH
1	FK42D	Fvb1	2750001	2800000	50000	*	1866	95613	0.0195161745787707	CHH
1	FK42D	Fvb1	2800001	2850000	50000	*	1297	100351	0.0129246345327899	CHH
1	FK42D	Fvb1	2850001	2900000	50000	*	2971	90099	0.0329748387884438	CHH
1	FK42D	Fvb1	2900001	2950000	50000	*	1382	112809	0.0122507955925502	CHH
1	FK42D	Fvb1	2950001	3000000	50000	*	2362	83198	0.028390105531383	CHH
1	FK42D	Fvb1	3000001	3050000	50000	*	1256	101769	0.0123416757558785	CHH
1	FK42D	Fvb1	3050001	3100000	50000	*	29127	106194	0.274281032826713	CHH
1	FK42D	Fvb1	3100001	3150000	50000	*	2029	87509	0.0231861865636677	CHH
1	FK42D	Fvb1	3150001	3200000	50000	*	897	72932	0.0122991279548072	CHH
1	FK42D	Fvb1	3200001	3250000	50000	*	1177	106760	0.0110247283626827	CHH
1	FK42D	Fvb1	3250001	3300000	50000	*	1953	74845	0.0260939274500635	CHH
1	FK42D	Fvb1	3300001	3350000	50000	*	3450	95267	0.0362140090482539	CHH
1	FK42D	Fvb1	3350001	3400000	50000	*	3171	90246	0.0351372914034971	CHH
1	FK42D	Fvb1	3400001	3450000	50000	*	2107	102264	0.0206035359461785	CHH
1	FK42D	Fvb1	3450001	3500000	50000	*	2131	96088	0.0221775872117226	CHH
1	FK42D	Fvb1	3500001	3550000	50000	*	2955	94211	0.0313657640827504	CHH
1	FK42D	Fvb1	3550001	3600000	50000	*	11137	113529	0.0980982832580222	CHH
1	FK42D	Fvb1	3600001	3650000	50000	*	4721	92429	0.05107704291943	CHH
1	FK42D	Fvb1	3650001	3700000	50000	*	1652	99585	0.0165888437013606	CHH
1	FK42D	Fvb1	3700001	3750000	50000	*	896	54109	0.0165591676061284	CHH
1	FK42D	Fvb1	3750001	3800000	50000	*	3099	100844	0.0307306334536512	CHH
1	FK42D	Fvb1	3800001	3850000	50000	*	841	104806	0.00802434975096846	CHH
1	FK42D	Fvb1	3850001	3900000	50000	*	2674	51599	0.0518227097424369	CHH
1	FK42D	Fvb1	3900001	3950000	50000	*	2188	101759	0.0215017836260183	CHH
1	FK42D	Fvb1	3950001	4000000	50000	*	2442	78117	0.0312608011060333	CHH
1	FK42D	Fvb1	4000001	4050000	50000	*	2528	92683	0.0272757679401832	CHH
1	FK42D	Fvb1	4050001	4100000	50000	*	2034	94686	0.0214815284202522	CHH
1	FK42D	Fvb1	4100001	4150000	50000	*	1908	88875	0.0214683544303797	CHH
1	FK42D	Fvb1	4150001	4200000	50000	*	1100	79462	0.0138430948126148	CHH
1	FK42D	Fvb1	4200001	4250000	50000	*	1111	90185	0.0123191218051782	CHH
1	FK42D	Fvb1	4250001	4300000	50000	*	1878	88332	0.0212606982746909	CHH
1	FK42D	Fvb1	4300001	4350000	50000	*	2103	99392	0.0211586445589182	CHH
1	FK42D	Fvb1	4350001	4400000	50000	*	2023	86880	0.0232849907918969	CHH
1	FK42D	Fvb1	4400001	4450000	50000	*	2335	62110	0.0375945902431171	CHH
1	FK42D	Fvb1	4450001	4500000	50000	*	2073	98323	0.0210835714939536	CHH
1	FK42D	Fvb1	4500001	4550000	50000	*	2948	96592	0.0305201258903429	CHH
1	FK42D	Fvb1	4550001	4600000	50000	*	1471	100696	0.0146083260506872	CHH
1	FK42D	Fvb1	4600001	4650000	50000	*	3771	92935	0.0405767471888955	CHH
1	FK42D	Fvb1	4650001	4700000	50000	*	2127	96440	0.0220551638324347	CHH
1	FK42D	Fvb1	4700001	4750000	50000	*	1489	109220	0.0136330342428127	CHH
1	FK42D	Fvb1	4750001	4800000	50000	*	2779	106037	0.0262078331148561	CHH
1	FK42D	Fvb1	4800001	4850000	50000	*	5797	72047	0.0804613654975224	CHH
1	FK42D	Fvb1	4850001	4900000	50000	*	2414	98086	0.0246110556042656	CHH
1	FK42D	Fvb1	4900001	4950000	50000	*	1990	100165	0.019867219088504	CHH
1	FK42D	Fvb1	4950001	5000000	50000	*	3686	88447	0.0416746752292333	CHH
1	FK42D	Fvb1	5000001	5050000	50000	*	785	58082	0.0135153748149168	CHH
1	FK42D	Fvb1	5050001	5100000	50000	*	1673	110344	0.0151616762125716	CHH
1	FK42D	Fvb1	5100001	5150000	50000	*	1789	108623	0.0164698084199479	CHH
1	FK42D	Fvb1	5150001	5200000	50000	*	1296	102203	0.0126806453822295	CHH
1	FK42D	Fvb1	5200001	5250000	50000	*	18334	95741	0.191495806394335	CHH
1	FK42D	Fvb1	5250001	5300000	50000	*	24256	94181	0.257546638918678	CHH
1	FK42D	Fvb1	5300001	5350000	50000	*	1872	107294	0.01744738755196	CHH
1	FK42D	Fvb1	5350001	5400000	50000	*	5209	85979	0.0605845613463753	CHH
1	FK42D	Fvb1	5400001	5450000	50000	*	2389	104092	0.0229508511701187	CHH
1	FK42D	Fvb1	5450001	5500000	50000	*	4361	91156	0.0478410636710694	CHH
1	FK42D	Fvb1	5500001	5550000	50000	*	1588	91791	0.0173001710407338	CHH
1	FK42D	Fvb1	5550001	5600000	50000	*	1147	92922	0.0123436861023224	CHH
1	FK42D	Fvb1	5600001	5650000	50000	*	2212	105379	0.0209908995150836	CHH
1	FK42D	Fvb1	5650001	5700000	50000	*	6946	89638	0.0774894575961088	CHH
1	FK42D	Fvb1	5700001	5750000	50000	*	1457	98145	0.0148453818330022	CHH
1	FK42D	Fvb1	5750001	5800000	50000	*	2151	91598	0.0234830454813424	CHH
1	FK42D	Fvb1	5800001	5850000	50000	*	2020	58593	0.0344751079480484	CHH
