,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHG.Fvb1,context,group
1,Fvb1,1,50000,50000,*,4620,56421,0.019585150152284,CHG,AK_FK
2,Fvb1,50001,100000,50000,*,4920,63555,0.000565438015002417,CHG,AK_FK
3,Fvb1,100001,150000,50000,*,656,68266,-0.000564290915778127,CHG,AK_FK
4,Fvb1,150001,200000,50000,*,4674,61566,-0.00512130935598816,CHG,AK_FK
5,Fvb1,200001,250000,50000,*,2381,62658,0.0119614604843837,CHG,AK_FK
6,Fvb1,250001,300000,50000,*,8448,62518,0.00841694709335358,CHG,AK_FK
7,Fvb1,300001,350000,50000,*,1008,66870,0.00325649919772766,CHG,AK_FK
8,Fvb1,350001,400000,50000,*,3641,74256,0.00774223492070402,CHG,AK_FK
9,Fvb1,400001,450000,50000,*,2683,61395,0.0124525049788499,CHG,AK_FK
10,Fvb1,450001,500000,50000,*,4918,64495,0.0136640036938636,CHG,AK_FK
11,Fvb1,500001,550000,50000,*,979,51883,0.00172148708301983,CHG,AK_FK
12,Fvb1,550001,600000,50000,*,1086,60934,0.00103599137298295,CHG,AK_FK
13,Fvb1,600001,650000,50000,*,892,44102,-0.0188009971230134,CHG,AK_FK
14,Fvb1,650001,700000,50000,*,1051,27219,-0.0164274159321013,CHG,AK_FK
15,Fvb1,700001,750000,50000,*,6621,58762,0.0185731262996332,CHG,AK_FK
16,Fvb1,750001,800000,50000,*,9372,57814,-0.00479929435959286,CHG,AK_FK
17,Fvb1,800001,850000,50000,*,6959,59386,0.0161347710076343,CHG,AK_FK
18,Fvb1,850001,900000,50000,*,2790,62597,0.00656478378185454,CHG,AK_FK
19,Fvb1,900001,950000,50000,*,444,63928,0.00242088665645348,CHG,AK_FK
20,Fvb1,950001,1000000,50000,*,3638,57801,0.0158398719021966,CHG,AK_FK
21,Fvb1,1000001,1050000,50000,*,2200,57958,0.00196880446446859,CHG,AK_FK
22,Fvb1,1050001,1100000,50000,*,1708,59172,0.0144608134080664,CHG,AK_FK
23,Fvb1,1100001,1150000,50000,*,2748,44879,0.0271295911361678,CHG,AK_FK
24,Fvb1,1150001,1200000,50000,*,1685,56096,0.00938110311678748,CHG,AK_FK
25,Fvb1,1200001,1250000,50000,*,431,19072,-0.109749170313971,CHG,AK_FK
26,Fvb1,1250001,1300000,50000,*,877,1196,0.466093190122616,CHG,AK_FK
27,Fvb1,1300001,1350000,50000,*,589,17196,-0.0235905515978525,CHG,AK_FK
28,Fvb1,1350001,1400000,50000,*,1187,47614,-0.00822176234974419,CHG,AK_FK
29,Fvb1,1400001,1450000,50000,*,2864,56825,0.0364298518978058,CHG,AK_FK
30,Fvb1,1450001,1500000,50000,*,1743,67168,0.00766767334138316,CHG,AK_FK
31,Fvb1,1500001,1550000,50000,*,4880,54850,-0.00167353867855051,CHG,AK_FK
32,Fvb1,1550001,1600000,50000,*,3801,59235,0.0139454266846615,CHG,AK_FK
33,Fvb1,1600001,1650000,50000,*,2730,52919,-0.00532941184374269,CHG,AK_FK
34,Fvb1,1650001,1700000,50000,*,9178,63508,-0.00575392074992703,CHG,AK_FK
35,Fvb1,1700001,1750000,50000,*,4727,57734,0.0156884476137523,CHG,AK_FK
36,Fvb1,1750001,1800000,50000,*,994,63328,0.00216044302694507,CHG,AK_FK
37,Fvb1,1800001,1850000,50000,*,976,66019,0.00561816221144132,CHG,AK_FK
38,Fvb1,1850001,1900000,50000,*,3802,68500,0.0209360070435108,CHG,AK_FK
39,Fvb1,1900001,1950000,50000,*,1613,65116,0.00449681254200346,CHG,AK_FK
40,Fvb1,1950001,2000000,50000,*,2638,65281,0.0148127512144705,CHG,AK_FK
41,Fvb1,2000001,2050000,50000,*,3496,65018,0.0160732751474799,CHG,AK_FK
42,Fvb1,2050001,2100000,50000,*,2586,56349,0.0118647846456903,CHG,AK_FK
43,Fvb1,2100001,2150000,50000,*,5149,60297,0.0255494220872378,CHG,AK_FK
44,Fvb1,2150001,2200000,50000,*,1315,56736,0.00824316289636069,CHG,AK_FK
45,Fvb1,2200001,2250000,50000,*,2396,67162,0.0039041309282388,CHG,AK_FK
